<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVT.US,5,20260126,153000,25.81,25.8115,25.756,25.756,4421,0
EVT.US,5,20260126,153500,25.8,25.8,25.78,25.78,2168,0
EVT.US,5,20260126,154000,25.79,25.81,25.78,25.81,988,0
EVT.US,5,20260126,154500,25.85,25.85,25.82,25.82,1129,0
EVT.US,5,20260126,155000,25.83,25.83,25.79,25.8299,3229,0
EVT.US,5,20260126,155500,25.83,25.83,25.79,25.83,1474,0
EVT.US,5,20260126,160000,25.83,25.8332,25.8209,25.8209,1264,0
EVT.US,5,20260126,161000,25.835,25.835,25.835,25.835,1324,0
EVT.US,5,20260126,161500,25.8,25.825,25.8,25.8093,1677,0
EVT.US,5,20260126,162000,25.825,25.825,25.8,25.8,2322,0
EVT.US,5,20260126,162500,25.765,25.79,25.7372,25.7372,2814,0
EVT.US,5,20260126,163000,25.75,25.75,25.739,25.739,1248,0
EVT.US,5,20260126,163500,25.7,25.7,25.7,25.7,10150,0
EVT.US,5,20260126,164000,25.775,25.775,25.775,25.775,100,0
EVT.US,5,20260126,164500,25.775,25.775,25.7,25.7,3292,0
EVT.US,5,20260126,165000,25.775,25.775,25.745,25.745,1208,0
EVT.US,5,20260126,165500,25.775,25.775,25.6689,25.6689,2912,0
EVT.US,5,20260126,170000,25.8379,25.8379,25.8379,25.8379,503,0
EVT.US,5,20260126,170500,25.735,25.735,25.735,25.735,200,0
EVT.US,5,20260126,171000,25.735,25.839,25.735,25.75,2716,0
EVT.US,5,20260126,171500,25.7628,25.7628,25.7628,25.7628,970,0
EVT.US,5,20260126,172500,25.66,25.66,25.66,25.66,310,0
EVT.US,5,20260126,173500,25.73,25.73,25.73,25.73,539,0
EVT.US,5,20260126,174000,25.73,25.73,25.73,25.73,499,0
EVT.US,5,20260126,174500,25.73,25.73,25.73,25.73,2622,0
EVT.US,5,20260126,175500,25.7,25.7,25.7,25.7,250,0
EVT.US,5,20260126,180500,25.685,25.685,25.685,25.685,170,0
EVT.US,5,20260126,181500,25.6868,25.6868,25.685,25.685,2022,0
EVT.US,5,20260126,182000,25.67,25.686,25.67,25.686,950,0
EVT.US,5,20260126,184000,25.7,25.7,25.7,25.7,100,0
EVT.US,5,20260126,184500,25.66,25.69,25.65,25.69,1100,0
EVT.US,5,20260126,185000,25.66,25.69,25.65,25.69,2586,0
EVT.US,5,20260126,185500,25.68,25.68,25.68,25.68,300,0
EVT.US,5,20260126,190000,25.6501,25.69,25.6501,25.69,1416,0
EVT.US,5,20260126,190500,25.67,25.67,25.66,25.66,297,0
EVT.US,5,20260126,192000,25.69,25.69,25.69,25.69,573,0
EVT.US,5,20260126,193000,25.7292,25.7292,25.7292,25.7292,129,0
EVT.US,5,20260126,194000,25.69,25.69,25.6711,25.6711,616,0
EVT.US,5,20260126,195000,25.69,25.69,25.69,25.69,1000,0
EVT.US,5,20260126,195500,25.69,25.69,25.6601,25.6601,1200,0
EVT.US,5,20260126,200000,25.66,25.66,25.66,25.66,350,0
EVT.US,5,20260126,200500,25.69,25.72,25.69,25.72,1464,0
EVT.US,5,20260126,201000,25.69,25.7044,25.69,25.7044,3466,0
EVT.US,5,20260126,202000,25.69,25.69,25.69,25.69,600,0
EVT.US,5,20260126,203000,25.7044,25.708,25.7044,25.708,1120,0
EVT.US,5,20260126,203500,25.69,25.69,25.69,25.69,100,0
EVT.US,5,20260126,205000,25.6879,25.6879,25.687,25.687,875,0
EVT.US,5,20260126,205500,25.69,25.69,25.6601,25.6601,575,0
EVT.US,5,20260126,210000,25.6846,25.6846,25.675,25.675,250,0
EVT.US,5,20260126,211000,25.69,25.7299,25.69,25.705,2016,0
EVT.US,5,20260126,211500,25.705,25.73,25.68,25.73,4375,0
EVT.US,5,20260126,212000,25.735,25.7351,25.735,25.735,1568,0
EVT.US,5,20260126,213000,25.6811,25.6811,25.6811,25.6811,136,0
EVT.US,5,20260126,213500,25.7,25.7,25.6706,25.7,2244,0
EVT.US,5,20260126,214000,25.67,25.7294,25.67,25.7294,577,0
EVT.US,5,20260126,215000,25.7,25.7,25.7,25.7,200,0
EVT.US,5,20260126,215500,25.71,25.72,25.67,25.7,896,0
EVT.US,5,20260127,153000,25.7,25.7,25.7,25.7,2000,0
EVT.US,5,20260127,153500,25.7,25.798,25.7,25.798,1870,0
EVT.US,5,20260127,154000,25.69,25.78,25.69,25.7,6560,0
EVT.US,5,20260127,154500,25.76,25.76,25.7,25.756,1319,0
EVT.US,5,20260127,160500,25.7,25.7,25.6201,25.6201,400,0
EVT.US,5,20260127,161000,25.7799,25.7799,25.7799,25.7799,2000,0
EVT.US,5,20260127,161500,25.7151,25.7151,25.7151,25.7151,543,0
EVT.US,5,20260127,162000,25.695,25.7584,25.6671,25.6671,1050,0
EVT.US,5,20260127,163000,25.7015,25.7015,25.7015,25.7015,960,0
EVT.US,5,20260127,164000,25.69,25.738,25.69,25.738,503,0
EVT.US,5,20260127,164500,25.69,25.69,25.69,25.69,100,0
EVT.US,5,20260127,165000,25.7389,25.74,25.695,25.695,1720,0
EVT.US,5,20260127,165500,25.695,25.695,25.695,25.695,200,0
EVT.US,5,20260127,170000,25.6989,25.6989,25.6989,25.6989,1000,0
EVT.US,5,20260127,170500,25.695,25.7233,25.6924,25.72,1720,0
EVT.US,5,20260127,172000,25.72,25.72,25.6906,25.6906,200,0
EVT.US,5,20260127,172500,25.65,25.685,25.65,25.685,284,0
EVT.US,5,20260127,173000,25.7,25.7,25.6701,25.6701,1120,0
EVT.US,5,20260127,174000,25.71,25.71,25.71,25.71,100,0
EVT.US,5,20260127,174500,25.72,25.73,25.705,25.705,980,0
