<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EXP.US,5,20260126,153500,222.45,224.73,222.45,224.73,200,0
EXP.US,5,20260126,154000,223.54,223.82,223.54,223.82,200,0
EXP.US,5,20260126,154500,224.66,225.01,224.58,225,1495,0
EXP.US,5,20260126,155000,225.13,225.13,225.13,225.13,100,0
EXP.US,5,20260126,155500,224.82,224.82,223.86,224.48,2225,0
EXP.US,5,20260126,160000,224.145,224.145,223.35,223.64,438,0
EXP.US,5,20260126,160500,223.31,223.37,222.74,223.2,1578,0
EXP.US,5,20260126,161000,223.56,225.05,223.56,225.05,1474,0
EXP.US,5,20260126,161500,224.9999,224.9999,224.9999,224.9999,176,0
EXP.US,5,20260126,162000,224.77,224.77,224.3325,224.69,595,0
EXP.US,5,20260126,162500,224.145,224.255,223.73,223.73,800,0
EXP.US,5,20260126,163000,223.52,224.1,223.51,224.1,646,0
EXP.US,5,20260126,163500,224.165,224.17,224.165,224.17,200,0
EXP.US,5,20260126,164500,224.17,224.17,223.6,223.77,1200,0
EXP.US,5,20260126,165000,224.25,224.27,223.95,224.245,800,0
EXP.US,5,20260126,165500,223.945,223.99,223.785,223.785,1060,0
EXP.US,5,20260126,170000,223.78,223.78,223.3215,223.3215,1460,0
EXP.US,5,20260126,170500,223.025,223.38,223.025,223.33,1732,0
EXP.US,5,20260126,171000,223.02,223.02,223,223,300,0
EXP.US,5,20260126,171500,222.5,222.5,222.5,222.5,100,0
EXP.US,5,20260126,172000,222.45,222.81,222.45,222.53,5701,0
EXP.US,5,20260126,172500,222.52,222.75,222.29,222.575,1600,0
EXP.US,5,20260126,173000,222.5975,222.5975,222.26,222.275,1524,0
EXP.US,5,20260126,173500,222.01,222.02,221.83,221.975,1300,0
EXP.US,5,20260126,174000,221.975,221.975,221.975,221.975,200,0
EXP.US,5,20260126,174500,221.85,222.22,221.85,222.22,1098,0
EXP.US,5,20260126,175000,221.92,221.92,221.905,221.905,900,0
EXP.US,5,20260126,180000,221.64,221.73,221.175,221.48,4265,0
EXP.US,5,20260126,180500,221.48,222.24,221.48,221.65,6255,0
EXP.US,5,20260126,181000,221.505,221.61,221.24,221.24,1500,0
EXP.US,5,20260126,181500,221.2,221.565,221.15,221.41,1935,0
EXP.US,5,20260126,182000,221.52,221.645,221.435,221.645,1300,0
EXP.US,5,20260126,182500,221.69,221.73,221.69,221.73,400,0
EXP.US,5,20260126,183000,221.77,221.79,221.69,221.745,1343,0
EXP.US,5,20260126,184000,221.58,221.58,221.35,221.35,300,0
EXP.US,5,20260126,184500,221.3,221.46,221.085,221.46,2600,0
EXP.US,5,20260126,185000,221.65,221.77,221.65,221.77,400,0
EXP.US,5,20260126,190000,221.365,221.405,221.365,221.405,1000,0
EXP.US,5,20260126,190500,221.2,221.77,221.2,221.31,2670,0
EXP.US,5,20260126,191000,221.32,221.33,221.2,221.2,500,0
EXP.US,5,20260126,191500,221.2,221.335,221.2,221.335,500,0
EXP.US,5,20260126,192000,221.335,221.435,221.27,221.27,400,0
EXP.US,5,20260126,192500,221.435,221.695,221.435,221.695,1750,0
EXP.US,5,20260126,193000,221.3,221.3,221.2,221.2,987,0
EXP.US,5,20260126,193500,221.2,221.2,221.2,221.2,200,0
EXP.US,5,20260126,194000,221.35,221.35,220.14,220.3,11618,0
EXP.US,5,20260126,194500,220.18,220.32,219.52,219.9,8204,0
EXP.US,5,20260126,195000,219.9,220.5412,219.64,219.92,5146,0
