<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FBRT.US,5,20260126,153000,10.1,10.125,10.06,10.09,5552,0
FBRT.US,5,20260126,153500,10.07,10.085,10.07,10.085,1160,0
FBRT.US,5,20260126,154000,10.09,10.09,10.09,10.09,500,0
FBRT.US,5,20260126,154500,10.06,10.075,10.06,10.075,1105,0
FBRT.US,5,20260126,155000,10.071,10.071,10.055,10.055,1543,0
FBRT.US,5,20260126,155500,10.05,10.05,10,10,3442,0
FBRT.US,5,20260126,160000,10.005,10.04,10.005,10.04,3700,0
FBRT.US,5,20260126,160500,10.04,10.045,10.04,10.04,1100,0
FBRT.US,5,20260126,161000,10.035,10.045,10.03,10.03,3181,0
FBRT.US,5,20260126,161500,10.02,10.03,10.015,10.03,2217,0
FBRT.US,5,20260126,162000,10.035,10.0399,10.03,10.03,437,0
FBRT.US,5,20260126,162500,10.025,10.025,10,10.005,2994,0
FBRT.US,5,20260126,163000,10.0054,10.03,10.0054,10.025,4328,0
FBRT.US,5,20260126,163500,10.02,10.02,10.02,10.02,100,0
FBRT.US,5,20260126,164000,10.025,10.025,10.02,10.025,5547,0
FBRT.US,5,20260126,164500,10.025,10.025,10.02,10.02,1800,0
FBRT.US,5,20260126,165000,10.02,10.02,10.02,10.02,300,0
FBRT.US,5,20260126,165500,10.013,10.02,9.995,10.015,9873,0
FBRT.US,5,20260126,170000,10.02,10.02,10.005,10.005,1000,0
FBRT.US,5,20260126,170500,10.005,10.01,10.005,10.005,600,0
FBRT.US,5,20260126,171000,10.0058,10.03,10.005,10.025,4358,0
FBRT.US,5,20260126,171500,10.02,10.025,10.02,10.02,1555,0
FBRT.US,5,20260126,172000,10.025,10.025,10.02,10.02,350,0
FBRT.US,5,20260126,172500,10.0211,10.04,10.0211,10.04,738,0
FBRT.US,5,20260126,173000,10.04,10.04,10.035,10.035,700,0
FBRT.US,5,20260126,173500,10.04,10.04,10.03,10.0366,400,0
FBRT.US,5,20260126,174500,10.03,10.04,10.025,10.04,2049,0
FBRT.US,5,20260126,175000,10.04,10.04,10.03,10.04,2141,0
FBRT.US,5,20260126,175500,10.035,10.035,10.035,10.035,100,0
