<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCX.US,5,20260126,153000,63.415,63.575,62.51,62.63,1474583,0
FCX.US,5,20260126,153500,62.645,62.97,62.25,62.34,921005,0
FCX.US,5,20260126,154000,62.345,62.625,62.14,62.31,1283685,0
FCX.US,5,20260126,154500,62.3,62.6594,62.07,62.629,508099,0
FCX.US,5,20260126,155000,62.64,63.105,62.63,63.0513,399714,0
FCX.US,5,20260126,155500,63.055,63.1099,62.82,62.83,281207,0
FCX.US,5,20260126,160000,62.82,63.07,62.81,63.05,447952,0
FCX.US,5,20260126,160500,63.04,63.19,62.9201,63.12,286692,0
FCX.US,5,20260126,161000,63.12,63.29,63.025,63.26,303079,0
FCX.US,5,20260126,161500,63.2597,63.42,63.12,63.13,588582,0
FCX.US,5,20260126,162000,63.13,63.2,62.98,63.1,193384,0
FCX.US,5,20260126,162500,63.095,63.095,62.86,62.955,301220,0
FCX.US,5,20260126,163000,62.96,62.97,62.48,62.66,531547,0
FCX.US,5,20260126,163500,62.665,62.75,62.27,62.48,404110,0
FCX.US,5,20260126,164000,62.49,62.52,62.1701,62.23,281795,0
FCX.US,5,20260126,164500,62.23,62.69,62.23,62.64,243479,0
FCX.US,5,20260126,165000,62.65,62.92,62.65,62.91,226752,0
FCX.US,5,20260126,165500,62.9165,63.06,62.83,62.86,213666,0
FCX.US,5,20260126,170000,62.85,63.16,62.77,63.136,265574,0
FCX.US,5,20260126,170500,63.145,63.145,62.97,63.025,269343,0
FCX.US,5,20260126,171000,63.0223,63.155,62.72,62.74,229472,0
FCX.US,5,20260126,171500,62.735,62.79,62.6,62.635,221978,0
FCX.US,5,20260126,172000,62.635,62.67,62.53,62.555,163856,0
FCX.US,5,20260126,172500,62.56,62.64,62.29,62.355,273385,0
FCX.US,5,20260126,173000,62.36,62.36,61.89,62.145,421530,0
FCX.US,5,20260126,173500,62.14,62.2,62,62.085,269843,0
FCX.US,5,20260126,174000,62.0834,62.35,62.0834,62.3,170665,0
FCX.US,5,20260126,174500,62.3085,62.59,62.2715,62.555,164974,0
FCX.US,5,20260126,175000,62.55,62.86,62.5318,62.775,231255,0
FCX.US,5,20260126,175500,62.78,63.12,62.77,63.0255,320386,0
FCX.US,5,20260126,180000,63.02,63.105,62.8901,63.065,221225,0
FCX.US,5,20260126,180500,63.065,63.2134,62.795,62.845,278315,0
FCX.US,5,20260126,181000,62.845,63.05,62.75,63.025,125116,0
FCX.US,5,20260126,181500,63.03,63.1399,62.94,62.95,153164,0
FCX.US,5,20260126,182000,62.95,62.975,62.85,62.92,137226,0
FCX.US,5,20260126,182500,62.91,62.98,62.83,62.965,119069,0
FCX.US,5,20260126,183000,62.97,63.105,62.935,63.06,137238,0
FCX.US,5,20260126,183500,63.06,63.145,63,63.13,123747,0
