<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FDS.US,5,20260126,153000,287.09,288.44,286.6,288.42,2493,0
FDS.US,5,20260126,153500,288.42,288.705,287.4635,288.515,2535,0
FDS.US,5,20260126,154000,288.015,288.015,285.96,286.2275,4582,0
FDS.US,5,20260126,154500,286.22,287.4825,286.22,286.76,709,0
FDS.US,5,20260126,155000,286.5,287.2025,286.5,286.95,597,0
FDS.US,5,20260126,155500,286.82,286.82,285.69,285.69,1462,0
FDS.US,5,20260126,160000,285.875,286.31,285.69,286.2,1389,0
FDS.US,5,20260126,160500,286.06,286.06,285.69,286.06,893,0
FDS.US,5,20260126,161000,286.075,286.105,285.015,285.015,3817,0
FDS.US,5,20260126,161500,284.92,285.45,284.92,285.41,2436,0
FDS.US,5,20260126,162000,285.495,286.32,285.495,286.05,1856,0
FDS.US,5,20260126,162500,285.99,287.22,285.99,287.18,1326,0
FDS.US,5,20260126,163000,286.87,287.375,286.7,287.07,1669,0
FDS.US,5,20260126,163500,287.07,287.08,286.41,286.49,1582,0
FDS.US,5,20260126,164000,286.49,287.445,286.28,287.445,1147,0
FDS.US,5,20260126,164500,287.41,287.41,286.74,286.76,1284,0
FDS.US,5,20260126,165000,286.76,286.87,286.58,286.765,1224,0
FDS.US,5,20260126,165500,286.86,287.04,286.82,286.82,534,0
FDS.US,5,20260126,170000,287.025,287.14,286.86,286.86,774,0
FDS.US,5,20260126,170500,286.63,286.665,286.4604,286.55,240,0
FDS.US,5,20260126,171000,286.555,286.63,286.48,286.56,551,0
FDS.US,5,20260126,171500,286.42,286.83,286.28,286.543,3592,0
FDS.US,5,20260126,172000,286.635,286.8,286.635,286.8,698,0
FDS.US,5,20260126,172500,286.94,287.51,286.85,287.51,540,0
FDS.US,5,20260126,173000,287.38,287.565,287.202,287.37,668,0
FDS.US,5,20260126,173500,287.465,287.485,287.25,287.25,240,0
FDS.US,5,20260126,174000,287.5,287.5,286.87,286.9125,1098,0
FDS.US,5,20260126,174500,286.91,287.2,286.91,287.12,673,0
FDS.US,5,20260126,175000,287.055,287.055,286.9001,287.04,283,0
FDS.US,5,20260126,175500,287.065,287.215,286.76,286.76,1593,0
FDS.US,5,20260126,180000,286.6,286.62,286.03,286.16,617,0
FDS.US,5,20260126,180500,286.18,286.525,286.17,286.37,591,0
FDS.US,5,20260126,181000,286.21,286.22,285.66,285.66,283,0
FDS.US,5,20260126,181500,285.84,286.225,285.84,286.085,992,0
FDS.US,5,20260126,182000,285.995,286.2,285.7,285.8,425,0
FDS.US,5,20260126,182500,285.7892,285.975,285.58,285.58,240,0
FDS.US,5,20260126,183000,285.865,285.89,285.6,285.6,522,0
FDS.US,5,20260126,183500,285.66,285.66,285.43,285.59,589,0
FDS.US,5,20260126,184000,285.505,285.622,285.16,285.16,2549,0
FDS.US,5,20260126,184500,285.1162,285.2436,284.88,284.94,731,0
FDS.US,5,20260126,185000,285.11,285.15,284.5908,284.5908,826,0
FDS.US,5,20260126,185500,284.6,284.6,284.3,284.3,269,0
FDS.US,5,20260126,190000,284.21,284.3,284.2,284.2,208,0
FDS.US,5,20260126,190500,284.195,284.69,284.19,284.48,14564,0
FDS.US,5,20260126,191000,284.355,284.98,284.355,284.93,1141,0
FDS.US,5,20260126,191500,284.835,284.835,284.78,284.78,240,0
FDS.US,5,20260126,192000,284.845,285.005,284.52,284.665,1585,0
FDS.US,5,20260126,192500,284.665,284.735,284.49,284.56,410,0
FDS.US,5,20260126,193000,284.53,284.645,284.44,284.645,1436,0
FDS.US,5,20260126,193500,284.55,284.55,284.48,284.48,120,0
FDS.US,5,20260126,194000,284.49,284.82,284.18,284.18,1119,0
FDS.US,5,20260126,194500,284.18,284.3495,284.06,284.06,562,0
FDS.US,5,20260126,195000,283.8801,284.09,283.87,283.99,719,0
FDS.US,5,20260126,195500,283.92,283.92,283.745,283.92,485,0
FDS.US,5,20260126,200000,283.81,283.93,283.81,283.93,158,0
FDS.US,5,20260126,200500,284.64,284.64,284.355,284.54,499,0
FDS.US,5,20260126,201000,284.56,284.64,284.41,284.47,868,0
FDS.US,5,20260126,201500,284.62,284.87,284.57,284.87,748,0
FDS.US,5,20260126,202000,284.855,284.99,284.8061,284.81,483,0
FDS.US,5,20260126,202500,284.995,285.23,284.9943,285.17,1359,0
FDS.US,5,20260126,203000,285.16,285.285,284.81,284.81,4569,0
FDS.US,5,20260126,203500,284.74,285.155,284.74,285.1447,1917,0
FDS.US,5,20260126,204000,285.16,285.16,285.0457,285.0457,620,0
FDS.US,5,20260126,204500,285.03,285.39,285.03,285.13,3526,0
FDS.US,5,20260126,205000,285.2825,285.54,285.08,285.53,4095,0
FDS.US,5,20260126,205500,285.885,286.12,285.42,285.44,1935,0
FDS.US,5,20260126,210000,285.42,285.68,285.42,285.68,280,0
FDS.US,5,20260126,210500,286.015,286.34,285.8875,286.06,1269,0
FDS.US,5,20260126,211000,286.08,286.28,286.08,286.11,796,0
FDS.US,5,20260126,211500,286.12,286.39,286.11,286.27,4851,0
FDS.US,5,20260126,212000,286.39,286.74,286.39,286.74,549,0
FDS.US,5,20260126,212500,286.665,286.665,286.65,286.65,413,0
FDS.US,5,20260126,213000,286.6674,286.805,286.66,286.766,904,0
FDS.US,5,20260126,213500,286.76,286.97,286.67,286.85,2876,0
FDS.US,5,20260126,214000,286.8,286.8,286.57,286.745,1499,0
FDS.US,5,20260126,214500,286.765,286.79,286.67,286.79,1469,0
FDS.US,5,20260126,215000,286.88,287.095,286.52,286.525,2641,0
FDS.US,5,20260126,215500,286.62,286.62,286.29,286.33,61973,0
FDS.US,5,20260127,153000,286.355,286.355,284.825,284.825,602,0
FDS.US,5,20260127,153500,284.5,284.5,282.23,282.23,794,0
FDS.US,5,20260127,154000,281.81,283.27,280.29,283.12,4355,0
FDS.US,5,20260127,154500,282.8,284.845,282.73,284.845,3019,0
FDS.US,5,20260127,155000,284.845,285.82,284.05,284.99,11587,0
FDS.US,5,20260127,155500,284.93,284.93,283.81,283.98,7486,0
FDS.US,5,20260127,160000,283.42,284.2,282.61,283.74,13618,0
FDS.US,5,20260127,160500,283.45,283.91,282.17,282.17,6762,0
FDS.US,5,20260127,161000,282.17,282.75,281.6,281.6,3369,0
FDS.US,5,20260127,161500,281.375,281.375,280.05,280.315,2420,0
FDS.US,5,20260127,162000,280.29,280.29,277.64,278.13,3584,0
FDS.US,5,20260127,162500,278.03,278.03,276,276.025,5329,0
FDS.US,5,20260127,163000,276,276.63,275.315,276.475,8258,0
