<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FFOX.US,5,20260126,161000,28.76,28.76,28.76,28.76,100,0
FFOX.US,5,20260126,190000,28.72,28.72,28.72,28.72,100,0
FFOX.US,5,20260126,210000,28.7,28.71,28.69,28.71,6454,0
FFOX.US,5,20260126,213000,28.74,28.745,28.7201,28.7201,1957,0
FFOX.US,5,20260126,213500,28.72,28.76,28.72,28.72,1788,0
FFOX.US,5,20260126,215500,28.72,28.725,28.72,28.725,200,0
FFOX.US,5,20260127,161000,28.64,28.64,28.64,28.64,100,0
FFOX.US,5,20260127,210500,28.59,28.64,28.59,28.64,5447,0
FFOX.US,5,20260127,212500,28.61,28.64,28.61,28.64,870,0
FFOX.US,5,20260127,214000,28.59,28.59,28.59,28.59,3008,0
FFOX.US,5,20260127,214500,28.6,28.6,28.6,28.6,3159,0
FFOX.US,5,20260128,205000,28.5671,28.57,28.55,28.57,560,0
FFOX.US,5,20260128,205500,28.57,28.57,28.57,28.57,910,0
FFOX.US,5,20260128,210000,28.55,28.55,28.55,28.55,100,0
FFOX.US,5,20260128,214000,28.5,28.53,28.49,28.53,9843,0
FFOX.US,5,20260128,214500,28.44,28.44,28.44,28.44,100,0
FFOX.US,5,20260128,215000,28.44,28.44,28.44,28.44,100,0
FFOX.US,5,20260128,215500,28.46,28.46,28.43,28.43,240,0
FFOX.US,5,20260129,154500,28.32,28.32,28.32,28.32,200,0
FFOX.US,5,20260129,170000,28.04,28.04,28.04,28.04,100,0
FFOX.US,5,20260129,180500,28.2138,28.2138,28.2138,28.2138,223,0
FFOX.US,5,20260129,181000,28.2149,28.2149,28.2149,28.2149,175,0
FFOX.US,5,20260129,184500,28.19,28.19,28.19,28.19,300,0
FFOX.US,5,20260129,193000,28.14,28.14,28.14,28.14,200,0
FFOX.US,5,20260129,200000,28.15,28.15,28.14,28.15,1750,0
FFOX.US,5,20260129,200500,28.15,28.15,28.15,28.15,400,0
FFOX.US,5,20260129,203000,28.15,28.19,28.15,28.19,2935,0
FFOX.US,5,20260129,205500,28.2,28.2,28.2,28.2,100,0
FFOX.US,5,20260129,210000,28.2,28.2,28.2,28.2,717,0
FFOX.US,5,20260129,212500,28.19,28.22,28.19,28.195,4058,0
FFOX.US,5,20260129,213500,28.2065,28.22,28.2,28.21,2153,0
FFOX.US,5,20260129,214500,28.21,28.21,28.21,28.21,200,0
FFOX.US,5,20260129,215500,28.325,28.325,28.185,28.31,600,0
FFOX.US,5,20260130,161000,28.1,28.1,28.1,28.1,100,0
FFOX.US,5,20260130,163500,28.04,28.04,28.04,28.04,200,0
FFOX.US,5,20260130,165000,28.07,28.07,28.07,28.07,100,0
FFOX.US,5,20260130,183500,27.95,27.95,27.95,27.95,100,0
FFOX.US,5,20260130,205000,28.0147,28.0361,28.0147,28.0361,224,0
FFOX.US,5,20260130,205500,28.0621,28.09,28.01,28.01,3995,0
FFOX.US,5,20260130,210000,28.01,28.01,28.01,28.01,100,0
FFOX.US,5,20260130,210500,27.99,27.99,27.99,27.99,100,0
FFOX.US,5,20260130,211000,27.98,27.98,27.98,27.98,732,0
