<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMS.US,5,20260126,153000,22.18,22.23,22.18,22.22,3558,0
FMS.US,5,20260126,153500,22.28,22.29,22.27,22.27,5038,0
FMS.US,5,20260126,154000,22.28,22.29,22.26,22.26,5329,0
FMS.US,5,20260126,154500,22.271,22.28,22.26,22.26,4345,0
FMS.US,5,20260126,155000,22.25,22.25,22.22,22.22,2204,0
FMS.US,5,20260126,155500,22.237,22.24,22.23,22.24,447,0
FMS.US,5,20260126,160000,22.24,22.2488,22.225,22.24,2300,0
FMS.US,5,20260126,160500,22.23,22.23,22.2,22.22,3441,0
FMS.US,5,20260126,161000,22.24,22.24,22.22,22.22,1340,0
FMS.US,5,20260126,161500,22.2216,22.23,22.205,22.22,3665,0
FMS.US,5,20260126,162000,22.195,22.21,22.195,22.21,3241,0
FMS.US,5,20260126,162500,22.2202,22.23,22.22,22.22,5814,0
FMS.US,5,20260126,163000,22.22,22.22,22.21,22.21,1365,0
FMS.US,5,20260126,163500,22.22,22.247,22.2,22.235,2903,0
FMS.US,5,20260126,164000,22.235,22.235,22.19,22.2,3784,0
FMS.US,5,20260126,164500,22.22,22.24,22.22,22.23,8324,0
FMS.US,5,20260126,165000,22.24,22.25,22.24,22.24,1216,0
FMS.US,5,20260126,165500,22.25,22.26,22.2475,22.2508,1451,0
FMS.US,5,20260126,170000,22.25,22.2599,22.23,22.25,3612,0
FMS.US,5,20260126,170500,22.255,22.255,22.24,22.24,2300,0
FMS.US,5,20260126,171000,22.24,22.2434,22.24,22.2434,1025,0
FMS.US,5,20260126,171500,22.2257,22.2257,22.2,22.2,2318,0
FMS.US,5,20260126,172000,22.19,22.22,22.19,22.22,358,0
FMS.US,5,20260126,172500,22.22,22.22,22.21,22.215,503,0
FMS.US,5,20260126,173000,22.21,22.21,22.16,22.16,2249,0
FMS.US,5,20260126,173500,22.16,22.164,22.15,22.16,3676,0
FMS.US,5,20260126,174000,22.16,22.16,22.16,22.16,100,0
FMS.US,5,20260126,174500,22.165,22.165,22.165,22.165,116,0
FMS.US,5,20260126,175000,22.17,22.181859,22.16,22.181859,954,0
FMS.US,5,20260126,175500,22.175,22.175,22.175,22.175,396,0
FMS.US,5,20260126,180000,22.175,22.175,22.17,22.17,2447,0
FMS.US,5,20260126,180500,22.17,22.18,22.17,22.18,4969,0
FMS.US,5,20260126,181000,22.18,22.195,22.18,22.195,1579,0
FMS.US,5,20260126,181500,22.2,22.21,22.2,22.21,2047,0
FMS.US,5,20260126,182000,22.2,22.2,22.2,22.2,100,0
FMS.US,5,20260126,182500,22.2,22.2,22.2,22.2,1014,0
FMS.US,5,20260126,183000,22.2,22.2,22.19,22.19,2441,0
FMS.US,5,20260126,183500,22.19,22.2,22.18,22.2,5474,0
FMS.US,5,20260126,184000,22.2,22.2,22.2,22.2,296,0
FMS.US,5,20260126,184500,22.205,22.205,22.185,22.1954,1368,0
FMS.US,5,20260126,185500,22.2,22.2,22.2,22.2,200,0
FMS.US,5,20260126,190000,22.195,22.21,22.195,22.21,600,0
FMS.US,5,20260126,190500,22.205,22.21,22.2,22.205,1904,0
FMS.US,5,20260126,191000,22.21,22.21,22.205,22.205,508,0
FMS.US,5,20260126,191500,22.21,22.21,22.21,22.21,2290,0
FMS.US,5,20260126,192000,22.199,22.2,22.1936,22.2,735,0
FMS.US,5,20260126,192500,22.2,22.2,22.2,22.2,110,0
FMS.US,5,20260126,193000,22.21,22.21,22.2,22.2,1045,0
FMS.US,5,20260126,193500,22.21,22.21,22.2,22.2,710,0
FMS.US,5,20260126,194000,22.2,22.2,22.185,22.185,2502,0
FMS.US,5,20260126,194500,22.186565,22.19,22.185,22.19,1380,0
FMS.US,5,20260126,195000,22.18,22.185,22.18,22.185,614,0
FMS.US,5,20260126,195500,22.18,22.18,22.175,22.175,4757,0
FMS.US,5,20260126,200000,22.17,22.18,22.165,22.165,2348,0
FMS.US,5,20260126,200500,22.16,22.16,22.14,22.14,2200,0
