<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GFL.US,5,20260126,153000,44.57,44.82,44.55,44.775,3949,0
GFL.US,5,20260126,153500,44.77,44.84,44.77,44.84,600,0
GFL.US,5,20260126,154000,44.79,44.81,44.66,44.73,4358,0
GFL.US,5,20260126,154500,44.7,44.76,44.65,44.74,2820,0
GFL.US,5,20260126,155000,44.71,44.71,44.65,44.67,3606,0
GFL.US,5,20260126,155500,44.67,44.7,44.61,44.685,5852,0
GFL.US,5,20260126,160000,44.65,44.73,44.65,44.71,6027,0
GFL.US,5,20260126,160500,44.73,44.73,44.61,44.63,5035,0
GFL.US,5,20260126,161000,44.64,44.67,44.635,44.66,2490,0
GFL.US,5,20260126,161500,44.655,44.74,44.6545,44.69,4817,0
GFL.US,5,20260126,162000,44.685,44.74,44.67,44.735,2558,0
GFL.US,5,20260126,162500,44.735,44.74,44.7,44.725,2277,0
GFL.US,5,20260126,163000,44.71,44.81,44.71,44.78,5064,0
GFL.US,5,20260126,163500,44.76,44.76,44.695,44.695,1900,0
GFL.US,5,20260126,164000,44.69,44.695,44.64,44.67,3074,0
GFL.US,5,20260126,164500,44.66,44.67,44.64,44.64,2218,0
GFL.US,5,20260126,165000,44.64,44.64,44.535,44.535,9708,0
GFL.US,5,20260126,165500,44.535,44.58,44.535,44.55,2800,0
GFL.US,5,20260126,170000,44.55,44.555,44.54,44.55,2775,0
GFL.US,5,20260126,170500,44.53,44.53,44.46,44.48,3961,0
GFL.US,5,20260126,171000,44.45,44.45,44.39,44.39,2220,0
GFL.US,5,20260126,171500,44.38,44.38,44.35,44.36,3197,0
GFL.US,5,20260126,172000,44.37,44.385,44.28,44.305,16027,0
GFL.US,5,20260126,172500,44.305,44.34,44.29,44.315,9595,0
GFL.US,5,20260126,173000,44.315,44.415,44.315,44.39,19196,0
GFL.US,5,20260126,173500,44.37,44.4,44.36,44.36,3771,0
GFL.US,5,20260126,174000,44.36,44.38,44.36,44.36,1800,0
GFL.US,5,20260126,174500,44.36,44.4,44.36,44.4,800,0
GFL.US,5,20260126,175000,44.41,44.41,44.37,44.4,3472,0
GFL.US,5,20260126,175500,44.39,44.4,44.3775,44.38,1797,0
GFL.US,5,20260126,180000,44.37,44.38,44.37,44.375,1800,0
GFL.US,5,20260126,180500,44.36,44.45,44.36,44.45,2050,0
GFL.US,5,20260126,181000,44.43,44.48,44.41,44.465,4250,0
GFL.US,5,20260126,181500,44.45,44.56,44.45,44.54,10535,0
GFL.US,5,20260126,182000,44.56,44.565,44.54,44.545,2550,0
GFL.US,5,20260126,182500,44.53,44.53,44.49,44.505,3461,0
GFL.US,5,20260126,183000,44.495,44.52,44.485,44.485,12959,0
GFL.US,5,20260126,183500,44.49,44.5,44.48,44.49,3366,0
GFL.US,5,20260126,184000,44.49,44.52,44.49,44.51,5861,0
