<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GSBD.US,5,20260126,153000,9.4,9.4196,9.27,9.29,70812,0
GSBD.US,5,20260126,153500,9.29,9.3616,9.29,9.3616,41348,0
GSBD.US,5,20260126,154000,9.3699,9.37,9.345,9.345,66806,0
GSBD.US,5,20260126,154500,9.345,9.3599,9.32,9.3599,42879,0
GSBD.US,5,20260126,155000,9.3599,9.3599,9.33,9.335,28512,0
GSBD.US,5,20260126,155500,9.335,9.35,9.325,9.345,62854,0
GSBD.US,5,20260126,160000,9.345,9.375,9.34,9.375,82179,0
GSBD.US,5,20260126,160500,9.375,9.385,9.355,9.355,14594,0
GSBD.US,5,20260126,161000,9.355,9.3799,9.345,9.365,78008,0
GSBD.US,5,20260126,161500,9.37,9.37,9.355,9.355,6380,0
GSBD.US,5,20260126,162000,9.35,9.39,9.35,9.38,48242,0
GSBD.US,5,20260126,162500,9.38,9.38,9.33,9.34,46871,0
GSBD.US,5,20260126,163000,9.345,9.375,9.335,9.37,40106,0
GSBD.US,5,20260126,163500,9.37,9.37,9.35,9.355,72944,0
GSBD.US,5,20260126,164000,9.355,9.3555,9.34,9.345,110355,0
GSBD.US,5,20260126,164500,9.35,9.355,9.34,9.345,47006,0
GSBD.US,5,20260126,165000,9.34,9.345,9.34,9.345,5085,0
GSBD.US,5,20260126,165500,9.345,9.355,9.34,9.355,12544,0
GSBD.US,5,20260126,170000,9.35,9.355,9.345,9.345,7375,0
GSBD.US,5,20260126,170500,9.34,9.345,9.32,9.325,142511,0
GSBD.US,5,20260126,171000,9.325,9.34,9.32,9.34,18812,0
GSBD.US,5,20260126,171500,9.34,9.355,9.34,9.355,19263,0
GSBD.US,5,20260126,172000,9.355,9.365,9.3401,9.355,64907,0
GSBD.US,5,20260126,172500,9.355,9.36,9.3401,9.36,14092,0
GSBD.US,5,20260126,173000,9.36,9.37,9.35,9.36,36419,0
GSBD.US,5,20260126,173500,9.365,9.365,9.34,9.34,14675,0
GSBD.US,5,20260126,174000,9.3412,9.36,9.34,9.34,48512,0
GSBD.US,5,20260126,174500,9.34,9.3484,9.34,9.3484,17852,0
GSBD.US,5,20260126,175000,9.3445,9.3459,9.34,9.3442,16424,0
GSBD.US,5,20260126,175500,9.345,9.3456,9.34,9.345,12364,0
GSBD.US,5,20260126,180000,9.345,9.35,9.33,9.35,179698,0
GSBD.US,5,20260126,180500,9.345,9.3472,9.3442,9.345,9900,0
GSBD.US,5,20260126,181000,9.3425,9.345,9.3301,9.3301,13602,0
GSBD.US,5,20260126,181500,9.335,9.3381,9.33,9.3332,6929,0
GSBD.US,5,20260126,182000,9.3345,9.336,9.33,9.33,7829,0
GSBD.US,5,20260126,182500,9.33,9.3393,9.33,9.33,6720,0
GSBD.US,5,20260126,183000,9.335,9.34,9.33,9.33,7963,0
GSBD.US,5,20260126,183500,9.34,9.34,9.335,9.335,2771,0
GSBD.US,5,20260126,184000,9.335,9.3358,9.335,9.3358,4485,0
GSBD.US,5,20260126,184500,9.335,9.335,9.315,9.325,43397,0
GSBD.US,5,20260126,185000,9.325,9.336778,9.325,9.336778,12246,0
GSBD.US,5,20260126,185500,9.335,9.35,9.335,9.345,13432,0
GSBD.US,5,20260126,190000,9.34,9.34,9.32,9.325,7417,0
GSBD.US,5,20260126,190500,9.32,9.325,9.32,9.325,735,0
GSBD.US,5,20260126,191000,9.3299,9.3299,9.31,9.31,32032,0
GSBD.US,5,20260126,191500,9.3101,9.3101,9.3,9.305,12065,0
GSBD.US,5,20260126,192000,9.305,9.31,9.29,9.31,50624,0
GSBD.US,5,20260126,192500,9.315,9.32,9.315,9.315,5626,0
GSBD.US,5,20260126,193000,9.3186,9.32,9.31,9.315,3843,0
GSBD.US,5,20260126,193500,9.3101,9.3199,9.3011,9.305,10984,0
GSBD.US,5,20260126,194000,9.305,9.325,9.305,9.325,18517,0
GSBD.US,5,20260126,194500,9.32,9.32,9.3111,9.32,32385,0
GSBD.US,5,20260126,195000,9.32,9.32,9.3,9.315,88388,0
GSBD.US,5,20260126,195500,9.31,9.3399,9.31,9.3399,23220,0
GSBD.US,5,20260126,200000,9.34,9.345,9.34,9.345,5311,0
GSBD.US,5,20260126,200500,9.3484,9.35,9.34,9.345,13795,0
GSBD.US,5,20260126,201000,9.345,9.35,9.34,9.34,24637,0
GSBD.US,5,20260126,201500,9.34,9.355,9.34,9.35,16429,0
GSBD.US,5,20260126,202000,9.355,9.355,9.35,9.35,2323,0
GSBD.US,5,20260126,202500,9.355,9.385,9.355,9.385,30040,0
GSBD.US,5,20260126,203000,9.39,9.4,9.39,9.3954,11284,0
GSBD.US,5,20260126,203500,9.4,9.41,9.3946,9.4055,11037,0
GSBD.US,5,20260126,204000,9.405,9.42,9.4046,9.4133,14724,0
GSBD.US,5,20260126,204500,9.415,9.415,9.405,9.405,21995,0
GSBD.US,5,20260126,205000,9.405,9.415,9.405,9.41,9186,0
GSBD.US,5,20260126,205500,9.41,9.42,9.41,9.4198,5989,0
GSBD.US,5,20260126,210000,9.415,9.4189,9.405,9.405,11422,0
GSBD.US,5,20260126,210500,9.405,9.4086,9.395,9.4055,21684,0
GSBD.US,5,20260126,211000,9.405,9.41,9.395,9.4066,40433,0
GSBD.US,5,20260126,211500,9.42,9.42,9.41,9.415,36291,0
GSBD.US,5,20260126,212000,9.415,9.42,9.405,9.415,28209,0
GSBD.US,5,20260126,212500,9.415,9.42,9.415,9.42,7769,0
GSBD.US,5,20260126,213000,9.42,9.425,9.41,9.415,24976,0
GSBD.US,5,20260126,213500,9.4158,9.44,9.415,9.4303,14821,0
GSBD.US,5,20260126,214000,9.43,9.43,9.42,9.425,16475,0
GSBD.US,5,20260126,214500,9.425,9.44,9.425,9.435,21361,0
GSBD.US,5,20260126,215000,9.435,9.44,9.43,9.435,36253,0
GSBD.US,5,20260126,215500,9.435,9.46,9.43,9.45,130821,0
GSBD.US,5,20260127,153000,9.435,9.51,9.415,9.5008,21811,0
GSBD.US,5,20260127,153500,9.5,9.53,9.46,9.5,24492,0
GSBD.US,5,20260127,154000,9.49,9.51,9.49,9.51,23082,0
GSBD.US,5,20260127,154500,9.51,9.52,9.5037,9.51,9179,0
GSBD.US,5,20260127,155000,9.515,9.52,9.51,9.51,3700,0
GSBD.US,5,20260127,155500,9.5,9.51,9.495,9.51,11924,0
