<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTOH.US,5,20260126,163500,25.71,25.7101,25.71,25.7101,200,0
GTOH.US,5,20260126,192000,25.71,25.73,25.71,25.73,3426,0
GTOH.US,5,20260126,195000,25.73,25.73,25.73,25.73,788,0
GTOH.US,5,20260126,210500,25.73,25.73,25.73,25.73,100,0
GTOH.US,5,20260128,155500,25.685,25.685,25.685,25.685,200,0
GTOH.US,5,20260128,190000,25.675,25.675,25.675,25.675,200,0
GTOH.US,5,20260128,191500,25.675,25.675,25.675,25.675,100,0
GTOH.US,5,20260129,160500,25.6411,25.6411,25.6411,25.6411,100,0
GTOH.US,5,20260130,175000,25.66,25.66,25.66,25.66,100,0
GTOH.US,5,20260202,165000,25.7,25.7,25.7,25.7,1344,0
GTOH.US,5,20260202,214500,25.7,25.7,25.7,25.7,100,0
GTOH.US,5,20260203,161000,25.698,25.698,25.698,25.698,100,0
GTOH.US,5,20260203,170500,25.705,25.705,25.705,25.705,400,0
GTOH.US,5,20260203,215500,25.73,25.73,25.73,25.73,100,0
GTOH.US,5,20260204,174000,25.69,25.69,25.69,25.69,100,0
GTOH.US,5,20260204,191500,25.69,25.69,25.69,25.69,100,0
GTOH.US,5,20260204,213000,25.71,25.71,25.71,25.71,931,0
GTOH.US,5,20260204,215000,25.7,25.7,25.7,25.7,100,0
GTOH.US,5,20260205,215000,25.6765,25.6765,25.67,25.67,284,0
GTOH.US,5,20260206,153000,25.72,25.72,25.72,25.72,100,0
GTOH.US,5,20260206,175000,25.73,25.73,25.73,25.73,100,0
GTOH.US,5,20260206,213500,25.75,25.75,25.75,25.75,100,0
GTOH.US,5,20260209,164500,25.7635,25.7635,25.7635,25.7635,130,0
GTOH.US,5,20260209,182500,25.79,25.79,25.79,25.79,100,0
GTOH.US,5,20260209,212500,25.77,25.77,25.77,25.77,464,0
GTOH.US,5,20260210,192000,25.78,25.78,25.78,25.78,100,0
GTOH.US,5,20260210,215000,25.75,25.75,25.75,25.75,100,0
GTOH.US,5,20260211,215500,25.7719,25.7719,25.7719,25.7719,195,0
GTOH.US,5,20260212,164500,25.79,25.79,25.79,25.79,100,0
GTOH.US,5,20260212,181500,25.77,25.77,25.76,25.77,2519,0
GTOH.US,5,20260212,194000,25.7792,25.7792,25.7792,25.7792,387,0
GTOH.US,5,20260213,164500,25.77,25.77,25.77,25.77,200,0
GTOH.US,5,20260213,211500,25.77,25.77,25.77,25.77,485,0
GTOH.US,5,20260213,212500,25.76,25.76,25.76,25.76,100,0
GTOH.US,5,20260217,184500,25.77,25.77,25.77,25.77,100,0
GTOH.US,5,20260217,195500,25.785,25.785,25.785,25.785,232,0
GTOH.US,5,20260217,212500,25.8,25.8,25.8,25.8,200,0
GTOH.US,5,20260218,172000,25.82,25.82,25.82,25.82,600,0
GTOH.US,5,20260218,183000,25.82,25.82,25.82,25.82,300,0
GTOH.US,5,20260219,161500,25.8,25.81,25.8,25.81,600,0
GTOH.US,5,20260219,175000,25.79,25.79,25.79,25.79,100,0
GTOH.US,5,20260219,180500,25.802,25.802,25.802,25.802,1003,0
GTOH.US,5,20260219,183500,25.81,25.81,25.81,25.81,100,0
GTOH.US,5,20260219,203500,25.8,25.8,25.8,25.8,200,0
GTOH.US,5,20260219,212000,25.81,25.81,25.81,25.81,100,0
GTOH.US,5,20260220,154000,25.82,25.82,25.82,25.82,100,0
GTOH.US,5,20260220,174000,25.81,25.81,25.81,25.81,100,0
GTOH.US,5,20260220,181500,25.8,25.8,25.8,25.8,100,0
GTOH.US,5,20260220,184000,25.81,25.81,25.81,25.81,100,0
GTOH.US,5,20260220,192000,25.8,25.8,25.8,25.8,100,0
GTOH.US,5,20260223,191000,25.7199,25.7199,25.7199,25.7199,101,0
GTOH.US,5,20260223,205500,25.68,25.7,25.68,25.7,200,0
GTOH.US,5,20260225,205500,25.695,25.695,25.695,25.695,2593,0
GTOH.US,5,20260225,215000,25.71,25.71,25.71,25.71,600,0
GTOH.US,5,20260226,205000,25.705,25.705,25.705,25.705,133,0
GTOH.US,5,20260226,210500,25.69,25.7,25.6899,25.69,3344,0
GTOH.US,5,20260227,183000,25.69,25.69,25.69,25.69,100,0
GTOH.US,5,20260302,161000,25.63,25.63,25.63,25.63,134,0
GTOH.US,5,20260302,170000,25.66,25.66,25.66,25.66,600,0
GTOH.US,5,20260303,171500,25.61,25.61,25.61,25.61,200,0
GTOH.US,5,20260303,184000,25.61,25.61,25.61,25.61,100,0
GTOH.US,5,20260304,183500,25.66,25.6601,25.66,25.6601,788,0
GTOH.US,5,20260309,153000,25.46,25.46,25.46,25.46,500,0
GTOH.US,5,20260311,154000,25.555,25.555,25.555,25.555,400,0
GTOH.US,5,20260312,165000,25.47,25.48,25.47,25.4799,4100,0
GTOH.US,5,20260312,170500,25.4793,25.4793,25.4793,25.4793,274,0
GTOH.US,5,20260312,191500,25.463,25.463,25.463,25.463,110,0
GTOH.US,5,20260316,163000,25.465,25.465,25.465,25.465,282,0
GTOH.US,5,20260318,155500,25.42,25.42,25.42,25.42,1800,0
GTOH.US,5,20260319,151500,25.32,25.32,25.32,25.32,1800,0
GTOH.US,5,20260320,164500,25.28,25.28,25.28,25.28,1800,0
GTOH.US,5,20260323,151000,25.26,25.26,25.26,25.26,1800,0
GTOH.US,5,20260324,154500,25.22,25.22,25.22,25.22,1800,0
GTOH.US,5,20260325,144500,25.2949,25.2949,25.28,25.28,200,0
GTOH.US,5,20260325,151500,25.3,25.3,25.3,25.3,1800,0
GTOH.US,5,20260326,143000,25.17,25.17,25.17,25.17,126,0
GTOH.US,5,20260326,164500,25.21,25.21,25.21,25.21,1800,0
GTOH.US,5,20260326,171000,25.19,25.1901,25.19,25.1901,471,0
GTOH.US,5,20260326,173500,25.1603,25.1603,25.1603,25.1603,200,0
GTOH.US,5,20260327,143000,25.07,25.07,25.07,25.07,239,0
GTOH.US,5,20260327,150500,25.06,25.06,25.06,25.06,1800,0
GTOH.US,5,20260327,152500,25.04,25.05,25.04,25.042,2283,0
GTOH.US,5,20260327,190500,25.03,25.04,25.03,25.03,1996,0
GTOH.US,5,20260327,191500,25.015,25.015,25.015,25.015,242,0
GTOH.US,5,20260330,155500,25.11,25.11,25.11,25.11,1800,0
GTOH.US,5,20260330,202000,25.105,25.11,25.105,25.11,4095,0
GTOH.US,5,20260331,161500,25.2,25.2,25.2,25.2,1800,0
GTOH.US,5,20260331,184000,25.23,25.23,25.23,25.23,100,0
GTOH.US,5,20260331,195500,25.25,25.25,25.25,25.25,400,0
GTOH.US,5,20260331,201000,25.245,25.245,25.245,25.245,439,0
GTOH.US,5,20260401,155000,25.33,25.33,25.33,25.33,1800,0
GTOH.US,5,20260401,184000,25.34,25.34,25.34,25.34,200,0
GTOH.US,5,20260401,193000,25.36,25.43,25.36,25.43,1988,0
GTOH.US,5,20260401,204500,25.365,25.365,25.365,25.365,118,0
GTOH.US,5,20260402,160500,25.265,25.265,25.265,25.265,300,0
GTOH.US,5,20260402,162500,25.285,25.285,25.285,25.285,100,0
GTOH.US,5,20260402,163500,25.34,25.34,25.34,25.34,120,0
GTOH.US,5,20260402,165000,25.29,25.31,25.29,25.31,213,0
GTOH.US,5,20260402,170000,25.34,25.34,25.34,25.34,1800,0
GTOH.US,5,20260402,170500,25.34,25.34,25.34,25.34,200,0
GTOH.US,5,20260406,153000,25.34,25.34,25.34,25.34,401,0
GTOH.US,5,20260406,165000,25.38,25.38,25.38,25.38,1800,0
GTOH.US,5,20260406,212500,25.38,25.38,25.38,25.38,234,0
GTOH.US,5,20260407,205500,25.37,25.37,25.37,25.37,1800,0
GTOH.US,5,20260408,175500,25.56,25.56,25.56,25.56,1800,0
GTOH.US,5,20260409,163500,25.52,25.52,25.52,25.52,1800,0
GTOH.US,5,20260409,174000,25.53,25.5655,25.53,25.5655,245,0
GTOH.US,5,20260409,181500,25.59,25.6,25.59,25.6,1000,0
GTOH.US,5,20260409,210000,25.5899,25.5899,25.58,25.58,3990,0
GTOH.US,5,20260410,163000,25.58,25.59,25.58,25.59,3895,0
GTOH.US,5,20260410,181500,25.59,25.59,25.585,25.585,1960,0
GTOH.US,5,20260410,200000,25.5597,25.5597,25.55,25.55,1039,0
GTOH.US,5,20260410,200500,25.54,25.54,25.54,25.54,100,0
GTOH.US,5,20260413,165000,25.57,25.57,25.57,25.57,1800,0
GTOH.US,5,20260413,174500,25.5501,25.5501,25.55,25.55,200,0
