<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HECA.US,5,20260126,153000,29.77,29.7874,29.77,29.7874,2106,0
HECA.US,5,20260126,153500,29.6365,29.6365,29.6365,29.6365,600,0
HECA.US,5,20260126,154000,29.755,29.755,29.755,29.755,3356,0
HECA.US,5,20260126,154500,29.7214,29.7999,29.7214,29.7999,300,0
HECA.US,5,20260126,155000,29.7231,29.735,29.7231,29.73,8624,0
HECA.US,5,20260126,160000,29.72,29.72,29.7155,29.7155,450,0
HECA.US,5,20260126,160500,29.72,29.73,29.72,29.73,920,0
HECA.US,5,20260126,161000,29.8,29.84,29.7999,29.84,1800,0
HECA.US,5,20260126,162500,29.75,29.765,29.75,29.765,375,0
HECA.US,5,20260126,164000,29.64,29.64,29.59,29.59,1299,0
HECA.US,5,20260126,164500,29.66,29.67,29.625,29.625,4269,0
HECA.US,5,20260126,165000,29.625,29.625,29.62,29.62,2312,0
HECA.US,5,20260126,165500,29.62,29.62,29.62,29.62,140,0
HECA.US,5,20260126,170000,29.62,29.63,29.62,29.63,647,0
HECA.US,5,20260126,170500,29.62,29.645,29.62,29.645,334,0
HECA.US,5,20260126,171000,29.645,29.65,29.645,29.65,200,0
HECA.US,5,20260126,171500,29.6435,29.6435,29.6435,29.6435,100,0
HECA.US,5,20260126,172000,29.64,29.7036,29.64,29.68,7478,0
HECA.US,5,20260126,172500,29.68,29.69,29.57,29.57,10000,0
HECA.US,5,20260126,173000,29.635,29.635,29.635,29.635,1000,0
HECA.US,5,20260126,174000,29.65,29.67,29.65,29.67,800,0
HECA.US,5,20260126,175000,29.5916,29.5916,29.5916,29.5916,149,0
HECA.US,5,20260126,180000,29.67,29.74,29.67,29.735,35200,0
HECA.US,5,20260126,180500,29.66,29.66,29.66,29.66,840,0
HECA.US,5,20260126,181000,29.71,29.71,29.71,29.71,100,0
HECA.US,5,20260126,181500,29.65,29.67,29.65,29.67,987,0
HECA.US,5,20260126,182000,29.7105,29.7105,29.7105,29.7105,137,0
HECA.US,5,20260126,183000,29.6332,29.6332,29.6332,29.6332,143,0
HECA.US,5,20260126,184500,29.695,29.695,29.6,29.6,400,0
HECA.US,5,20260126,185000,29.69,29.69,29.69,29.69,2558,0
HECA.US,5,20260126,185500,29.69,29.7,29.6101,29.6101,5854,0
HECA.US,5,20260126,190000,29.62,29.69,29.62,29.69,1416,0
HECA.US,5,20260126,190500,29.6848,29.7122,29.62,29.66,4124,0
HECA.US,5,20260126,191000,29.685,29.685,29.63,29.684,3527,0
HECA.US,5,20260126,191500,29.7,29.7053,29.7,29.705,401,0
HECA.US,5,20260126,192000,29.705,29.77,29.705,29.77,217,0
HECA.US,5,20260126,193500,29.64,29.64,29.64,29.64,100,0
HECA.US,5,20260126,194000,29.65,29.65,29.65,29.65,100,0
HECA.US,5,20260126,194500,29.65,29.675,29.64,29.675,5445,0
HECA.US,5,20260126,195000,29.74,29.74,29.74,29.74,408,0
HECA.US,5,20260126,195500,29.61,29.6111,29.6,29.6111,1242,0
HECA.US,5,20260126,200500,29.6151,29.6151,29.61,29.61,200,0
HECA.US,5,20260126,201000,29.655,29.655,29.57,29.615,4963,0
HECA.US,5,20260126,201500,29.585,29.585,29.585,29.585,235,0
HECA.US,5,20260126,202000,29.59,29.59,29.59,29.59,276,0
HECA.US,5,20260126,203500,29.59,29.625,29.55,29.55,5220,0
HECA.US,5,20260126,204500,29.5,29.51,29.5,29.51,200,0
HECA.US,5,20260126,205000,29.51,29.565,29.5,29.565,1649,0
HECA.US,5,20260126,205500,29.5622,29.5622,29.555,29.555,465,0
HECA.US,5,20260126,210000,29.555,29.555,29.5,29.515,2660,0
HECA.US,5,20260126,211500,29.525,29.58,29.525,29.58,808,0
HECA.US,5,20260126,212500,29.506,29.52,29.506,29.515,1246,0
HECA.US,5,20260126,213000,29.45,29.54,29.45,29.4913,4200,0
HECA.US,5,20260126,213500,29.513,29.513,29.513,29.513,255,0
HECA.US,5,20260126,215000,29.54,29.57,29.4961,29.56,1532,0
HECA.US,5,20260126,215500,29.4628,29.4628,29.37,29.37,983,0
HECA.US,5,20260127,153000,29.59,29.68,29.5072,29.565,11131,0
HECA.US,5,20260127,153500,29.62,29.62,29.62,29.62,3305,0
HECA.US,5,20260127,154000,29.61,29.6288,29.58,29.6288,1468,0
HECA.US,5,20260127,155000,29.65,29.65,29.55,29.5805,2299,0
HECA.US,5,20260127,155500,29.57,29.605,29.57,29.605,1129,0
HECA.US,5,20260127,160000,29.603,29.6099,29.57,29.6099,1041,0
HECA.US,5,20260127,160500,29.5722,29.6,29.54,29.6,700,0
HECA.US,5,20260127,161000,29.55,29.6399,29.54,29.54,1800,0
HECA.US,5,20260127,161500,29.59,29.59,29.59,29.59,4000,0
HECA.US,5,20260127,162000,29.6,29.6399,29.54,29.5665,6908,0
HECA.US,5,20260127,162500,29.575,29.575,29.56,29.56,3000,0
HECA.US,5,20260127,163000,29.56,29.56,29.5561,29.5561,340,0
HECA.US,5,20260127,163500,29.57,29.61,29.5,29.51,10763,0
HECA.US,5,20260127,164000,29.499,29.59,29.499,29.51,876,0
HECA.US,5,20260127,164500,29.58,29.61,29.5112,29.54,1700,0
HECA.US,5,20260127,165000,29.54,29.54,29.4301,29.4301,7147,0
HECA.US,5,20260127,170500,29.55,29.55,29.55,29.55,300,0
HECA.US,5,20260127,171000,29.6009,29.6009,29.57,29.57,826,0
HECA.US,5,20260127,171500,29.6,29.6,29.57,29.57,3270,0
HECA.US,5,20260127,172000,29.56,29.605,29.56,29.585,1800,0
HECA.US,5,20260127,172500,29.572,29.62,29.572,29.59,3443,0
HECA.US,5,20260127,173500,29.57,29.6499,29.57,29.58,30208,0
HECA.US,5,20260127,174000,29.57,29.6,29.57,29.57,700,0
HECA.US,5,20260127,174500,29.57,29.585,29.56,29.585,11993,0
HECA.US,5,20260127,175000,29.54,29.54,29.54,29.54,1220,0
HECA.US,5,20260127,175500,29.56,29.57,29.56,29.57,172208,0
HECA.US,5,20260127,180000,29.56,29.57,29.56,29.56,8988,0
HECA.US,5,20260127,180500,29.55,29.585,29.55,29.55,4687,0
HECA.US,5,20260127,181000,29.55,29.57,29.55,29.56,2824,0
HECA.US,5,20260127,181500,29.57,29.57,29.57,29.57,844,0
HECA.US,5,20260127,182500,29.52,29.57,29.52,29.57,1236,0
HECA.US,5,20260127,183000,29.57,29.6199,29.565,29.6199,5400,0
HECA.US,5,20260127,183500,29.566,29.566,29.566,29.566,168,0
HECA.US,5,20260127,184500,29.58,29.58,29.57,29.57,1000,0
HECA.US,5,20260127,185000,29.6,29.62,29.57,29.585,4900,0
HECA.US,5,20260127,185500,29.585,29.615,29.572,29.58,7460,0
HECA.US,5,20260127,190000,29.58,29.64,29.58,29.6099,2976,0
HECA.US,5,20260127,190500,29.565,29.565,29.565,29.565,470,0
HECA.US,5,20260127,191000,29.565,29.565,29.565,29.565,200,0
HECA.US,5,20260127,191500,29.565,29.565,29.56,29.56,800,0
HECA.US,5,20260127,192500,29.565,29.565,29.56,29.565,800,0
HECA.US,5,20260127,193000,29.61,29.61,29.56,29.5725,1200,0
HECA.US,5,20260127,193500,29.585,29.585,29.585,29.585,400,0
HECA.US,5,20260127,194500,29.585,29.585,29.52,29.52,295,0
HECA.US,5,20260127,195500,29.585,29.585,29.585,29.585,100,0
HECA.US,5,20260127,200000,29.585,29.585,29.585,29.585,300,0
HECA.US,5,20260127,200500,29.585,29.6499,29.585,29.585,879,0
HECA.US,5,20260127,201000,29.57,29.57,29.56,29.565,300,0
HECA.US,5,20260127,201500,29.58,29.6071,29.56,29.56,3158,0
HECA.US,5,20260127,202000,29.56,29.585,29.56,29.585,200,0
HECA.US,5,20260127,202500,29.5901,29.5901,29.59,29.59,439,0
HECA.US,5,20260127,203000,29.6,29.6,29.6,29.6,1300,0
HECA.US,5,20260127,203500,29.58,29.64,29.58,29.616,2140,0
HECA.US,5,20260127,204000,29.64,29.64,29.6,29.6,1000,0
HECA.US,5,20260127,204500,29.6499,29.6499,29.6,29.6,270,0
HECA.US,5,20260127,205500,29.58,29.595,29.58,29.595,3006,0
HECA.US,5,20260127,210000,29.6499,29.6499,29.6499,29.6499,336,0
HECA.US,5,20260127,210500,29.64,29.64,29.64,29.64,100,0
HECA.US,5,20260127,211000,29.65,29.715,29.65,29.715,3500,0
HECA.US,5,20260127,212000,29.69,29.719,29.69,29.719,1726,0
HECA.US,5,20260127,212500,29.7118,29.7118,29.62,29.62,580,0
HECA.US,5,20260127,213000,29.69,29.69,29.62,29.69,1300,0
HECA.US,5,20260127,213500,29.68,29.68,29.68,29.68,2000,0
HECA.US,5,20260127,214000,29.675,29.7,29.62,29.675,3096,0
HECA.US,5,20260127,214500,29.675,29.7186,29.675,29.7186,550,0
HECA.US,5,20260127,215500,29.69,29.69,29.62,29.655,1936,0
HECA.US,5,20260128,153500,29.85,29.85,29.7475,29.76,2376,0
HECA.US,5,20260128,154000,29.77,29.9,29.77,29.9,2396,0
HECA.US,5,20260128,154500,29.795,29.89,29.66,29.89,1173,0
HECA.US,5,20260128,155000,29.85,29.89,29.77,29.792,9264,0
HECA.US,5,20260128,155500,29.755,29.8045,29.74,29.74,490,0
HECA.US,5,20260128,160000,29.65,29.8,29.65,29.7063,1772,0
HECA.US,5,20260128,160500,29.7711,29.83,29.7711,29.83,302,0
HECA.US,5,20260128,161000,29.7699,29.7699,29.6501,29.6501,234,0
HECA.US,5,20260128,161500,29.75,29.75,29.65,29.655,6160,0
HECA.US,5,20260128,162000,29.645,29.7899,29.645,29.7899,3745,0
HECA.US,5,20260128,162500,29.696,29.76,29.696,29.76,765,0
HECA.US,5,20260128,163000,29.72,29.72,29.72,29.72,100,0
HECA.US,5,20260128,163500,29.71,29.71,29.71,29.71,183,0
HECA.US,5,20260128,164000,29.75,29.7605,29.735,29.7605,982,0
HECA.US,5,20260128,164500,29.66,29.665,29.66,29.66,2900,0
HECA.US,5,20260128,165000,29.729583,29.729583,29.67,29.67,1468,0
HECA.US,5,20260128,170000,29.67,29.71,29.67,29.7,750,0
HECA.US,5,20260128,170500,29.76,29.76,29.67,29.67,1500,0
HECA.US,5,20260128,171000,29.67,29.71,29.67,29.71,1037,0
HECA.US,5,20260128,171500,29.67,29.685,29.67,29.685,2105,0
HECA.US,5,20260128,172000,29.6931,29.6931,29.6931,29.6931,127,0
HECA.US,5,20260128,172500,29.685,29.685,29.685,29.685,138,0
HECA.US,5,20260128,173000,29.685,29.71,29.65,29.71,1500,0
HECA.US,5,20260128,173500,29.67,29.68,29.67,29.67,6000,0
HECA.US,5,20260128,174500,29.6082,29.615,29.6047,29.612,2383,0
HECA.US,5,20260128,175000,29.68,29.6999,29.63,29.63,6667,0
HECA.US,5,20260128,175500,29.65,29.75,29.62,29.675,10533,0
HECA.US,5,20260128,180500,29.745,29.7499,29.69,29.7099,13095,0
HECA.US,5,20260128,181000,29.675,29.675,29.64,29.64,1200,0
HECA.US,5,20260128,181500,29.64,29.6552,29.64,29.645,5400,0
HECA.US,5,20260128,182000,29.645,29.66,29.64,29.645,2814,0
HECA.US,5,20260128,182500,29.645,29.645,29.645,29.645,700,0
HECA.US,5,20260128,184000,29.64,29.64,29.625,29.625,1518,0
HECA.US,5,20260128,184500,29.64,29.65,29.64,29.64,1900,0
HECA.US,5,20260128,185000,29.65,29.7,29.6,29.7,1341,0
HECA.US,5,20260128,185500,29.68,29.69,29.61,29.61,4613,0
HECA.US,5,20260128,190000,29.71,29.71,29.695,29.695,492,0
HECA.US,5,20260128,190500,29.7899,29.7899,29.7899,29.7899,300,0
HECA.US,5,20260128,191000,29.6,29.695,29.6,29.695,5317,0
HECA.US,5,20260128,192500,29.695,29.695,29.695,29.695,292,0
HECA.US,5,20260128,193000,29.68,29.7,29.61,29.68,4737,0
