<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HOMB.US,5,20260126,153000,28.38,28.465,28.38,28.465,7428,0
HOMB.US,5,20260126,153500,28.46,28.59,28.46,28.54,2577,0
HOMB.US,5,20260126,154000,28.47,28.48,28.44,28.48,2757,0
HOMB.US,5,20260126,154500,28.5,28.59,28.5,28.525,8952,0
HOMB.US,5,20260126,155000,28.525,28.55,28.48,28.48,13121,0
HOMB.US,5,20260126,155500,28.475,28.475,28.34,28.34,11313,0
HOMB.US,5,20260126,160000,28.35,28.39,28.34,28.36,8213,0
HOMB.US,5,20260126,160500,28.37,28.39,28.345,28.36,2187,0
HOMB.US,5,20260126,161000,28.36,28.395,28.36,28.38,8954,0
HOMB.US,5,20260126,161500,28.39,28.42,28.375,28.42,8085,0
HOMB.US,5,20260126,162000,28.43,28.445,28.4,28.41,6009,0
HOMB.US,5,20260126,162500,28.4,28.41,28.32,28.33,11346,0
HOMB.US,5,20260126,163000,28.31,28.36,28.3,28.35,4589,0
HOMB.US,5,20260126,163500,28.36,28.38,28.335,28.34,4913,0
HOMB.US,5,20260126,164000,28.34,28.34,28.28,28.3,7262,0
HOMB.US,5,20260126,164500,28.3,28.33,28.28,28.29,7452,0
HOMB.US,5,20260126,165000,28.3,28.325,28.29,28.32,5689,0
HOMB.US,5,20260126,165500,28.33,28.33,28.29,28.3,4087,0
HOMB.US,5,20260126,170000,28.29,28.3,28.25,28.26,5258,0
HOMB.US,5,20260126,170500,28.275,28.275,28.23,28.25,3569,0
HOMB.US,5,20260126,171000,28.255,28.255,28.22,28.22,5888,0
HOMB.US,5,20260126,171500,28.21,28.21,28.19,28.21,2747,0
HOMB.US,5,20260126,172000,28.21,28.22,28.185,28.185,5504,0
HOMB.US,5,20260126,172500,28.19,28.23,28.185,28.225,7614,0
HOMB.US,5,20260126,173000,28.225,28.225,28.165,28.22,7273,0
HOMB.US,5,20260126,173500,28.23,28.23,28.185,28.2,5730,0
HOMB.US,5,20260126,174000,28.2,28.2,28.165,28.17,3518,0
HOMB.US,5,20260126,174500,28.16,28.16,28.135,28.15,5106,0
HOMB.US,5,20260126,175000,28.15,28.165,28.14,28.165,3195,0
HOMB.US,5,20260126,175500,28.16,28.16,28.135,28.145,5076,0
HOMB.US,5,20260126,180000,28.14,28.17,28.135,28.155,8128,0
HOMB.US,5,20260126,180500,28.155,28.19,28.145,28.18,3415,0
HOMB.US,5,20260126,181000,28.17,28.17,28.14,28.165,7315,0
HOMB.US,5,20260126,181500,28.165,28.19,28.165,28.185,1005,0
HOMB.US,5,20260126,182000,28.18,28.205,28.175,28.185,4759,0
HOMB.US,5,20260126,182500,28.18,28.22,28.18,28.22,1941,0
HOMB.US,5,20260126,183000,28.23,28.23,28.215,28.225,4774,0
HOMB.US,5,20260126,183500,28.225,28.235,28.195,28.225,5900,0
HOMB.US,5,20260126,184000,28.225,28.255,28.225,28.25,5725,0
HOMB.US,5,20260126,184500,28.25,28.25,28.21,28.22,5620,0
HOMB.US,5,20260126,185000,28.22,28.22,28.2001,28.21,10064,0
HOMB.US,5,20260126,185500,28.205,28.2197,28.205,28.2197,1800,0
HOMB.US,5,20260126,190000,28.21,28.23,28.21,28.22,7647,0
HOMB.US,5,20260126,190500,28.215,28.23,28.2,28.22,8533,0
HOMB.US,5,20260126,191000,28.22,28.235,28.215,28.22,4011,0
HOMB.US,5,20260126,191500,28.225,28.265,28.225,28.265,3918,0
HOMB.US,5,20260126,192000,28.27,28.3,28.27,28.3,2634,0
HOMB.US,5,20260126,192500,28.31,28.315,28.25,28.265,9259,0
HOMB.US,5,20260126,193000,28.26,28.27,28.25,28.27,3706,0
HOMB.US,5,20260126,193500,28.27,28.27,28.235,28.26,5379,0
HOMB.US,5,20260126,194000,28.26,28.285,28.26,28.28,2410,0
HOMB.US,5,20260126,194500,28.27,28.29,28.27,28.275,7642,0
HOMB.US,5,20260126,195000,28.28,28.295,28.275,28.295,3619,0
HOMB.US,5,20260126,195500,28.28,28.285,28.27,28.28,6226,0
HOMB.US,5,20260126,200000,28.285,28.33,28.27,28.33,8089,0
HOMB.US,5,20260126,200500,28.33,28.365,28.32,28.365,5220,0
HOMB.US,5,20260126,201000,28.36,28.41,28.36,28.4,3804,0
HOMB.US,5,20260126,201500,28.405,28.42,28.39,28.411,4843,0
HOMB.US,5,20260126,202000,28.41,28.435,28.4,28.415,5939,0
HOMB.US,5,20260126,202500,28.42,28.455,28.42,28.455,2764,0
HOMB.US,5,20260126,203000,28.46,28.485,28.46,28.47,4507,0
HOMB.US,5,20260126,203500,28.475,28.475,28.44,28.455,11775,0
HOMB.US,5,20260126,204000,28.455,28.455,28.42,28.435,6219,0
HOMB.US,5,20260126,204500,28.435,28.475,28.435,28.46,7330,0
HOMB.US,5,20260126,205000,28.46,28.475,28.45,28.465,9329,0
HOMB.US,5,20260126,205500,28.47,28.48,28.465,28.48,7290,0
HOMB.US,5,20260126,210000,28.49,28.535,28.485,28.53,7978,0
HOMB.US,5,20260126,210500,28.535,28.59,28.535,28.58,8898,0
