<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HTFC.US,5,20260126,160500,24.95,24.95,24.95,24.95,100,0
HTFC.US,5,20260126,185500,24.95,24.95,24.9499,24.9499,1712,0
HTFC.US,5,20260126,194000,24.99,24.99,24.99,24.99,1918,0
HTFC.US,5,20260126,194500,24.99,24.99,24.9899,24.9899,200,0
HTFC.US,5,20260126,211000,24.96,24.98,24.9594,24.9594,400,0
HTFC.US,5,20260127,154500,24.945,24.945,24.945,24.945,400,0
HTFC.US,5,20260127,161000,24.98,24.98,24.943,24.943,1999,0
HTFC.US,5,20260127,211500,24.95,24.95,24.95,24.95,225,0
HTFC.US,5,20260128,180500,24.9765,24.9765,24.9765,24.9765,100,0
HTFC.US,5,20260128,190000,24.95,24.95,24.95,24.95,100,0
HTFC.US,5,20260128,205500,24.9051,24.9051,24.9051,24.9051,1000,0
HTFC.US,5,20260128,215500,24.95,24.95,24.95,24.95,100,0
HTFC.US,5,20260129,164000,24.98,24.98,24.98,24.98,100,0
HTFC.US,5,20260129,170000,24.91,24.91,24.91,24.91,340,0
HTFC.US,5,20260129,200500,24.98,24.98,24.98,24.98,200,0
HTFC.US,5,20260130,174500,24.98,24.98,24.98,24.98,100,0
HTFC.US,5,20260130,180000,24.89,24.89,24.89,24.89,5000,0
HTFC.US,5,20260130,181000,24.8765,24.8765,24.8765,24.8765,100,0
HTFC.US,5,20260130,181500,24.89,24.89,24.89,24.89,300,0
HTFC.US,5,20260130,193500,24.9396,24.9396,24.9396,24.9396,100,0
HTFC.US,5,20260202,160500,24.935,24.94,24.935,24.935,400,0
HTFC.US,5,20260202,161500,24.94,24.94,24.94,24.94,400,0
HTFC.US,5,20260202,162500,24.89,24.89,24.89,24.89,100,0
HTFC.US,5,20260202,165500,24.9,24.9,24.9,24.9,100,0
HTFC.US,5,20260202,193000,24.89,24.89,24.89,24.89,100,0
HTFC.US,5,20260202,211000,24.935,24.935,24.935,24.935,300,0
HTFC.US,5,20260202,213500,24.89,24.89,24.89,24.89,125,0
HTFC.US,5,20260203,161500,24.945,24.945,24.945,24.945,100,0
HTFC.US,5,20260203,174000,24.95,24.955,24.94,24.955,2300,0
HTFC.US,5,20260203,175500,24.93,24.9302,24.93,24.9301,900,0
HTFC.US,5,20260203,182000,24.93,24.93,24.93,24.93,200,0
HTFC.US,5,20260203,184000,24.955,24.955,24.955,24.955,100,0
HTFC.US,5,20260203,185500,24.93,24.96,24.93,24.96,227,0
HTFC.US,5,20260203,194500,24.93,24.93,24.93,24.93,100,0
HTFC.US,5,20260203,203500,24.93,24.93,24.93,24.93,300,0
HTFC.US,5,20260203,213000,24.93,24.93,24.93,24.93,100,0
HTFC.US,5,20260203,215000,24.9299,24.9299,24.9299,24.9299,100,0
HTFC.US,5,20260204,171500,24.9,24.9,24.9,24.9,300,0
HTFC.US,5,20260204,182000,24.97,24.97,24.97,24.97,100,0
HTFC.US,5,20260204,184500,24.97,24.98,24.97,24.98,4000,0
HTFC.US,5,20260204,193000,24.95,24.95,24.95,24.95,100,0
HTFC.US,5,20260204,202500,24.91,24.91,24.91,24.91,106,0
HTFC.US,5,20260204,213500,24.9202,24.9249,24.9202,24.9249,450,0
HTFC.US,5,20260205,170500,24.99,24.99,24.99,24.99,100,0
HTFC.US,5,20260205,184000,24.9,24.9,24.9,24.9,100,0
HTFC.US,5,20260205,190000,24.9,24.9,24.9,24.9,250,0
HTFC.US,5,20260205,190500,24.915,24.915,24.915,24.915,675,0
HTFC.US,5,20260206,172000,24.95,24.95,24.95,24.95,100,0
HTFC.US,5,20260206,212500,24.95,24.95,24.95,24.95,100,0
HTFC.US,5,20260209,160500,24.9,24.9,24.9,24.9,500,0
HTFC.US,5,20260209,162500,24.8915,24.8915,24.8915,24.8915,2000,0
HTFC.US,5,20260209,192500,24.9,24.9,24.9,24.9,484,0
HTFC.US,5,20260209,193000,24.9,24.9,24.9,24.9,500,0
HTFC.US,5,20260209,200500,24.9,24.9,24.9,24.9,100,0
HTFC.US,5,20260209,203000,24.9,24.9,24.9,24.9,819,0
HTFC.US,5,20260209,204000,24.9,24.9,24.9,24.9,100,0
HTFC.US,5,20260209,211500,24.948,24.95,24.948,24.95,500,0
HTFC.US,5,20260210,155000,24.95,24.95,24.95,24.95,100,0
