<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUBB.US,5,20260126,153000,485.88,487.84,484.32,486.035,3534,0
HUBB.US,5,20260126,153500,484.32,486.035,484.32,485.8625,2045,0
HUBB.US,5,20260126,154000,484.36,485.875,484.36,485.435,1887,0
HUBB.US,5,20260126,154500,485.435,487.4,484.86,486.065,2628,0
HUBB.US,5,20260126,155000,486.015,486.075,485.38,485.84,856,0
HUBB.US,5,20260126,155500,484.87,485.41,482.4,483.2,1279,0
HUBB.US,5,20260126,160000,483.205,484.86,483.205,484,2010,0
HUBB.US,5,20260126,160500,484.86,485.21,484.415,485.11,2269,0
HUBB.US,5,20260126,161000,485.11,486.26,484.72,485.8825,2734,0
HUBB.US,5,20260126,161500,485.82,487.17,485.8,486.495,799,0
HUBB.US,5,20260126,162000,486.85,486.85,485.779,486.255,1355,0
HUBB.US,5,20260126,162500,486.255,486.255,484.89,484.89,1895,0
HUBB.US,5,20260126,163000,484.9,485.62,484.33,485.36,5190,0
HUBB.US,5,20260126,163500,485.335,485.335,484.36,484.9684,1469,0
HUBB.US,5,20260126,164000,484.865,484.88,483.68,483.68,2876,0
HUBB.US,5,20260126,164500,484.25,485.135,484.25,484.45,2100,0
HUBB.US,5,20260126,165000,484.97,485.2,484.3625,484.8,3878,0
HUBB.US,5,20260126,165500,484.8,484.8,483.89,484.055,1456,0
HUBB.US,5,20260126,170000,483.855,484.305,483.76,483.76,1008,0
HUBB.US,5,20260126,170500,483.73,484.235,483.3215,483.785,1815,0
HUBB.US,5,20260126,171000,483.785,483.89,483.355,483.775,1047,0
HUBB.US,5,20260126,171500,483.745,484.21,483.745,483.8075,160,0
HUBB.US,5,20260126,172000,483.77,484.22,483.48,483.77,957,0
HUBB.US,5,20260126,172500,483.77,484.26,483.425,483.425,2138,0
HUBB.US,5,20260126,173000,483.79,484.59,483.785,484.3425,1026,0
HUBB.US,5,20260126,173500,484.245,484.255,483.8,483.8,736,0
HUBB.US,5,20260126,174000,483.78,484.295,483.5,483.895,3331,0
HUBB.US,5,20260126,174500,483.495,483.495,483,483,250,0
HUBB.US,5,20260126,175000,483.105,483.64,483.105,483.3,798,0
HUBB.US,5,20260126,175500,483.3,483.38,482.89,483.13,970,0
HUBB.US,5,20260126,180000,483.235,483.235,482.51,483.015,320,0
HUBB.US,5,20260126,180500,483.07,483.3,483.02,483.07,788,0
HUBB.US,5,20260126,181000,483.075,483.74,482.88,483.74,2248,0
HUBB.US,5,20260126,181500,483.555,483.555,483.555,483.555,40,0
HUBB.US,5,20260126,182000,483.6175,484.535,483.6175,484.36,637,0
HUBB.US,5,20260126,182500,484.355,484.695,483.9701,484.525,1552,0
HUBB.US,5,20260126,183000,484.525,484.98,484.34,484.34,2230,0
HUBB.US,5,20260126,183500,484.38,484.7646,484.34,484.5,2540,0
HUBB.US,5,20260126,184000,484.36,484.395,484.145,484.38,240,0
HUBB.US,5,20260126,184500,484.435,484.44,484.435,484.44,327,0
HUBB.US,5,20260126,185000,484.47,484.47,484.47,484.47,88,0
