<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBCB.US,5,20260326,161500,24.92,24.92,24.92,24.92,2000,0
IBCB.US,5,20260326,173000,24.88,24.88,24.88,24.88,1000,0
IBCB.US,5,20260326,184000,24.83,24.83,24.83,24.83,1000,0
IBCB.US,5,20260326,200500,24.8891,24.8891,24.8891,24.8891,380,0
IBCB.US,5,20260326,203000,24.835,24.835,24.835,24.835,1246,0
IBCB.US,5,20260326,205000,24.86,24.86,24.86,24.86,100,0
IBCB.US,5,20260327,144000,24.7,24.709,24.7,24.709,400,0
IBCB.US,5,20260327,144500,24.71,24.71,24.71,24.71,500,0
IBCB.US,5,20260327,145000,24.71,24.71,24.71,24.71,200,0
IBCB.US,5,20260327,173500,24.755,24.755,24.755,24.755,412,0
IBCB.US,5,20260327,175500,24.755,24.755,24.755,24.755,605,0
IBCB.US,5,20260327,180000,24.76,24.77,24.75,24.75,7800,0
IBCB.US,5,20260327,180500,24.75,24.76,24.75,24.76,988,0
IBCB.US,5,20260327,181000,24.748,24.75,24.74,24.75,900,0
IBCB.US,5,20260327,181500,24.75,24.75,24.75,24.75,100,0
IBCB.US,5,20260327,184000,24.75,24.75,24.75,24.75,200,0
IBCB.US,5,20260327,193500,24.72,24.72,24.72,24.72,100,0
IBCB.US,5,20260327,200500,24.71,24.7198,24.71,24.71,1300,0
IBCB.US,5,20260327,204000,24.72,24.72,24.72,24.72,100,0
IBCB.US,5,20260330,154000,24.87,24.9,24.87,24.88,14274,0
IBCB.US,5,20260330,154500,24.885,24.885,24.885,24.885,1608,0
IBCB.US,5,20260330,155000,24.9,24.9,24.9,24.9,100,0
IBCB.US,5,20260330,160000,24.92,24.92,24.92,24.92,100,0
IBCB.US,5,20260330,162000,24.9,24.9,24.9,24.9,200,0
IBCB.US,5,20260330,163000,24.9,24.9,24.9,24.9,200,0
IBCB.US,5,20260330,163500,24.9,24.9,24.9,24.9,240,0
IBCB.US,5,20260330,165500,24.93,24.94,24.93,24.94,400,0
IBCB.US,5,20260330,172500,24.94,24.94,24.94,24.94,100,0
IBCB.US,5,20260330,174000,24.94,24.94,24.94,24.94,100,0
IBCB.US,5,20260330,192000,24.91,24.91,24.91,24.91,100,0
IBCB.US,5,20260330,193000,24.91,24.91,24.91,24.91,100,0
IBCB.US,5,20260330,194500,24.91,24.91,24.91,24.91,1000,0
IBCB.US,5,20260330,213500,24.9,24.9,24.9,24.9,900,0
IBCB.US,5,20260330,214000,24.9,24.9,24.9,24.9,700,0
IBCB.US,5,20260331,153000,25.02,25.02,25.02,25.02,1000,0
IBCB.US,5,20260331,154500,25,25.02,24.9999,24.9999,340,0
IBCB.US,5,20260331,182000,24.98,24.98,24.98,24.98,2250,0
IBCB.US,5,20260331,182500,24.99,24.99,24.99,24.99,600,0
IBCB.US,5,20260331,185000,25.04,25.04,25.04,25.04,100,0
IBCB.US,5,20260331,185500,25.05,25.05,25.0499,25.0499,1600,0
IBCB.US,5,20260331,191000,25.04,25.04,25.04,25.04,100,0
IBCB.US,5,20260331,193500,25.06,25.06,25.05,25.05,600,0
IBCB.US,5,20260331,194000,25.04,25.04,25.04,25.04,100,0
IBCB.US,5,20260331,195500,25.04,25.04,25.04,25.04,400,0
IBCB.US,5,20260331,204000,25.05,25.06,25.05,25.0599,1600,0
IBCB.US,5,20260331,204500,25.025,25.025,25.025,25.025,1000,0
IBCB.US,5,20260331,205500,25.0584,25.0584,25.0584,25.0584,1400,0
