<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INFO.US,5,20260126,172000,24.84,24.84,24.84,24.84,300,0
INFO.US,5,20260126,182000,24.88,24.88,24.88,24.88,606,0
INFO.US,5,20260126,204000,24.9,24.9,24.9,24.9,400,0
INFO.US,5,20260126,205500,24.895,24.895,24.895,24.895,157,0
INFO.US,5,20260126,210000,24.8802,24.8802,24.8802,24.8802,178,0
INFO.US,5,20260126,214000,24.89,24.89,24.89,24.89,579,0
INFO.US,5,20260126,214500,24.89,24.89,24.89,24.89,500,0
INFO.US,5,20260127,153500,24.911,24.9125,24.911,24.9125,317,0
INFO.US,5,20260127,182500,25.04,25.04,25.04,25.04,100,0
INFO.US,5,20260127,190000,25.03,25.03,25.03,25.03,100,0
INFO.US,5,20260127,201000,25.05,25.06,25.05,25.06,400,0
INFO.US,5,20260127,205500,25.07,25.07,25.07,25.07,100,0
INFO.US,5,20260127,210000,25.0401,25.05,25.03,25.03,820,0
INFO.US,5,20260127,215500,25.05,25.05,25.04,25.04,1300,0
INFO.US,5,20260128,153000,25.05,25.05,25.05,25.05,330,0
INFO.US,5,20260128,162500,25.06,25.06,25.06,25.06,558,0
INFO.US,5,20260128,184500,25.02,25.02,25.02,25.02,179,0
INFO.US,5,20260128,200000,25.02,25.02,25.01,25.01,200,0
INFO.US,5,20260128,205000,25.0599,25.06,25.05,25.05,1522,0
INFO.US,5,20260128,205500,25.05,25.05,25.05,25.05,100,0
INFO.US,5,20260128,211000,25.04,25.05,25.04,25.05,843,0
INFO.US,5,20260128,213500,25.05,25.05,25.05,25.05,200,0
INFO.US,5,20260128,214000,25.05,25.05,25.05,25.05,390,0
INFO.US,5,20260128,215000,25.05,25.06,25.05,25.06,300,0
INFO.US,5,20260129,155500,24.96,24.96,24.96,24.96,2190,0
INFO.US,5,20260129,161000,24.8,24.8,24.8,24.8,100,0
INFO.US,5,20260129,161500,24.81,24.81,24.81,24.81,246,0
INFO.US,5,20260129,162000,24.8258,24.8258,24.8258,24.8258,1138,0
INFO.US,5,20260129,181500,24.82,24.82,24.82,24.82,178,0
INFO.US,5,20260129,184500,24.8325,24.8325,24.8325,24.8325,100,0
INFO.US,5,20260129,190500,24.84,24.84,24.84,24.84,700,0
INFO.US,5,20260129,210000,24.8501,24.8501,24.85,24.85,1828,0
INFO.US,5,20260129,213500,24.91,24.91,24.91,24.91,108,0
INFO.US,5,20260129,214000,24.92,24.92,24.92,24.92,8043,0
INFO.US,5,20260129,215000,24.96,24.96,24.96,24.96,100,0
INFO.US,5,20260129,215500,24.99,25.01,24.99,25.01,200,0
INFO.US,5,20260130,161000,24.93,24.93,24.93,24.93,1896,0
INFO.US,5,20260130,162500,24.87,24.87,24.87,24.87,100,0
INFO.US,5,20260130,163500,24.88,24.88,24.88,24.88,100,0
INFO.US,5,20260130,201500,24.86,24.86,24.86,24.86,200,0
INFO.US,5,20260130,202000,24.87,24.87,24.87,24.87,300,0
INFO.US,5,20260130,204000,24.84,24.84,24.84,24.84,100,0
INFO.US,5,20260130,212500,24.766,24.79,24.766,24.79,469,0
INFO.US,5,20260130,213000,24.79,24.79,24.79,24.79,5178,0
INFO.US,5,20260130,214000,24.79,24.79,24.79,24.79,200,0
INFO.US,5,20260130,215500,24.89,24.89,24.89,24.89,100,0
INFO.US,5,20260202,162500,24.999,24.999,24.94,24.9898,2587,0
INFO.US,5,20260202,164000,25.01,25.01,25.01,25.01,100,0
INFO.US,5,20260202,173500,24.99,24.99,24.99,24.99,100,0
INFO.US,5,20260202,175500,24.98,25.01,24.98,25.01,2300,0
INFO.US,5,20260202,180000,25.01,25.01,25.01,25.01,200,0
INFO.US,5,20260202,210000,23.8,24.5,23.8,24.5,309,0
INFO.US,5,20260202,211500,25.25,25.25,25.02,25.02,200,0
INFO.US,5,20260202,214500,25,25,24.98,24.98,674,0
INFO.US,5,20260203,154000,25.04,25.04,25.02,25.02,200,0
INFO.US,5,20260203,154500,25.01,25.01,25.01,25.01,100,0
INFO.US,5,20260203,155000,25.03,25.03,25.03,25.03,108,0
INFO.US,5,20260203,155500,25.02,25.02,24.9499,24.9499,913,0
INFO.US,5,20260203,160000,24.92,24.92,24.92,24.92,300,0
INFO.US,5,20260203,160500,24.9,24.9,24.9,24.9,288,0
INFO.US,5,20260203,161500,24.88,24.88,24.88,24.88,300,0
INFO.US,5,20260203,162000,24.84,24.84,24.84,24.84,384,0
INFO.US,5,20260203,163000,24.87,24.87,24.87,24.87,400,0
INFO.US,5,20260203,163500,24.8401,24.8404,24.84,24.8404,4173,0
INFO.US,5,20260203,164500,24.9,24.9,24.8881,24.8881,201,0
INFO.US,5,20260203,165000,24.91,24.91,24.91,24.91,384,0
INFO.US,5,20260203,170000,24.93,24.93,24.93,24.93,400,0
INFO.US,5,20260203,171000,24.9,24.9,24.9,24.9,400,0
INFO.US,5,20260203,172000,24.89,24.89,24.89,24.89,424,0
INFO.US,5,20260203,172500,24.86,24.86,24.86,24.86,500,0
INFO.US,5,20260203,174000,24.85,24.85,24.85,24.85,448,0
INFO.US,5,20260203,174500,24.85,24.85,24.85,24.85,100,0
INFO.US,5,20260203,175000,24.85,24.85,24.845,24.845,1950,0
INFO.US,5,20260203,180000,24.83,24.83,24.83,24.83,384,0
INFO.US,5,20260203,181000,24.79,24.79,24.79,24.79,600,0
INFO.US,5,20260203,182000,24.77,24.77,24.77,24.77,192,0
INFO.US,5,20260203,182500,24.7999,24.7999,24.76,24.76,400,0
INFO.US,5,20260203,184000,24.715,24.715,24.715,24.715,384,0
INFO.US,5,20260203,185000,24.74,24.74,24.715,24.715,500,0
INFO.US,5,20260203,190500,24.72,24.72,24.72,24.72,432,0
INFO.US,5,20260203,191000,24.705,24.705,24.69,24.69,400,0
INFO.US,5,20260203,191500,24.69,24.69,24.69,24.69,100,0
INFO.US,5,20260203,193000,24.66,24.66,24.66,24.66,400,0
INFO.US,5,20260203,194500,24.64,24.64,24.64,24.64,432,0
