<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INVG.US,5,20260126,155500,25.85,25.85,25.85,25.85,193,0
INVG.US,5,20260126,205500,25.85,25.85,25.8499,25.85,430,0
INVG.US,5,20260126,214500,25.84,25.84,25.825,25.825,200,0
INVG.US,5,20260127,182000,25.815,25.815,25.815,25.815,500,0
INVG.US,5,20260127,195000,25.815,25.815,25.815,25.815,900,0
INVG.US,5,20260127,203000,25.805,25.805,25.805,25.805,200,0
INVG.US,5,20260128,154500,25.785,25.785,25.785,25.785,100,0
INVG.US,5,20260128,155000,25.785,25.785,25.785,25.785,1000,0
INVG.US,5,20260128,164500,25.785,25.785,25.785,25.785,417,0
INVG.US,5,20260128,211500,25.809,25.81,25.809,25.8099,484,0
INVG.US,5,20260128,213500,25.8094,25.8094,25.8094,25.8094,1000,0
INVG.US,5,20260129,162000,25.74,25.7401,25.74,25.7401,600,0
INVG.US,5,20260129,185000,25.8,25.8,25.8,25.8,572,0
INVG.US,5,20260129,192000,25.8,25.8,25.8,25.8,100,0
INVG.US,5,20260129,192500,25.8,25.8,25.8,25.8,100,0
INVG.US,5,20260129,193000,25.81,25.81,25.81,25.81,200,0
INVG.US,5,20260129,193500,25.81,25.81,25.81,25.81,100,0
INVG.US,5,20260129,194000,25.81,25.81,25.81,25.81,400,0
INVG.US,5,20260129,194500,25.795,25.795,25.795,25.795,100,0
INVG.US,5,20260129,195000,25.81,25.81,25.81,25.81,300,0
INVG.US,5,20260129,195500,25.81,25.81,25.81,25.81,100,0
INVG.US,5,20260129,214500,25.8,25.8,25.8,25.8,101,0
INVG.US,5,20260130,215500,25.725,25.725,25.725,25.725,147,0
INVG.US,5,20260204,214000,25.6635,25.6635,25.6635,25.6635,100,0
INVG.US,5,20260204,215000,25.6799,25.6799,25.6799,25.6799,100,0
INVG.US,5,20260206,182000,25.76,25.76,25.74,25.7401,520,0
INVG.US,5,20260209,204500,25.78,25.78,25.78,25.78,637,0
INVG.US,5,20260209,205000,25.79,25.79,25.7899,25.7899,2400,0
INVG.US,5,20260209,215500,25.79,25.79,25.79,25.79,300,0
INVG.US,5,20260210,183500,25.835,25.8496,25.835,25.8496,3000,0
INVG.US,5,20260210,184000,25.85,25.85,25.85,25.85,100,0
INVG.US,5,20260210,211000,25.839,25.839,25.839,25.839,263,0
INVG.US,5,20260211,184000,25.85,25.85,25.85,25.85,100,0
INVG.US,5,20260211,211000,25.83,25.83,25.83,25.83,5283,0
INVG.US,5,20260212,153000,25.87,25.87,25.86,25.86,17570,0
INVG.US,5,20260212,161500,25.87,25.87,25.87,25.87,100,0
INVG.US,5,20260212,181500,25.89,25.89,25.89,25.89,100,0
INVG.US,5,20260212,190000,25.89,25.89,25.89,25.89,100,0
INVG.US,5,20260212,195500,25.91,25.91,25.91,25.91,100,0
INVG.US,5,20260212,203000,25.92,25.92,25.92,25.92,100,0
INVG.US,5,20260212,210000,25.92,25.92,25.92,25.92,100,0
INVG.US,5,20260212,212500,25.92,25.92,25.92,25.92,100,0
INVG.US,5,20260212,213000,25.92,25.92,25.92,25.92,100,0
INVG.US,5,20260212,214000,25.91,25.91,25.91,25.91,100,0
INVG.US,5,20260212,215000,25.91,25.91,25.91,25.91,100,0
INVG.US,5,20260212,215500,25.91,25.91,25.91,25.91,100,0
INVG.US,5,20260213,210000,25.96,25.96,25.96,25.96,100,0
INVG.US,5,20260217,194500,25.96,25.96,25.96,25.96,508,0
INVG.US,5,20260218,193000,25.9699,25.97,25.9699,25.97,200,0
INVG.US,5,20260218,203500,25.96,25.96,25.96,25.96,468,0
INVG.US,5,20260219,192000,25.969,25.97,25.969,25.969,637,0
INVG.US,5,20260219,215500,25.98,25.98,25.98,25.98,100,0
INVG.US,5,20260220,185000,25.98,25.98,25.98,25.98,100,0
INVG.US,5,20260220,215000,25.99,25.99,25.99,25.99,200,0
INVG.US,5,20260220,215500,25.99,25.99,25.99,25.99,100,0
INVG.US,5,20260223,182000,26,26,25.99,25.99,1500,0
INVG.US,5,20260223,195000,26.0006,26.0006,26.0006,26.0006,250,0
INVG.US,5,20260224,214500,25.98,25.98,25.98,25.98,100,0
INVG.US,5,20260225,194500,25.98,25.98,25.98,25.98,100,0
INVG.US,5,20260225,200000,25.9899,25.99,25.9899,25.9899,600,0
INVG.US,5,20260227,180500,25.9841,25.9841,25.9841,25.9841,400,0
INVG.US,5,20260304,174500,25.79,25.79,25.79,25.79,193,0
INVG.US,5,20260304,181500,25.83,25.83,25.83,25.83,387,0
INVG.US,5,20260304,194000,25.8113,25.8113,25.8113,25.8113,129,0
INVG.US,5,20260305,170000,25.68,25.68,25.68,25.68,100,0
INVG.US,5,20260306,165500,25.64,25.64,25.64,25.64,100,0
INVG.US,5,20260306,172000,25.63,25.63,25.63,25.63,100,0
INVG.US,5,20260306,215500,25.635,25.64,25.635,25.64,379,0
INVG.US,5,20260309,200000,25.67,25.67,25.67,25.67,600,0
INVG.US,5,20260310,183000,25.72,25.72,25.7199,25.7199,1298,0
INVG.US,5,20260310,183500,25.7,25.705,25.7,25.705,374,0
INVG.US,5,20260310,190500,25.7,25.7,25.7,25.7,258,0
INVG.US,5,20260310,191500,25.7,25.7,25.7,25.7,200,0
INVG.US,5,20260310,200500,25.6461,25.65,25.6461,25.6461,1176,0
INVG.US,5,20260310,203000,25.64,25.64,25.64,25.64,215,0
INVG.US,5,20260310,204500,25.64,25.64,25.64,25.64,417,0
INVG.US,5,20260310,205500,25.64,25.64,25.64,25.64,178,0
INVG.US,5,20260311,161500,25.49,25.495,25.49,25.495,701,0
INVG.US,5,20260311,165000,25.5,25.5,25.49,25.49,228,0
INVG.US,5,20260311,170000,25.49,25.49,25.49,25.49,120,0
INVG.US,5,20260311,172000,25.49,25.49,25.43,25.43,813,0
INVG.US,5,20260311,180500,25.42,25.42,25.42,25.42,110,0
INVG.US,5,20260312,170500,25.34,25.34,25.34,25.34,100,0
INVG.US,5,20260312,171000,25.31,25.31,25.31,25.31,120,0
INVG.US,5,20260312,195500,25.28,25.28,25.28,25.28,100,0
INVG.US,5,20260313,160000,25.33,25.33,25.33,25.33,100,0
INVG.US,5,20260313,173000,25.25,25.25,25.25,25.25,100,0
INVG.US,5,20260313,181500,25.18,25.1801,25.18,25.1801,1922,0
INVG.US,5,20260313,190000,25.2,25.2,25.2,25.2,821,0
INVG.US,5,20260313,201500,25.22,25.22,25.1901,25.1901,250,0
INVG.US,5,20260316,172000,25.32,25.32,25.32,25.32,100,0
INVG.US,5,20260316,202500,25.31,25.31,25.31,25.31,4977,0
INVG.US,5,20260317,205500,25.44,25.44,25.44,25.44,681,0
INVG.US,5,20260318,184000,25.41,25.41,25.41,25.41,6618,0
INVG.US,5,20260318,195000,25.4,25.4,25.4,25.4,100,0
INVG.US,5,20260319,183500,25.34,25.3401,25.34,25.3401,200,0
INVG.US,5,20260319,202500,25.39,25.39,25.39,25.39,548,0
INVG.US,5,20260320,154000,25.22,25.22,25.22,25.22,100,0
INVG.US,5,20260320,173500,25.19,25.19,25.19,25.19,538,0
INVG.US,5,20260323,182000,25.23,25.24,25.23,25.24,615,0
INVG.US,5,20260325,170500,25.35,25.35,25.35,25.35,392,0
INVG.US,5,20260325,183000,25.34,25.3401,25.34,25.3401,200,0
INVG.US,5,20260326,194000,25.18,25.18,25.1799,25.1799,800,0
INVG.US,5,20260327,164000,25.1,25.1,25.1,25.1,100,0
INVG.US,5,20260327,172000,25.12,25.12,25.12,25.12,1515,0
INVG.US,5,20260408,210500,25.45,25.45,25.45,25.45,11779,0
INVG.US,5,20260409,201000,25.5,25.5,25.5,25.5,414,0
INVG.US,5,20260413,155000,25.45,25.45,25.45,25.45,103,0
INVG.US,5,20260413,201000,25.52,25.52,25.5199,25.5199,720,0
INVG.US,5,20260415,185500,25.57,25.57,25.57,25.57,1282,0
INVG.US,5,20260416,212500,25.52,25.52,25.52,25.52,200,0
INVG.US,5,20260417,210000,25.61,25.61,25.61,25.61,3511,0
INVG.US,5,20260420,153000,25.64,25.64,25.64,25.64,200,0
INVG.US,5,20260420,195500,25.61,25.61,25.61,25.61,1192,0
INVG.US,5,20260422,201000,25.59,25.59,25.59,25.59,100,0
INVG.US,5,20260424,185500,25.5699,25.57,25.5699,25.57,311,0
INVG.US,5,20260424,204000,25.55,25.55,25.55,25.55,290,0
INVG.US,5,20260428,170000,25.47,25.47,25.47,25.47,25000,0
INVG.US,5,20260429,154000,25.44,25.44,25.44,25.44,25000,0
INVG.US,5,20260429,163500,25.43,25.43,25.43,25.43,10000,0
INVG.US,5,20260429,171500,25.41,25.41,25.41,25.41,10000,0
INVG.US,5,20260429,210000,25.4,25.4,25.4,25.4,15000,0
INVG.US,5,20260430,212500,25.34,25.36,25.3398,25.3599,8396,0
INVG.US,5,20260430,215500,25.33,25.33,25.33,25.33,100,0
INVG.US,5,20260504,202500,25.28,25.28,25.28,25.28,498,0
