<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVZ.US,5,20260126,153000,28.56,28.69,28.485,28.645,8660,0
IVZ.US,5,20260126,153500,28.635,28.78,28.62,28.63,16579,0
IVZ.US,5,20260126,154000,28.625,28.6438,28.53,28.56,31948,0
IVZ.US,5,20260126,154500,28.56,28.73,28.56,28.73,74110,0
IVZ.US,5,20260126,155000,28.72,28.73,28.6858,28.71,24137,0
IVZ.US,5,20260126,155500,28.71,28.73,28.636,28.695,42413,0
IVZ.US,5,20260126,160000,28.7,28.77,28.68,28.75,66705,0
IVZ.US,5,20260126,160500,28.74,28.77,28.695,28.71,75656,0
IVZ.US,5,20260126,161000,28.7,28.73,28.65,28.73,42808,0
IVZ.US,5,20260126,161500,28.735,28.745,28.68,28.745,51804,0
IVZ.US,5,20260126,162000,28.745,28.785,28.74,28.75,38753,0
IVZ.US,5,20260126,162500,28.75,28.755,28.615,28.625,44455,0
IVZ.US,5,20260126,163000,28.62,28.72,28.605,28.72,34098,0
IVZ.US,5,20260126,163500,28.715,28.715,28.65,28.66,38908,0
IVZ.US,5,20260126,164000,28.655,28.655,28.61,28.63,29119,0
IVZ.US,5,20260126,164500,28.63,28.695,28.625,28.665,49561,0
IVZ.US,5,20260126,165000,28.67,28.705,28.64,28.695,32925,0
IVZ.US,5,20260126,165500,28.695,28.695,28.62,28.655,61143,0
IVZ.US,5,20260126,170000,28.65,28.655,28.58,28.615,37468,0
IVZ.US,5,20260126,170500,28.615,28.63,28.545,28.565,72125,0
IVZ.US,5,20260126,171000,28.565,28.57,28.535,28.545,32995,0
IVZ.US,5,20260126,171500,28.545,28.575,28.535,28.575,41713,0
IVZ.US,5,20260126,172000,28.579,28.635,28.575,28.6,37819,0
IVZ.US,5,20260126,172500,28.595,28.605,28.57,28.585,40733,0
IVZ.US,5,20260126,173000,28.59,28.61,28.555,28.595,36515,0
IVZ.US,5,20260126,173500,28.595,28.63,28.595,28.625,38640,0
IVZ.US,5,20260126,174000,28.625,28.625,28.5845,28.585,33561,0
IVZ.US,5,20260126,174500,28.585,28.61,28.57,28.575,46178,0
IVZ.US,5,20260126,175000,28.57,28.615,28.57,28.61,53218,0
IVZ.US,5,20260126,175500,28.61,28.61,28.585,28.605,24742,0
IVZ.US,5,20260126,180000,28.6,28.605,28.535,28.55,50488,0
IVZ.US,5,20260126,180500,28.55,28.575,28.545,28.565,43946,0
IVZ.US,5,20260126,181000,28.565,28.58,28.54,28.58,26252,0
IVZ.US,5,20260126,181500,28.58,28.585,28.565,28.565,34520,0
IVZ.US,5,20260126,182000,28.575,28.575,28.505,28.51,126350,0
IVZ.US,5,20260126,182500,28.505,28.52,28.5,28.515,33435,0
IVZ.US,5,20260126,183000,28.515,28.545,28.515,28.545,34282,0
IVZ.US,5,20260126,183500,28.545,28.545,28.505,28.51,30904,0
IVZ.US,5,20260126,184000,28.515,28.535,28.495,28.535,29780,0
IVZ.US,5,20260126,184500,28.535,28.55,28.525,28.5446,27417,0
IVZ.US,5,20260126,185000,28.545,28.5575,28.525,28.535,40508,0
IVZ.US,5,20260126,185500,28.535,28.54,28.52,28.52,39592,0
IVZ.US,5,20260126,190000,28.525,28.535,28.515,28.52,44267,0
IVZ.US,5,20260126,190500,28.51,28.53,28.505,28.53,38134,0
IVZ.US,5,20260126,191000,28.525,28.6,28.525,28.6,84252,0
IVZ.US,5,20260126,191500,28.6,28.6,28.565,28.58,42281,0
IVZ.US,5,20260126,192000,28.585,28.6,28.58,28.595,23634,0
IVZ.US,5,20260126,192500,28.6,28.64,28.595,28.625,39192,0
IVZ.US,5,20260126,193000,28.63,28.65,28.615,28.63,39656,0
IVZ.US,5,20260126,193500,28.625,28.635,28.615,28.63,73825,0
IVZ.US,5,20260126,194000,28.63,28.64,28.615,28.635,54675,0
IVZ.US,5,20260126,194500,28.635,28.665,28.625,28.645,48231,0
IVZ.US,5,20260126,195000,28.645,28.655,28.635,28.645,39114,0
IVZ.US,5,20260126,195500,28.645,28.65,28.6201,28.645,47712,0
IVZ.US,5,20260126,200000,28.645,28.68,28.63,28.67,43222,0
IVZ.US,5,20260126,200500,28.665,28.69,28.665,28.685,53600,0
