<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JFLX.US,5,20260126,153000,50.59,50.59,50.59,50.59,100,0
JFLX.US,5,20260126,154500,50.59,50.6,50.59,50.6,200,0
JFLX.US,5,20260126,160500,50.59,50.6,50.59,50.5963,4375,0
JFLX.US,5,20260126,161000,50.59,50.595,50.59,50.595,200,0
JFLX.US,5,20260126,163000,50.61,50.61,50.6,50.6,554,0
JFLX.US,5,20260126,163500,50.61,50.61,50.61,50.61,100,0
JFLX.US,5,20260126,165500,50.61,50.61,50.61,50.61,100,0
JFLX.US,5,20260126,170500,50.595,50.595,50.595,50.595,364,0
JFLX.US,5,20260126,171000,50.6,50.6,50.6,50.6,100,0
JFLX.US,5,20260126,172500,50.6,50.63,50.595,50.595,9755,0
JFLX.US,5,20260126,173500,50.595,50.61,50.595,50.61,1000,0
JFLX.US,5,20260126,174500,50.6,50.6,50.59,50.59,414,0
JFLX.US,5,20260126,175000,50.6,50.61,50.6,50.61,305,0
JFLX.US,5,20260126,175500,50.5801,50.59,50.5801,50.59,1349,0
JFLX.US,5,20260126,180000,50.59,50.59,50.58,50.58,4112,0
JFLX.US,5,20260126,181500,50.58,50.5801,50.58,50.5801,552,0
JFLX.US,5,20260126,182000,50.59,50.59,50.59,50.59,200,0
JFLX.US,5,20260126,182500,50.58,50.59,50.58,50.59,18054,0
JFLX.US,5,20260126,183000,50.59,50.59,50.59,50.59,298,0
JFLX.US,5,20260126,183500,50.58,50.59,50.58,50.59,400,0
JFLX.US,5,20260126,184000,50.59,50.59,50.59,50.59,100,0
JFLX.US,5,20260126,185500,50.58,50.59,50.58,50.59,1318,0
JFLX.US,5,20260126,192500,50.61,50.6199,50.61,50.61,1860,0
JFLX.US,5,20260126,193000,50.62,50.62,50.61,50.61,459,0
JFLX.US,5,20260126,194000,50.61,50.62,50.595,50.62,11469,0
JFLX.US,5,20260126,194500,50.61,50.61,50.61,50.61,100,0
JFLX.US,5,20260126,195500,50.62,50.62,50.62,50.62,100,0
JFLX.US,5,20260126,200000,50.6068,50.6068,50.6068,50.6068,110,0
JFLX.US,5,20260126,202000,50.605,50.605,50.605,50.605,1000,0
JFLX.US,5,20260126,203500,50.6192,50.6192,50.6192,50.6192,2765,0
JFLX.US,5,20260126,204000,50.5925,50.5925,50.5925,50.5925,308,0
JFLX.US,5,20260126,204500,50.62,50.62,50.6,50.6,2737,0
JFLX.US,5,20260126,205500,50.6,50.61,50.6,50.61,1645,0
JFLX.US,5,20260126,210500,50.605,50.61,50.605,50.61,2162,0
JFLX.US,5,20260126,211000,50.6,50.6,50.59,50.6,600,0
JFLX.US,5,20260126,214000,50.603,50.603,50.5993,50.5993,486,0
JFLX.US,5,20260126,214500,50.595,50.595,50.595,50.595,100,0
JFLX.US,5,20260127,153000,50.6,50.6,50.6,50.6,100,0
JFLX.US,5,20260127,154000,50.6,50.6,50.6,50.6,600,0
JFLX.US,5,20260127,154500,50.61,50.61,50.5901,50.5901,1588,0
JFLX.US,5,20260127,155000,50.6,50.6,50.6,50.6,846,0
