<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JHG.US,5,20260126,153000,48,48.07,48,48.01,2386,0
JHG.US,5,20260126,153500,48.07,48.1,48.07,48.07,2124,0
JHG.US,5,20260126,154000,48.07,48.08,48.07,48.08,304,0
JHG.US,5,20260126,154500,48.09,48.135,48.09,48.125,5327,0
JHG.US,5,20260126,155000,48.12,48.12,48.1,48.1,4738,0
JHG.US,5,20260126,155500,48.1,48.105,48.06,48.06,3225,0
JHG.US,5,20260126,160000,48.0517,48.06,48.05,48.06,1739,0
JHG.US,5,20260126,160500,48.055,48.055,48.01,48.01,3091,0
JHG.US,5,20260126,161000,48.01,48.01,47.96,47.97,2654,0
JHG.US,5,20260126,161500,47.94,47.95,47.94,47.9421,1512,0
JHG.US,5,20260126,162500,47.95,47.95,47.925,47.925,1700,0
JHG.US,5,20260126,163000,47.93,47.96,47.92,47.96,5144,0
JHG.US,5,20260126,163500,47.955,47.955,47.95,47.95,600,0
JHG.US,5,20260126,164000,47.94,47.94,47.92,47.92,3600,0
JHG.US,5,20260126,164500,47.92,47.935,47.92,47.93,1722,0
JHG.US,5,20260126,165000,47.93,47.93,47.915,47.92,1700,0
JHG.US,5,20260126,165500,47.915,47.92,47.91,47.91,1300,0
JHG.US,5,20260126,170000,47.91,47.91,47.89,47.905,12466,0
JHG.US,5,20260126,170500,47.91,47.92,47.9,47.91,3999,0
JHG.US,5,20260126,171000,47.905,47.91,47.905,47.91,200,0
JHG.US,5,20260126,171500,47.9,47.915,47.9,47.91,600,0
JHG.US,5,20260126,172000,47.91,47.92,47.91,47.915,500,0
JHG.US,5,20260126,172500,47.915,47.915,47.91,47.91,600,0
JHG.US,5,20260126,173000,47.9,47.91,47.9,47.91,2298,0
JHG.US,5,20260126,173500,47.91,47.9155,47.91,47.9155,1778,0
JHG.US,5,20260126,174000,47.92,47.92,47.91,47.91,2203,0
JHG.US,5,20260126,174500,47.915,47.915,47.915,47.915,100,0
JHG.US,5,20260126,175000,47.92,47.92,47.91,47.915,900,0
JHG.US,5,20260126,175500,47.915,47.915,47.9,47.91,1047,0
JHG.US,5,20260126,180000,47.905,47.91,47.905,47.91,2428,0
JHG.US,5,20260126,180500,47.9191,47.92,47.915,47.915,303,0
JHG.US,5,20260126,181000,47.91,47.91,47.91,47.91,1011,0
JHG.US,5,20260126,181500,47.905,47.91,47.905,47.91,336,0
JHG.US,5,20260126,182000,47.915,47.92,47.915,47.92,369,0
JHG.US,5,20260126,182500,47.915,47.92,47.915,47.915,891,0
JHG.US,5,20260126,183000,47.915,47.92,47.91,47.91,1183,0
JHG.US,5,20260126,183500,47.915,47.92,47.91,47.91,3697,0
JHG.US,5,20260126,184000,47.91,47.91,47.91,47.91,300,0
JHG.US,5,20260126,184500,47.915,47.915,47.91,47.915,889,0
JHG.US,5,20260126,185000,47.91,47.915,47.91,47.915,572,0
JHG.US,5,20260126,185500,47.91,47.915,47.91,47.91,973,0
JHG.US,5,20260126,190000,47.91,47.915,47.91,47.91,1220,0
JHG.US,5,20260126,190500,47.91,47.92,47.91,47.915,1040,0
JHG.US,5,20260126,191000,47.92,47.92,47.915,47.915,500,0
JHG.US,5,20260126,191500,47.92,47.93,47.91,47.93,1700,0
JHG.US,5,20260126,192500,47.925,47.925,47.92,47.925,1400,0
JHG.US,5,20260126,193000,47.93,47.93,47.93,47.93,706,0
JHG.US,5,20260126,193500,47.925,47.925,47.925,47.925,100,0
JHG.US,5,20260126,194000,47.925,47.93,47.92,47.92,1802,0
JHG.US,5,20260126,194500,47.925,47.93,47.925,47.925,600,0
JHG.US,5,20260126,195000,47.925,47.925,47.92,47.92,200,0
JHG.US,5,20260126,195500,47.925,47.925,47.925,47.925,600,0
JHG.US,5,20260126,200000,47.93,47.94,47.93,47.94,1022,0
JHG.US,5,20260126,200500,47.935,47.955,47.935,47.95,2848,0
JHG.US,5,20260126,201000,47.96,47.965,47.95,47.96,908,0
JHG.US,5,20260126,201500,47.955,47.965,47.955,47.965,1308,0
JHG.US,5,20260126,202500,47.955,47.96,47.955,47.96,700,0
JHG.US,5,20260126,203000,47.97,47.97,47.965,47.965,1525,0
JHG.US,5,20260126,203500,47.965,47.965,47.9546,47.9599,5065,0
JHG.US,5,20260126,204000,47.96,47.965,47.96,47.965,685,0
JHG.US,5,20260126,204500,47.965,47.965,47.965,47.965,100,0
JHG.US,5,20260126,205000,47.965,47.965,47.955,47.96,14718,0
JHG.US,5,20260126,205500,47.955,47.9598,47.95,47.9598,2639,0
JHG.US,5,20260126,210000,47.955,47.99,47.955,47.99,10150,0
JHG.US,5,20260126,210500,47.99,48.02,47.99,48.02,5601,0
JHG.US,5,20260126,211000,48.02,48.03,48.015,48.02,3696,0
JHG.US,5,20260126,211500,48.025,48.105,48.025,48.1,16117,0
JHG.US,5,20260126,212000,48.105,48.11,48.085,48.085,5045,0
JHG.US,5,20260126,212500,48.085,48.085,48.055,48.055,8161,0
JHG.US,5,20260126,213000,48.06,48.09,48.06,48.08,14449,0
JHG.US,5,20260126,213500,48.09,48.09,48.08,48.08,3068,0
JHG.US,5,20260126,214000,48.08,48.08,48.06,48.065,10091,0
JHG.US,5,20260126,214500,48.065,48.08,48.06,48.08,10911,0
JHG.US,5,20260126,215000,48.08,48.08,48.05,48.055,24121,0
JHG.US,5,20260126,215500,48.055,48.06,47.95,47.97,616684,0
JHG.US,5,20260127,153000,48.05,48.085,48.01,48.05,14103,0
JHG.US,5,20260127,153500,48.06,48.105,48.04,48.06,8616,0
JHG.US,5,20260127,154000,48.06,48.06,48.05,48.06,3000,0
JHG.US,5,20260127,154500,48.05,48.05,48.03,48.04,6059,0
JHG.US,5,20260127,155000,48.05,48.05,48.03,48.035,17637,0
JHG.US,5,20260127,155500,48.03,48.03,47.96,47.96,12856,0
JHG.US,5,20260127,160000,47.95,47.985,47.945,47.9701,5096,0
JHG.US,5,20260127,160500,47.98,48.005,47.98,48,11417,0
JHG.US,5,20260127,161000,47.99,47.99,47.98,47.99,1620,0
JHG.US,5,20260127,161500,47.985,47.985,47.95,47.96,3708,0
JHG.US,5,20260127,162000,47.95,47.961,47.945,47.961,3544,0
JHG.US,5,20260127,162500,47.95,47.95,47.94,47.95,1310,0
JHG.US,5,20260127,163000,47.95,47.965,47.93,47.94,3496,0
JHG.US,5,20260127,163500,47.935,47.945,47.92,47.93,4277,0
JHG.US,5,20260127,164000,47.93,47.94,47.925,47.94,4774,0
JHG.US,5,20260127,164500,47.95,47.95,47.9484,47.95,907,0
JHG.US,5,20260127,165000,47.955,47.98,47.955,47.98,2560,0
JHG.US,5,20260127,165500,47.97,47.975,47.97,47.975,839,0
JHG.US,5,20260127,170000,47.975,47.98,47.975,47.975,400,0
JHG.US,5,20260127,170500,47.975,47.98,47.96,47.965,2291,0
JHG.US,5,20260127,171000,47.96,47.965,47.955,47.955,4384,0
JHG.US,5,20260127,171500,47.955,47.96,47.955,47.96,600,0
JHG.US,5,20260127,172000,47.97,47.97,47.965,47.965,828,0
JHG.US,5,20260127,172500,47.965,47.965,47.96,47.96,951,0
JHG.US,5,20260127,173000,47.95,47.96,47.95,47.96,1900,0
JHG.US,5,20260127,173500,47.96,47.97,47.96,47.97,1000,0
JHG.US,5,20260127,174000,47.96,47.965,47.96,47.96,400,0
JHG.US,5,20260127,174500,47.965,47.97,47.96,47.965,3718,0
JHG.US,5,20260127,175000,47.96,47.96,47.94,47.94,10931,0
JHG.US,5,20260127,175500,47.95,47.955,47.945,47.95,2779,0
JHG.US,5,20260127,180000,47.95,47.96,47.94,47.95,4600,0
JHG.US,5,20260127,180500,47.955,47.96,47.95,47.955,2892,0
JHG.US,5,20260127,181000,47.955,47.955,47.94,47.94,3104,0
JHG.US,5,20260127,181500,47.945,47.95,47.94,47.945,2180,0
JHG.US,5,20260127,182000,47.95,47.97,47.95,47.96,2901,0
JHG.US,5,20260127,182500,47.96,47.965,47.96,47.965,615,0
JHG.US,5,20260127,183000,47.965,47.97,47.96,47.965,683,0
JHG.US,5,20260127,183500,47.96,47.96,47.96,47.96,1268,0
JHG.US,5,20260127,184000,47.96,47.96,47.95,47.96,1300,0
JHG.US,5,20260127,184500,47.9546,47.955,47.95,47.955,1775,0
JHG.US,5,20260127,185000,47.96,47.97,47.96,47.97,3546,0
JHG.US,5,20260127,185500,47.965,47.98,47.965,47.98,1195,0
JHG.US,5,20260127,190000,47.975,47.975,47.97,47.975,2464,0
JHG.US,5,20260127,190500,47.975,47.98,47.975,47.975,1079,0
JHG.US,5,20260127,191000,47.975,47.98,47.97,47.975,1103,0
JHG.US,5,20260127,191500,47.975,47.975,47.975,47.975,572,0
JHG.US,5,20260127,192000,47.975,47.99,47.975,47.985,3152,0
JHG.US,5,20260127,192500,47.98,47.99,47.98,47.985,553,0
JHG.US,5,20260127,193000,47.985,47.99,47.98,47.98,1599,0
JHG.US,5,20260127,193500,47.99,47.99,47.975,47.975,10752,0
JHG.US,5,20260127,194000,47.98,47.98,47.975,47.975,1500,0
JHG.US,5,20260127,194500,47.975,47.975,47.97,47.97,993,0
JHG.US,5,20260127,195000,47.98,47.98,47.975,47.975,1303,0
JHG.US,5,20260127,195500,47.98,47.99,47.975,47.98,2260,0
JHG.US,5,20260127,200000,47.985,47.985,47.98,47.985,2106,0
JHG.US,5,20260127,200500,47.985,48,47.9812,48,3244,0
JHG.US,5,20260127,201000,47.995,48.01,47.99,48.005,82096,0
JHG.US,5,20260127,201500,47.99,48.01,47.99,48.01,1489,0
JHG.US,5,20260127,202000,48.01,48.02,48,48.02,2875,0
JHG.US,5,20260127,202500,48.02,48.04,48.01,48.04,3289,0
JHG.US,5,20260127,203000,48.04,48.05,48.04,48.045,1312,0
JHG.US,5,20260127,203500,48.05,48.08,48.04,48.075,2975,0
JHG.US,5,20260127,204000,48.07,48.07,48.065,48.07,3986,0
JHG.US,5,20260127,204500,48.065,48.07,48.06,48.06,1412,0
JHG.US,5,20260127,205000,48.06,48.06,48.05,48.055,2723,0
JHG.US,5,20260127,205500,48.055,48.055,48.04,48.04,11450,0
JHG.US,5,20260127,210000,48.04,48.045,48.03,48.045,6271,0
JHG.US,5,20260127,210500,48.0401,48.045,48.03,48.035,6380,0
JHG.US,5,20260127,211000,48.03,48.055,48.03,48.055,34410,0
JHG.US,5,20260127,211500,48.06,48.06,48.045,48.045,5739,0
JHG.US,5,20260127,212000,48.04,48.0487,48.04,48.0487,837,0
JHG.US,5,20260127,212500,48.045,48.045,48.035,48.035,3894,0
JHG.US,5,20260127,213000,48.03,48.04,48.03,48.04,683,0
JHG.US,5,20260127,213500,48.04,48.04,48.03,48.03,1800,0
JHG.US,5,20260127,214000,48.04,48.04,48.02,48.025,5688,0
JHG.US,5,20260127,214500,48.025,48.03,48.02,48.025,4925,0
JHG.US,5,20260127,215000,48.035,48.075,48.035,48.06,25212,0
JHG.US,5,20260127,215500,48.065,48.09,48.06,48.08,200308,0
JHG.US,5,20260128,153000,48.055,48.14,48.055,48.105,10760,0
JHG.US,5,20260128,153500,48.11,48.11,48.045,48.07,3168,0
JHG.US,5,20260128,154000,48.0748,48.0748,47.98,47.98,4679,0
JHG.US,5,20260128,154500,48,48,47.95,47.95,11041,0
JHG.US,5,20260128,155000,47.95,47.97,47.95,47.96,11110,0
JHG.US,5,20260128,155500,47.955,47.97,47.955,47.96,6786,0
JHG.US,5,20260128,160000,47.965,47.99,47.96,47.99,7500,0
JHG.US,5,20260128,160500,47.99,47.99,47.97,47.98,2407,0
JHG.US,5,20260128,161000,47.975,47.98,47.97,47.98,3724,0
JHG.US,5,20260128,161500,47.98,47.98,47.97,47.98,1500,0
JHG.US,5,20260128,162000,47.98,47.99,47.98,47.9825,3635,0
JHG.US,5,20260128,162500,47.98,47.995,47.98,47.99,1578,0
JHG.US,5,20260128,163000,48,48,47.99,47.9937,1150,0
JHG.US,5,20260128,163500,47.993,47.995,47.993,47.995,750,0
JHG.US,5,20260128,164000,47.995,48.005,47.995,48.005,2229,0
JHG.US,5,20260128,164500,48.01,48.01,48,48,2354,0
JHG.US,5,20260128,165000,48,48.005,47.99,48,2750,0
JHG.US,5,20260128,165500,48.005,48.015,48.005,48.01,1500,0
JHG.US,5,20260128,170000,48.01,48.02,48.01,48.02,400,0
JHG.US,5,20260128,170500,48.02,48.02,48.015,48.02,500,0
JHG.US,5,20260128,171000,48.015,48.015,48.01,48.01,600,0
JHG.US,5,20260128,171500,48.015,48.02,48.015,48.015,500,0
JHG.US,5,20260128,172000,48.015,48.02,48.01,48.02,870,0
JHG.US,5,20260128,172500,48.015,48.02,48.015,48.02,53070,0
JHG.US,5,20260128,173000,48.015,48.02,48.015,48.015,1680,0
JHG.US,5,20260128,173500,48.02,48.02,48.015,48.015,513,0
JHG.US,5,20260128,174000,48.015,48.02,48.015,48.02,1212,0
JHG.US,5,20260128,174500,48.02,48.03,48.02,48.03,920,0
JHG.US,5,20260128,175000,48.03,48.04,48.03,48.04,1000,0
JHG.US,5,20260128,175500,48.04,48.04,48.04,48.04,700,0
JHG.US,5,20260128,180000,48.05,48.075,48.05,48.07,3106,0
JHG.US,5,20260128,180500,48.08,48.08,48.075,48.075,400,0
JHG.US,5,20260128,181000,48.08,48.085,48.075,48.082,18349,0
JHG.US,5,20260128,181500,48.07,48.08,48.07,48.075,2539,0
JHG.US,5,20260128,182000,48.075,48.075,48.06,48.065,2724,0
JHG.US,5,20260128,182500,48.065,48.065,48.065,48.065,1183,0
JHG.US,5,20260128,183000,48.065,48.065,48.045,48.045,34082,0
JHG.US,5,20260128,183500,48.045,48.045,48.035,48.035,2164,0
JHG.US,5,20260128,184000,48.04,48.04,48.015,48.03,9409,0
JHG.US,5,20260128,184500,48.03,48.03,48.03,48.03,415,0
JHG.US,5,20260128,185000,48.03,48.03,48.025,48.03,3935,0
JHG.US,5,20260128,185500,48.03,48.03,48.025,48.025,1378,0
JHG.US,5,20260128,190000,48.025,48.025,48.025,48.025,500,0
JHG.US,5,20260128,190500,48.03,48.03,48.015,48.015,5746,0
JHG.US,5,20260128,191000,48.02,48.025,48.015,48.015,5300,0
JHG.US,5,20260128,191500,48.015,48.025,48.015,48.02,6174,0
JHG.US,5,20260128,192000,48.02,48.02,48.015,48.015,400,0
JHG.US,5,20260128,192500,48.02,48.02,48.01,48.015,900,0
JHG.US,5,20260128,193000,48.02,48.02,48.015,48.02,1472,0
JHG.US,5,20260128,193500,48.015,48.02,48.01,48.015,500,0
JHG.US,5,20260128,194000,48.01,48.02,48.01,48.015,2831,0
JHG.US,5,20260128,194500,48.015,48.015,47.995,47.995,2616,0
JHG.US,5,20260128,195000,47.995,48,47.99,47.995,9348,0
JHG.US,5,20260128,195500,47.995,48,47.99,48,3284,0
JHG.US,5,20260128,200000,48,48.01,47.985,48.005,6674,0
JHG.US,5,20260128,200500,48.005,48.01,48.005,48.01,2521,0
JHG.US,5,20260128,201000,48.005,48.02,48.005,48.02,1392,0
JHG.US,5,20260128,201500,48.02,48.05,48.015,48.05,9818,0
JHG.US,5,20260128,202000,48.05,48.05,48.045,48.05,983,0
JHG.US,5,20260128,202500,48.05,48.06,48.05,48.05,3009,0
JHG.US,5,20260128,203000,48.05,48.125,48.01,48.02,68446,0
JHG.US,5,20260128,203500,48.03,48.06,48.03,48.04,12592,0
JHG.US,5,20260128,204000,48.04,48.04,48.025,48.03,4245,0
JHG.US,5,20260128,204500,48.04,48.055,48.03,48.05,4025,0
JHG.US,5,20260128,205000,48.045,48.06,48.045,48.06,2841,0
JHG.US,5,20260128,205500,48.06,48.06,48.04,48.05,5440,0
JHG.US,5,20260128,210000,48.05,48.055,48.05,48.055,3520,0
JHG.US,5,20260128,210500,48.05,48.065,48.05,48.065,4291,0
JHG.US,5,20260128,211000,48.07,48.09,48.07,48.075,10015,0
JHG.US,5,20260128,211500,48.075,48.09,48.075,48.09,3319,0
JHG.US,5,20260128,212000,48.085,48.095,48.08,48.08,3569,0
JHG.US,5,20260128,212500,48.085,48.09,48.07,48.075,8922,0
JHG.US,5,20260128,213000,48.0746,48.085,48.0746,48.075,4115,0
JHG.US,5,20260128,213500,48.075,48.09,48.075,48.09,5668,0
JHG.US,5,20260128,214000,48.09,48.1,48.085,48.095,4170,0
JHG.US,5,20260128,214500,48.095,48.095,48.07,48.075,16794,0
JHG.US,5,20260128,215000,48.08,48.105,48.075,48.08,29051,0
JHG.US,5,20260128,215500,48.085,48.09,48.05,48.05,232451,0
JHG.US,5,20260129,153000,48.09,48.15,48.06,48.115,7296,0
JHG.US,5,20260129,153500,48.12,48.14,48.12,48.14,12554,0
JHG.US,5,20260129,154000,48.13,48.14,48.12,48.12,9050,0
JHG.US,5,20260129,154500,48.12,48.12,48.09,48.11,3401,0
JHG.US,5,20260129,155000,48.1,48.1,48.09,48.1,1595,0
JHG.US,5,20260129,155500,48.09,48.095,48.08,48.08,19739,0
JHG.US,5,20260129,160000,48.085,48.09,48.085,48.085,3078,0
JHG.US,5,20260129,160500,48.08,48.085,48.08,48.08,1219,0
JHG.US,5,20260129,161000,48.085,48.09,48.085,48.09,3672,0
JHG.US,5,20260129,161500,48.09,48.09,48.085,48.085,500,0
JHG.US,5,20260129,162000,48.08,48.09,48.08,48.09,2000,0
JHG.US,5,20260129,162500,48.09,48.095,48.085,48.09,1811,0
JHG.US,5,20260129,163000,48.09,48.09,48.08,48.085,2314,0
JHG.US,5,20260129,163500,48.08,48.08,48.07,48.075,2904,0
JHG.US,5,20260129,164000,48.07,48.075,48.06,48.06,4513,0
JHG.US,5,20260129,164500,48.05,48.05,48.03,48.04,4150,0
JHG.US,5,20260129,165000,48.04,48.04,47.97,47.975,15259,0
JHG.US,5,20260129,165500,47.98,48.01,47.975,48,5139,0
JHG.US,5,20260129,170000,48,48,47.98,47.98,6444,0
JHG.US,5,20260129,170500,47.97,47.985,47.95,47.985,18312,0
JHG.US,5,20260129,171000,47.985,48.03,47.985,48.025,8235,0
JHG.US,5,20260129,171500,48.03,48.04,48.025,48.04,2413,0
JHG.US,5,20260129,172000,48.035,48.045,48.025,48.03,11481,0
JHG.US,5,20260129,172500,48.03,48.03,48.02,48.03,1901,0
JHG.US,5,20260129,173000,48.025,48.035,48.025,48.03,5504,0
JHG.US,5,20260129,173500,48.03,48.03,48.025,48.025,1764,0
JHG.US,5,20260129,174000,48.025,48.035,48.025,48.025,5660,0
JHG.US,5,20260129,174500,48.025,48.035,48.02,48.03,3221,0
JHG.US,5,20260129,175000,48.04,48.04,48.03,48.035,5412,0
JHG.US,5,20260129,175500,48.035,48.045,48.035,48.045,2387,0
JHG.US,5,20260129,180000,48.045,48.065,48.045,48.06,5948,0
JHG.US,5,20260129,180500,48.055,48.07,48.045,48.045,1738,0
JHG.US,5,20260129,181000,48.05,48.06,48.05,48.055,2828,0
JHG.US,5,20260129,181500,48.06,48.07,48.05,48.065,2652,0
JHG.US,5,20260129,182000,48.07,48.075,48.055,48.055,4476,0
JHG.US,5,20260129,182500,48.055,48.065,48.05,48.065,7107,0
JHG.US,5,20260129,183000,48.065,48.065,48.05,48.055,999,0
JHG.US,5,20260129,183500,48.055,48.06,48.055,48.06,4453,0
JHG.US,5,20260129,184000,48.055,48.06,48.045,48.055,2777,0
JHG.US,5,20260129,184500,48.05,48.05,48.04,48.043158,10290,0
JHG.US,5,20260129,185000,48.04,48.04,48,48.005,7999,0
JHG.US,5,20260129,185500,48,48.01,47.995,47.995,4894,0
JHG.US,5,20260129,190000,48,48.02,47.97,48.01,30524,0
JHG.US,5,20260129,190500,48.01,48.03,48.01,48.02,6139,0
JHG.US,5,20260129,191000,48.025,48.04,48.025,48.04,2841,0
JHG.US,5,20260129,191500,48.04,48.045,48.03,48.035,4167,0
JHG.US,5,20260129,192000,48.035,48.05,48.03,48.045,5280,0
JHG.US,5,20260129,192500,48.045,48.05,48.045,48.05,826,0
