<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JHS.US,5,20260126,155500,11.765,11.765,11.765,11.765,100,0
JHS.US,5,20260126,162500,11.79,11.79,11.79,11.79,100,0
JHS.US,5,20260126,165000,11.77,11.77,11.77,11.77,200,0
JHS.US,5,20260126,171500,11.79,11.79,11.79,11.79,200,0
JHS.US,5,20260126,172000,11.79,11.79,11.79,11.79,100,0
JHS.US,5,20260126,172500,11.79,11.79,11.79,11.79,100,0
JHS.US,5,20260126,175500,11.76,11.76,11.76,11.76,100,0
JHS.US,5,20260126,181000,11.78,11.78,11.78,11.78,169,0
JHS.US,5,20260126,183500,11.775,11.775,11.775,11.775,2150,0
JHS.US,5,20260126,210500,11.75,11.75,11.75,11.75,100,0
JHS.US,5,20260126,215500,11.78,11.78,11.77,11.77,434,0
JHS.US,5,20260127,153000,11.8299,11.8299,11.8299,11.8299,191,0
JHS.US,5,20260127,155500,11.79,11.79,11.79,11.79,100,0
JHS.US,5,20260127,163000,11.79,11.79,11.79,11.79,100,0
JHS.US,5,20260127,164500,11.7901,11.7901,11.7901,11.7901,100,0
JHS.US,5,20260127,173000,11.78,11.78,11.78,11.78,725,0
JHS.US,5,20260127,174000,11.78,11.78,11.78,11.78,100,0
JHS.US,5,20260127,184500,11.6802,11.6802,11.6802,11.6802,1000,0
JHS.US,5,20260127,204500,11.76,11.76,11.76,11.76,190,0
JHS.US,5,20260127,213500,11.8,11.8,11.72,11.7201,1626,0
JHS.US,5,20260127,214500,11.79,11.79,11.79,11.79,100,0
JHS.US,5,20260127,215500,11.727,11.76,11.727,11.76,465,0
JHS.US,5,20260128,155000,11.77,11.8199,11.77,11.8199,353,0
JHS.US,5,20260128,163000,11.7501,11.7501,11.7501,11.7501,305,0
JHS.US,5,20260128,165000,11.785,11.785,11.785,11.785,100,0
JHS.US,5,20260128,171000,11.75,11.75,11.75,11.75,100,0
JHS.US,5,20260128,175000,11.78,11.78,11.78,11.78,200,0
JHS.US,5,20260128,182000,11.8099,11.8099,11.8099,11.8099,3000,0
JHS.US,5,20260128,194000,11.75,11.75,11.75,11.75,824,0
JHS.US,5,20260128,194500,11.715,11.715,11.715,11.715,100,0
JHS.US,5,20260128,195000,11.72,11.7398,11.72,11.7398,200,0
JHS.US,5,20260128,200000,11.71,11.75,11.71,11.75,2508,0
JHS.US,5,20260128,202500,11.71,11.71,11.71,11.71,100,0
JHS.US,5,20260128,203500,11.7367,11.7367,11.7367,11.7367,213,0
JHS.US,5,20260128,213500,11.74,11.74,11.74,11.74,100,0
JHS.US,5,20260128,215500,11.74,11.74,11.74,11.74,330,0
JHS.US,5,20260129,153000,11.76,11.76,11.74,11.74,200,0
JHS.US,5,20260129,154000,11.73,11.74,11.73,11.74,522,0
JHS.US,5,20260129,162000,11.79,11.79,11.79,11.79,100,0
JHS.US,5,20260129,163000,11.8,11.8,11.8,11.8,100,0
JHS.US,5,20260129,164000,11.8,11.8,11.8,11.8,100,0
JHS.US,5,20260129,165500,11.8,11.8,11.8,11.8,100,0
JHS.US,5,20260129,171000,11.8,11.8,11.8,11.8,100,0
JHS.US,5,20260129,172500,11.79,11.79,11.78,11.78,922,0
JHS.US,5,20260129,174000,11.79,11.79,11.79,11.79,100,0
JHS.US,5,20260129,175500,11.78,11.79,11.78,11.79,300,0
JHS.US,5,20260129,193000,11.7768,11.7768,11.7768,11.7768,100,0
JHS.US,5,20260129,195500,11.8,11.8,11.8,11.8,1895,0
JHS.US,5,20260129,200500,11.755,11.755,11.755,11.755,100,0
JHS.US,5,20260129,214500,11.736,11.736,11.736,11.736,400,0
JHS.US,5,20260129,215000,11.772,11.772,11.772,11.772,525,0
JHS.US,5,20260130,161000,11.79,11.79,11.78,11.78,295,0
JHS.US,5,20260130,164000,11.7941,11.8,11.7941,11.7999,765,0
JHS.US,5,20260130,165500,11.815,11.815,11.815,11.815,287,0
JHS.US,5,20260130,170500,11.81,11.81,11.81,11.81,284,0
JHS.US,5,20260130,171000,11.83,11.83,11.83,11.83,427,0
JHS.US,5,20260130,171500,11.83,11.83,11.83,11.83,422,0
JHS.US,5,20260130,173000,11.8219,11.8219,11.8219,11.8219,210,0
JHS.US,5,20260130,175000,11.84,11.84,11.82,11.82,976,0
JHS.US,5,20260130,180500,11.82,11.82,11.82,11.82,100,0
JHS.US,5,20260130,185500,11.8399,11.8399,11.8399,11.8399,149,0
JHS.US,5,20260130,191500,11.82,11.82,11.82,11.82,100,0
JHS.US,5,20260130,205500,11.84,11.84,11.84,11.84,881,0
JHS.US,5,20260130,210500,11.8,11.8,11.8,11.8,100,0
JHS.US,5,20260130,211500,11.801,11.801,11.76,11.76,1019,0
JHS.US,5,20260202,154500,11.8305,11.8305,11.8305,11.8305,209,0
JHS.US,5,20260202,163000,11.81,11.81,11.81,11.81,200,0
JHS.US,5,20260202,163500,11.81,11.8168,11.81,11.8168,400,0
JHS.US,5,20260202,165000,11.813,11.82,11.813,11.8147,500,0
JHS.US,5,20260202,170000,11.8381,11.8381,11.82,11.82,1000,0
JHS.US,5,20260202,170500,11.82,11.82,11.82,11.82,300,0
JHS.US,5,20260202,172000,11.82,11.82,11.82,11.82,346,0
JHS.US,5,20260202,174000,11.8137,11.825,11.8137,11.825,300,0
JHS.US,5,20260202,175500,11.81,11.81,11.81,11.81,300,0
JHS.US,5,20260202,180000,11.81,11.81,11.81,11.81,700,0
JHS.US,5,20260202,184500,11.81,11.81,11.81,11.81,211,0
JHS.US,5,20260202,194500,11.81,11.81,11.81,11.81,2969,0
JHS.US,5,20260202,215500,11.797,11.8,11.797,11.8,387,0
JHS.US,5,20260203,153000,11.7994,11.7994,11.7994,11.7994,120,0
JHS.US,5,20260203,155000,11.74,11.74,11.74,11.74,500,0
JHS.US,5,20260203,155500,11.71,11.78,11.71,11.7799,1400,0
JHS.US,5,20260203,160000,11.71,11.77,11.71,11.759,600,0
JHS.US,5,20260203,161000,11.77,11.78,11.7674,11.7674,586,0
JHS.US,5,20260203,161500,11.76,11.8,11.76,11.78,1455,0
