<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JULM.US,5,20260126,171000,33.747,33.747,33.747,33.747,226,0
JULM.US,5,20260126,211500,33.73,33.7301,33.73,33.7301,326,0
JULM.US,5,20260127,205000,33.74,33.74,33.74,33.74,600,0
JULM.US,5,20260128,173000,33.73,33.73,33.73,33.73,100,0
JULM.US,5,20260128,193500,33.755,33.755,33.755,33.755,825,0
JULM.US,5,20260128,211500,33.7401,33.7401,33.7401,33.7401,186,0
JULM.US,5,20260129,195500,33.73,33.73,33.73,33.73,650,0
JULM.US,5,20260129,211500,33.71,33.71,33.71,33.71,400,0
JULM.US,5,20260129,213000,33.7118,33.7118,33.7118,33.7118,100,0
JULM.US,5,20260130,202000,33.73,33.73,33.73,33.73,200,0
JULM.US,5,20260202,193500,33.7601,33.7601,33.7601,33.7601,180,0
JULM.US,5,20260203,200000,33.69,33.69,33.69,33.69,4145,0
JULM.US,5,20260203,211500,33.69,33.69,33.69,33.69,300,0
JULM.US,5,20260203,213000,33.7,33.7,33.7,33.7,322,0
JULM.US,5,20260204,160000,33.7,33.7,33.7,33.7,135109,0
JULM.US,5,20260204,164000,33.72,33.72,33.72,33.72,100,0
JULM.US,5,20260205,163500,33.6114,33.6114,33.6114,33.6114,300,0
JULM.US,5,20260205,191500,33.64,33.64,33.64,33.64,300,0
JULM.US,5,20260205,214000,33.62,33.63,33.62,33.63,8024,0
JULM.US,5,20260209,174500,33.7702,33.7702,33.77,33.77,2700,0
JULM.US,5,20260209,193000,33.795,33.795,33.795,33.795,118,0
JULM.US,5,20260210,164000,33.82,33.83,33.82,33.83,1000,0
JULM.US,5,20260210,164500,33.78,33.78,33.78,33.78,100,0
JULM.US,5,20260211,200000,33.81,33.81,33.8,33.81,1000,0
JULM.US,5,20260213,163500,33.745,33.745,33.745,33.745,200,0
JULM.US,5,20260213,202000,33.78,33.79,33.78,33.79,500,0
JULM.US,5,20260217,155500,33.71,33.71,33.71,33.71,105,0
JULM.US,5,20260217,161000,33.66,33.66,33.66,33.66,100,0
JULM.US,5,20260217,170500,33.72,33.72,33.72,33.72,2300,0
JULM.US,5,20260217,172500,33.74,33.74,33.74,33.74,1200,0
JULM.US,5,20260217,173000,33.74,33.74,33.74,33.74,200,0
JULM.US,5,20260217,175500,33.71,33.71,33.71,33.71,100,0
JULM.US,5,20260217,200000,33.75,33.75,33.75,33.75,360,0
JULM.US,5,20260217,210500,33.72,33.72,33.72,33.72,100,0
JULM.US,5,20260218,155000,33.72,33.72,33.72,33.72,1482,0
JULM.US,5,20260218,162500,33.75,33.75,33.75,33.75,100,0
