<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KCAI.US,5,20260126,161000,30.22,30.22,30.22,30.22,700,0
KCAI.US,5,20260126,174000,30.21,30.21,30.21,30.21,100,0
KCAI.US,5,20260127,162500,30.24,30.24,30.24,30.24,100,0
KCAI.US,5,20260127,193500,30.3788,30.3788,30.3788,30.3788,150,0
KCAI.US,5,20260128,160500,30.535,30.535,30.535,30.535,340,0
KCAI.US,5,20260128,165500,30.47,30.52,30.47,30.52,500,0
KCAI.US,5,20260128,195000,30.415,30.42,30.3,30.3,1000,0
KCAI.US,5,20260128,203500,30.43,30.43,30.43,30.43,100,0
KCAI.US,5,20260129,162500,30.39,30.39,30.39,30.39,1100,0
KCAI.US,5,20260202,192000,30.1238,30.1862,30.1238,30.1862,501,0
KCAI.US,5,20260204,174000,30.45,30.45,30.45,30.45,100,0
KCAI.US,5,20260204,204500,30.52,30.52,30.52,30.52,548,0
KCAI.US,5,20260205,214500,30.3,30.3,30.3,30.3,204,0
KCAI.US,5,20260209,161000,30.81,30.81,30.81,30.81,100,0
KCAI.US,5,20260218,172000,31.19,31.19,31.19,31.19,100,0
KCAI.US,5,20260219,190000,30.875,30.875,30.875,30.875,500,0
KCAI.US,5,20260220,172500,30.94,30.94,30.94,30.94,3225,0
KCAI.US,5,20260224,153000,31.2,31.2,31.2,31.2,179,0
KCAI.US,5,20260225,154000,31.536,31.536,31.536,31.536,200,0
KCAI.US,5,20260225,182500,31.65,31.65,31.65,31.65,320,0
KCAI.US,5,20260225,192500,31.65,31.65,31.65,31.65,280,0
KCAI.US,5,20260227,191000,31.4315,31.4315,31.4315,31.4315,199,0
KCAI.US,5,20260302,184000,31.86,31.86,31.86,31.86,183,0
KCAI.US,5,20260303,164500,31.405,31.54,31.405,31.54,200,0
KCAI.US,5,20260305,214500,31.705,31.705,31.62,31.62,200,0
KCAI.US,5,20260306,165500,31.65,31.65,31.65,31.65,157,0
KCAI.US,5,20260306,184000,31.83,31.84,31.83,31.84,200,0
KCAI.US,5,20260306,194500,31.85,31.85,31.85,31.85,200,0
KCAI.US,5,20260309,144500,31.7,31.7,31.7,31.7,474,0
KCAI.US,5,20260309,191000,31.71,31.77,31.71,31.77,500,0
KCAI.US,5,20260309,205000,31.885,31.885,31.885,31.885,100,0
KCAI.US,5,20260312,191500,32.49,32.49,32.36,32.36,91220,0
KCAI.US,5,20260313,143000,32.575,32.575,32.575,32.575,306,0
KCAI.US,5,20260316,143000,32.44,32.45,32.3325,32.3325,3086,0
KCAI.US,5,20260316,203000,32.21,32.22,32.09,32.11,1440,0
KCAI.US,5,20260317,150000,32.4,32.4,32.4,32.4,1750,0
KCAI.US,5,20260317,164500,32.35,32.35,32.35,32.35,100,0
KCAI.US,5,20260318,162500,32.34,32.34,32.34,32.34,100,0
KCAI.US,5,20260318,164000,32.34,32.34,32.34,32.34,193,0
KCAI.US,5,20260318,173500,32.21,32.21,32.21,32.21,149,0
KCAI.US,5,20260319,180500,32.15,32.15,32.15,32.15,193,0
KCAI.US,5,20260324,204500,31.315,31.315,31.315,31.315,282,0
KCAI.US,5,20260325,172500,31.88,31.88,31.88,31.88,320,0
KCAI.US,5,20260325,204000,31.58,31.582,31.58,31.58,419,0
KCAI.US,5,20260330,171500,31.555,31.555,31.555,31.555,150,0
KCAI.US,5,20260331,164000,31.44,31.44,31.44,31.44,100,0
KCAI.US,5,20260401,181000,31.632,31.632,31.632,31.632,100,0
KCAI.US,5,20260401,213500,31.735,31.735,31.735,31.735,100,0
KCAI.US,5,20260402,153000,31.7,31.7,31.7,31.7,115,0
KCAI.US,5,20260406,173500,31.3501,31.3501,31.3501,31.3501,158,0
KCAI.US,5,20260408,181500,32.04,32.04,32.04,32.04,100,0
KCAI.US,5,20260410,160000,32.1994,32.1994,32.1994,32.1994,210,0
KCAI.US,5,20260413,201500,32.38,32.43,32.38,32.43,500,0
KCAI.US,5,20260413,205500,32.43,32.43,32.43,32.43,150,0
KCAI.US,5,20260414,161000,32.645,32.645,32.645,32.645,100,0
KCAI.US,5,20260415,163500,32.43,32.57,32.43,32.57,400,0
KCAI.US,5,20260415,211500,32.45,32.45,32.45,32.45,155,0
KCAI.US,5,20260417,153000,32.92,32.92,32.92,32.92,2501,0
KCAI.US,5,20260417,154500,32.892,32.9,32.88,32.88,900,0
KCAI.US,5,20260417,162000,32.94,32.94,32.94,32.94,200,0
KCAI.US,5,20260417,182000,32.85,32.94,32.85,32.94,620,0
KCAI.US,5,20260420,154500,33.109,33.109,33.109,33.109,100,0
KCAI.US,5,20260421,153000,32.75,32.75,32.75,32.75,170,0
KCAI.US,5,20260421,165500,33.02,33.02,33.02,33.02,122,0
KCAI.US,5,20260421,175500,32.9,32.9,32.9,32.9,200,0
KCAI.US,5,20260421,194000,32.725,32.77,32.725,32.77,252,0
KCAI.US,5,20260421,212000,32.9,32.9,32.765,32.765,920,0
KCAI.US,5,20260421,213000,32.765,32.765,32.765,32.765,100,0
KCAI.US,5,20260423,174500,33.2099,33.2099,33.2099,33.2099,100,0
KCAI.US,5,20260424,153000,32.84,32.84,32.84,32.84,150,0
KCAI.US,5,20260424,210000,32.82,32.82,32.82,32.82,1000,0
KCAI.US,5,20260424,212000,32.75,32.75,32.75,32.75,300,0
KCAI.US,5,20260424,215500,32.83,32.83,32.83,32.83,505,0
KCAI.US,5,20260427,193000,32.435,32.435,32.435,32.435,100,0
KCAI.US,5,20260427,203000,32.29,32.29,32.29,32.29,200,0
KCAI.US,5,20260430,204500,32.67,32.67,32.67,32.67,250,0
KCAI.US,5,20260501,171500,32.5,32.5,32.5,32.5,100,0
KCAI.US,5,20260505,165000,32.605,32.605,32.605,32.605,100,0
KCAI.US,5,20260505,212500,32.58,32.58,32.57,32.58,700,0
KCAI.US,5,20260506,173500,32.79,32.7999,32.67,32.7999,1000,0
KCAI.US,5,20260506,180500,32.8,32.8,32.8,32.8,100,0
KCAI.US,5,20260506,190500,32.76,32.76,32.755,32.755,1000,0
KCAI.US,5,20260506,191000,32.755,32.76,32.755,32.76,700,0
KCAI.US,5,20260506,201500,32.755,32.755,32.755,32.755,300,0
KCAI.US,5,20260507,154500,32.45,32.45,32.45,32.45,100,0
KCAI.US,5,20260507,172000,32.52,32.52,32.52,32.52,100,0
KCAI.US,5,20260507,175500,32.45,32.45,32.45,32.45,152,0
KCAI.US,5,20260507,215000,32.37,32.37,32.37,32.37,300,0
KCAI.US,5,20260508,172500,32.55,32.55,32.52,32.52,630,0
KCAI.US,5,20260508,215500,32.56,32.56,32.56,32.56,111,0
KCAI.US,5,20260511,154000,32.7056,32.755,32.7056,32.755,500,0
KCAI.US,5,20260511,170000,32.84,32.84,32.84,32.84,100,0
KCAI.US,5,20260511,183000,32.88,32.88,32.88,32.88,200,0
KCAI.US,5,20260511,201500,32.885,32.885,32.885,32.885,200,0
KCAI.US,5,20260511,205000,32.885,32.885,32.885,32.885,150,0
KCAI.US,5,20260512,154000,32.96,32.96,32.96,32.96,100,0
KCAI.US,5,20260512,172500,32.9,32.9,32.9,32.9,320,0
KCAI.US,5,20260512,191500,32.78,32.78,32.78,32.78,100,0
KCAI.US,5,20260512,194000,32.83,32.83,32.83,32.83,240,0
KCAI.US,5,20260513,163000,33.151,33.151,33.151,33.151,307,0
KCAI.US,5,20260513,193500,33.17,33.17,33.17,33.17,100,0
KCAI.US,5,20260513,213500,33.28,33.28,33.28,33.28,100,0
KCAI.US,5,20260514,153500,32.98,32.98,32.98,32.98,400,0
KCAI.US,5,20260514,172000,32.98,32.98,32.98,32.98,100,0
KCAI.US,5,20260518,192000,32.145,32.145,32.145,32.145,100,0
KCAI.US,5,20260518,200500,32.15,32.15,32.15,32.15,300,0
KCAI.US,5,20260518,202000,32.19,32.19,32.19,32.19,100,0
KCAI.US,5,20260520,170500,31.91,31.91,31.91,31.91,100,0
KCAI.US,5,20260520,213000,32.02,32.02,32.02,32.02,103,0
KCAI.US,5,20260526,154500,32.39,32.39,32.39,32.39,100,0
KCAI.US,5,20260528,175500,32.2301,32.2301,32.23,32.23,400,0
KCAI.US,5,20260528,215000,32.285,32.285,32.285,32.285,200,0
KCAI.US,5,20260529,172500,32.61,32.61,32.61,32.61,100,0
KCAI.US,5,20260601,165000,32.48,32.48,32.48,32.48,100,0
KCAI.US,5,20260601,185500,32.594,32.62,32.594,32.62,306,0
KCAI.US,5,20260601,190000,32.594,32.62,32.581,32.62,429,0
KCAI.US,5,20260601,193500,32.595,32.595,32.595,32.595,100,0
KCAI.US,5,20260603,154000,33,33,33,33,200,0
KCAI.US,5,20260603,201000,32.8,32.8699,32.8,32.8699,2800,0
KCAI.US,5,20260603,213500,32.81,32.8699,32.81,32.8699,200,0
KCAI.US,5,20260603,214500,32.81,32.81,32.81,32.81,250,0
KCAI.US,5,20260604,205500,32.455,32.4599,32.455,32.4599,400,0
KCAI.US,5,20260604,210000,32.46,32.46,32.46,32.46,154,0
KCAI.US,5,20260604,212000,32.45,32.455,32.45,32.455,400,0
KCAI.US,5,20260605,161000,32.3607,32.37,32.3607,32.37,500,0
KCAI.US,5,20260605,180000,32.27,32.2705,32.27,32.27,735,0
KCAI.US,5,20260609,154000,32.4499,32.45,32.4499,32.45,263,0
KCAI.US,5,20260609,162500,32.395,32.395,32.395,32.395,100,0
KCAI.US,5,20260609,201500,32.2005,32.2005,32.2,32.2,319,0
KCAI.US,5,20260610,161000,32.47,32.54,32.47,32.54,1200,0
KCAI.US,5,20260610,163500,32.48,32.54,32.48,32.54,600,0
KCAI.US,5,20260610,164000,32.46,32.46,32.21,32.46,500,0
KCAI.US,5,20260610,170000,32.44,32.5099,32.2001,32.2001,400,0
KCAI.US,5,20260612,161500,32.83,32.83,32.83,32.83,300,0
KCAI.US,5,20260616,162500,32.67,32.67,32.67,32.67,300,0
KCAI.US,5,20260616,194500,32.6,32.6,32.34,32.34,424,0
