<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KNTK.US,5,20260126,153000,40.025,40.04,39.69,39.755,14245,0
KNTK.US,5,20260126,153500,39.805,39.93,39.7,39.87,1800,0
KNTK.US,5,20260126,154000,40.01,40.1499,39.87,40.05,8003,0
KNTK.US,5,20260126,154500,40.03,40.04,39.83,39.835,7022,0
KNTK.US,5,20260126,155000,39.79,39.84,39.63,39.66,7289,0
KNTK.US,5,20260126,155500,39.66,39.7,39.55,39.64,5572,0
KNTK.US,5,20260126,160000,39.59,39.65,39.49,39.64,9551,0
KNTK.US,5,20260126,160500,39.63,39.66,39.52,39.58,5157,0
KNTK.US,5,20260126,161000,39.625,39.71,39.58,39.665,3463,0
KNTK.US,5,20260126,161500,39.71,39.85,39.7,39.78,3935,0
KNTK.US,5,20260126,162000,39.775,39.875,39.72,39.85,5496,0
KNTK.US,5,20260126,162500,39.82,39.86,39.75,39.77,4911,0
KNTK.US,5,20260126,163000,39.81,39.9,39.74,39.84,3000,0
KNTK.US,5,20260126,163500,39.79,39.87,39.76,39.79,6118,0
KNTK.US,5,20260126,164000,39.78,39.825,39.55,39.59,9144,0
KNTK.US,5,20260126,164500,39.55,39.65,39.55,39.65,4926,0
KNTK.US,5,20260126,165000,39.65,39.66,39.57,39.62,3360,0
KNTK.US,5,20260126,165500,39.66,39.67,39.57,39.585,3980,0
KNTK.US,5,20260126,170000,39.585,39.65,39.56,39.56,7526,0
KNTK.US,5,20260126,170500,39.58,39.58,39.47,39.49,5077,0
KNTK.US,5,20260126,171000,39.46,39.52,39.44,39.52,2410,0
KNTK.US,5,20260126,171500,39.495,39.63,39.495,39.6065,2900,0
KNTK.US,5,20260126,172000,39.615,39.6205,39.36,39.45,22977,0
KNTK.US,5,20260126,172500,39.4786,39.4786,39.42,39.44,4637,0
KNTK.US,5,20260126,173000,39.43,39.54,39.38,39.54,3962,0
KNTK.US,5,20260126,173500,39.54,39.645,39.46,39.56,4869,0
KNTK.US,5,20260126,174000,39.55,39.64,39.545,39.55,2325,0
KNTK.US,5,20260126,174500,39.575,39.67,39.56,39.58,4126,0
KNTK.US,5,20260126,175000,39.575,39.63,39.56,39.605,31361,0
KNTK.US,5,20260126,175500,39.63,39.635,39.535,39.535,4089,0
KNTK.US,5,20260126,180000,39.51,39.5491,39.49,39.52,3449,0
KNTK.US,5,20260126,180500,39.53,39.54,39.5,39.54,1267,0
KNTK.US,5,20260126,181000,39.535,39.54,39.5,39.54,1751,0
KNTK.US,5,20260126,181500,39.52,39.57,39.51,39.525,3544,0
KNTK.US,5,20260126,182000,39.51,39.6,39.51,39.585,3303,0
KNTK.US,5,20260126,182500,39.585,39.66,39.56,39.645,3205,0
KNTK.US,5,20260126,183000,39.66,39.67,39.58,39.61,8929,0
KNTK.US,5,20260126,183500,39.615,39.8199,39.615,39.66,13482,0
KNTK.US,5,20260126,184000,39.7,39.715,39.66,39.69,1176,0
KNTK.US,5,20260126,184500,39.71,39.74,39.6882,39.71,3669,0
KNTK.US,5,20260126,185000,39.695,39.75,39.695,39.75,2537,0
KNTK.US,5,20260126,185500,39.76,39.775,39.72,39.775,1785,0
KNTK.US,5,20260126,190000,39.74,39.74,39.73,39.73,1078,0
KNTK.US,5,20260126,190500,39.71,39.72,39.68,39.72,2270,0
KNTK.US,5,20260126,191000,39.73,39.75,39.7,39.7,2325,0
KNTK.US,5,20260126,191500,39.6901,39.71,39.66,39.69,7051,0
KNTK.US,5,20260126,192000,39.68,39.715,39.68,39.695,15253,0
KNTK.US,5,20260126,192500,39.71,39.78,39.705,39.78,3790,0
KNTK.US,5,20260126,193000,39.79,39.86,39.785,39.85,3595,0
KNTK.US,5,20260126,193500,39.87,39.88,39.82,39.84,1843,0
KNTK.US,5,20260126,194000,39.839,39.9199,39.83,39.9,6962,0
KNTK.US,5,20260126,194500,39.89,39.93,39.89,39.91,3043,0
KNTK.US,5,20260126,195000,39.91,39.97,39.91,39.92,3635,0
KNTK.US,5,20260126,195500,39.92,39.99,39.92,39.99,1300,0
KNTK.US,5,20260126,200000,39.99,40.01,39.91,39.91,6599,0
KNTK.US,5,20260126,200500,39.905,39.95,39.8901,39.91,3255,0
KNTK.US,5,20260126,201000,39.91,39.95,39.91,39.91,2283,0
KNTK.US,5,20260126,201500,39.95,39.95,39.92,39.93,2131,0
KNTK.US,5,20260126,202000,39.925,39.94,39.89,39.94,4716,0
KNTK.US,5,20260126,202500,39.94,39.96,39.9398,39.96,1910,0
KNTK.US,5,20260126,203000,39.945,39.945,39.86,39.865,6898,0
KNTK.US,5,20260126,203500,39.88,39.88,39.8,39.83,3937,0
KNTK.US,5,20260126,204000,39.825,39.85,39.82,39.825,1277,0
KNTK.US,5,20260126,204500,39.825,39.87,39.825,39.87,1871,0
KNTK.US,5,20260126,205000,39.86,39.9,39.86,39.88,4062,0
KNTK.US,5,20260126,205500,39.88,39.9,39.86,39.88,1904,0
KNTK.US,5,20260126,210000,39.88,39.895,39.85,39.87,2350,0
KNTK.US,5,20260126,210500,39.87,39.88,39.85,39.88,3204,0
KNTK.US,5,20260126,211000,39.87,39.89,39.84,39.865,4710,0
KNTK.US,5,20260126,211500,39.88,39.95,39.86,39.95,3694,0
KNTK.US,5,20260126,212000,39.935,39.975,39.84,39.95,8308,0
KNTK.US,5,20260126,212500,39.99,39.995,39.97,39.99,2600,0
KNTK.US,5,20260126,213000,39.98,40.025,39.97,40.02,17074,0
KNTK.US,5,20260126,213500,40.02,40.03,39.99,39.995,11297,0
KNTK.US,5,20260126,214000,39.98,39.99,39.94,39.96,9783,0
KNTK.US,5,20260126,214500,39.96,40.025,39.915,39.98,13775,0
KNTK.US,5,20260126,215000,39.99,40.025,39.91,39.92,18290,0
KNTK.US,5,20260126,215500,39.92,39.95,39.805,39.9,207395,0
KNTK.US,5,20260127,153000,39.38,39.38,39,39.33,5273,0
KNTK.US,5,20260127,153500,39.265,39.93,39.265,39.795,6888,0
KNTK.US,5,20260127,154000,39.795,39.83,39.795,39.83,2440,0
KNTK.US,5,20260127,154500,39.83,39.92,39.79,39.82,21783,0
KNTK.US,5,20260127,155000,39.86,40,39.85,39.935,4702,0
KNTK.US,5,20260127,155500,40,40,39.76,39.76,4716,0
KNTK.US,5,20260127,160000,39.7,39.7799,39.6,39.61,5642,0
KNTK.US,5,20260127,160500,39.59,39.635,39.48,39.635,3810,0
KNTK.US,5,20260127,161000,39.64,39.79,39.64,39.79,2700,0
KNTK.US,5,20260127,161500,39.79,39.8,39.7,39.74,2971,0
KNTK.US,5,20260127,162000,39.745,39.83,39.74,39.81,3339,0
KNTK.US,5,20260127,162500,39.8299,39.87,39.7523,39.765,4559,0
KNTK.US,5,20260127,163000,39.72,39.73,39.615,39.715,9712,0
KNTK.US,5,20260127,163500,39.7,39.73,39.69,39.73,7351,0
KNTK.US,5,20260127,164000,39.72,39.73,39.6873,39.6873,6543,0
KNTK.US,5,20260127,164500,39.71,39.76,39.67,39.76,2131,0
KNTK.US,5,20260127,165000,39.735,39.78,39.7,39.7,7582,0
KNTK.US,5,20260127,165500,39.71,39.71,39.65,39.66,1100,0
KNTK.US,5,20260127,170000,39.59,39.69,39.55,39.65,2899,0
KNTK.US,5,20260127,170500,39.61,39.615,39.45,39.45,7009,0
KNTK.US,5,20260127,171000,39.45,39.5099,39.345,39.425,14302,0
KNTK.US,5,20260127,171500,39.425,39.425,39.32,39.35,4905,0
KNTK.US,5,20260127,172000,39.3,39.45,39.3,39.45,17231,0
KNTK.US,5,20260127,172500,39.52,39.68,39.475,39.64,6283,0
KNTK.US,5,20260127,173000,39.73,39.77,39.71,39.71,1357,0
KNTK.US,5,20260127,173500,39.72,39.72,39.505,39.56,5410,0
KNTK.US,5,20260127,174000,39.56,39.58,39.53,39.53,2049,0
KNTK.US,5,20260127,174500,39.52,39.52,39.46,39.49,4471,0
KNTK.US,5,20260127,175000,39.45,39.45,39.4,39.41,2704,0
KNTK.US,5,20260127,175500,39.4,39.4,39.33,39.33,2250,0
KNTK.US,5,20260127,180000,39.355,39.42,39.355,39.4,1767,0
KNTK.US,5,20260127,180500,39.38,39.44,39.38,39.43,2179,0
KNTK.US,5,20260127,181000,39.425,39.44,39.37,39.41,4131,0
KNTK.US,5,20260127,181500,39.425,39.425,39.37,39.4,8565,0
KNTK.US,5,20260127,182000,39.41,39.49,39.41,39.49,2303,0
KNTK.US,5,20260127,182500,39.49,39.55,39.49,39.525,1600,0
KNTK.US,5,20260127,183000,39.5193,39.59,39.5193,39.59,225,0
KNTK.US,5,20260127,183500,39.54,39.54,39.45,39.47,31969,0
KNTK.US,5,20260127,184000,39.45,39.49,39.4,39.49,15837,0
KNTK.US,5,20260127,184500,39.49,39.49,39.49,39.49,625,0
KNTK.US,5,20260127,185000,39.4923,39.495,39.4251,39.4251,2621,0
KNTK.US,5,20260127,185500,39.43,39.455,39.43,39.435,1421,0
KNTK.US,5,20260127,190000,39.42,39.48,39.42,39.4225,2037,0
KNTK.US,5,20260127,190500,39.41,39.41,39.285,39.295,14374,0
KNTK.US,5,20260127,191000,39.285,39.29,39.25,39.27,4369,0
KNTK.US,5,20260127,191500,39.285,39.36,39.257,39.31,2776,0
KNTK.US,5,20260127,192000,39.32,39.34,39.27,39.34,1969,0
KNTK.US,5,20260127,192500,39.29,39.3832,39.26,39.35,15947,0
KNTK.US,5,20260127,193000,39.365,39.37,39.33,39.365,3823,0
KNTK.US,5,20260127,193500,39.365,39.39,39.34,39.39,1246,0
KNTK.US,5,20260127,194000,39.365,39.3899,39.3406,39.37,1567,0
KNTK.US,5,20260127,194500,39.35,39.47,39.35,39.47,7012,0
KNTK.US,5,20260127,195000,39.47,39.47,39.47,39.47,100,0
KNTK.US,5,20260127,195500,39.47,39.545,39.44,39.48,4139,0
KNTK.US,5,20260127,200000,39.48,39.485,39.46,39.46,2966,0
KNTK.US,5,20260127,200500,39.485,39.495,39.43,39.46,2076,0
KNTK.US,5,20260127,201000,39.4625,39.475,39.4,39.42,1370,0
KNTK.US,5,20260127,201500,39.4001,39.45,39.38,39.38,2410,0
KNTK.US,5,20260127,202000,39.39,39.43,39.39,39.43,1131,0
KNTK.US,5,20260127,202500,39.43,39.46,39.42,39.46,2500,0
KNTK.US,5,20260127,203000,39.45,39.465,39.42,39.42,2614,0
KNTK.US,5,20260127,203500,39.42,39.425,39.4,39.42,3472,0
KNTK.US,5,20260127,204000,39.385,39.44,39.37,39.385,4087,0
KNTK.US,5,20260127,204500,39.36,39.36,39.23,39.23,3345,0
KNTK.US,5,20260127,205000,39.23,39.23,39.03,39.035,4685,0
KNTK.US,5,20260127,205500,39.03,39.0699,38.925,39.05,15677,0
