<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KORE.US,5,20260126,153000,4.82,4.82,4.82,4.82,914,0
KORE.US,5,20260126,154000,4.88,4.88,4.88,4.88,250,0
KORE.US,5,20260126,155500,4.9,4.96,4.9,4.96,263,0
KORE.US,5,20260126,160000,4.87,4.87,4.87,4.87,208,0
KORE.US,5,20260126,162000,4.96,4.96,4.96,4.96,100,0
KORE.US,5,20260126,165000,4.92,4.96,4.92,4.96,200,0
KORE.US,5,20260126,172500,4.96,4.96,4.96,4.96,100,0
KORE.US,5,20260126,174000,4.94,4.94,4.94,4.94,400,0
KORE.US,5,20260126,180000,4.96,4.96,4.96,4.96,100,0
KORE.US,5,20260126,184000,4.935,4.935,4.935,4.935,100,0
KORE.US,5,20260126,191000,4.93,4.93,4.93,4.93,600,0
KORE.US,5,20260126,192000,4.95,4.95,4.95,4.95,100,0
KORE.US,5,20260126,195500,4.935,4.935,4.8401,4.8401,3900,0
KORE.US,5,20260126,200000,4.87,4.87,4.87,4.87,1726,0
KORE.US,5,20260126,202000,4.85,4.85,4.85,4.85,100,0
KORE.US,5,20260126,204500,4.86,4.86,4.84,4.84,513,0
KORE.US,5,20260126,205000,4.85,4.85,4.85,4.85,100,0
KORE.US,5,20260126,205500,4.845,4.86,4.7768,4.7768,4940,0
KORE.US,5,20260126,211500,4.77,4.77,4.75,4.75,5678,0
KORE.US,5,20260126,212000,4.75,4.77,4.74,4.74,300,0
KORE.US,5,20260126,213500,4.7577,4.7577,4.7577,4.7577,121,0
KORE.US,5,20260126,214500,4.76,4.76,4.75,4.75,3412,0
KORE.US,5,20260126,215000,4.74,4.74,4.695,4.695,1914,0
KORE.US,5,20260126,215500,4.7076,4.73,4.65,4.65,3816,0
KORE.US,5,20260127,153500,4.7,4.7,4.46,4.5898,4546,0
KORE.US,5,20260127,155000,4.565,4.68,4.565,4.67,3614,0
KORE.US,5,20260127,155500,4.66,4.667,4.65,4.65,3690,0
KORE.US,5,20260127,160000,4.65,4.65,4.65,4.65,228,0
KORE.US,5,20260127,160500,4.65,4.65,4.65,4.65,1370,0
KORE.US,5,20260127,161000,4.65,4.65,4.65,4.65,206,0
KORE.US,5,20260127,162000,4.66,4.7,4.66,4.68,2925,0
KORE.US,5,20260127,163500,4.68,4.6954,4.68,4.6954,824,0
KORE.US,5,20260127,164500,4.7,4.77,4.7,4.77,4170,0
KORE.US,5,20260127,165000,4.79,4.79,4.79,4.79,100,0
KORE.US,5,20260127,175000,4.8995,4.905,4.8995,4.905,300,0
KORE.US,5,20260127,181500,4.89,4.9,4.89,4.9,710,0
KORE.US,5,20260127,183000,4.8608,4.8608,4.8608,4.8608,1258,0
KORE.US,5,20260127,184000,4.86,4.86,4.85,4.8501,1682,0
KORE.US,5,20260127,200000,4.88,4.88,4.88,4.88,400,0
KORE.US,5,20260127,214500,4.93,4.93,4.91,4.91,300,0
KORE.US,5,20260127,215500,4.86,4.9,4.86,4.89,2048,0
KORE.US,5,20260128,153000,4.85,4.85,4.85,4.85,400,0
KORE.US,5,20260128,153500,4.8746,4.8746,4.8746,4.8746,227,0
KORE.US,5,20260128,154000,4.9,4.97,4.9,4.92,10262,0
KORE.US,5,20260128,161000,4.93,4.96,4.87,4.9,3680,0
KORE.US,5,20260128,161500,4.88,4.88,4.88,4.88,200,0
KORE.US,5,20260128,162000,4.95,4.97,4.94,4.95,3682,0
KORE.US,5,20260128,162500,4.895,4.895,4.895,4.895,100,0
KORE.US,5,20260128,163000,4.915,4.915,4.915,4.915,100,0
KORE.US,5,20260128,164500,4.91,4.92,4.9,4.9,5757,0
KORE.US,5,20260128,171500,4.93,4.93,4.93,4.93,100,0
KORE.US,5,20260128,175500,4.97,4.97,4.97,4.97,100,0
KORE.US,5,20260128,181000,4.93,4.948,4.92,4.948,1104,0
KORE.US,5,20260128,190500,4.94,4.95,4.935,4.95,1830,0
KORE.US,5,20260128,192000,4.95,4.95,4.95,4.95,100,0
KORE.US,5,20260128,195000,4.92,4.92,4.9,4.9,3082,0
KORE.US,5,20260128,200500,4.85,4.86,4.85,4.85,2977,0
KORE.US,5,20260128,204000,4.855,4.855,4.83,4.83,750,0
KORE.US,5,20260128,204500,4.85,4.85,4.85,4.85,100,0
KORE.US,5,20260128,210000,4.9,4.91,4.89,4.89,300,0
KORE.US,5,20260128,211500,4.9,4.9,4.885,4.885,3500,0
KORE.US,5,20260128,213500,4.9,4.9,4.9,4.9,100,0
KORE.US,5,20260128,215000,4.9,4.9,4.9,4.9,200,0
KORE.US,5,20260128,215500,4.87,4.88,4.87,4.88,952,0
KORE.US,5,20260129,153000,4.86,4.86,4.85,4.86,346,0
KORE.US,5,20260129,163500,4.9,4.9,4.88,4.88,1300,0
KORE.US,5,20260129,170500,4.9,4.9,4.9,4.9,200,0
KORE.US,5,20260129,171000,4.925,4.925,4.9,4.9001,2464,0
KORE.US,5,20260129,172000,4.9,4.9,4.9,4.9,2600,0
KORE.US,5,20260129,172500,4.9,4.9,4.9,4.9,1100,0
KORE.US,5,20260129,173000,4.9,4.9,4.9,4.9,3100,0
KORE.US,5,20260129,173500,4.9,4.9,4.9,4.9,200,0
KORE.US,5,20260129,174500,4.9,4.9,4.9,4.9,100,0
KORE.US,5,20260129,180000,4.9,4.9,4.9,4.9,100,0
KORE.US,5,20260129,181000,4.91,4.91,4.91,4.91,100,0
KORE.US,5,20260129,193000,4.92,4.92,4.92,4.92,100,0
KORE.US,5,20260129,200000,4.94,4.94,4.94,4.94,2024,0
KORE.US,5,20260129,201500,4.94,4.97,4.9399,4.9399,4817,0
KORE.US,5,20260129,203000,4.97,4.99,4.97,4.97,5578,0
KORE.US,5,20260129,204500,4.95,4.95,4.95,4.95,2920,0
KORE.US,5,20260129,205500,4.9201,4.9201,4.91,4.91,900,0
KORE.US,5,20260129,214500,4.92,4.92,4.92,4.92,100,0
KORE.US,5,20260129,215500,4.9,4.92,4.9,4.907,729,0
KORE.US,5,20260130,153000,4.89,4.92,4.74,4.91,6065,0
KORE.US,5,20260130,153500,4.93,4.93,4.93,4.93,100,0
KORE.US,5,20260130,172500,4.94,4.99,4.94,4.99,2883,0
KORE.US,5,20260130,173000,4.99,5.1593,4.99,5.1593,15659,0
KORE.US,5,20260130,173500,4.99,5.03,4.99,5,1400,0
KORE.US,5,20260130,174000,5.15,5.15,5.15,5.15,1879,0
KORE.US,5,20260130,174500,5.02,5.02,5.02,5.02,100,0
KORE.US,5,20260130,180000,5.04,5.07,5.04,5.07,200,0
KORE.US,5,20260130,181000,4.9237,4.98,4.9237,4.98,284,0
KORE.US,5,20260130,183500,4.925,4.925,4.925,4.925,2008,0
KORE.US,5,20260130,193000,4.95,4.95,4.95,4.95,200,0
KORE.US,5,20260130,194000,4.945,4.98,4.945,4.98,2266,0
KORE.US,5,20260130,194500,4.985,4.985,4.97,4.97,400,0
KORE.US,5,20260130,201000,4.915,4.915,4.915,4.915,300,0
KORE.US,5,20260130,204500,4.94,4.94,4.94,4.94,412,0
KORE.US,5,20260130,205000,4.94,4.94,4.94,4.94,500,0
KORE.US,5,20260130,210500,4.99,4.99,4.99,4.99,100,0
KORE.US,5,20260130,212000,4.995,4.995,4.995,4.995,250,0
KORE.US,5,20260130,215000,4.97,4.975,4.97,4.975,306,0
KORE.US,5,20260130,215500,4.96,4.96,4.95,4.96,1862,0
KORE.US,5,20260202,153000,5.09,5.16,5.05,5.16,4533,0
KORE.US,5,20260202,153500,5.16,5.2899,5.16,5.2899,945,0
KORE.US,5,20260202,154000,5.11,5.11,5.1,5.1,340,0
KORE.US,5,20260202,154500,5.235,5.235,5.235,5.235,150,0
KORE.US,5,20260202,155000,5.255,5.255,5.12,5.13,700,0
KORE.US,5,20260202,155500,5.2245,5.2245,5.18,5.19,4134,0
KORE.US,5,20260202,160000,5.18,5.19,5.18,5.18,1300,0
KORE.US,5,20260202,160500,5.1201,5.1201,5.11,5.12,2568,0
KORE.US,5,20260202,161000,5.1,5.1,5.1,5.1,200,0
KORE.US,5,20260202,161500,5.1,5.1,5.02,5.0235,1395,0
KORE.US,5,20260202,162000,5.02,5.0446,5.01,5.0446,4362,0
KORE.US,5,20260202,162500,5.01,5.01,5.01,5.01,100,0
KORE.US,5,20260202,163000,5.04,5.04,5.04,5.04,500,0
KORE.US,5,20260202,163500,5,5,5,5,453,0
