<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LEO.US,5,20260126,153500,6.34,6.34,6.33,6.33,10480,0
LEO.US,5,20260126,154000,6.335,6.34,6.335,6.335,3390,0
LEO.US,5,20260126,154500,6.335,6.335,6.335,6.335,3222,0
LEO.US,5,20260126,155000,6.335,6.345,6.335,6.342,4060,0
LEO.US,5,20260126,155500,6.345,6.345,6.34,6.3402,1090,0
LEO.US,5,20260126,160000,6.3454,6.3454,6.34,6.34,300,0
LEO.US,5,20260126,160500,6.3454,6.3454,6.34,6.34,4800,0
LEO.US,5,20260126,161000,6.3454,6.3454,6.34,6.34,900,0
LEO.US,5,20260126,161500,6.34,6.34,6.34,6.34,1100,0
LEO.US,5,20260126,162000,6.3401,6.3414,6.34,6.34,3209,0
LEO.US,5,20260126,162500,6.34,6.343,6.34,6.34,4200,0
LEO.US,5,20260126,163000,6.34,6.3454,6.34,6.3401,2800,0
LEO.US,5,20260126,163500,6.34,6.3452,6.34,6.34,20220,0
LEO.US,5,20260126,164000,6.3411,6.3411,6.34,6.34,1416,0
LEO.US,5,20260126,164500,6.34,6.3434,6.34,6.34,7770,0
LEO.US,5,20260126,165000,6.345,6.345,6.32,6.328,15155,0
LEO.US,5,20260126,165500,6.32,6.32,6.32,6.32,500,0
LEO.US,5,20260126,170000,6.32,6.32,6.31,6.315,17062,0
LEO.US,5,20260126,170500,6.315,6.315,6.315,6.315,1340,0
LEO.US,5,20260126,171000,6.315,6.32,6.31,6.31,2600,0
LEO.US,5,20260126,171500,6.31,6.31,6.31,6.31,262,0
LEO.US,5,20260126,172000,6.31,6.31,6.31,6.31,1198,0
LEO.US,5,20260126,172500,6.31,6.315,6.31,6.315,11707,0
LEO.US,5,20260126,173000,6.315,6.315,6.31,6.31,1353,0
LEO.US,5,20260126,173500,6.315,6.315,6.31,6.315,700,0
LEO.US,5,20260126,174000,6.315,6.315,6.315,6.315,800,0
LEO.US,5,20260126,174500,6.315,6.315,6.31,6.315,1100,0
LEO.US,5,20260126,175000,6.31,6.315,6.31,6.315,900,0
LEO.US,5,20260126,175500,6.315,6.315,6.31,6.31,780,0
LEO.US,5,20260126,180000,6.315,6.315,6.31,6.31,300,0
LEO.US,5,20260126,180500,6.31,6.315,6.31,6.315,870,0
LEO.US,5,20260126,181000,6.315,6.315,6.315,6.315,1430,0
LEO.US,5,20260126,181500,6.315,6.315,6.315,6.315,400,0
LEO.US,5,20260126,182000,6.315,6.315,6.315,6.315,200,0
LEO.US,5,20260126,182500,6.315,6.3199,6.315,6.3199,1300,0
LEO.US,5,20260126,183000,6.315,6.315,6.315,6.315,1300,0
LEO.US,5,20260126,183500,6.315,6.315,6.315,6.315,300,0
LEO.US,5,20260126,184000,6.315,6.315,6.315,6.315,300,0
LEO.US,5,20260126,184500,6.31,6.315,6.31,6.315,600,0
LEO.US,5,20260126,185000,6.315,6.315,6.315,6.315,100,0
LEO.US,5,20260126,185500,6.315,6.315,6.315,6.315,300,0
LEO.US,5,20260126,190000,6.315,6.315,6.31,6.31,200,0
LEO.US,5,20260126,190500,6.315,6.315,6.31,6.31,300,0
LEO.US,5,20260126,191000,6.31,6.31,6.31,6.31,100,0
LEO.US,5,20260126,191500,6.31,6.31,6.31,6.31,300,0
