<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPL.US,5,20260126,153000,4.43,4.4369,4.385,4.395,12982,0
LPL.US,5,20260126,153500,4.4,4.405,4.395,4.4,9773,0
LPL.US,5,20260126,154000,4.4,4.415,4.4,4.415,2365,0
LPL.US,5,20260126,154500,4.42,4.42,4.415,4.415,2856,0
LPL.US,5,20260126,155000,4.415,4.42,4.415,4.415,400,0
LPL.US,5,20260126,155500,4.415,4.45,4.415,4.445,44074,0
LPL.US,5,20260126,160000,4.44,4.44,4.4312,4.435,2622,0
LPL.US,5,20260126,160500,4.435,4.435,4.435,4.435,400,0
LPL.US,5,20260126,161000,4.435,4.435,4.43,4.43,400,0
LPL.US,5,20260126,161500,4.43,4.435,4.4246,4.435,8839,0
LPL.US,5,20260126,162000,4.44,4.46,4.435,4.455,21377,0
LPL.US,5,20260126,162500,4.45,4.45,4.44,4.44,9472,0
LPL.US,5,20260126,163000,4.44,4.445,4.435,4.445,5905,0
LPL.US,5,20260126,163500,4.44,4.445,4.435,4.445,7846,0
LPL.US,5,20260126,164000,4.445,4.445,4.44,4.4414,808,0
LPL.US,5,20260126,164500,4.44,4.445,4.44,4.445,1023,0
LPL.US,5,20260126,165500,4.4489,4.4489,4.4489,4.4489,206,0
LPL.US,5,20260126,170000,4.44,4.45,4.44,4.45,1452,0
LPL.US,5,20260126,170500,4.4486,4.4486,4.44,4.44,1438,0
LPL.US,5,20260126,171000,4.44,4.44,4.435,4.438,3472,0
LPL.US,5,20260126,171500,4.4386,4.4386,4.43,4.435,4653,0
LPL.US,5,20260126,172000,4.43,4.435,4.43,4.43,7685,0
LPL.US,5,20260126,172500,4.4387,4.4387,4.4387,4.4387,256,0
LPL.US,5,20260126,173000,4.4386,4.4386,4.43,4.435,1335,0
LPL.US,5,20260126,173500,4.43,4.44,4.43,4.435,5771,0
LPL.US,5,20260126,174000,4.435,4.435,4.43,4.433,2439,0
LPL.US,5,20260126,174500,4.435,4.44,4.435,4.435,3197,0
LPL.US,5,20260126,175000,4.435,4.4387,4.43,4.435,2389,0
LPL.US,5,20260126,175500,4.43,4.44,4.43,4.435,906,0
LPL.US,5,20260126,180000,4.44,4.44,4.435,4.435,1409,0
LPL.US,5,20260126,180500,4.435,4.44,4.435,4.435,4384,0
LPL.US,5,20260126,181000,4.435,4.44,4.435,4.435,3032,0
LPL.US,5,20260126,181500,4.435,4.44,4.435,4.435,600,0
LPL.US,5,20260126,182000,4.435,4.44,4.43,4.43,1100,0
LPL.US,5,20260126,182500,4.44,4.44,4.43,4.43,2315,0
LPL.US,5,20260126,183000,4.435,4.435,4.43,4.43,400,0
LPL.US,5,20260126,183500,4.435,4.435,4.43,4.43,1000,0
LPL.US,5,20260126,184000,4.43,4.435,4.43,4.43,1234,0
LPL.US,5,20260126,184500,4.43,4.43,4.43,4.43,1096,0
LPL.US,5,20260126,185000,4.43,4.43,4.43,4.43,640,0
LPL.US,5,20260126,185500,4.435,4.435,4.43,4.43,925,0
LPL.US,5,20260126,190000,4.43,4.4316,4.43,4.43,1178,0
LPL.US,5,20260126,190500,4.43,4.43,4.42,4.42,4973,0
LPL.US,5,20260126,191000,4.425,4.425,4.425,4.425,200,0
LPL.US,5,20260126,191500,4.425,4.43,4.42,4.42,1700,0
LPL.US,5,20260126,192000,4.425,4.43,4.425,4.425,1100,0
LPL.US,5,20260126,192500,4.43,4.43,4.4215,4.4215,4388,0
LPL.US,5,20260126,193000,4.425,4.425,4.425,4.425,600,0
LPL.US,5,20260126,193500,4.43,4.43,4.425,4.425,500,0
LPL.US,5,20260126,194000,4.425,4.4299,4.42,4.425,1771,0
LPL.US,5,20260126,194500,4.42,4.425,4.42,4.425,634,0
LPL.US,5,20260126,195000,4.425,4.425,4.425,4.425,800,0
LPL.US,5,20260126,195500,4.425,4.43,4.42,4.43,2376,0
LPL.US,5,20260126,200000,4.425,4.425,4.425,4.425,400,0
LPL.US,5,20260126,200500,4.42,4.4258,4.42,4.42,3200,0
LPL.US,5,20260126,201000,4.42,4.425,4.42,4.4246,1663,0
