<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LQTI.US,5,20260126,153000,20.01,20.01,20.01,20.01,218,0
LQTI.US,5,20260126,153500,20.07,20.07,20.07,20.07,100,0
LQTI.US,5,20260126,154500,20.06,20.06,20.0435,20.0435,1499,0
LQTI.US,5,20260126,155000,20,20,20,20,200,0
LQTI.US,5,20260126,155500,20.06,20.06,20.06,20.06,100,0
LQTI.US,5,20260126,161500,20.06,20.06,20.06,20.06,100,0
LQTI.US,5,20260126,162000,20.0585,20.0585,20.0585,20.0585,2253,0
LQTI.US,5,20260126,162500,20.0297,20.06,20.0297,20.06,247,0
LQTI.US,5,20260126,165500,20.033,20.06,20.033,20.06,207,0
LQTI.US,5,20260126,170500,20.06,20.06,20.06,20.06,100,0
LQTI.US,5,20260126,171000,20.06,20.06,20.06,20.06,200,0
LQTI.US,5,20260126,171500,20.06,20.06,20.06,20.06,100,0
LQTI.US,5,20260126,173500,20.0281,20.0281,20.0281,20.0281,3191,0
LQTI.US,5,20260126,174000,20.059,20.059,20.059,20.059,600,0
LQTI.US,5,20260126,174500,20.06,20.06,20.06,20.06,300,0
LQTI.US,5,20260126,181500,20.05,20.05,20.05,20.05,100,0
LQTI.US,5,20260126,182500,20.05,20.05,20.04,20.04,1919,0
LQTI.US,5,20260126,183500,20.05,20.05,20.05,20.05,100,0
LQTI.US,5,20260126,184500,20.0462,20.0462,20.0462,20.0462,952,0
LQTI.US,5,20260126,190500,20.045,20.045,20.045,20.045,382,0
LQTI.US,5,20260126,191000,20.06,20.06,20.045,20.045,1320,0
LQTI.US,5,20260126,191500,20.06,20.06,20.0599,20.0599,2345,0
LQTI.US,5,20260126,192000,20.06,20.06,20.06,20.06,100,0
LQTI.US,5,20260126,195500,20.06,20.06,20.0599,20.0599,800,0
LQTI.US,5,20260126,201000,20.059,20.06,20.03,20.03,4796,0
LQTI.US,5,20260126,204000,20.0597,20.0597,20.0597,20.0597,860,0
LQTI.US,5,20260126,204500,20.06,20.06,20.06,20.06,100,0
LQTI.US,5,20260126,205500,20.0598,20.0598,20.0598,20.0598,7489,0
LQTI.US,5,20260126,210000,20.05,20.05,20.05,20.05,716,0
