<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAC.US,5,20260126,153000,18.305,18.305,18.18,18.18,2455,0
MAC.US,5,20260126,153500,18.19,18.25,18.19,18.24,14426,0
MAC.US,5,20260126,154000,18.235,18.34,18.235,18.31,10000,0
MAC.US,5,20260126,154500,18.32,18.33,18.32,18.33,674,0
MAC.US,5,20260126,155000,18.36,18.38,18.35,18.36,6719,0
MAC.US,5,20260126,155500,18.34,18.34,18.325,18.325,1024,0
MAC.US,5,20260126,160000,18.325,18.325,18.28,18.28,5390,0
MAC.US,5,20260126,160500,18.25,18.25,18.21,18.22,1680,0
MAC.US,5,20260126,161000,18.225,18.255,18.225,18.255,1977,0
MAC.US,5,20260126,161500,18.26,18.27,18.25,18.26,2355,0
MAC.US,5,20260126,162000,18.27,18.27,18.265,18.2699,1088,0
MAC.US,5,20260126,162500,18.25,18.25,18.175,18.175,5118,0
MAC.US,5,20260126,163000,18.17,18.215,18.155,18.205,4604,0
MAC.US,5,20260126,163500,18.21,18.21,18.18,18.19,4775,0
MAC.US,5,20260126,164000,18.2,18.23,18.18,18.2,17647,0
MAC.US,5,20260126,164500,18.2,18.22,18.18,18.18,6747,0
MAC.US,5,20260126,165000,18.19,18.215,18.19,18.2,6344,0
MAC.US,5,20260126,165500,18.21,18.21,18.18,18.19,5770,0
MAC.US,5,20260126,170000,18.2,18.2,18.18,18.19,6290,0
MAC.US,5,20260126,170500,18.19,18.2,18.185,18.19,10798,0
MAC.US,5,20260126,171000,18.19,18.19,18.16,18.19,8384,0
MAC.US,5,20260126,171500,18.185,18.19,18.17,18.19,6059,0
MAC.US,5,20260126,172000,18.19,18.21,18.19,18.205,4270,0
MAC.US,5,20260126,172500,18.21,18.25,18.205,18.25,16694,0
MAC.US,5,20260126,173000,18.25,18.275,18.23,18.27,9252,0
MAC.US,5,20260126,173500,18.27,18.27,18.255,18.26,4275,0
MAC.US,5,20260126,174000,18.2505,18.26,18.235,18.235,3666,0
MAC.US,5,20260126,174500,18.24,18.245,18.225,18.225,9525,0
MAC.US,5,20260126,175000,18.22,18.235,18.22,18.235,5003,0
MAC.US,5,20260126,175500,18.235,18.235,18.21,18.225,6826,0
MAC.US,5,20260126,180000,18.225,18.23,18.215,18.22,6693,0
MAC.US,5,20260126,180500,18.22,18.245,18.22,18.24,3808,0
MAC.US,5,20260126,181000,18.24,18.24,18.225,18.23,7473,0
MAC.US,5,20260126,181500,18.225,18.24,18.225,18.24,4992,0
MAC.US,5,20260126,182000,18.235,18.24,18.15,18.15,111993,0
MAC.US,5,20260126,182500,18.15,18.15,18.13,18.15,4466,0
MAC.US,5,20260126,183000,18.1599,18.1599,18.15,18.155,521,0
MAC.US,5,20260126,183500,18.1501,18.18,18.1501,18.175,2562,0
MAC.US,5,20260126,184000,18.17,18.17,18.155,18.165,7121,0
MAC.US,5,20260126,184500,18.165,18.165,18.145,18.15,3151,0
MAC.US,5,20260126,185000,18.15,18.155,18.15,18.155,979,0
MAC.US,5,20260126,185500,18.16,18.16,18.15,18.15,2215,0
MAC.US,5,20260126,190000,18.145,18.145,18.125,18.13,4886,0
MAC.US,5,20260126,190500,18.135,18.135,18.13,18.135,787,0
MAC.US,5,20260126,191000,18.135,18.1411,18.115,18.12,3911,0
MAC.US,5,20260126,191500,18.12,18.12,18.115,18.115,1820,0
MAC.US,5,20260126,192000,18.11,18.12,18.11,18.115,4397,0
MAC.US,5,20260126,192500,18.115,18.195,18.115,18.19,13173,0
MAC.US,5,20260126,193000,18.19,18.19,18.1876,18.19,2323,0
