<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MEGI.US,5,20260126,153500,13.8799,13.9,13.8799,13.9,7718,0
MEGI.US,5,20260126,154000,13.9,13.9,13.9,13.9,188,0
MEGI.US,5,20260126,154500,13.9119,13.9689,13.91,13.9316,9281,0
MEGI.US,5,20260126,155500,13.945,13.945,13.921,13.921,7406,0
MEGI.US,5,20260126,160500,13.935,13.935,13.935,13.935,700,0
MEGI.US,5,20260126,162000,13.94,13.94,13.9397,13.94,6504,0
MEGI.US,5,20260126,162500,13.94,13.94,13.935,13.9355,1100,0
MEGI.US,5,20260126,163500,13.935,13.935,13.93,13.93,4889,0
MEGI.US,5,20260126,164500,13.93,13.93,13.93,13.93,990,0
MEGI.US,5,20260126,165000,13.92,13.9201,13.88,13.92,18667,0
MEGI.US,5,20260126,165500,13.92,13.96,13.92,13.94,14199,0
MEGI.US,5,20260126,170000,13.94,13.945,13.93,13.94,828,0
MEGI.US,5,20260126,170500,13.94,13.94,13.94,13.94,257,0
MEGI.US,5,20260126,171000,13.94,13.96,13.94,13.94,8083,0
MEGI.US,5,20260126,172000,13.94,13.96,13.94,13.96,2145,0
MEGI.US,5,20260126,172500,13.94,13.94,13.94,13.94,2500,0
MEGI.US,5,20260126,173000,13.94,13.9684,13.94,13.955,8399,0
MEGI.US,5,20260126,173500,13.955,13.955,13.955,13.955,100,0
MEGI.US,5,20260126,174000,13.9454,13.9454,13.9405,13.9405,200,0
MEGI.US,5,20260126,174500,13.9401,13.955,13.9401,13.955,1800,0
MEGI.US,5,20260126,175000,13.94,13.94,13.94,13.94,400,0
MEGI.US,5,20260126,180000,13.945723,13.955,13.94,13.94,2700,0
MEGI.US,5,20260126,181000,13.94,13.94,13.94,13.94,300,0
MEGI.US,5,20260126,182000,13.942,13.95,13.942,13.95,1700,0
MEGI.US,5,20260126,182500,13.95,13.95,13.95,13.95,222,0
MEGI.US,5,20260126,183500,13.942,13.9509,13.942,13.95,1840,0
MEGI.US,5,20260126,184000,13.96,13.97,13.955,13.955,14977,0
