<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSA.US,5,20260126,153500,180.8,180.8,180.79,180.79,200,0
MSA.US,5,20260126,154000,180.93,180.93,180.8,180.855,500,0
MSA.US,5,20260126,154500,180.42,180.87,180.2,180.86,3500,0
MSA.US,5,20260126,155500,180.9,180.9,180.9,180.9,126,0
MSA.US,5,20260126,161000,181.27,181.8,180.96,181.25,2184,0
MSA.US,5,20260126,161500,181.39,181.9,181.39,181.5,6246,0
MSA.US,5,20260126,162000,181.64,182.02,181.37,181.44,3105,0
MSA.US,5,20260126,163500,181.19,181.24,181.16,181.24,1344,0
MSA.US,5,20260126,164000,181.41,181.46,181.41,181.43,400,0
MSA.US,5,20260126,165500,181.15,181.15,181.15,181.15,372,0
MSA.US,5,20260126,170000,181.2,181.28,181.05,181.28,811,0
MSA.US,5,20260126,170500,180.99,180.99,180.99,180.99,100,0
MSA.US,5,20260126,171000,180.935,180.935,180.935,180.935,100,0
MSA.US,5,20260126,171500,180.79,180.79,180.79,180.79,100,0
MSA.US,5,20260126,172000,180.45,180.45,180.45,180.45,100,0
MSA.US,5,20260126,173500,180.81,180.82,180.55,180.55,1600,0
MSA.US,5,20260126,175500,180.55,180.55,180.4,180.4,200,0
MSA.US,5,20260126,180000,180.12,180.35,180.12,180.35,281,0
MSA.US,5,20260126,180500,180.325,180.4,180.2,180.23,1526,0
MSA.US,5,20260126,182000,180.09,180.23,180.09,180.23,297,0
MSA.US,5,20260126,183000,180.54542,180.54542,180.41,180.41,406,0
MSA.US,5,20260126,183500,180.47,180.47,180.47,180.47,414,0
MSA.US,5,20260126,184000,180.4654,180.4654,180.4654,180.4654,180,0
MSA.US,5,20260126,184500,180.22,180.22,180.22,180.22,136,0
MSA.US,5,20260126,190000,180.17,180.34,180.17,180.34,300,0
MSA.US,5,20260126,190500,180.34,180.3953,180.3225,180.38,520,0
MSA.US,5,20260126,191000,180.52,180.52,180.52,180.52,284,0
MSA.US,5,20260126,191500,180.62,180.62,180.62,180.62,200,0
MSA.US,5,20260126,192000,180.665,180.665,180.66,180.66,300,0
MSA.US,5,20260126,192500,180.695,180.695,180.695,180.695,100,0
MSA.US,5,20260126,193000,180.695,180.775,180.695,180.775,272,0
MSA.US,5,20260126,194000,180.52,180.52,180.46,180.46,200,0
MSA.US,5,20260126,194500,180.455,180.455,180.45,180.45,274,0
MSA.US,5,20260126,195000,180.22,180.25,180.22,180.25,200,0
MSA.US,5,20260126,195500,180.24,180.24,180.22,180.22,999,0
MSA.US,5,20260126,200000,180.27,180.27,180.145,180.145,700,0
MSA.US,5,20260126,200500,180.19,180.485,180.19,180.48,705,0
