<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSD.US,5,20260126,153000,7.6,7.6,7.6,7.6,1000,0
MSD.US,5,20260126,154500,7.6,7.62,7.59,7.6119,18794,0
MSD.US,5,20260126,155000,7.61,7.61,7.61,7.61,875,0
MSD.US,5,20260126,155500,7.605,7.605,7.605,7.605,1000,0
MSD.US,5,20260126,160500,7.6038,7.6038,7.6038,7.6038,1000,0
MSD.US,5,20260126,161000,7.595,7.595,7.595,7.595,100,0
MSD.US,5,20260126,161500,7.595,7.595,7.59,7.595,1433,0
MSD.US,5,20260126,162000,7.595,7.595,7.595,7.595,355,0
MSD.US,5,20260126,163500,7.595,7.596,7.595,7.596,455,0
MSD.US,5,20260126,164000,7.595,7.595,7.595,7.595,100,0
MSD.US,5,20260126,164500,7.5999,7.5999,7.595,7.595,250,0
MSD.US,5,20260126,165000,7.595,7.595,7.59,7.595,3860,0
MSD.US,5,20260126,165500,7.5942,7.595,7.5942,7.595,700,0
MSD.US,5,20260126,170000,7.595,7.595,7.595,7.595,375,0
MSD.US,5,20260126,171000,7.595,7.595,7.595,7.595,1100,0
MSD.US,5,20260126,171500,7.595,7.5987,7.595,7.595,1154,0
MSD.US,5,20260126,172500,7.595,7.595,7.595,7.595,1553,0
MSD.US,5,20260126,173000,7.594,7.595,7.594,7.595,2382,0
MSD.US,5,20260126,173500,7.595,7.595,7.595,7.595,600,0
MSD.US,5,20260126,174000,7.595,7.595,7.59,7.595,2600,0
MSD.US,5,20260126,174500,7.595,7.595,7.595,7.595,200,0
MSD.US,5,20260126,175500,7.595,7.6,7.5901,7.595,3335,0
MSD.US,5,20260126,183000,7.5914,7.5914,7.5914,7.5914,100,0
MSD.US,5,20260126,183500,7.595,7.595,7.595,7.595,100,0
MSD.US,5,20260126,184000,7.6,7.6,7.6,7.6,1567,0
MSD.US,5,20260126,185000,7.595,7.6,7.59,7.595,4753,0
MSD.US,5,20260126,193000,7.595,7.5955,7.59,7.59,3030,0
MSD.US,5,20260126,193500,7.6,7.6,7.595,7.595,624,0
MSD.US,5,20260126,194000,7.593,7.595,7.593,7.595,1400,0
MSD.US,5,20260126,194500,7.59,7.595,7.59,7.595,2481,0
MSD.US,5,20260126,195000,7.59,7.59,7.59,7.59,400,0
MSD.US,5,20260126,201000,7.585,7.585,7.585,7.585,100,0
MSD.US,5,20260126,202500,7.59,7.59,7.585,7.59,633,0
MSD.US,5,20260126,203500,7.595,7.595,7.595,7.595,607,0
MSD.US,5,20260126,204500,7.595,7.595,7.595,7.595,199,0
MSD.US,5,20260126,205500,7.595,7.5999,7.59,7.59,600,0
MSD.US,5,20260126,210000,7.5908,7.5908,7.5908,7.5908,200,0
MSD.US,5,20260126,211500,7.59,7.6,7.59,7.595,2943,0
MSD.US,5,20260126,212000,7.5942,7.5942,7.5942,7.5942,310,0
MSD.US,5,20260126,212500,7.595,7.5999,7.595,7.5999,1300,0
MSD.US,5,20260126,213000,7.595,7.595,7.595,7.595,260,0
MSD.US,5,20260126,213500,7.5945,7.5954,7.59,7.59,1600,0
MSD.US,5,20260126,214000,7.595,7.595,7.59,7.595,1000,0
MSD.US,5,20260126,214500,7.6,7.6,7.59,7.5901,1900,0
MSD.US,5,20260126,215000,7.595,7.5991,7.59,7.59,2074,0
MSD.US,5,20260126,215500,7.59,7.59,7.59,7.59,100,0
MSD.US,5,20260127,153000,7.6114,7.62,7.6114,7.62,3216,0
MSD.US,5,20260127,153500,7.62,7.62,7.6192,7.6192,726,0
MSD.US,5,20260127,154000,7.62,7.62,7.62,7.62,500,0
MSD.US,5,20260127,155000,7.61,7.615,7.61,7.615,6858,0
MSD.US,5,20260127,155500,7.6135,7.615,7.6135,7.615,960,0
MSD.US,5,20260127,160000,7.615,7.615,7.615,7.615,440,0
MSD.US,5,20260127,160500,7.615,7.6199,7.615,7.6199,1000,0
MSD.US,5,20260127,161000,7.6101,7.6101,7.6101,7.6101,2500,0
MSD.US,5,20260127,162500,7.61,7.6172,7.605,7.6172,9144,0
MSD.US,5,20260127,163000,7.61,7.615,7.61,7.615,1142,0
MSD.US,5,20260127,163500,7.61,7.615,7.61,7.61,700,0
MSD.US,5,20260127,164000,7.615,7.615,7.615,7.615,100,0
MSD.US,5,20260127,165000,7.615,7.615,7.615,7.615,100,0
MSD.US,5,20260127,170000,7.6146,7.6146,7.6146,7.6146,200,0
MSD.US,5,20260127,170500,7.615,7.615,7.615,7.615,200,0
MSD.US,5,20260127,172500,7.61,7.61,7.61,7.61,3000,0
MSD.US,5,20260127,173500,7.615,7.615,7.615,7.615,656,0
MSD.US,5,20260127,174500,7.61,7.61,7.61,7.61,100,0
MSD.US,5,20260127,175500,7.618,7.62,7.618,7.62,1848,0
MSD.US,5,20260127,180000,7.62,7.62,7.6199,7.62,570,0
MSD.US,5,20260127,180500,7.62,7.63,7.62,7.62,3575,0
MSD.US,5,20260127,181000,7.62,7.62,7.615,7.615,200,0
MSD.US,5,20260127,181500,7.615,7.615,7.6135,7.6135,540,0
MSD.US,5,20260127,182000,7.6195,7.62,7.618,7.62,300,0
MSD.US,5,20260127,182500,7.615,7.62,7.615,7.62,600,0
MSD.US,5,20260127,183500,7.62,7.62,7.62,7.62,300,0
MSD.US,5,20260127,184000,7.615,7.615,7.615,7.615,1312,0
MSD.US,5,20260127,184500,7.62,7.62,7.62,7.62,300,0
MSD.US,5,20260127,185500,7.62,7.62,7.62,7.62,421,0
MSD.US,5,20260127,190000,7.62,7.62,7.62,7.62,400,0
MSD.US,5,20260127,190500,7.62,7.62,7.615,7.615,322,0
MSD.US,5,20260127,191000,7.6199,7.62,7.6147,7.6147,4027,0
MSD.US,5,20260127,191500,7.6146,7.6146,7.6146,7.6146,244,0
MSD.US,5,20260127,192000,7.62,7.62,7.62,7.62,466,0
MSD.US,5,20260127,192500,7.62,7.62,7.62,7.62,104,0
MSD.US,5,20260127,193000,7.62,7.62,7.62,7.62,400,0
MSD.US,5,20260127,194000,7.62,7.62,7.62,7.62,633,0
MSD.US,5,20260127,195000,7.62,7.62,7.62,7.62,300,0
MSD.US,5,20260127,195500,7.62,7.62,7.62,7.62,477,0
MSD.US,5,20260127,200500,7.62,7.625,7.62,7.625,1677,0
MSD.US,5,20260127,201500,7.623,7.625,7.623,7.625,1825,0
MSD.US,5,20260127,203500,7.63,7.63,7.6299,7.6299,6747,0
MSD.US,5,20260127,204000,7.6254,7.6254,7.625,7.625,397,0
MSD.US,5,20260127,205500,7.63,7.63,7.625,7.625,300,0
MSD.US,5,20260127,210000,7.6294,7.6294,7.6207,7.6218,3376,0
MSD.US,5,20260127,210500,7.625,7.625,7.625,7.625,1300,0
MSD.US,5,20260127,211000,7.63,7.63,7.63,7.63,100,0
MSD.US,5,20260127,212000,7.63,7.635,7.63,7.63,2451,0
MSD.US,5,20260127,212500,7.6255,7.63,7.6255,7.63,1969,0
MSD.US,5,20260127,213000,7.63,7.631,7.6279,7.63,1277,0
MSD.US,5,20260127,213500,7.635,7.635,7.635,7.635,100,0
MSD.US,5,20260127,214000,7.64,7.645,7.6399,7.6399,14360,0
MSD.US,5,20260127,214500,7.648315,7.648315,7.64,7.645,11343,0
MSD.US,5,20260127,215000,7.645,7.65,7.64,7.645,1527,0
MSD.US,5,20260127,215500,7.645,7.65,7.63,7.63,8497,0
MSD.US,5,20260128,153500,7.63,7.63,7.61,7.6236,14214,0
MSD.US,5,20260128,154000,7.6321,7.6321,7.6321,7.6321,3660,0
MSD.US,5,20260128,155000,7.635,7.6395,7.635,7.6395,2157,0
MSD.US,5,20260128,155500,7.6388,7.6388,7.635,7.635,3110,0
MSD.US,5,20260128,160000,7.635,7.6499,7.62,7.62,6785,0
MSD.US,5,20260128,161000,7.6261,7.6261,7.6261,7.6261,132,0
MSD.US,5,20260128,162000,7.62,7.62,7.62,7.62,125,0
MSD.US,5,20260128,162500,7.63,7.63,7.63,7.63,100,0
MSD.US,5,20260128,163500,7.64,7.64,7.64,7.64,100,0
MSD.US,5,20260128,164000,7.64,7.64,7.64,7.64,300,0
MSD.US,5,20260128,164500,7.64,7.64,7.64,7.64,200,0
MSD.US,5,20260128,165000,7.63,7.63,7.63,7.63,1419,0
MSD.US,5,20260128,165500,7.65,7.65,7.65,7.65,337,0
MSD.US,5,20260128,170500,7.63,7.63,7.63,7.63,1032,0
MSD.US,5,20260128,171500,7.64,7.64,7.64,7.64,100,0
MSD.US,5,20260128,172000,7.64,7.64,7.64,7.64,1500,0
MSD.US,5,20260128,172500,7.645,7.645,7.635,7.635,7588,0
MSD.US,5,20260128,173000,7.64,7.64,7.63,7.63,800,0
MSD.US,5,20260128,174000,7.64,7.64,7.64,7.64,200,0
MSD.US,5,20260128,174500,7.64,7.64,7.64,7.64,200,0
MSD.US,5,20260128,175000,7.64,7.64,7.64,7.64,100,0
MSD.US,5,20260128,180500,7.64,7.64,7.64,7.64,900,0
MSD.US,5,20260128,181500,7.6434,7.6434,7.6327,7.6327,445,0
MSD.US,5,20260128,182000,7.64,7.64,7.64,7.64,1292,0
MSD.US,5,20260128,182500,7.64,7.64,7.64,7.64,279,0
MSD.US,5,20260128,183000,7.64,7.644,7.64,7.64,1724,0
MSD.US,5,20260128,183500,7.64,7.64,7.63,7.63,14400,0
MSD.US,5,20260128,184500,7.6365,7.6365,7.63,7.63,1870,0
MSD.US,5,20260128,185000,7.6399,7.6399,7.6346,7.6346,493,0
MSD.US,5,20260128,185500,7.6337,7.6337,7.63,7.63,1797,0
MSD.US,5,20260128,191500,7.635,7.635,7.635,7.635,200,0
MSD.US,5,20260128,192000,7.635,7.635,7.635,7.635,200,0
MSD.US,5,20260128,192500,7.635844,7.635844,7.635844,7.635844,200,0
MSD.US,5,20260128,193000,7.635,7.6363,7.635,7.6363,1968,0
MSD.US,5,20260128,194500,7.635,7.635,7.635,7.635,447,0
MSD.US,5,20260128,200000,7.635,7.635,7.635,7.635,100,0
MSD.US,5,20260128,200500,7.64,7.64,7.635,7.635,362,0
