<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NAD.US,5,20260126,153000,11.985,11.985,11.95,11.96,6536,0
NAD.US,5,20260126,153500,11.95,11.96,11.95,11.955,6356,0
NAD.US,5,20260126,154000,11.955,11.9665,11.955,11.965,7150,0
NAD.US,5,20260126,154500,11.965,11.99,11.965,11.97,19300,0
NAD.US,5,20260126,155000,11.975,11.978,11.971,11.9758,1620,0
NAD.US,5,20260126,155500,11.975,11.975,11.975,11.975,700,0
NAD.US,5,20260126,160000,11.97,11.985,11.96,11.97,14638,0
NAD.US,5,20260126,160500,11.975,11.9766,11.975,11.9766,200,0
NAD.US,5,20260126,161000,11.97,11.97,11.95,11.9545,4158,0
NAD.US,5,20260126,161500,11.9575,11.96,11.935,11.935,14871,0
NAD.US,5,20260126,162000,11.94,11.94,11.94,11.94,2521,0
NAD.US,5,20260126,162500,11.9496,11.9496,11.9496,11.9496,2761,0
NAD.US,5,20260126,163000,11.945,11.95,11.945,11.9499,3600,0
NAD.US,5,20260126,163500,11.95,11.95,11.93,11.935,22316,0
NAD.US,5,20260126,164000,11.935,11.9386,11.93,11.935,3988,0
NAD.US,5,20260126,164500,11.934,11.935,11.93,11.93,729,0
NAD.US,5,20260126,165000,11.93,11.94,11.93,11.935,14636,0
NAD.US,5,20260126,165500,11.935,11.9354,11.93,11.93,2919,0
NAD.US,5,20260126,170000,11.9354,11.9386,11.93,11.935,3286,0
NAD.US,5,20260126,170500,11.93,11.9301,11.92,11.92,7086,0
NAD.US,5,20260126,171000,11.92,11.93,11.92,11.92,3498,0
NAD.US,5,20260126,171500,11.92,11.93,11.92,11.93,4828,0
NAD.US,5,20260126,172000,11.9249,11.93,11.9249,11.925,25906,0
NAD.US,5,20260126,172500,11.9207,11.93,11.91,11.91,51449,0
NAD.US,5,20260126,173000,11.91,11.92,11.91,11.92,2908,0
NAD.US,5,20260126,173500,11.915,11.92,11.915,11.9166,1350,0
NAD.US,5,20260126,174000,11.9146,11.92,11.91,11.9186,9675,0
NAD.US,5,20260126,174500,11.915,11.9154,11.91,11.915,11494,0
NAD.US,5,20260126,175000,11.915,11.9187,11.9115,11.915,5704,0
NAD.US,5,20260126,175500,11.915,11.915,11.91,11.91,1236,0
NAD.US,5,20260126,180000,11.9187,11.92,11.91,11.9185,10084,0
NAD.US,5,20260126,180500,11.915,11.915,11.91,11.9101,3692,0
NAD.US,5,20260126,181000,11.91,11.9114,11.91,11.91,2377,0
NAD.US,5,20260126,181500,11.91,11.91,11.91,11.91,1687,0
NAD.US,5,20260126,182000,11.9185,11.9185,11.91,11.91,2394,0
NAD.US,5,20260126,182500,11.91,11.91,11.91,11.91,3567,0
NAD.US,5,20260126,183000,11.91,11.92,11.91,11.91,6133,0
