<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NBIE.US,5,20260316,152000,24.705,24.74,24.67,24.74,1165,0
NBIE.US,5,20260316,153000,24.6801,24.6801,24.6801,24.6801,1166,0
NBIE.US,5,20260316,160500,24.64,24.64,24.64,24.64,2257,0
NBIE.US,5,20260316,161000,24.61,24.61,24.61,24.61,6799,0
NBIE.US,5,20260316,173500,24.5671,24.5671,24.5671,24.5671,1596,0
NBIE.US,5,20260316,181500,24.64,24.64,24.64,24.64,440,0
NBIE.US,5,20260316,184500,24.5847,24.5847,24.5847,24.5847,1989,0
NBIE.US,5,20260316,191500,24.6558,24.6558,24.6558,24.6558,444,0
NBIE.US,5,20260316,194000,24.74,24.7401,24.74,24.7401,1164,0
NBIE.US,5,20260316,201000,24.81,24.81,24.81,24.81,723,0
NBIE.US,5,20260316,202500,24.728,24.728,24.728,24.728,299,0
NBIE.US,5,20260317,152500,24.91,24.91,24.91,24.91,1685,0
NBIE.US,5,20260317,154000,24.93,24.93,24.93,24.93,100,0
NBIE.US,5,20260317,155000,24.925,24.925,24.925,24.925,105,0
NBIE.US,5,20260317,160000,24.9213,24.9213,24.9213,24.9213,1005,0
NBIE.US,5,20260317,161000,24.905,24.9299,24.905,24.9299,9442,0
NBIE.US,5,20260317,161500,24.905,24.905,24.905,24.905,100,0
NBIE.US,5,20260317,162000,24.87,24.87,24.87,24.87,190,0
NBIE.US,5,20260317,171000,24.835,24.84,24.835,24.835,1352,0
NBIE.US,5,20260317,183500,24.844,24.844,24.844,24.844,176,0
NBIE.US,5,20260317,184500,24.85,24.85,24.85,24.85,855,0
NBIE.US,5,20260317,193000,24.8249,24.835,24.8249,24.835,281,0
NBIE.US,5,20260318,152000,24.58,24.5801,24.5,24.5,7556,0
NBIE.US,5,20260318,153000,24.56,24.58,24.56,24.58,280,0
NBIE.US,5,20260318,154000,24.56,24.56,24.56,24.56,10700,0
NBIE.US,5,20260318,155500,24.55,24.5501,24.55,24.5501,1772,0
NBIE.US,5,20260318,160500,24.57,24.57,24.57,24.57,100,0
NBIE.US,5,20260318,161500,24.61,24.6101,24.61,24.6101,3600,0
NBIE.US,5,20260318,162000,24.55,24.5501,24.55,24.5501,2986,0
NBIE.US,5,20260318,162500,24.566,24.566,24.566,24.566,241,0
NBIE.US,5,20260318,164000,24.57,24.57,24.57,24.57,1140,0
NBIE.US,5,20260318,164500,24.555,24.555,24.555,24.555,207,0
NBIE.US,5,20260318,173500,24.555,24.555,24.555,24.555,100,0
NBIE.US,5,20260318,183500,24.555,24.555,24.555,24.555,115,0
NBIE.US,5,20260318,193500,24.54,24.54,24.54,24.54,100,0
NBIE.US,5,20260318,195000,24.5,24.5,24.5,24.5,100,0
NBIE.US,5,20260318,202000,24.38,24.38,24.38,24.38,1814,0
NBIE.US,5,20260318,204500,24.34,24.34,24.34,24.34,100,0
