<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NMZ.US,5,20260126,153000,10.35,10.36,10.35,10.355,13261,0
NMZ.US,5,20260126,153500,10.355,10.36,10.34,10.34,18349,0
NMZ.US,5,20260126,154000,10.345,10.35,10.34,10.34,9700,0
NMZ.US,5,20260126,154500,10.34,10.34,10.332,10.332,4576,0
NMZ.US,5,20260126,155000,10.3464,10.35,10.34,10.345,9423,0
NMZ.US,5,20260126,155500,10.34,10.3487,10.34,10.3487,1010,0
NMZ.US,5,20260126,160000,10.34,10.35,10.33,10.33,11215,0
NMZ.US,5,20260126,160500,10.3393,10.3393,10.33,10.33,1700,0
NMZ.US,5,20260126,161000,10.33,10.33,10.32,10.3299,2763,0
NMZ.US,5,20260126,161500,10.32,10.33,10.32,10.32,2350,0
NMZ.US,5,20260126,162000,10.32,10.325,10.3,10.31,37829,0
NMZ.US,5,20260126,162500,10.3,10.31,10.29,10.305,16347,0
NMZ.US,5,20260126,163000,10.3,10.31,10.3,10.305,3550,0
NMZ.US,5,20260126,163500,10.305,10.305,10.29,10.3,17780,0
NMZ.US,5,20260126,164000,10.3,10.3099,10.295,10.3099,20422,0
NMZ.US,5,20260126,164500,10.3,10.3001,10.29,10.29,12737,0
NMZ.US,5,20260126,165000,10.29,10.295,10.29,10.292,8847,0
NMZ.US,5,20260126,165500,10.295,10.295,10.2901,10.2901,3259,0
NMZ.US,5,20260126,170000,10.29,10.295,10.29,10.29,1700,0
NMZ.US,5,20260126,170500,10.29,10.29,10.285,10.285,17964,0
NMZ.US,5,20260126,171000,10.2865,10.2865,10.285,10.285,4233,0
NMZ.US,5,20260126,171500,10.285,10.285,10.28,10.285,1200,0
NMZ.US,5,20260126,172000,10.285,10.2954,10.285,10.295,1517,0
NMZ.US,5,20260126,172500,10.295,10.305,10.295,10.305,3300,0
NMZ.US,5,20260126,173000,10.3,10.3003,10.275,10.29,47201,0
NMZ.US,5,20260126,173500,10.285,10.2858,10.285,10.285,1600,0
NMZ.US,5,20260126,174000,10.285,10.285,10.285,10.285,1000,0
NMZ.US,5,20260126,174500,10.285,10.285,10.28,10.285,2692,0
NMZ.US,5,20260126,175000,10.285,10.285,10.285,10.285,1485,0
NMZ.US,5,20260126,175500,10.285,10.292,10.285,10.292,4914,0
NMZ.US,5,20260126,180000,10.295,10.295,10.2902,10.295,1200,0
NMZ.US,5,20260126,180500,10.295,10.295,10.295,10.295,8700,0
NMZ.US,5,20260126,181000,10.295,10.3054,10.295,10.302,5843,0
NMZ.US,5,20260126,181500,10.3,10.3,10.295,10.295,12458,0
NMZ.US,5,20260126,182000,10.295,10.295,10.295,10.295,800,0
NMZ.US,5,20260126,182500,10.295,10.3,10.295,10.295,1445,0
NMZ.US,5,20260126,183000,10.295,10.3026,10.295,10.3026,6994,0
NMZ.US,5,20260126,183500,10.302,10.3054,10.3,10.3054,2260,0
NMZ.US,5,20260126,184000,10.3001,10.3001,10.3001,10.3001,1651,0
NMZ.US,5,20260126,184500,10.305,10.3088,10.3,10.3,3100,0
NMZ.US,5,20260126,185000,10.305,10.305,10.305,10.305,856,0
NMZ.US,5,20260126,185500,10.3019,10.3019,10.3,10.3,4480,0
