<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTB.US,5,20260126,153000,50.495,50.495,50.495,50.495,654,0
NTB.US,5,20260126,154000,50.4788,50.51,50.4788,50.51,2400,0
NTB.US,5,20260126,154500,50.81,50.955,50.8,50.955,1018,0
NTB.US,5,20260126,161000,50.9,50.9,50.82,50.82,300,0
NTB.US,5,20260126,161500,50.8404,51,50.8404,50.99,639,0
NTB.US,5,20260126,162000,50.98,50.98,50.98,50.98,100,0
NTB.US,5,20260126,162500,50.8,50.8,50.76,50.78,800,0
NTB.US,5,20260126,163000,50.81,50.81,50.685,50.685,200,0
NTB.US,5,20260126,164000,50.66,50.66,50.624,50.624,1103,0
NTB.US,5,20260126,165000,50.49,50.65,50.48,50.63,1900,0
NTB.US,5,20260126,165500,50.545,50.545,50.545,50.545,100,0
NTB.US,5,20260126,170000,50.54,50.54,50.54,50.54,200,0
NTB.US,5,20260126,170500,50.535,50.535,50.535,50.535,1100,0
NTB.US,5,20260126,171000,50.48,50.535,50.45,50.45,2093,0
NTB.US,5,20260126,171500,50.45,50.45,50.45,50.45,100,0
NTB.US,5,20260126,172000,50.5,50.5,50.495,50.495,200,0
NTB.US,5,20260126,172500,50.5,50.5,50.5,50.5,201,0
NTB.US,5,20260126,173000,50.45,50.56,50.43,50.56,2721,0
NTB.US,5,20260126,173500,50.58,50.58,50.58,50.58,200,0
NTB.US,5,20260126,174000,50.57,50.57,50.57,50.57,100,0
NTB.US,5,20260126,174500,50.6,50.6,50.6,50.6,100,0
NTB.US,5,20260126,175000,50.61,50.61,50.61,50.61,100,0
NTB.US,5,20260126,175500,50.55,50.55,50.54,50.54,997,0
NTB.US,5,20260126,180500,50.62,50.62,50.61,50.62,300,0
NTB.US,5,20260126,182000,50.66,50.66,50.66,50.66,110,0
NTB.US,5,20260126,183000,50.68,50.68,50.64,50.64,300,0
NTB.US,5,20260126,184000,50.63,50.65,50.55,50.6,2101,0
NTB.US,5,20260126,184500,50.54,50.54,50.54,50.54,107,0
NTB.US,5,20260126,185500,50.54,50.54,50.54,50.54,100,0
NTB.US,5,20260126,190000,50.63,50.63,50.63,50.63,100,0
NTB.US,5,20260126,190500,50.585,50.64,50.58,50.64,1120,0
NTB.US,5,20260126,191000,50.62,50.62,50.62,50.62,300,0
NTB.US,5,20260126,192000,50.71,50.73,50.685,50.7,800,0
NTB.US,5,20260126,192500,50.65,50.65,50.65,50.65,150,0
NTB.US,5,20260126,193000,50.715,50.715,50.715,50.715,229,0
NTB.US,5,20260126,194000,50.71,50.71,50.71,50.71,100,0
NTB.US,5,20260126,194500,50.78,50.78,50.77,50.77,200,0
NTB.US,5,20260126,195500,50.745,50.745,50.7101,50.7101,497,0
NTB.US,5,20260126,200000,50.73,50.78,50.72,50.78,1000,0
NTB.US,5,20260126,200500,50.84,50.85,50.84,50.85,450,0
NTB.US,5,20260126,201000,50.8615,50.8615,50.8615,50.8615,206,0
NTB.US,5,20260126,202000,50.94,50.94,50.94,50.94,100,0
NTB.US,5,20260126,203000,50.955,51,50.955,50.975,505,0
