<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OGE.US,5,20260126,153000,42.99,43.45,42.94,42.95,46307,0
OGE.US,5,20260126,153500,42.99,43.19,42.98,43.13,36218,0
OGE.US,5,20260126,154000,43.185,43.26,43.185,43.245,1275,0
OGE.US,5,20260126,154500,43.28,43.35,43.215,43.35,10181,0
OGE.US,5,20260126,155000,43.35,43.45,43.32,43.33,4878,0
OGE.US,5,20260126,155500,43.35,43.35,43.19,43.24,3894,0
OGE.US,5,20260126,160000,43.22,43.25,43.19,43.195,9825,0
OGE.US,5,20260126,160500,43.2,43.2,43.075,43.115,3325,0
OGE.US,5,20260126,161000,43.1,43.157,43.1,43.12,5613,0
OGE.US,5,20260126,161500,43.13,43.27,43.129,43.19,30094,0
OGE.US,5,20260126,162000,43.17,43.1894,43.145,43.1894,5459,0
OGE.US,5,20260126,162500,43.1897,43.1897,43.11,43.15,2548,0
OGE.US,5,20260126,163000,43.15,43.189,43.13,43.18,2843,0
OGE.US,5,20260126,163500,43.2,43.21,43.14,43.14,5595,0
OGE.US,5,20260126,164000,43.149,43.149,43.1,43.12,3702,0
OGE.US,5,20260126,164500,43.14,43.22,43.14,43.22,5048,0
OGE.US,5,20260126,165000,43.21,43.225,43.17,43.22,3418,0
OGE.US,5,20260126,165500,43.24,43.24,43.19,43.19,6436,0
OGE.US,5,20260126,170000,43.2,43.23,43.195,43.2051,3605,0
OGE.US,5,20260126,170500,43.21,43.22,43.19,43.19,2733,0
OGE.US,5,20260126,171000,43.18,43.19,43.14,43.14,3084,0
OGE.US,5,20260126,171500,43.135,43.17,43.135,43.16,5806,0
OGE.US,5,20260126,172000,43.15,43.2,43.12,43.199,11578,0
OGE.US,5,20260126,172500,43.18,43.18,43.14,43.14,3380,0
OGE.US,5,20260126,173000,43.14,43.14,43.1,43.11,1646,0
OGE.US,5,20260126,173500,43.125,43.139,43.09,43.09,3571,0
OGE.US,5,20260126,174000,43.08,43.1,43.04,43.05,8687,0
OGE.US,5,20260126,174500,43.0597,43.0597,42.999,42.999,17532,0
OGE.US,5,20260126,175000,43,43.02,42.985,42.985,11233,0
OGE.US,5,20260126,175500,42.98,43,42.975,42.99,4514,0
OGE.US,5,20260126,180000,42.98,42.98,42.95,42.97,4856,0
OGE.US,5,20260126,180500,42.99,43.01,42.99,43,2822,0
OGE.US,5,20260126,181000,43,43.02,43,43.02,3073,0
OGE.US,5,20260126,181500,43.01,43.05,43.01,43.025,3105,0
OGE.US,5,20260126,182000,43.025,43.03,43.02,43.025,2782,0
OGE.US,5,20260126,182500,43.0251,43.06,43.015,43.06,3433,0
OGE.US,5,20260126,183000,43.07,43.07,43.04,43.045,2051,0
OGE.US,5,20260126,183500,43.045,43.0738,43.03,43.05,8061,0
OGE.US,5,20260126,184000,43.0557,43.06,43.035,43.04,1747,0
OGE.US,5,20260126,184500,43.04,43.04,43.03,43.03,1218,0
OGE.US,5,20260126,185000,43.03,43.06,43.025,43.025,2362,0
OGE.US,5,20260126,185500,43.03,43.035,43.02,43.02,4268,0
OGE.US,5,20260126,190000,43.02,43.04,43,43.03,4185,0
OGE.US,5,20260126,190500,43.0201,43.06,43.02,43.04,3727,0
OGE.US,5,20260126,191000,43.04,43.06,43.03,43.03,1745,0
OGE.US,5,20260126,191500,43.04,43.065,43.03,43.065,4157,0
OGE.US,5,20260126,192000,43.065,43.08,43.065,43.07,2626,0
OGE.US,5,20260126,192500,43.08,43.11,43.075,43.1,3146,0
