<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OLN.US,5,20260126,153000,24.315,24.35,23.91,24.1,15130,0
OLN.US,5,20260126,153500,23.9,23.97,23.85,23.895,5071,0
OLN.US,5,20260126,154000,23.915,23.915,23.75,23.855,6551,0
OLN.US,5,20260126,154500,23.855,24.13,23.855,23.89,12977,0
OLN.US,5,20260126,155000,23.84,23.85,23.69,23.705,13647,0
OLN.US,5,20260126,155500,23.72,23.745,23.53,23.6,14898,0
OLN.US,5,20260126,160000,23.68,23.78,23.665,23.71,10795,0
OLN.US,5,20260126,160500,23.7,23.75,23.63,23.67,9054,0
OLN.US,5,20260126,161000,23.67,23.93,23.67,23.89,6825,0
OLN.US,5,20260126,161500,23.89,23.9,23.8,23.87,17130,0
OLN.US,5,20260126,162000,23.87,23.9,23.82,23.82,4659,0
OLN.US,5,20260126,162500,23.76,23.7983,23.67,23.7136,5997,0
OLN.US,5,20260126,163000,23.68,23.759,23.61,23.7,8983,0
OLN.US,5,20260126,163500,23.745,23.8,23.71,23.73,8958,0
OLN.US,5,20260126,164000,23.725,23.73,23.63,23.66,5132,0
OLN.US,5,20260126,164500,23.66,23.69,23.62,23.64,3872,0
OLN.US,5,20260126,165000,23.63,23.66,23.6,23.62,3986,0
OLN.US,5,20260126,165500,23.6,23.64,23.58,23.58,20719,0
OLN.US,5,20260126,170000,23.58,23.63,23.55,23.63,14579,0
OLN.US,5,20260126,170500,23.64,23.655,23.5885,23.645,5827,0
OLN.US,5,20260126,171000,23.63,23.63,23.57,23.57,2843,0
OLN.US,5,20260126,171500,23.595,23.62,23.57,23.605,8280,0
OLN.US,5,20260126,172000,23.62,23.72,23.605,23.69,7348,0
OLN.US,5,20260126,172500,23.69,23.78,23.69,23.7792,6311,0
OLN.US,5,20260126,173000,23.78,23.79,23.74,23.785,3958,0
OLN.US,5,20260126,173500,23.78,23.78,23.705,23.76,5675,0
OLN.US,5,20260126,174000,23.74,23.77,23.7,23.7,2252,0
OLN.US,5,20260126,174500,23.715,23.75,23.68,23.715,9665,0
OLN.US,5,20260126,175000,23.715,23.74,23.71,23.73,3356,0
OLN.US,5,20260126,175500,23.71,23.73,23.68,23.68,6068,0
OLN.US,5,20260126,180000,23.67,23.69,23.6301,23.66,5631,0
OLN.US,5,20260126,180500,23.66,23.69,23.65,23.66,2503,0
OLN.US,5,20260126,181000,23.64,23.66,23.63,23.655,9174,0
OLN.US,5,20260126,181500,23.655,23.68,23.655,23.67,2150,0
OLN.US,5,20260126,182000,23.66,23.7364,23.66,23.73,9005,0
OLN.US,5,20260126,182500,23.74,23.79,23.7363,23.76,11723,0
OLN.US,5,20260126,183000,23.78,23.78,23.75,23.77,15141,0
OLN.US,5,20260126,183500,23.78,23.87,23.78,23.8,9151,0
OLN.US,5,20260126,184000,23.797,23.81,23.77,23.805,11039,0
OLN.US,5,20260126,184500,23.805,23.87,23.79,23.8138,19891,0
OLN.US,5,20260126,185000,23.815,23.935,23.8,23.93,72158,0
OLN.US,5,20260126,185500,23.92,23.9699,23.89,23.93,23004,0
OLN.US,5,20260126,190000,23.93,23.93,23.84,23.865,13261,0
OLN.US,5,20260126,190500,23.85,23.88,23.81,23.84,3800,0
OLN.US,5,20260126,191000,23.82,23.86,23.81,23.84,12777,0
OLN.US,5,20260126,191500,23.86,23.96,23.845,23.915,75588,0
OLN.US,5,20260126,192000,23.92,23.94,23.9,23.92,4351,0
OLN.US,5,20260126,192500,23.92,23.95,23.92,23.94,3179,0
OLN.US,5,20260126,193000,23.95,23.96,23.87,23.88,29668,0
OLN.US,5,20260126,193500,23.88,23.88,23.75,23.765,113796,0
OLN.US,5,20260126,194000,23.75,23.7699,23.73,23.75,13850,0
OLN.US,5,20260126,194500,23.75,23.82,23.73,23.82,4173,0
OLN.US,5,20260126,195000,23.8,23.825,23.77,23.8,3454,0
OLN.US,5,20260126,195500,23.82,23.82,23.79,23.8,2876,0
OLN.US,5,20260126,200000,23.8,23.8,23.69,23.695,27768,0
OLN.US,5,20260126,200500,23.695,23.7,23.64,23.65,7259,0
OLN.US,5,20260126,201000,23.64,23.65,23.55,23.575,33078,0
OLN.US,5,20260126,201500,23.575,23.62,23.55,23.565,38057,0
OLN.US,5,20260126,202000,23.565,23.565,23.54,23.54,7285,0
OLN.US,5,20260126,202500,23.54,23.58,23.51,23.58,17310,0
OLN.US,5,20260126,203000,23.57,23.6,23.57,23.6,9182,0
