<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
P.US,5,20260126,153000,69.885,70.88,69.805,70.88,41485,0
P.US,5,20260126,153500,70.88,71.3,70.655,70.85,40792,0
P.US,5,20260126,154000,70.97,71.95,70.75,71.79,75609,0
P.US,5,20260126,154500,71.73,71.88,70.8445,71.09,28783,0
P.US,5,20260126,155000,71.04,72.055,71.04,71.69,26973,0
P.US,5,20260126,155500,71.815,71.97,71.24,71.37,22453,0
P.US,5,20260126,160000,71.37,71.49,71.04,71.13,28715,0
P.US,5,20260126,160500,71.13,71.545,71.13,71.5,17709,0
P.US,5,20260126,161000,71.42,71.6899,71.2333,71.525,8236,0
P.US,5,20260126,161500,71.66,71.66,71.25,71.38,8048,0
P.US,5,20260126,162000,71.5207,71.5207,71.155,71.21,8929,0
P.US,5,20260126,162500,71.15,71.35,71.11,71.175,36251,0
P.US,5,20260126,163000,71.1,71.15,70.86,71.14,16441,0
P.US,5,20260126,163500,71.0453,71.295,70.94,70.94,7136,0
P.US,5,20260126,164000,71.0317,71.0317,70.82,70.865,6861,0
P.US,5,20260126,164500,70.865,71.2,70.82,71.18,5743,0
P.US,5,20260126,165000,71.1673,71.2457,71.06,71.2,6605,0
P.US,5,20260126,165500,71.26,71.29,71.035,71.04,11826,0
P.US,5,20260126,170000,71.085,71.1331,70.86,70.95,21159,0
P.US,5,20260126,170500,70.9606,71.05,70.89,71.02,12912,0
P.US,5,20260126,171000,71.06,71.23,71,71.17,9464,0
P.US,5,20260126,171500,71.17,71.22,71.02,71.05,13652,0
P.US,5,20260126,172000,71.05,71.13,70.955,71.05,12572,0
P.US,5,20260126,172500,71.02,71.09,70.89,71,6027,0
P.US,5,20260126,173000,71,71.2186,71,71.17,7253,0
P.US,5,20260126,173500,71.1606,71.58,71.1606,71.3212,8437,0
P.US,5,20260126,174000,71.3,71.3,71.003,71.02,9628,0
P.US,5,20260126,174500,71.11,71.16,71.01,71.14,5294,0
P.US,5,20260126,175000,71.1454,71.22,71.12,71.145,5826,0
P.US,5,20260126,175500,71.145,71.25,71.14,71.17,3949,0
P.US,5,20260126,180000,71.26,71.27,71.13,71.21,12497,0
P.US,5,20260126,180500,71.18,71.2,71.04,71.04,50042,0
P.US,5,20260126,181000,71.045,71.24,70.97,71.24,19575,0
P.US,5,20260126,181500,71.2,71.42,71.2,71.36,2638,0
P.US,5,20260126,182000,71.395,71.66,71.36,71.65,13506,0
P.US,5,20260126,182500,71.675,71.91,71.675,71.78,12138,0
P.US,5,20260126,183000,71.81,71.85105,71.71,71.73,5458,0
P.US,5,20260126,183500,71.74,71.82,71.66,71.8,12527,0
P.US,5,20260126,184000,71.7702,71.81,71.74,71.74,4909,0
P.US,5,20260126,184500,71.72,71.84,71.695,71.7868,8687,0
P.US,5,20260126,185000,71.81,71.86,71.72,71.72,14100,0
P.US,5,20260126,185500,71.725,71.74,71.695,71.7,6636,0
P.US,5,20260126,190000,71.69,71.74,71.61,71.655,12979,0
P.US,5,20260126,190500,71.655,71.68,71.58,71.58,6251,0
P.US,5,20260126,191000,71.6,71.67,71.54,71.54,3261,0
P.US,5,20260126,191500,71.54,72.13,71.51,72.05,63656,0
P.US,5,20260126,192000,72.055,72.17,72,72.115,8903,0
P.US,5,20260126,192500,72.06,72.26,72.0301,72.215,7657,0
P.US,5,20260126,193000,72.275,72.34,72.25,72.33,11169,0
P.US,5,20260126,193500,72.26,72.47,72.2333,72.335,10809,0
P.US,5,20260126,194000,72.2625,72.39,72.235,72.28,7661,0
P.US,5,20260126,194500,72.305,72.5,72.27,72.49,8120,0
P.US,5,20260126,195000,72.49,72.87,72.47,72.835,22539,0
P.US,5,20260126,195500,72.87,72.87,72.54,72.6702,19771,0
P.US,5,20260126,200000,72.72,72.75,72.58,72.58,9866,0
P.US,5,20260126,200500,72.56,72.615,72.49,72.615,18893,0
P.US,5,20260126,201000,72.577,72.63,72.54,72.583,8112,0
P.US,5,20260126,201500,72.58,72.69,72.55,72.67,6635,0
P.US,5,20260126,202000,72.64,72.72,72.6,72.71,10597,0
P.US,5,20260126,202500,72.72,72.8,72.68,72.79,10788,0
P.US,5,20260126,203000,72.81,72.93,72.805,72.8408,15340,0
P.US,5,20260126,203500,72.86,72.9,72.82,72.855,7863,0
P.US,5,20260126,204000,72.855,72.92,72.84,72.87,7195,0
P.US,5,20260126,204500,72.85985,72.9,72.795,72.875,12054,0
P.US,5,20260126,205000,72.875,73,72.875,72.96,14264,0
P.US,5,20260126,205500,72.96,73.14,72.96,73.035,44773,0
P.US,5,20260126,210000,73.03,73.08,72.94,73.02,21194,0
P.US,5,20260126,210500,73.035,73.12,72.97,73.075,17775,0
P.US,5,20260126,211000,73.07,73.22,73.07,73.18,16745,0
P.US,5,20260126,211500,73.18,73.1999,72.81,72.8422,29895,0
P.US,5,20260126,212000,72.85,72.86,72.49,72.51177,16487,0
P.US,5,20260126,212500,72.55,72.86,72.55,72.855,20172,0
P.US,5,20260126,213000,72.815,72.815,72.62,72.69,13331,0
P.US,5,20260126,213500,72.675,72.81,72.66,72.74,18591,0
P.US,5,20260126,214000,72.75,72.75,72.62,72.685,24719,0
P.US,5,20260126,214500,72.67,72.82,72.585,72.7,44634,0
P.US,5,20260126,215000,72.68,72.86,72.66,72.755,38508,0
P.US,5,20260126,215500,72.77,72.875,72.66,72.81,489100,0
P.US,5,20260127,153000,73.82,73.99,73.08,73.19,14896,0
P.US,5,20260127,153500,73.08,73.27,72.41,72.425,17569,0
P.US,5,20260127,154000,72.58,72.85,72.04,72.18,18435,0
P.US,5,20260127,154500,72.06,72.4,72.06,72.4,13627,0
