<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBSE.US,5,20260126,211000,29.645,29.645,29.645,29.645,108,0
PBSE.US,5,20260126,212000,29.65,29.65,29.65,29.65,148,0
PBSE.US,5,20260127,154500,29.64,29.64,29.64,29.64,3100,0
PBSE.US,5,20260127,155000,29.64,29.64,29.64,29.64,10900,0
PBSE.US,5,20260127,190500,29.66,29.66,29.66,29.66,2500,0
PBSE.US,5,20260127,211000,29.68,29.68,29.68,29.68,3093,0
PBSE.US,5,20260128,190500,29.665,29.665,29.665,29.665,135,0
PBSE.US,5,20260128,201500,29.66,29.66,29.66,29.66,500,0
PBSE.US,5,20260128,205500,29.67,29.67,29.67,29.67,100,0
PBSE.US,5,20260128,211000,29.68,29.68,29.68,29.68,558,0
PBSE.US,5,20260128,215000,29.69,29.69,29.67,29.67,2810,0
PBSE.US,5,20260129,171500,29.56,29.56,29.56,29.56,200,0
PBSE.US,5,20260129,174000,29.58,29.58,29.58,29.58,1000,0
PBSE.US,5,20260129,184500,29.6,29.6,29.6,29.6,200,0
PBSE.US,5,20260129,185000,29.6,29.6,29.6,29.6,100,0
PBSE.US,5,20260129,190000,29.59,29.59,29.59,29.59,100,0
PBSE.US,5,20260129,203500,29.62,29.62,29.62,29.62,4200,0
PBSE.US,5,20260129,210500,29.62,29.62,29.62,29.62,504,0
PBSE.US,5,20260129,213500,29.64,29.64,29.64,29.64,1031,0
PBSE.US,5,20260129,215500,29.64,29.64,29.64,29.64,100,0
PBSE.US,5,20260130,170500,29.63,29.63,29.63,29.63,500,0
PBSE.US,5,20260130,191500,29.6,29.6,29.6,29.6,100,0
PBSE.US,5,20260130,200000,29.63,29.63,29.63,29.63,500,0
PBSE.US,5,20260130,213000,29.61,29.615,29.6,29.615,4969,0
PBSE.US,5,20260130,213500,29.63,29.63,29.6299,29.63,7645,0
PBSE.US,5,20260130,215000,29.62,29.62,29.62,29.62,100,0
PBSE.US,5,20260202,162000,29.68,29.68,29.68,29.68,500,0
PBSE.US,5,20260202,211500,29.68,29.68,29.68,29.68,1543,0
PBSE.US,5,20260203,211000,29.57,29.57,29.57,29.57,286,0
PBSE.US,5,20260203,211500,29.58,29.58,29.58,29.58,100,0
PBSE.US,5,20260203,213000,29.59,29.59,29.59,29.59,100,0
PBSE.US,5,20260204,162500,29.61,29.61,29.61,29.61,100,0
PBSE.US,5,20260204,163000,29.59,29.59,29.59,29.59,500,0
PBSE.US,5,20260204,200500,29.52,29.52,29.52,29.52,500,0
PBSE.US,5,20260204,212000,29.6,29.6,29.6,29.6,646,0
PBSE.US,5,20260205,164500,29.4,29.4,29.4,29.4,500,0
PBSE.US,5,20260205,172000,29.43,29.43,29.43,29.43,100,0
PBSE.US,5,20260205,173000,29.45,29.45,29.45,29.45,440,0
PBSE.US,5,20260205,174000,29.47,29.47,29.47,29.47,100,0
PBSE.US,5,20260205,184000,29.49,29.49,29.49,29.49,900,0
PBSE.US,5,20260205,194000,29.46,29.46,29.44,29.44,1800,0
PBSE.US,5,20260205,195000,29.45,29.45,29.45,29.45,100,0
PBSE.US,5,20260205,202000,29.47,29.47,29.47,29.47,100,0
PBSE.US,5,20260205,212000,29.46,29.46,29.46,29.46,908,0
PBSE.US,5,20260206,161500,29.57,29.57,29.545,29.545,506,0
PBSE.US,5,20260206,164000,29.56,29.56,29.56,29.56,100,0
PBSE.US,5,20260206,164500,29.58,29.58,29.58,29.58,500,0
PBSE.US,5,20260206,171500,29.58,29.58,29.58,29.58,414800,0
PBSE.US,5,20260206,183500,29.595,29.595,29.595,29.595,300,0
PBSE.US,5,20260206,184500,29.595,29.6,29.595,29.6,2884,0
PBSE.US,5,20260206,185000,29.6,29.6,29.6,29.6,7000,0
PBSE.US,5,20260206,194000,29.6,29.6,29.6,29.6,300,0
PBSE.US,5,20260206,195000,29.6,29.615,29.6,29.6,18531,0
PBSE.US,5,20260206,203500,29.6,29.6,29.6,29.6,100,0
PBSE.US,5,20260206,214000,29.62,29.62,29.62,29.62,100,0
PBSE.US,5,20260209,164500,29.665,29.665,29.665,29.665,100,0
PBSE.US,5,20260209,174500,29.67,29.67,29.67,29.67,100,0
PBSE.US,5,20260209,192000,29.68,29.68,29.68,29.68,450,0
PBSE.US,5,20260209,211000,29.695,29.695,29.68,29.68,8800,0
PBSE.US,5,20260209,211500,29.68,29.68,29.68,29.68,1000,0
PBSE.US,5,20260210,153000,29.68,29.68,29.68,29.68,300,0
PBSE.US,5,20260210,154500,29.675,29.675,29.675,29.675,100,0
PBSE.US,5,20260210,160500,29.68,29.68,29.68,29.68,3100,0
PBSE.US,5,20260210,161000,29.67,29.67,29.67,29.67,100,0
PBSE.US,5,20260210,192500,29.67,29.67,29.67,29.67,1500,0
PBSE.US,5,20260210,193000,29.66,29.66,29.66,29.66,172,0
PBSE.US,5,20260210,212000,29.68,29.68,29.68,29.68,1053,0
PBSE.US,5,20260211,153000,29.68,29.68,29.68,29.68,11618,0
PBSE.US,5,20260211,164000,29.64,29.64,29.64,29.64,100,0
PBSE.US,5,20260211,165000,29.65,29.65,29.65,29.65,100,0
PBSE.US,5,20260211,211500,29.67,29.67,29.67,29.67,100,0
PBSE.US,5,20260212,173000,29.55,29.55,29.55,29.55,100,0
PBSE.US,5,20260212,180000,29.55,29.55,29.55,29.55,100,0
PBSE.US,5,20260212,182500,29.55,29.55,29.55,29.55,100,0
PBSE.US,5,20260212,204000,29.56,29.56,29.56,29.56,100,0
PBSE.US,5,20260213,160500,29.51,29.51,29.51,29.51,100,0
PBSE.US,5,20260213,184000,29.58,29.58,29.58,29.58,100,0
PBSE.US,5,20260213,204000,29.555,29.555,29.555,29.555,100,0
PBSE.US,5,20260213,205000,29.57,29.57,29.57,29.57,100,0
PBSE.US,5,20260213,212000,29.54,29.54,29.53,29.53,1614,0
PBSE.US,5,20260213,214000,29.48,29.48,29.48,29.48,100,0
PBSE.US,5,20260217,162500,29.44,29.44,29.44,29.44,100,0
PBSE.US,5,20260217,213000,29.53,29.53,29.53,29.53,200,0
PBSE.US,5,20260218,161500,29.62,29.62,29.62,29.62,100,0
PBSE.US,5,20260218,162500,29.62,29.62,29.62,29.62,100,0
PBSE.US,5,20260218,164500,29.61,29.61,29.61,29.61,100,0
PBSE.US,5,20260218,172500,29.62,29.62,29.62,29.62,1500,0
PBSE.US,5,20260218,174000,29.61,29.61,29.61,29.61,100,0
PBSE.US,5,20260218,185000,29.63,29.63,29.63,29.63,100,0
PBSE.US,5,20260218,195000,29.59,29.59,29.59,29.59,100,0
PBSE.US,5,20260218,204500,29.58,29.58,29.58,29.58,100,0
PBSE.US,5,20260218,211500,29.57,29.57,29.57,29.57,2634,0
PBSE.US,5,20260218,213000,29.55,29.55,29.55,29.55,100,0
PBSE.US,5,20260218,215500,29.62,29.62,29.62,29.62,1734,0
PBSE.US,5,20260219,160500,29.56,29.56,29.56,29.56,100,0
PBSE.US,5,20260219,161500,29.57,29.57,29.57,29.57,100,0
PBSE.US,5,20260219,163000,29.57,29.57,29.57,29.57,100,0
PBSE.US,5,20260219,215500,29.58,29.58,29.58,29.58,200,0
PBSE.US,5,20260220,160000,29.6,29.6,29.6,29.6,300,0
PBSE.US,5,20260220,162000,29.59,29.59,29.59,29.59,100,0
PBSE.US,5,20260223,180500,29.52,29.52,29.52,29.52,100,0
PBSE.US,5,20260223,203000,29.54,29.54,29.52,29.52,200,0
PBSE.US,5,20260223,203500,29.53,29.53,29.53,29.53,100,0
PBSE.US,5,20260223,204000,29.53,29.53,29.52,29.52,200,0
PBSE.US,5,20260223,204500,29.53,29.53,29.53,29.53,100,0
PBSE.US,5,20260223,205000,29.53,29.53,29.53,29.53,300,0
PBSE.US,5,20260223,205500,29.53,29.53,29.51,29.51,300,0
PBSE.US,5,20260223,212000,29.51,29.51,29.51,29.51,600,0
PBSE.US,5,20260223,215500,29.54,29.54,29.54,29.54,300,0
PBSE.US,5,20260224,160500,29.55,29.55,29.55,29.55,1000,0
PBSE.US,5,20260224,161000,29.55,29.56,29.55,29.56,700,0
PBSE.US,5,20260224,162000,29.58,29.58,29.58,29.58,160,0
PBSE.US,5,20260224,165000,29.6,29.6,29.6,29.6,240,0
PBSE.US,5,20260224,171000,29.61,29.61,29.61,29.61,280,0
PBSE.US,5,20260224,173000,29.595,29.595,29.595,29.595,100,0
PBSE.US,5,20260224,175000,29.61,29.61,29.61,29.61,220,0
PBSE.US,5,20260224,181000,29.62,29.62,29.62,29.62,160,0
PBSE.US,5,20260224,184500,29.61,29.61,29.61,29.61,100,0
PBSE.US,5,20260224,201500,29.62,29.62,29.6199,29.6199,200,0
PBSE.US,5,20260224,213000,29.62,29.62,29.62,29.62,699,0
PBSE.US,5,20260224,214500,29.62,29.62,29.62,29.62,100,0
PBSE.US,5,20260225,190000,29.68,29.68,29.68,29.68,300,0
PBSE.US,5,20260225,213000,29.71,29.71,29.68,29.69,3589,0
PBSE.US,5,20260225,215000,29.7,29.7,29.7,29.7,115,0
PBSE.US,5,20260225,215500,29.72,29.72,29.72,29.72,900,0
PBSE.US,5,20260226,163000,29.6,29.6,29.59,29.59,1700,0
PBSE.US,5,20260227,161000,29.59,29.63,29.59,29.63,1908,0
PBSE.US,5,20260227,161500,29.57,29.58,29.56,29.57,2200,0
PBSE.US,5,20260227,170000,29.615,29.615,29.615,29.615,325,0
PBSE.US,5,20260227,191000,29.58,29.58,29.58,29.58,400,0
PBSE.US,5,20260227,213000,29.6,29.65,29.6,29.65,2716,0
PBSE.US,5,20260227,214500,29.59,29.59,29.59,29.59,100,0
PBSE.US,5,20260227,215000,29.59,29.59,29.59,29.59,100,0
PBSE.US,5,20260302,173500,29.61,29.61,29.61,29.61,100,0
PBSE.US,5,20260302,174000,29.63,29.63,29.63,29.63,100,0
PBSE.US,5,20260302,212000,29.64,29.64,29.64,29.64,648,0
PBSE.US,5,20260302,215500,29.62,29.62,29.61,29.615,1700,0
PBSE.US,5,20260303,174000,29.44,29.44,29.44,29.44,100,0
PBSE.US,5,20260303,203500,29.53,29.53,29.53,29.53,100,0
