<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBT.US,5,20260126,154000,18.77,18.77,18.77,18.77,304,0
PBT.US,5,20260126,154500,18.99,18.99,18.99,18.99,200,0
PBT.US,5,20260126,155000,18.815,18.815,18.815,18.815,132,0
PBT.US,5,20260126,164000,18.9,18.9,18.9,18.9,100,0
PBT.US,5,20260126,165000,19,19,18.92,18.99,4643,0
PBT.US,5,20260126,170000,18.85,18.93,18.82,18.82,1600,0
PBT.US,5,20260126,170500,18.95,18.95,18.95,18.95,100,0
PBT.US,5,20260126,171000,18.9899,18.9899,18.9899,18.9899,100,0
PBT.US,5,20260126,171500,18.882038,18.91,18.882038,18.91,659,0
PBT.US,5,20260126,172000,18.9799,18.9799,18.9799,18.9799,125,0
PBT.US,5,20260126,172500,18.9,18.98,18.9,18.98,2076,0
PBT.US,5,20260126,173500,18.98,18.98,18.78,18.78,500,0
PBT.US,5,20260126,174000,18.902,18.98,18.902,18.98,220,0
PBT.US,5,20260126,175000,18.97,19,18.91,18.92,5277,0
PBT.US,5,20260126,180000,18.98,18.99,18.98,18.99,1794,0
PBT.US,5,20260126,180500,19,19,18.79,18.99,300,0
PBT.US,5,20260126,181000,19,19,19,19,100,0
PBT.US,5,20260126,181500,18.895,19,18.895,19,2097,0
PBT.US,5,20260126,182000,19,19,18.85,18.85,500,0
PBT.US,5,20260126,182500,18.93,18.93,18.93,18.93,300,0
PBT.US,5,20260126,183000,18.94,18.94,18.94,18.94,200,0
PBT.US,5,20260126,183500,18.935,18.995,18.8701,18.995,850,0
PBT.US,5,20260126,184000,18.9298,18.9298,18.9298,18.9298,100,0
PBT.US,5,20260126,184500,19,19,19,19,200,0
PBT.US,5,20260126,185000,19,19.08,19,19.045,979,0
PBT.US,5,20260126,185500,19.12,19.22,19.12,19.21,2882,0
PBT.US,5,20260126,190000,19.21,19.21,19.1045,19.1045,357,0
PBT.US,5,20260126,190500,19.11,19.11,18.86,19.04,13026,0
PBT.US,5,20260126,191000,19,19.08,18.995,18.995,2198,0
PBT.US,5,20260126,191500,19.0053,19.09,18.995,19,5563,0
PBT.US,5,20260126,192000,18.995,19.07,18.995,19,2700,0
PBT.US,5,20260126,192500,18.995,19.05,18.995,19,1400,0
PBT.US,5,20260126,193500,18.9821,18.9821,18.9821,18.9821,250,0
PBT.US,5,20260126,194000,19.07,19.07,19.07,19.07,100,0
PBT.US,5,20260126,194500,19.08,19.1,19.06,19.1,1032,0
PBT.US,5,20260126,195000,19.15,19.16,19.13,19.13,1503,0
PBT.US,5,20260126,195500,19.16,19.16,19.16,19.16,200,0
PBT.US,5,20260126,200000,19.15,19.155,19.15,19.155,300,0
PBT.US,5,20260126,200500,19.15,19.15,19.15,19.15,100,0
PBT.US,5,20260126,201500,19.15,19.15,19.15,19.15,100,0
PBT.US,5,20260126,202500,19.15,19.15,19.15,19.15,100,0
PBT.US,5,20260126,205000,19.0769,19.0769,19.0769,19.0769,134,0
PBT.US,5,20260126,210500,19.14,19.14,19.13,19.13,206,0
PBT.US,5,20260126,211000,19,19.13,18.86,19.11,13143,0
PBT.US,5,20260126,211500,19.11,19.11,19.11,19.11,300,0
PBT.US,5,20260126,212000,19.11,19.11,19,19.1,400,0
PBT.US,5,20260126,212500,19.11,19.11,18.8501,19.1,1670,0
PBT.US,5,20260126,213000,18.895,19.1,18.87,19.1,860,0
PBT.US,5,20260126,213500,19.11,19.11,18.8501,19.1,1879,0
PBT.US,5,20260126,214000,19.03,19.13,18.93,19.09,6038,0
PBT.US,5,20260126,214500,19.08,19.11,19.08,19.11,300,0
PBT.US,5,20260126,215000,19.12,19.12,19.09,19.12,600,0
PBT.US,5,20260126,215500,19.13,19.16,18.92,19.09,16854,0
PBT.US,5,20260127,153500,19.01,19.01,19.01,19.01,478,0
PBT.US,5,20260127,154000,19.12,19.12,19.12,19.12,2390,0
PBT.US,5,20260127,154500,19.15,19.24,19.15,19.23,1134,0
PBT.US,5,20260127,155000,19.125,19.125,19.125,19.125,338,0
PBT.US,5,20260127,155500,19.24,19.24,19.125,19.125,2723,0
PBT.US,5,20260127,161000,19.08,19.1,19,19,1220,0
PBT.US,5,20260127,161500,18.97,18.97,18.97,18.97,100,0
PBT.US,5,20260127,163000,19.0046,19.0046,19.0046,19.0046,300,0
PBT.US,5,20260127,163500,18.83,18.83,18.83,18.83,500,0
PBT.US,5,20260127,164000,19.06,19.07,19.06,19.07,200,0
PBT.US,5,20260127,172000,18.945,18.9566,18.945,18.9566,658,0
PBT.US,5,20260127,172500,18.995,18.995,18.995,18.995,100,0
PBT.US,5,20260127,173000,18.9627,18.9627,18.9627,18.9627,100,0
PBT.US,5,20260127,173500,19.0899,19.0899,19.0899,19.0899,400,0
PBT.US,5,20260127,174000,18.9733,18.995,18.9001,18.995,1470,0
PBT.US,5,20260127,180000,19.02,19.02,19.014,19.014,560,0
PBT.US,5,20260127,180500,18.9798,18.9798,18.9798,18.9798,134,0
PBT.US,5,20260127,181000,18.984069,18.984069,18.984069,18.984069,190,0
PBT.US,5,20260127,181500,18.99,18.99,18.99,18.99,100,0
PBT.US,5,20260127,182000,18.99,18.99,18.99,18.99,100,0
PBT.US,5,20260127,182500,18.91,18.91,18.91,18.91,250,0
PBT.US,5,20260127,184000,18.985,18.985,18.985,18.985,3716,0
PBT.US,5,20260127,184500,19.06,19.06,19.06,19.06,100,0
PBT.US,5,20260127,185500,19.07,19.07,19.07,19.07,100,0
PBT.US,5,20260127,191000,19.04,19.04,18.9,18.9,364,0
PBT.US,5,20260127,193000,18.9001,19.01,18.9001,19.01,1124,0
PBT.US,5,20260127,193500,18.96,18.96,18.96,18.96,117,0
PBT.US,5,20260127,194000,19.01,19.01,19.01,19.01,100,0
PBT.US,5,20260127,195000,18.9684,18.995,18.9501,18.9501,1778,0
PBT.US,5,20260127,195500,18.99,18.99,18.99,18.99,100,0
