<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCFI.US,5,20260127,154000,23.91,23.91,23.91,23.91,300,0
PCFI.US,5,20260127,154500,23.9196,23.9196,23.9196,23.9196,332,0
PCFI.US,5,20260127,215000,23.85,23.85,23.84,23.84,477,0
PCFI.US,5,20260128,155000,23.85,23.85,23.85,23.85,300,0
PCFI.US,5,20260128,182000,23.86,23.86,23.86,23.86,100,0
PCFI.US,5,20260128,205000,23.89,23.89,23.89,23.89,100,0
PCFI.US,5,20260128,214500,23.81,23.81,23.81,23.81,500,0
PCFI.US,5,20260128,215000,23.77,23.77,23.67,23.7601,4834,0
PCFI.US,5,20260129,153500,23.83,23.83,23.83,23.83,800,0
PCFI.US,5,20260129,203000,23.84,23.96,23.77,23.77,1495,0
PCFI.US,5,20260129,210000,23.84,23.84,23.84,23.84,100,0
PCFI.US,5,20260129,214500,23.805,23.805,23.75,23.75,500,0
PCFI.US,5,20260130,155000,23.62,23.62,23.62,23.62,300,0
PCFI.US,5,20260130,163000,23.59,23.59,23.59,23.59,100,0
PCFI.US,5,20260130,165000,23.59,23.59,23.59,23.59,500,0
PCFI.US,5,20260130,183500,23.57,23.57,23.57,23.57,300,0
PCFI.US,5,20260202,153500,23.58,23.58,23.58,23.58,300,0
PCFI.US,5,20260203,153000,23.59,23.6,23.59,23.59,700,0
PCFI.US,5,20260203,205000,23.46,23.5,23.46,23.5,1026,0
PCFI.US,5,20260203,210000,23.38,23.4403,23.33,23.4403,8278,0
PCFI.US,5,20260204,172000,23.6,23.6,23.6,23.6,5000,0
PCFI.US,5,20260204,184000,23.57,23.58,23.57,23.58,1460,0
PCFI.US,5,20260204,215000,23.58,23.61,23.58,23.58,400,0
PCFI.US,5,20260205,163500,23.56,23.56,23.56,23.56,192,0
PCFI.US,5,20260205,211500,23.5226,23.5226,23.5226,23.5226,100,0
PCFI.US,5,20260209,215000,23.49,23.49,23.49,23.49,300,0
PCFI.US,5,20260210,205000,23.545,23.589,23.545,23.545,1000,0
PCFI.US,5,20260211,171000,23.52,23.52,23.52,23.52,1000,0
PCFI.US,5,20260213,215500,23.44,23.44,23.44,23.44,300,0
PCFI.US,5,20260225,164000,23.31,23.32,23.31,23.32,2634,0
PCFI.US,5,20260227,201500,22.85,22.89,22.74,22.815,3199,0
PCFI.US,5,20260302,161500,22.88,22.88,22.88,22.88,100,0
PCFI.US,5,20260302,164500,22.91,22.91,22.91,22.91,171,0
PCFI.US,5,20260304,192000,23.01,23.01,23,23,500,0
PCFI.US,5,20260304,204500,23.08,23.08,23.08,23.08,100,0
PCFI.US,5,20260304,212000,23.0684,23.0684,23.0684,23.0684,150,0
PCFI.US,5,20260309,194500,22.9,22.9,22.9,22.9,250,0
PCFI.US,5,20260309,203500,22.88,22.88,22.88,22.88,200,0
PCFI.US,5,20260309,205000,22.89,22.89,22.89,22.89,116,0
PCFI.US,5,20260310,172000,22.85,22.85,22.85,22.85,800,0
PCFI.US,5,20260310,201000,22.865,22.865,22.865,22.865,851,0
PCFI.US,5,20260310,205500,22.83,22.8301,22.83,22.8301,1000,0
PCFI.US,5,20260311,193500,22.98,22.98,22.98,22.98,4360,0
PCFI.US,5,20260312,174500,22.95,22.95,22.95,22.95,4344,0
