<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEB_H.US,5,20260126,153000,17.9212,17.94,17.9212,17.94,200,0
PEB_H.US,5,20260126,154500,17.93,17.95,17.93,17.95,2179,0
PEB_H.US,5,20260126,155500,18.01,18.01,18,18,200,0
PEB_H.US,5,20260126,163000,18.02,18.02,18.02,18.02,100,0
PEB_H.US,5,20260126,163500,18.02,18.02,18.02,18.02,200,0
PEB_H.US,5,20260126,172500,18.1,18.1,18.1,18.1,250,0
PEB_H.US,5,20260126,174000,17.95,17.95,17.95,17.95,552,0
PEB_H.US,5,20260126,174500,18,18,18,18,300,0
PEB_H.US,5,20260126,175000,18.05,18.05,18.05,18.05,200,0
PEB_H.US,5,20260126,192000,18.0567,18.0567,18,18.01,922,0
PEB_H.US,5,20260126,195500,17.98,17.99,17.98,17.99,2000,0
PEB_H.US,5,20260126,204500,17.93,17.93,17.93,17.93,1000,0
PEB_H.US,5,20260126,205500,17.93,17.94,17.93,17.93,4172,0
PEB_H.US,5,20260126,213000,17.955,17.955,17.83,17.915,8620,0
PEB_H.US,5,20260126,215000,17.9,17.91,17.9,17.91,500,0
PEB_H.US,5,20260127,163500,17.94,17.94,17.9,17.9,500,0
PEB_H.US,5,20260127,170000,17.9,17.9002,17.9,17.9001,1600,0
PEB_H.US,5,20260127,173500,17.9,17.9,17.9,17.9,2735,0
PEB_H.US,5,20260127,175000,17.85,17.85,17.85,17.85,100,0
PEB_H.US,5,20260127,181000,17.9,17.9,17.89,17.89,1518,0
PEB_H.US,5,20260127,184000,18.02,18.02,17.85,17.86,1100,0
PEB_H.US,5,20260127,184500,17.85,17.91,17.85,17.91,5000,0
PEB_H.US,5,20260127,185500,17.89,17.89,17.89,17.89,5000,0
PEB_H.US,5,20260127,211000,17.93,17.95,17.92,17.92,300,0
PEB_H.US,5,20260127,211500,18,18,18,18,500,0
