<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PGP.US,5,20260126,153500,9.0501,9.0501,9.0501,9.0501,100,0
PGP.US,5,20260126,154000,9.1289,9.1799,9.0698,9.0698,400,0
PGP.US,5,20260126,154500,9.115,9.115,9.092,9.092,1100,0
PGP.US,5,20260126,155000,9.09,9.09,9.0714,9.0714,300,0
PGP.US,5,20260126,155500,9.076,9.1,9.0714,9.0714,300,0
PGP.US,5,20260126,160000,9.0601,9.1,9.0601,9.1,300,0
PGP.US,5,20260126,160500,9.102,9.102,9.102,9.102,100,0
PGP.US,5,20260126,161500,9.09,9.096,9.09,9.096,200,0
PGP.US,5,20260126,162000,9.0601,9.09,9.0601,9.09,300,0
PGP.US,5,20260126,162500,9.07,9.07,8.9313,8.9313,10469,0
PGP.US,5,20260126,163000,9.12,9.12,9.12,9.12,5000,0
PGP.US,5,20260126,163500,9.0936,9.0936,9.0936,9.0936,657,0
PGP.US,5,20260126,164000,9.08,9.17,9.08,9.105,29567,0
PGP.US,5,20260126,164500,9.0738,9.0738,9.0738,9.0738,100,0
PGP.US,5,20260126,165000,9.0738,9.1203,9.0738,9.1203,5560,0
PGP.US,5,20260126,165500,9.105,9.1499,9.105,9.105,4930,0
PGP.US,5,20260126,170000,9.1086,9.1455,9.105,9.1455,2401,0
PGP.US,5,20260126,170500,9.078,9.078,9.078,9.078,200,0
PGP.US,5,20260126,171000,9.0615,9.0615,9.0615,9.0615,100,0
PGP.US,5,20260126,172000,9.0737,9.105,9.0737,9.105,470,0
PGP.US,5,20260126,173000,9.15,9.15,9.15,9.15,439,0
PGP.US,5,20260126,175000,9.07,9.08,9.06,9.07,2400,0
PGP.US,5,20260126,182500,9.0832,9.0832,9.0832,9.0832,173,0
PGP.US,5,20260126,183500,9.08,9.08,9.08,9.08,115,0
PGP.US,5,20260126,190000,9.0811,9.0811,9.0811,9.0811,400,0
PGP.US,5,20260126,194500,9.1099,9.11,9.0803,9.0803,1274,0
PGP.US,5,20260126,195500,9.1001,9.1001,9.1001,9.1001,136,0
PGP.US,5,20260126,203500,9.115,9.115,9.115,9.115,3099,0
PGP.US,5,20260126,205500,9.13,9.13,9.12,9.12,3833,0
PGP.US,5,20260126,211000,9.13,9.14,9.125,9.125,2600,0
PGP.US,5,20260126,211500,9.139,9.14,9.1289,9.1331,806,0
PGP.US,5,20260126,212500,9.13,9.13,9.13,9.13,117,0
PGP.US,5,20260126,214500,9.125,9.14,9.125,9.14,837,0
PGP.US,5,20260126,215500,9.14,9.14,9.14,9.14,596,0
PGP.US,5,20260127,153000,9.14,9.14,9.14,9.14,111,0
PGP.US,5,20260127,161000,9.12,9.12,9.12,9.12,3227,0
PGP.US,5,20260127,161500,9.14,9.14,9.13,9.14,2020,0
PGP.US,5,20260127,162000,9.14,9.14,9.14,9.14,200,0
PGP.US,5,20260127,163000,9.1201,9.13,9.1201,9.13,435,0
PGP.US,5,20260127,164000,9.14,9.17,9.1399,9.17,17869,0
PGP.US,5,20260127,164500,9.18,9.18,9.18,9.18,410,0
PGP.US,5,20260127,165500,9.17,9.1708,9.17,9.1708,1892,0
PGP.US,5,20260127,170500,9.17,9.18,9.16,9.18,8800,0
PGP.US,5,20260127,171000,9.1654,9.1654,9.1654,9.1654,513,0
PGP.US,5,20260127,171500,9.1654,9.18,9.165,9.165,1397,0
PGP.US,5,20260127,172500,9.1692,9.1692,9.1692,9.1692,500,0
PGP.US,5,20260127,174500,9.1716,9.1716,9.1716,9.1716,164,0
PGP.US,5,20260127,175500,9.17,9.17,9.17,9.17,300,0
PGP.US,5,20260127,180000,9.17,9.17,9.17,9.17,320,0
PGP.US,5,20260127,181500,9.165,9.165,9.165,9.165,1091,0
PGP.US,5,20260127,182500,9.1654,9.1654,9.1654,9.1654,654,0
PGP.US,5,20260127,183500,9.1666,9.1666,9.1666,9.1666,100,0
PGP.US,5,20260127,184500,9.17,9.17,9.17,9.17,666,0
PGP.US,5,20260127,185000,9.17,9.17,9.1699,9.17,3680,0
PGP.US,5,20260127,190500,9.1601,9.1601,9.1601,9.1601,366,0
PGP.US,5,20260127,193500,9.165,9.17,9.1614,9.1614,8974,0
PGP.US,5,20260127,194000,9.17,9.18,9.17,9.17,3100,0
PGP.US,5,20260127,195000,9.17,9.18,9.17,9.18,2647,0
PGP.US,5,20260127,195500,9.18,9.18,9.18,9.18,200,0
PGP.US,5,20260127,200000,9.1764,9.1764,9.1764,9.1764,155,0
PGP.US,5,20260127,200500,9.175,9.18,9.175,9.18,1182,0
PGP.US,5,20260127,201500,9.1899,9.1899,9.1899,9.1899,761,0
PGP.US,5,20260127,203000,9.18,9.18,9.18,9.18,400,0
PGP.US,5,20260127,204500,9.18,9.18,9.18,9.18,100,0
PGP.US,5,20260127,205500,9.17,9.17,9.17,9.17,2000,0
PGP.US,5,20260127,211500,9.18,9.18,9.1749,9.1749,1000,0
PGP.US,5,20260127,212500,9.185,9.19,9.185,9.19,1400,0
PGP.US,5,20260127,213000,9.185,9.185,9.185,9.185,587,0
PGP.US,5,20260127,213500,9.185,9.19,9.175,9.175,3129,0
PGP.US,5,20260127,214000,9.1801,9.1801,9.1801,9.1801,200,0
PGP.US,5,20260127,214500,9.18,9.18,9.178,9.178,365,0
PGP.US,5,20260127,215500,9.175,9.19,9.16,9.19,2256,0
PGP.US,5,20260128,153500,9.2169,9.2169,9.1901,9.215,2991,0
PGP.US,5,20260128,162500,9.2001,9.2034,9.2,9.2034,2110,0
PGP.US,5,20260128,163000,9.1998,9.1998,9.1998,9.1998,500,0
PGP.US,5,20260128,163500,9.19,9.1901,9.14,9.14,4099,0
PGP.US,5,20260128,170500,9.1778,9.1778,9.175,9.175,341,0
PGP.US,5,20260128,172500,9.15,9.15,9.14,9.14,2675,0
PGP.US,5,20260128,173000,9.175,9.175,9.14,9.14,2146,0
PGP.US,5,20260128,173500,9.21,9.21,9.21,9.21,250,0
PGP.US,5,20260128,180000,9.153,9.153,9.153,9.153,1500,0
PGP.US,5,20260128,182000,9.21,9.21,9.185,9.1925,2757,0
PGP.US,5,20260128,183000,9.1926,9.1926,9.1926,9.1926,110,0
PGP.US,5,20260128,183500,9.2025,9.2025,9.2025,9.2025,110,0
PGP.US,5,20260128,184000,9.1976,9.1976,9.1976,9.1976,1414,0
PGP.US,5,20260128,190000,9.2,9.2,9.1892,9.1892,1000,0
PGP.US,5,20260128,190500,9.19,9.2,9.19,9.2,2100,0
PGP.US,5,20260128,191000,9.1999,9.1999,9.1999,9.1999,800,0
PGP.US,5,20260128,192000,9.19,9.19,9.19,9.19,176,0
PGP.US,5,20260128,195000,9.1873,9.1873,9.1873,9.1873,100,0
PGP.US,5,20260128,201500,9.195,9.195,9.195,9.195,110,0
PGP.US,5,20260128,202000,9.195,9.195,9.195,9.195,173,0
PGP.US,5,20260128,202500,9.195,9.195,9.195,9.195,100,0
PGP.US,5,20260128,203000,9.2053,9.2053,9.2053,9.2053,173,0
PGP.US,5,20260128,205000,9.195,9.195,9.195,9.195,900,0
PGP.US,5,20260128,210500,9.18,9.18,9.18,9.18,200,0
PGP.US,5,20260128,211000,9.2,9.23,9.195,9.23,17672,0
PGP.US,5,20260128,213000,9.225,9.225,9.225,9.225,300,0
PGP.US,5,20260128,214000,9.23,9.23,9.2266,9.2266,4296,0
PGP.US,5,20260128,214500,9.235,9.25,9.235,9.25,2040,0
PGP.US,5,20260128,215000,9.24,9.25,9.24,9.24,500,0
PGP.US,5,20260128,215500,9.25,9.25,9.24,9.25,3420,0
PGP.US,5,20260129,153000,9.205,9.205,9.205,9.205,2000,0
PGP.US,5,20260129,154000,9.23,9.23,9.23,9.23,110,0
PGP.US,5,20260129,154500,9.2429,9.2429,9.2429,9.2429,500,0
PGP.US,5,20260129,155500,9.2399,9.24,9.2399,9.2399,2650,0
PGP.US,5,20260129,161500,9.23,9.23,9.23,9.23,400,0
PGP.US,5,20260129,162000,9.215,9.23,9.215,9.23,4615,0
PGP.US,5,20260129,164000,9.22,9.22,9.22,9.22,200,0
PGP.US,5,20260129,165000,9.2,9.2,9.2,9.2,250,0
PGP.US,5,20260129,170000,9.2061,9.2061,9.2061,9.2061,525,0
PGP.US,5,20260129,174000,9.2302,9.2302,9.2302,9.2302,156,0
PGP.US,5,20260129,174500,9.2186,9.2186,9.2186,9.2186,100,0
PGP.US,5,20260129,180500,9.22,9.22,9.22,9.22,750,0
PGP.US,5,20260129,181000,9.233,9.233,9.233,9.233,100,0
PGP.US,5,20260129,182500,9.22,9.22,9.22,9.22,3238,0
PGP.US,5,20260129,190500,9.24,9.24,9.24,9.24,825,0
PGP.US,5,20260129,192000,9.2399,9.2399,9.2399,9.2399,200,0
PGP.US,5,20260129,201000,9.23,9.24,9.2201,9.2201,690,0
PGP.US,5,20260129,202500,9.2394,9.2394,9.2394,9.2394,100,0
PGP.US,5,20260129,210000,9.24,9.24,9.24,9.24,220,0
PGP.US,5,20260129,211000,9.234,9.234,9.234,9.234,1568,0
PGP.US,5,20260129,212000,9.2201,9.2201,9.2201,9.2201,650,0
PGP.US,5,20260129,212500,9.235,9.235,9.235,9.235,225,0
PGP.US,5,20260129,214500,9.25,9.25,9.25,9.25,436,0
PGP.US,5,20260129,215500,9.26,9.26,9.23,9.26,2376,0
PGP.US,5,20260130,155000,9.24,9.24,9.24,9.24,205,0
PGP.US,5,20260130,155500,9.23,9.23,9.23,9.23,120,0
PGP.US,5,20260130,160000,9.25,9.25,9.25,9.25,108,0
