<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRIF_K.US,5,20260126,153000,21.5,21.5,21.5,21.5,100,0
PRIF_K.US,5,20260126,160000,21.55,21.9,21.55,21.88,9636,0
PRIF_K.US,5,20260126,163000,21.72,21.72,21.72,21.72,200,0
PRIF_K.US,5,20260126,163500,21.8,21.8,21.8,21.8,1478,0
PRIF_K.US,5,20260126,170500,21.7,21.7,21.7,21.7,1347,0
PRIF_K.US,5,20260126,171000,21.75,21.75,21.75,21.75,1333,0
PRIF_K.US,5,20260126,171500,21.75,21.75,21.75,21.75,2560,0
PRIF_K.US,5,20260126,172500,21.75,21.75,21.75,21.75,2479,0
PRIF_K.US,5,20260126,175500,21.65,21.65,21.65,21.65,1125,0
PRIF_K.US,5,20260126,190500,21.7,21.7,21.7,21.7,100,0
PRIF_K.US,5,20260126,195000,21.7,21.7,21.7,21.7,500,0
PRIF_K.US,5,20260126,214000,21.58,21.58,21.58,21.58,200,0
PRIF_K.US,5,20260126,214500,21.65,21.65,21.65,21.65,100,0
PRIF_K.US,5,20260127,153500,21.4601,21.4601,21.4601,21.4601,600,0
PRIF_K.US,5,20260127,163000,21.64,21.64,21.64,21.64,400,0
PRIF_K.US,5,20260127,164500,21.6,21.6,21.6,21.6,400,0
PRIF_K.US,5,20260127,171500,21.6,21.6,21.6,21.6,200,0
PRIF_K.US,5,20260127,173000,21.55,21.64,21.5499,21.55,2408,0
PRIF_K.US,5,20260127,182000,21.55,21.55,21.55,21.55,100,0
PRIF_K.US,5,20260127,182500,21.55,21.55,21.55,21.55,1041,0
PRIF_K.US,5,20260127,185000,21.52,21.7051,21.51,21.55,2300,0
PRIF_K.US,5,20260127,185500,21.55,21.55,21.55,21.55,1291,0
PRIF_K.US,5,20260127,190000,21.55,21.55,21.55,21.55,954,0
PRIF_K.US,5,20260127,190500,21.55,21.55,21.55,21.55,800,0
PRIF_K.US,5,20260127,192000,21.55,21.55,21.55,21.55,800,0
PRIF_K.US,5,20260127,192500,21.55,21.55,21.55,21.55,200,0
