<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PWR.US,5,20260126,153000,470.77,472.09,467.3,471.99,5085,0
PWR.US,5,20260126,153500,472.16,476.01,471.865,472.6,5053,0
PWR.US,5,20260126,154000,473.42,477.18,473.05,477.18,3017,0
PWR.US,5,20260126,154500,478.3,478.88,476.25,476.68,7389,0
PWR.US,5,20260126,155000,477.27,477.99,476.44,477.3,5409,0
PWR.US,5,20260126,155500,477.535,477.56,476.78,476.848,918,0
PWR.US,5,20260126,160000,476.705,477.2,476.155,476.155,3777,0
PWR.US,5,20260126,160500,476.1,477.255,475.28,475.86,5541,0
PWR.US,5,20260126,161000,474.82,476.07,474.3311,476.06,2422,0
PWR.US,5,20260126,161500,475.4704,476.7945,475.27,475.49,2416,0
PWR.US,5,20260126,162000,475.955,476.67,474.82,476.54,5117,0
PWR.US,5,20260126,162500,476.12,476.12,474.02,474.02,2186,0
PWR.US,5,20260126,163000,474.4,475.53,473.385,475.335,3175,0
PWR.US,5,20260126,163500,475.29,475.88,474.7,474.7,1877,0
PWR.US,5,20260126,164000,474.575,474.575,473.27,473.83,1797,0
PWR.US,5,20260126,164500,473.81,474.84,473.77,474.6299,3758,0
PWR.US,5,20260126,165000,474.61,474.8,474.08,474.08,1362,0
PWR.US,5,20260126,165500,474.245,474.2775,472.605,472.77,5850,0
PWR.US,5,20260126,170000,472.68,473.01,472.07,472.8699,3287,0
PWR.US,5,20260126,170500,472.44,472.44,471.26,471.5259,5371,0
PWR.US,5,20260126,171000,471.825,472.28,471.7824,471.975,949,0
PWR.US,5,20260126,171500,472.1,472.74,472.08,472.35,4137,0
PWR.US,5,20260126,172000,472.45,473.085,472.26,472.49,3963,0
PWR.US,5,20260126,172500,472.634,473.2,472.61,472.64,1933,0
PWR.US,5,20260126,173000,472.38,472.45,471.34,472.05,1682,0
PWR.US,5,20260126,173500,471.94,472.2,471.48,472.035,1704,0
PWR.US,5,20260126,174000,471.72,472.05,471.34,471.6,1748,0
PWR.US,5,20260126,174500,471.27,471.55,470.82,471.06,2084,0
PWR.US,5,20260126,175000,471.075,471.35,470.82,470.9608,1629,0
PWR.US,5,20260126,175500,471.07,471.07,470.42,470.635,1431,0
PWR.US,5,20260126,180000,470.585,470.64,470.01,470.51,2296,0
PWR.US,5,20260126,180500,470.375,470.58,469.525,469.525,1791,0
PWR.US,5,20260126,181000,469.7075,470.43,469.7075,470.43,1502,0
PWR.US,5,20260126,181500,470.35,470.35,470.3315,470.3315,183,0
PWR.US,5,20260126,182000,470.52,470.98,470.455,470.825,2239,0
PWR.US,5,20260126,182500,470.98,471.76,470.98,471.67,3133,0
PWR.US,5,20260126,183000,471.77,472.22,471.77,472.175,2029,0
PWR.US,5,20260126,183500,471.9999,472.04,471.34,471.9399,2867,0
PWR.US,5,20260126,184000,471.38,471.77,471.2972,471.435,2588,0
PWR.US,5,20260126,184500,471.415,471.65,471.2,471.425,1720,0
PWR.US,5,20260126,185000,471.425,471.65,471.125,471.125,2268,0
PWR.US,5,20260126,185500,471.13,471.43,471.125,471.39,819,0
PWR.US,5,20260126,190000,471.19,471.5899,470.98,471.1325,2599,0
PWR.US,5,20260126,190500,471.2545,472.05,471.2545,471.44,6830,0
PWR.US,5,20260126,191000,471.5,471.58,471.37,471.45,2384,0
PWR.US,5,20260126,191500,471.21,471.95,471.07,471.68,1515,0
PWR.US,5,20260126,192000,471.75,471.93,471.68,471.765,1354,0
PWR.US,5,20260126,192500,471.765,471.85,471.33,471.385,1506,0
PWR.US,5,20260126,193000,471.445,472.015,471.445,471.92,3191,0
PWR.US,5,20260126,193500,471.94,472.13,471.91,471.94,2046,0
PWR.US,5,20260126,194000,471.935,472.54,471.845,471.85,4539,0
PWR.US,5,20260126,194500,471.58,471.93,471.26,471.93,3575,0
PWR.US,5,20260126,195000,471.93,472.35,471.87,472.1,1546,0
PWR.US,5,20260126,195500,471.96,471.96,471.31,471.635,1913,0
PWR.US,5,20260126,200000,471.775,472,471.09,471.13,1011,0
PWR.US,5,20260126,200500,471.02,471.09,470.22,470.22,4192,0
PWR.US,5,20260126,201000,470.22,470.47,469.94,470.1,2750,0
PWR.US,5,20260126,201500,470.21,470.71,469.97,470.71,1603,0
PWR.US,5,20260126,202000,470.9218,470.9218,470.13,470.18,5609,0
PWR.US,5,20260126,202500,470.18,470.6114,470.18,470.6114,719,0
PWR.US,5,20260126,203000,470.55,470.71,470.28,470.6,2411,0
PWR.US,5,20260126,203500,470.39,470.85,470.37,470.65,1804,0
PWR.US,5,20260126,204000,470.665,470.72,470.2,470.56,1988,0
PWR.US,5,20260126,204500,470.7088,470.7088,469.58,469.9,6146,0
PWR.US,5,20260126,205000,470.01,470.08,469.665,469.665,2241,0
PWR.US,5,20260126,205500,469.5,470.27,469.5,470.27,3060,0
PWR.US,5,20260126,210000,470.27,470.55,470.04,470.55,1695,0
PWR.US,5,20260126,210500,470.68,470.68,470.08,470.22,1598,0
PWR.US,5,20260126,211000,470.225,470.485,469.91,470.27,3137,0
PWR.US,5,20260126,211500,470.1,470.25,469.92,470.11,1604,0
PWR.US,5,20260126,212000,470.24,470.44,469.86,469.86,3887,0
PWR.US,5,20260126,212500,469.9559,470.5,469.9559,470.07,4003,0
PWR.US,5,20260126,213000,470.3025,470.46,470.05,470.07,3111,0
PWR.US,5,20260126,213500,470.22,470.22,469.93,470.02,1915,0
PWR.US,5,20260126,214000,470.09,470.47,470.04,470.47,2729,0
PWR.US,5,20260126,214500,470.51,470.82,470.3,470.81,5963,0
PWR.US,5,20260126,215000,470.74,471.27,470.1,471,11390,0
PWR.US,5,20260126,215500,471.09,471.17,470.51,470.77,98301,0
PWR.US,5,20260127,153000,473.57,475.1699,467,470.16,4876,0
PWR.US,5,20260127,153500,470.15,473.97,470.15,471.525,1459,0
PWR.US,5,20260127,154000,471.9559,474.72,471.55,472.87,3798,0
PWR.US,5,20260127,154500,472.805,473.81,472.5,472.71,3039,0
PWR.US,5,20260127,155000,473.75,477.87,473.55,477.155,5680,0
PWR.US,5,20260127,155500,476.73,477.585,476.31,477.585,2070,0
PWR.US,5,20260127,160000,477.26,478.9776,476.76,478.46,21729,0
PWR.US,5,20260127,160500,477.94,480.1985,477.71,480.1985,7872,0
