<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PYPU.US,5,20260330,202000,25.31,25.31,25.31,25.31,300,0
PYPU.US,5,20260331,173500,25.76,25.79,25.72,25.72,1000,0
PYPU.US,5,20260331,174000,25.7,25.76,25.7,25.76,1000,0
PYPU.US,5,20260331,174500,25.72,25.72,25.61,25.7,1200,0
PYPU.US,5,20260401,161000,25.01,25.01,25.01,25.01,100,0
PYPU.US,5,20260401,190500,25.79,25.79,25.79,25.79,113,0
PYPU.US,5,20260401,203500,25.31,25.31,25.31,25.31,3992,0
PYPU.US,5,20260401,213000,25.46,25.46,25.46,25.46,340,0
PYPU.US,5,20260402,184000,25.78,25.79,25.78,25.79,300,0
PYPU.US,5,20260406,160000,27.01,27.01,27.01,27.01,800,0
PYPU.US,5,20260406,164000,26.91,26.91,26.91,26.91,100,0
PYPU.US,5,20260406,170500,26.84,26.84,26.84,26.84,400,0
PYPU.US,5,20260406,181500,26.61,26.61,26.61,26.61,500,0
PYPU.US,5,20260406,211000,26.46,26.46,26.46,26.46,100,0
PYPU.US,5,20260407,153000,25.78,25.78,25.78,25.78,200,0
PYPU.US,5,20260407,153500,25.4,25.41,25.22,25.22,1600,0
PYPU.US,5,20260407,155000,25.5,25.5,25.5,25.5,200,0
PYPU.US,5,20260407,160500,25.48,25.48,25.48,25.48,800,0
PYPU.US,5,20260407,161500,25.5,25.5,25.5,25.5,800,0
PYPU.US,5,20260407,163000,25.72,25.72,25.72,25.72,800,0
PYPU.US,5,20260407,163500,25.65,25.71,25.65,25.71,320,0
PYPU.US,5,20260407,164000,25.71,25.71,25.71,25.71,700,0
PYPU.US,5,20260407,165500,25.66,25.66,25.66,25.66,800,0
PYPU.US,5,20260407,170500,25.49,25.49,25.49,25.49,400,0
PYPU.US,5,20260407,171500,25.7,25.7,25.64,25.64,500,0
PYPU.US,5,20260407,172500,25.65,25.65,25.65,25.65,500,0
PYPU.US,5,20260407,173500,25.81,25.81,25.81,25.81,400,0
PYPU.US,5,20260407,175500,25.81,25.81,25.81,25.81,700,0
PYPU.US,5,20260407,182500,25.94,25.94,25.94,25.94,500,0
PYPU.US,5,20260407,183500,25.81,25.81,25.81,25.81,300,0
PYPU.US,5,20260407,185000,25.97,25.97,25.97,25.97,500,0
PYPU.US,5,20260407,191500,25.96,25.96,25.96,25.96,800,0
PYPU.US,5,20260407,193500,25.89,25.89,25.89,25.89,600,0
PYPU.US,5,20260407,202500,25.64,25.64,25.58,25.58,1000,0
PYPU.US,5,20260407,205000,25.41,25.41,25.41,25.41,100,0
PYPU.US,5,20260407,205500,25.29,25.36,25.29,25.36,1000,0
PYPU.US,5,20260407,213500,25.51,25.51,25.51,25.51,400,0
PYPU.US,5,20260407,214000,25.46,25.4601,25.46,25.46,700,0
PYPU.US,5,20260407,214500,25.6,25.6,25.6,25.6,400,0
PYPU.US,5,20260408,161500,26.88,26.88,26.88,26.88,100,0
PYPU.US,5,20260408,172500,26.93,26.93,26.93,26.93,100,0
PYPU.US,5,20260408,201000,26.99,26.99,26.98,26.98,220,0
PYPU.US,5,20260408,201500,26.9,26.9,26.9,26.9,240,0
PYPU.US,5,20260409,153500,26.32,26.32,26.32,26.32,100,0
PYPU.US,5,20260409,163500,26,26,26,26,264,0
PYPU.US,5,20260409,193500,26.61,26.61,26.61,26.61,100,0
PYPU.US,5,20260410,211500,26.07,26.07,26.07,26.07,383,0
PYPU.US,5,20260413,154500,26.08,26.08,26.08,26.08,102,0
PYPU.US,5,20260414,192000,29.35,29.35,29.35,29.35,100,0
PYPU.US,5,20260415,184000,30.7,30.7,30.7,30.7,100,0
PYPU.US,5,20260415,194500,30.85,30.85,30.85,30.85,200,0
PYPU.US,5,20260416,161500,30.59,30.59,30.59,30.59,300,0
PYPU.US,5,20260416,162000,30.5,30.559,30.5,30.559,200,0
PYPU.US,5,20260416,170000,30.49,30.49,30.49,30.49,100,0
PYPU.US,5,20260416,175500,31.045,31.045,31.045,31.045,100,0
PYPU.US,5,20260416,190000,30.84,30.84,30.84,30.84,100,0
PYPU.US,5,20260416,202000,31.001,31.001,30.9901,30.9901,499,0
PYPU.US,5,20260416,202500,31,31,31,31,100,0
PYPU.US,5,20260417,153500,31.851,31.851,31.851,31.851,100,0
PYPU.US,5,20260417,154000,31.85,31.85,31.85,31.85,584,0
PYPU.US,5,20260417,154500,32.03,32.03,32.021,32.021,677,0
PYPU.US,5,20260417,160500,32.239,32.2794,32.239,32.2794,311,0
PYPU.US,5,20260417,163000,32.825,32.8981,32.825,32.8981,500,0
PYPU.US,5,20260417,174500,32.55,32.55,32.55,32.55,100,0
PYPU.US,5,20260417,193000,32.381,32.381,32.381,32.381,500,0
PYPU.US,5,20260417,200000,32.42,32.48,32.42,32.48,200,0
PYPU.US,5,20260417,201500,32.24,32.279,32.24,32.279,214,0
PYPU.US,5,20260417,210000,32.075,32.1386,32.075,32.1386,805,0
PYPU.US,5,20260420,200500,32.56,32.56,32.56,32.56,396,0
PYPU.US,5,20260420,215500,33.32,33.32,33.32,33.32,500,0
PYPU.US,5,20260421,153000,34.32,34.32,34.32,34.32,300,0
PYPU.US,5,20260421,164000,33.95,33.95,33.95,33.95,300,0
PYPU.US,5,20260421,171500,33.35,33.35,33.35,33.35,150,0
PYPU.US,5,20260421,183000,33.28,33.28,33.28,33.28,500,0
PYPU.US,5,20260421,210000,33.12,33.13,33.12,33.13,400,0
PYPU.US,5,20260422,170000,32.475,32.475,32.475,32.475,399,0
PYPU.US,5,20260422,193500,32.71,32.71,32.71,32.71,500,0
PYPU.US,5,20260422,205500,32.86,32.86,32.86,32.86,250,0
PYPU.US,5,20260423,154500,31.57,31.57,31.57,31.57,100,0
PYPU.US,5,20260423,175000,31.02,31.25,31.02,31.12,1381,0
PYPU.US,5,20260423,194500,30.49,30.49,30.49,30.49,300,0
PYPU.US,5,20260424,153000,31.95,31.95,31.95,31.95,100,0
PYPU.US,5,20260424,153500,31.185,31.185,31.185,31.185,100,0
PYPU.US,5,20260424,160500,31.255,31.255,31.255,31.255,100,0
PYPU.US,5,20260424,163000,31.35,31.36,31.35,31.36,200,0
PYPU.US,5,20260424,171000,31.04,31.04,31.0158,31.0158,200,0
PYPU.US,5,20260424,180000,31.291,31.291,31.291,31.291,100,0
PYPU.US,5,20260424,183000,31.429,31.429,31.429,31.429,400,0
PYPU.US,5,20260428,154000,31.25,31.25,31.25,31.25,100,0
PYPU.US,5,20260428,155000,31.59,31.59,31.59,31.59,100,0
PYPU.US,5,20260428,173500,31.035,31.035,31.035,31.035,100,0
PYPU.US,5,20260428,191500,31.22,31.2299,31.22,31.2299,634,0
PYPU.US,5,20260428,204000,30.91,30.91,30.91,30.91,199,0
PYPU.US,5,20260429,201500,31.68,32.3,31.68,32.3,400,0
PYPU.US,5,20260429,214500,32.5999,32.5999,32.5999,32.5999,100,0
PYPU.US,5,20260430,174000,31.52,31.52,31.52,31.52,500,0
PYPU.US,5,20260430,185000,31.301,31.301,31.301,31.301,800,0
PYPU.US,5,20260501,154000,32.01,32.01,32.01,32.01,100,0
PYPU.US,5,20260501,171000,32.049,32.049,32.049,32.049,300,0
PYPU.US,5,20260501,210000,32.02,32.02,32.02,32.02,300,0
PYPU.US,5,20260504,153500,32.315,32.315,32.315,32.315,150,0
PYPU.US,5,20260504,154000,32.16,32.16,32.16,32.16,100,0
PYPU.US,5,20260504,155500,32.36,32.36,32.36,32.36,600,0
PYPU.US,5,20260504,160500,32.23,32.25,32.23,32.25,1921,0
PYPU.US,5,20260504,163500,31.87,31.87,31.87,31.87,100,0
PYPU.US,5,20260504,164000,31.71,31.71,31.71,31.71,100,0
PYPU.US,5,20260504,164500,31.83,31.83,31.83,31.83,100,0
PYPU.US,5,20260504,165000,31.86,32.11,31.86,32.11,2051,0
PYPU.US,5,20260504,171000,31.75,32,31.75,32,1972,0
PYPU.US,5,20260504,174000,31.815,31.9999,31.815,31.9999,2368,0
PYPU.US,5,20260504,180000,31.58,31.58,31.58,31.58,800,0
PYPU.US,5,20260504,180500,31.47,31.55,31.38,31.55,1771,0
PYPU.US,5,20260504,181000,31.43,31.43,31.43,31.43,600,0
PYPU.US,5,20260504,181500,31.605,31.76,31.49,31.76,1721,0
PYPU.US,5,20260504,182000,31.76,31.76,31.76,31.76,1000,0
PYPU.US,5,20260504,185500,31.58,31.58,31.58,31.58,200,0
PYPU.US,5,20260504,190500,31.63,31.63,31.63,31.63,500,0
PYPU.US,5,20260504,191500,31.82,31.82,31.82,31.82,700,0
PYPU.US,5,20260504,192000,31.96,31.96,31.9,31.96,2930,0
PYPU.US,5,20260504,194500,32.02,32.02,32.02,32.02,421,0
PYPU.US,5,20260504,195000,31.66,31.66,31.63,31.63,300,0
PYPU.US,5,20260504,195500,31.52,31.52,31.52,31.52,200,0
PYPU.US,5,20260504,200000,31.41,31.47,31.41,31.47,600,0
PYPU.US,5,20260504,201000,31.51,31.51,31.51,31.51,300,0
PYPU.US,5,20260504,201500,31.43,31.43,31.43,31.43,200,0
PYPU.US,5,20260504,202500,31.62,31.63,31.62,31.63,2400,0
PYPU.US,5,20260504,204000,31.6,31.6,31.6,31.6,1500,0
PYPU.US,5,20260504,205000,31.6,31.6,31.6,31.6,900,0
PYPU.US,5,20260504,205500,31.46,31.5,31.46,31.48,601,0
PYPU.US,5,20260504,210500,31.88,31.88,31.88,31.88,100,0
PYPU.US,5,20260504,211000,31.815,31.815,31.815,31.815,100,0
PYPU.US,5,20260504,215000,31.705,31.705,31.705,31.705,200,0
