<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REZI.US,5,20260126,153000,35.81,35.84,35.44,35.575,6127,0
REZI.US,5,20260126,153500,35.575,36,35.51,35.99,6399,0
REZI.US,5,20260126,154000,35.99,36.02,35.845,36.02,1550,0
REZI.US,5,20260126,154500,36.06,36.14,36.06,36.11,1669,0
REZI.US,5,20260126,155000,36.19,36.41,36.19,36.37,3700,0
REZI.US,5,20260126,155500,36.33,36.34,36.16,36.16,2500,0
REZI.US,5,20260126,160000,36.165,36.19,36.06,36.06,4491,0
REZI.US,5,20260126,160500,35.96,35.9881,35.8,35.8,10386,0
REZI.US,5,20260126,161000,35.77,35.77,35.765,35.765,300,0
REZI.US,5,20260126,161500,35.71,35.84,35.71,35.76,1568,0
REZI.US,5,20260126,162000,35.79,35.87,35.7878,35.84,1903,0
REZI.US,5,20260126,162500,35.77,35.79,35.65,35.68,2419,0
REZI.US,5,20260126,163000,35.65,35.67,35.51,35.66,4820,0
REZI.US,5,20260126,163500,35.61,35.61,35.56,35.57,655,0
REZI.US,5,20260126,164000,35.54,35.55,35.5,35.515,4579,0
REZI.US,5,20260126,164500,35.51,35.555,35.51,35.55,4066,0
REZI.US,5,20260126,165000,35.54,35.56,35.53,35.56,1828,0
REZI.US,5,20260126,165500,35.55,35.55,35.445,35.51,5873,0
REZI.US,5,20260126,170000,35.51,35.52,35.41,35.45,3551,0
REZI.US,5,20260126,170500,35.435,35.45,35.431,35.431,586,0
REZI.US,5,20260126,171000,35.45,35.45,35.41,35.415,985,0
REZI.US,5,20260126,171500,35.39,35.41,35.365,35.38,2531,0
REZI.US,5,20260126,172000,35.385,35.44,35.3,35.31,5681,0
REZI.US,5,20260126,172500,35.305,35.5,35.305,35.5,2767,0
REZI.US,5,20260126,173000,35.47,35.59,35.4,35.54,3025,0
REZI.US,5,20260126,173500,35.59,35.59,35.48,35.48,2526,0
REZI.US,5,20260126,174000,35.54,35.54,35.45,35.46,2328,0
REZI.US,5,20260126,174500,35.46,35.57,35.46,35.56,2666,0
REZI.US,5,20260126,175000,35.57,35.59,35.56,35.58,1000,0
REZI.US,5,20260126,175500,35.57,35.57,35.52,35.52,2100,0
REZI.US,5,20260126,180000,35.5,35.53,35.49,35.525,1414,0
REZI.US,5,20260126,180500,35.525,35.59,35.525,35.56,2152,0
REZI.US,5,20260126,181000,35.55,35.555,35.52,35.54,800,0
REZI.US,5,20260126,181500,35.55,35.55,35.55,35.55,100,0
REZI.US,5,20260126,182000,35.53,35.625,35.53,35.625,2843,0
REZI.US,5,20260126,182500,35.62,35.675,35.61,35.66,2609,0
REZI.US,5,20260126,183000,35.67,35.71,35.65,35.71,4364,0
REZI.US,5,20260126,183500,35.71,35.725,35.63,35.65,3667,0
REZI.US,5,20260126,184000,35.63,35.635,35.61,35.63,863,0
REZI.US,5,20260126,184500,35.62,35.63,35.62,35.6284,503,0
REZI.US,5,20260126,185000,35.63,35.63,35.625,35.625,503,0
REZI.US,5,20260126,185500,35.6,35.62,35.6,35.62,1182,0
REZI.US,5,20260126,190000,35.61,35.625,35.54,35.56,9129,0
REZI.US,5,20260126,190500,35.58,35.58,35.54,35.565,3300,0
REZI.US,5,20260126,191000,35.6,35.6,35.58,35.6,1300,0
REZI.US,5,20260126,191500,35.6,35.64,35.6,35.64,1268,0
REZI.US,5,20260126,192000,35.65,35.71,35.65,35.71,1074,0
REZI.US,5,20260126,192500,35.72,35.72,35.7,35.7,445,0
REZI.US,5,20260126,193000,35.71,35.755,35.71,35.75,3013,0
REZI.US,5,20260126,193500,35.73,35.74,35.72,35.74,1065,0
REZI.US,5,20260126,194000,35.73,35.75,35.71,35.73,1466,0
REZI.US,5,20260126,194500,35.72,35.75,35.66,35.75,7570,0
REZI.US,5,20260126,195000,35.725,35.76,35.72,35.72,1702,0
REZI.US,5,20260126,195500,35.725,35.83,35.71,35.78,42384,0
REZI.US,5,20260126,200000,35.75,35.75,35.7,35.715,2252,0
REZI.US,5,20260126,200500,35.73,35.74,35.7,35.73,2413,0
REZI.US,5,20260126,201000,35.73,35.74,35.73,35.74,663,0
REZI.US,5,20260126,201500,35.73,35.73,35.7,35.72,5831,0
REZI.US,5,20260126,202000,35.75,35.8399,35.75,35.795,1904,0
REZI.US,5,20260126,202500,35.79,35.85,35.79,35.85,3066,0
REZI.US,5,20260126,203000,35.86,35.87,35.82,35.85,3375,0
REZI.US,5,20260126,203500,35.85,35.9,35.85,35.853,2250,0
REZI.US,5,20260126,204000,35.85,35.91,35.85,35.9,6698,0
REZI.US,5,20260126,204500,35.915,35.915,35.87,35.87,1604,0
REZI.US,5,20260126,205000,35.89,35.89,35.86,35.875,962,0
REZI.US,5,20260126,205500,35.87,35.87,35.78,35.81,21052,0
REZI.US,5,20260126,210000,35.805,35.81,35.74,35.805,8184,0
REZI.US,5,20260126,210500,35.815,35.84,35.79,35.84,2900,0
REZI.US,5,20260126,211000,35.825,35.875,35.81,35.81,4342,0
REZI.US,5,20260126,211500,35.8,35.8,35.715,35.76,11708,0
REZI.US,5,20260126,212000,35.77,35.83,35.77,35.83,2364,0
REZI.US,5,20260126,212500,35.82,35.87,35.8,35.825,5828,0
REZI.US,5,20260126,213000,35.82,35.82,35.72,35.725,5573,0
REZI.US,5,20260126,213500,35.72,35.74,35.62,35.63,6053,0
REZI.US,5,20260126,214000,35.63,35.67,35.47,35.515,13977,0
REZI.US,5,20260126,214500,35.5,35.54,35.48,35.53,17268,0
REZI.US,5,20260126,215000,35.53,35.535,35.36,35.38,30282,0
REZI.US,5,20260126,215500,35.375,35.43,35.25,35.27,332552,0
REZI.US,5,20260127,153000,34.7,34.89,34.305,34.675,65088,0
REZI.US,5,20260127,153500,34.76,35.155,34.76,34.98,4319,0
REZI.US,5,20260127,154000,35.07,35.31,34.95,35.23,7606,0
REZI.US,5,20260127,154500,35.36,35.44,35.13,35.13,5932,0
REZI.US,5,20260127,155000,35.07,35.145,34.7,34.78,8382,0
REZI.US,5,20260127,155500,34.79,34.88,34.75,34.75,22124,0
REZI.US,5,20260127,160000,34.75,35.135,34.635,35.04,37086,0
REZI.US,5,20260127,160500,35.03,35.07,34.91,34.965,15058,0
REZI.US,5,20260127,161000,34.965,35.04,34.83,34.98,8934,0
REZI.US,5,20260127,161500,34.98,34.99,34.87,34.87,14867,0
REZI.US,5,20260127,162000,34.875,34.94,34.81,34.885,19563,0
REZI.US,5,20260127,162500,34.885,34.89,34.71,34.76,2662,0
REZI.US,5,20260127,163000,34.76,34.76,34.47,34.54,18966,0
REZI.US,5,20260127,163500,34.525,34.58,34.22,34.4492,51992,0
REZI.US,5,20260127,164000,34.36,34.36,34.08,34.24,15662,0
REZI.US,5,20260127,164500,34.245,34.245,34.06,34.06,7464,0
REZI.US,5,20260127,165000,34.06,34.27,34.05,34.16,32499,0
REZI.US,5,20260127,165500,34.2,34.48,34.15,34.42,16744,0
REZI.US,5,20260127,170000,34.45,34.69,34.45,34.645,10268,0
REZI.US,5,20260127,170500,34.65,34.75,34.62,34.745,13778,0
REZI.US,5,20260127,171000,34.745,34.84,34.56,34.68,12009,0
REZI.US,5,20260127,171500,34.62,34.79,34.62,34.75,11885,0
REZI.US,5,20260127,172000,34.76,34.8,34.67,34.67,16440,0
REZI.US,5,20260127,172500,34.6862,34.79,34.625,34.79,23194,0
REZI.US,5,20260127,173000,34.75,34.765,34.66,34.7,12673,0
REZI.US,5,20260127,173500,34.7,34.74,34.63,34.63,9813,0
REZI.US,5,20260127,174000,34.65,34.65,34.44,34.44,19854,0
REZI.US,5,20260127,174500,34.475,34.48,34.405,34.4296,11438,0
REZI.US,5,20260127,175000,34.445,34.48,34.21,34.23,29547,0
REZI.US,5,20260127,175500,34.21,34.24,34.05,34.05,19010,0
REZI.US,5,20260127,180000,34.02,34.12,33.83,34.11,68545,0
REZI.US,5,20260127,180500,34.06,34.24,34.05,34.215,13503,0
REZI.US,5,20260127,181000,34.21,34.21,34.14,34.15,5010,0
REZI.US,5,20260127,181500,34.16,34.16,34.04,34.045,9256,0
REZI.US,5,20260127,182000,34.045,34.09,33.98,34.04,15131,0
REZI.US,5,20260127,182500,34.04,34.08,34.02,34.055,12562,0
REZI.US,5,20260127,183000,34.055,34.07,33.95,33.955,10736,0
REZI.US,5,20260127,183500,33.93,33.96,33.82,33.82,10605,0
REZI.US,5,20260127,184000,33.8,33.8,33.62,33.715,24083,0
REZI.US,5,20260127,184500,33.7,33.72,33.66,33.675,8787,0
REZI.US,5,20260127,185000,33.675,33.97,33.675,33.91,30566,0
REZI.US,5,20260127,185500,33.91,34.06,33.86,33.92,32330,0
REZI.US,5,20260127,190000,33.92,34.14,33.91,34.14,56050,0
REZI.US,5,20260127,190500,34.14,34.155,34.08,34.135,12702,0
REZI.US,5,20260127,191000,34.135,34.175,34.03,34.03,12465,0
REZI.US,5,20260127,191500,34.06,34.17,34.06,34.115,9354,0
REZI.US,5,20260127,192000,34.09,34.18,34.04,34.08,7383,0
REZI.US,5,20260127,192500,34.08,34.08,33.99,34.03,13648,0
REZI.US,5,20260127,193000,34.05,34.14,34.05,34.115,10206,0
REZI.US,5,20260127,193500,34.115,34.115,34.05,34.08,10720,0
REZI.US,5,20260127,194000,34.1,34.16,34.07,34.1,53773,0
REZI.US,5,20260127,194500,34.12,34.18,34.115,34.17,6354,0
REZI.US,5,20260127,195000,34.17,34.19,34.04,34.095,13552,0
REZI.US,5,20260127,195500,34.1,34.105,34.03,34.07,7845,0
REZI.US,5,20260127,200000,34.06,34.065,33.86,33.97,25688,0
REZI.US,5,20260127,200500,33.94,34.05,33.94,33.955,27412,0
REZI.US,5,20260127,201000,33.955,34.01,33.93,33.95,29848,0
REZI.US,5,20260127,201500,33.94,34.02,33.93,34.02,14990,0
REZI.US,5,20260127,202000,34,34.025,33.92,33.93,83106,0
REZI.US,5,20260127,202500,33.92,34.035,33.9,33.9175,24217,0
REZI.US,5,20260127,203000,33.935,33.935,33.874,33.9,17014,0
REZI.US,5,20260127,203500,33.9,33.91,33.85,33.89,17540,0
REZI.US,5,20260127,204000,33.9,33.97,33.89,33.89,24910,0
REZI.US,5,20260127,204500,33.905,33.92,33.83,33.87,15722,0
REZI.US,5,20260127,205000,33.88,33.92,33.86,33.86,16090,0
REZI.US,5,20260127,205500,33.87,34,33.87,33.933,15718,0
REZI.US,5,20260127,210000,33.93,33.93,33.85,33.89,17900,0
REZI.US,5,20260127,210500,33.895,33.97,33.89,33.95,12463,0
REZI.US,5,20260127,211000,33.95,34.04,33.95,34,20709,0
REZI.US,5,20260127,211500,34,34.05,33.965,33.99,18506,0
REZI.US,5,20260127,212000,33.98,34.02,33.8,33.87,34977,0
REZI.US,5,20260127,212500,33.89,33.89,33.8,33.82,22217,0
REZI.US,5,20260127,213000,33.8,33.92,33.79,33.89,30906,0
REZI.US,5,20260127,213500,33.89,33.915,33.84,33.845,21814,0
REZI.US,5,20260127,214000,33.84,33.87,33.82,33.835,33959,0
REZI.US,5,20260127,214500,33.84,33.89,33.8,33.87,45353,0
REZI.US,5,20260127,215000,33.88,33.88,33.75,33.81,69833,0
REZI.US,5,20260127,215500,33.81,33.85,33.7,33.81,525489,0
REZI.US,5,20260128,153000,33.91,33.91,33.22,33.22,19692,0
REZI.US,5,20260128,153500,33.35,33.64,33.28,33.635,27385,0
REZI.US,5,20260128,154000,33.635,33.95,33.635,33.89,12641,0
REZI.US,5,20260128,154500,33.96,34.17,33.79,33.8,11575,0
REZI.US,5,20260128,155000,33.77,33.78,33.37,33.395,10433,0
REZI.US,5,20260128,155500,33.395,33.51,33.39,33.51,3877,0
REZI.US,5,20260128,160000,33.4,33.72,33.4,33.57,11194,0
REZI.US,5,20260128,160500,33.56,33.69,33.495,33.57,7485,0
REZI.US,5,20260128,161000,33.55,33.6499,33.5,33.59,13552,0
REZI.US,5,20260128,161500,33.64,33.73,33.52,33.555,10028,0
REZI.US,5,20260128,162000,33.6,33.7,33.56,33.685,16637,0
REZI.US,5,20260128,162500,33.64,33.695,33.59,33.695,10304,0
REZI.US,5,20260128,163000,33.7,34.02,33.7,33.9025,75717,0
REZI.US,5,20260128,163500,33.93,33.935,33.55,33.765,70976,0
REZI.US,5,20260128,164000,33.73,33.8,33.6,33.6,47512,0
REZI.US,5,20260128,164500,33.58,33.64,33.54,33.575,6330,0
REZI.US,5,20260128,165000,33.53,33.565,33.42,33.48,5027,0
REZI.US,5,20260128,165500,33.5,33.575,33.45,33.49,8200,0
REZI.US,5,20260128,170000,33.48,33.68,33.48,33.66,12338,0
REZI.US,5,20260128,170500,33.63,33.63,33.455,33.455,6234,0
REZI.US,5,20260128,171000,33.43,33.61,33.4,33.605,6280,0
REZI.US,5,20260128,171500,33.59,33.59,33.475,33.5,4750,0
REZI.US,5,20260128,172000,33.49,33.49,33.4,33.45,5412,0
REZI.US,5,20260128,172500,33.47,33.57,33.47,33.565,12490,0
REZI.US,5,20260128,173000,33.57,33.6,33.525,33.595,5755,0
REZI.US,5,20260128,173500,33.59,33.73,33.59,33.665,8692,0
REZI.US,5,20260128,174000,33.65,33.665,33.52,33.635,11001,0
REZI.US,5,20260128,174500,33.625,33.64,33.58,33.64,7340,0
REZI.US,5,20260128,175000,33.645,33.67,33.59,33.66,4541,0
REZI.US,5,20260128,175500,33.69,33.71,33.68,33.69,1204,0
REZI.US,5,20260128,180000,33.69,33.745,33.67,33.73,3107,0
REZI.US,5,20260128,180500,33.73,33.74,33.67,33.68,4609,0
REZI.US,5,20260128,181000,33.7,33.757,33.68,33.757,3950,0
REZI.US,5,20260128,181500,33.73,33.73,33.67,33.7,4241,0
REZI.US,5,20260128,182000,33.68,33.68,33.54,33.54,5866,0
REZI.US,5,20260128,182500,33.53,33.53,33.5,33.51,15040,0
REZI.US,5,20260128,183000,33.51,33.55,33.5,33.54,7110,0
REZI.US,5,20260128,183500,33.54,33.6,33.53,33.54,4777,0
REZI.US,5,20260128,184000,33.55,33.585,33.55,33.57,2698,0
REZI.US,5,20260128,184500,33.56,33.6,33.53,33.6,5371,0
REZI.US,5,20260128,185000,33.63,33.68,33.63,33.68,3173,0
REZI.US,5,20260128,185500,33.68,33.74,33.68,33.7,4824,0
REZI.US,5,20260128,190000,33.73,33.74,33.69,33.74,8143,0
REZI.US,5,20260128,190500,33.7257,33.74,33.65,33.66,10238,0
REZI.US,5,20260128,191000,33.63,33.65,33.61,33.645,1920,0
REZI.US,5,20260128,191500,33.63,33.67,33.63,33.67,3309,0
REZI.US,5,20260128,192000,33.67,33.675,33.66,33.665,1751,0
REZI.US,5,20260128,192500,33.665,33.68,33.65,33.67,2429,0
REZI.US,5,20260128,193000,33.65,33.67,33.61,33.65,5980,0
REZI.US,5,20260128,193500,33.655,33.655,33.61,33.625,5737,0
REZI.US,5,20260128,194000,33.64,33.705,33.64,33.68,5909,0
REZI.US,5,20260128,194500,33.67,33.7,33.62,33.675,12583,0
REZI.US,5,20260128,195000,33.685,33.7,33.67,33.7,4680,0
REZI.US,5,20260128,195500,33.69,33.7,33.67,33.68,4900,0
REZI.US,5,20260128,200000,33.675,33.71,33.595,33.7,12297,0
REZI.US,5,20260128,200500,33.71,33.755,33.68,33.755,9598,0
REZI.US,5,20260128,201000,33.77,33.835,33.755,33.775,38831,0
REZI.US,5,20260128,201500,33.76,33.81,33.7,33.805,37250,0
REZI.US,5,20260128,202000,33.8,33.8,33.7,33.735,8414,0
REZI.US,5,20260128,202500,33.72,33.75,33.605,33.625,12535,0
REZI.US,5,20260128,203000,33.625,33.98,33.5,33.55,110992,0
REZI.US,5,20260128,203500,33.55,33.6592,33.54,33.54,19835,0
REZI.US,5,20260128,204000,33.57,33.59,33.52,33.535,22772,0
REZI.US,5,20260128,204500,33.5,33.55,33.5,33.53,16201,0
REZI.US,5,20260128,205000,33.51,33.65,33.5,33.64,36327,0
REZI.US,5,20260128,205500,33.64,33.67,33.59,33.6,16971,0
REZI.US,5,20260128,210000,33.595,33.595,33.55,33.56,9548,0
REZI.US,5,20260128,210500,33.555,33.56,33.52,33.55,17229,0
REZI.US,5,20260128,211000,33.55,33.55,33.5,33.51,20285,0
REZI.US,5,20260128,211500,33.5,33.52,33.35,33.46,16275,0
REZI.US,5,20260128,212000,33.45,33.54,33.431,33.54,9160,0
REZI.US,5,20260128,212500,33.53,33.54,33.42,33.42,9063,0
REZI.US,5,20260128,213000,33.43,33.48,33.43,33.43,8610,0
REZI.US,5,20260128,213500,33.44,33.4825,33.44,33.47,18276,0
REZI.US,5,20260128,214000,33.46,33.49,33.4,33.49,11562,0
REZI.US,5,20260128,214500,33.47,33.5,33.38,33.38,17976,0
REZI.US,5,20260128,215000,33.395,33.42,33.26,33.26,28008,0
REZI.US,5,20260128,215500,33.26,33.375,33.26,33.34,407655,0
REZI.US,5,20260129,153000,33.61,33.89,33.455,33.54,8021,0
REZI.US,5,20260129,153500,33.66,34,33.43,34,33496,0
REZI.US,5,20260129,154000,33.83,34,33.82,33.85,5380,0
REZI.US,5,20260129,154500,33.89,33.93,33.7,33.89,5850,0
REZI.US,5,20260129,155000,33.925,33.93,33.79,33.9,3347,0
REZI.US,5,20260129,155500,33.88,34,33.84,33.945,5729,0
