<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RGA.US,5,20260126,153000,196.68,197.5,196.68,197.5,867,0
RGA.US,5,20260126,154000,197.71,197.71,197.71,197.71,200,0
RGA.US,5,20260126,154500,197.845,197.875,197.845,197.875,879,0
RGA.US,5,20260126,155500,197.63,197.63,197.405,197.405,400,0
RGA.US,5,20260126,160000,197.655,197.655,197.32,197.43,2714,0
RGA.US,5,20260126,160500,197.635,197.635,197.635,197.635,110,0
RGA.US,5,20260126,161000,197.61,198.07,197.61,198.05,970,0
RGA.US,5,20260126,161500,197.73,197.73,197.665,197.665,500,0
RGA.US,5,20260126,162000,197.76,197.98,197.76,197.98,272,0
RGA.US,5,20260126,162500,197.79,197.79,197.79,197.79,100,0
RGA.US,5,20260126,163000,197.59,197.9599,197.47,197.9599,540,0
RGA.US,5,20260126,163500,197.74,197.7689,197.59,197.7689,725,0
RGA.US,5,20260126,164000,197.5,197.5,197.425,197.425,200,0
RGA.US,5,20260126,164500,197.52,197.52,197.37,197.37,400,0
RGA.US,5,20260126,165000,197.42,197.6,197.42,197.6,200,0
RGA.US,5,20260126,165500,197.405,197.405,197.405,197.405,100,0
RGA.US,5,20260126,170000,197.395,197.395,197.395,197.395,200,0
RGA.US,5,20260126,170500,197.39,197.39,196.87,197.045,1476,0
RGA.US,5,20260126,171000,197.055,197.055,196.85,196.85,983,0
RGA.US,5,20260126,171500,197.03,197.03,197.02,197.02,300,0
RGA.US,5,20260126,173000,196.9,196.91,196.84,196.91,500,0
RGA.US,5,20260126,173500,196.81,196.81,196.395,196.72,5427,0
RGA.US,5,20260126,174000,196.86,196.935,196.65,196.65,1149,0
RGA.US,5,20260126,174500,196.68,196.68,196.51,196.67,1200,0
RGA.US,5,20260126,175000,196.64,196.66,196.49,196.575,2035,0
RGA.US,5,20260126,175500,196.47,196.72,196.47,196.72,1300,0
RGA.US,5,20260126,180000,196.72,196.72,196.72,196.72,100,0
RGA.US,5,20260126,180500,196.695,196.71,196.695,196.71,200,0
RGA.US,5,20260126,181000,196.7,196.7,196.7,196.7,323,0
RGA.US,5,20260126,181500,196.84,196.88,196.79,196.88,1200,0
RGA.US,5,20260126,182000,196.88,196.92,196.88,196.92,950,0
RGA.US,5,20260126,182500,196.89,196.96,196.89,196.96,400,0
RGA.US,5,20260126,183000,197.19448,197.19448,197.19448,197.19448,174,0
RGA.US,5,20260126,183500,197.22,197.22,196.9571,197.055,1227,0
RGA.US,5,20260126,184000,197.06,197.08,197.06,197.065,300,0
RGA.US,5,20260126,184500,197.075,197.075,197.075,197.075,100,0
RGA.US,5,20260126,185000,197.08,197.08,197.06,197.06,300,0
RGA.US,5,20260126,185500,196.99,196.99,196.99,196.99,400,0
RGA.US,5,20260126,190000,196.98,197,196.94,196.94,2500,0
RGA.US,5,20260126,190500,196.94,197.18,196.94,197.18,1735,0
RGA.US,5,20260126,191000,197,197.01,197,197.01,509,0
RGA.US,5,20260126,191500,197.23,197.23,197.22,197.23,400,0
RGA.US,5,20260126,192000,197.33,197.33,197.245,197.245,600,0
RGA.US,5,20260126,192500,197.4,197.4,197.22,197.22,700,0
RGA.US,5,20260126,193000,197.37,197.37,197.345,197.345,200,0
RGA.US,5,20260126,193500,197.31,197.315,197.215,197.315,1500,0
RGA.US,5,20260126,194500,197.45,197.46,197.45,197.45,500,0
RGA.US,5,20260126,195000,197.36,197.36,197.22,197.225,1357,0
RGA.US,5,20260126,195500,197.19,197.22,197.19,197.19,700,0
RGA.US,5,20260126,200000,197.32,197.32,197.32,197.32,454,0
RGA.US,5,20260126,200500,197.27,197.33,197.165,197.32,1150,0
RGA.US,5,20260126,201000,197.35,197.47,197.35,197.45,1768,0
RGA.US,5,20260126,201500,197.2696,197.53,197.2696,197.53,2372,0
RGA.US,5,20260126,202000,197.42,197.55,197.39,197.54,891,0
