<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RHP.US,5,20260126,153000,95.64,95.64,95.64,95.64,200,0
RHP.US,5,20260126,154000,95.17,95.17,94.95,94.95,2150,0
RHP.US,5,20260126,154500,95.015,95.015,94.79,94.8,3557,0
RHP.US,5,20260126,155000,94.77,95.02,94.77,94.96,1748,0
RHP.US,5,20260126,155500,94.955,94.955,94.81,94.81,3146,0
RHP.US,5,20260126,160000,95.19,95.36,95.17,95.28,1919,0
RHP.US,5,20260126,160500,95.305,95.305,95.265,95.29,1565,0
RHP.US,5,20260126,161000,95.295,95.36,95.295,95.3,450,0
RHP.US,5,20260126,161500,95.275,95.76,95.23,95.45,2200,0
RHP.US,5,20260126,162000,95.45,95.63,95.45,95.61,1042,0
RHP.US,5,20260126,162500,95.425,95.425,95.085,95.085,2892,0
RHP.US,5,20260126,163000,95.1,95.12,95.02,95.03,2822,0
RHP.US,5,20260126,163500,95.07,95.07,94.93,94.94,300,0
RHP.US,5,20260126,164000,94.8,94.82,94.74,94.82,304,0
RHP.US,5,20260126,164500,94.81,95,94.81,94.94,824,0
RHP.US,5,20260126,165000,94.94,95.2,94.94,95.2,400,0
RHP.US,5,20260126,165500,95.18,95.2,95.08,95.085,700,0
RHP.US,5,20260126,170000,95.105,95.105,94.92,94.935,1169,0
RHP.US,5,20260126,170500,94.9,94.935,94.86,94.935,625,0
RHP.US,5,20260126,171000,95.005,95.01,94.95,94.98,900,0
RHP.US,5,20260126,171500,94.98,94.98,94.98,94.98,108,0
RHP.US,5,20260126,172000,95.07,95.1,95.07,95.1,300,0
RHP.US,5,20260126,172500,95.05,95.25,95.05,95.165,1608,0
RHP.US,5,20260126,173000,95.27,95.42,95.1975,95.42,1700,0
RHP.US,5,20260126,173500,95.45,95.45,95.28,95.28,200,0
RHP.US,5,20260126,174000,95.27,95.32,95.19,95.19,1496,0
RHP.US,5,20260126,174500,95.175,95.235,95.175,95.235,200,0
RHP.US,5,20260126,175000,95.24,95.275,95.16,95.275,758,0
RHP.US,5,20260126,175500,95.2,95.2,95.18,95.18,200,0
RHP.US,5,20260126,180000,95.24,95.24,95.24,95.24,300,0
RHP.US,5,20260126,180500,95.24,95.32,95.24,95.26,2442,0
RHP.US,5,20260126,181000,95.18,95.3,95.16,95.18,550,0
RHP.US,5,20260126,181500,95.14,95.2,95.06,95.06,1300,0
RHP.US,5,20260126,182500,95.04,95.08,95.04,95.08,400,0
RHP.US,5,20260126,183000,95.13,95.13,95.02,95.05,997,0
RHP.US,5,20260126,183500,95.01,95.02,94.86,94.94,1274,0
RHP.US,5,20260126,184000,94.935,94.935,94.93,94.93,533,0
RHP.US,5,20260126,184500,94.87,95.02,94.87,95.02,300,0
RHP.US,5,20260126,185000,95.03,95.03,94.93,94.93,400,0
RHP.US,5,20260126,185500,94.945,95,94.945,94.995,400,0
RHP.US,5,20260126,190000,95.02,95.05,95.01,95.04,900,0
RHP.US,5,20260126,190500,95.03,95.285,95.03,95.11,1937,0
RHP.US,5,20260126,191000,95.11,95.11,95.11,95.11,100,0
RHP.US,5,20260126,191500,95.18,95.23,95.18,95.23,614,0
RHP.US,5,20260126,192000,95.2,95.2562,95.2,95.2562,505,0
RHP.US,5,20260126,192500,95.31,95.31,95.245,95.245,400,0
RHP.US,5,20260126,193000,95.2,95.2,95.18,95.18,350,0
RHP.US,5,20260126,193500,95.245,95.245,95.155,95.155,1600,0
RHP.US,5,20260126,194000,95.18,95.22,95.18,95.22,411,0
RHP.US,5,20260126,194500,95.2154,95.2154,95.2154,95.2154,389,0
RHP.US,5,20260126,195000,95.15,95.29,95.11,95.11,2172,0
RHP.US,5,20260126,195500,95.195,95.27,95.19,95.27,300,0
RHP.US,5,20260126,200000,95.14,95.28,95.13,95.205,5868,0
RHP.US,5,20260126,200500,95.28,95.3714,95.1618,95.3714,1301,0
RHP.US,5,20260126,201000,95.38,95.38,95.36,95.36,739,0
RHP.US,5,20260126,201500,95.41,95.55,95.41,95.455,3239,0
RHP.US,5,20260126,202000,95.55,95.55,95.35,95.435,2278,0
RHP.US,5,20260126,202500,95.49,95.56,95.49,95.5202,1601,0
RHP.US,5,20260126,203000,95.59,95.595,95.58,95.58,2310,0
RHP.US,5,20260126,203500,95.64,95.64,95.585,95.585,500,0
RHP.US,5,20260126,204000,95.55,95.585,95.52,95.565,3491,0
RHP.US,5,20260126,204500,95.565,95.6442,95.565,95.635,409,0
RHP.US,5,20260126,205000,95.629,95.629,95.629,95.629,101,0
RHP.US,5,20260126,205500,95.745,95.745,95.715,95.715,300,0
RHP.US,5,20260126,210000,95.78,95.95,95.78,95.85,2950,0
RHP.US,5,20260126,210500,95.8,95.85,95.77,95.78,2826,0
RHP.US,5,20260126,211000,95.76,95.9,95.74,95.9,2039,0
RHP.US,5,20260126,211500,95.87,95.87,95.84,95.86,1372,0
RHP.US,5,20260126,212000,95.85,95.92,95.83,95.895,1422,0
RHP.US,5,20260126,212500,95.895,95.98,95.895,95.93,914,0
RHP.US,5,20260126,213000,95.9,96.04,95.9,96.04,2024,0
RHP.US,5,20260126,213500,96.07,96.07,95.94,95.95,3502,0
RHP.US,5,20260126,214000,95.94,95.94,95.76,95.87,3751,0
RHP.US,5,20260126,214500,95.93,95.93,95.67,95.67,2746,0
RHP.US,5,20260126,215000,95.63,95.735,95.49,95.53,8470,0
RHP.US,5,20260126,215500,95.59,95.81,95.56,95.66,167443,0
RHP.US,5,20260127,153000,95.04,95.04,95.04,95.04,196,0
RHP.US,5,20260127,153500,94.85,94.88,94.63,94.88,3681,0
RHP.US,5,20260127,154000,95.06,95.07,94.98,94.9825,2100,0
RHP.US,5,20260127,154500,94.88,94.88,94.85,94.88,443,0
RHP.US,5,20260127,155000,94.835,94.88,94.815,94.88,2900,0
RHP.US,5,20260127,155500,94.75,94.75,94.72,94.72,1100,0
RHP.US,5,20260127,160000,94.71,94.97,94.705,94.97,924,0
RHP.US,5,20260127,160500,94.8157,94.91,94.71,94.71,1352,0
RHP.US,5,20260127,161000,94.84,95.01,94.61,95.01,5408,0
RHP.US,5,20260127,161500,95.07,95.24,94.955,94.955,7274,0
RHP.US,5,20260127,162000,94.95,94.95,94.795,94.795,421,0
RHP.US,5,20260127,162500,94.83,94.99,94.58,94.58,1564,0
RHP.US,5,20260127,163000,94.57,94.61,94.57,94.61,209,0
RHP.US,5,20260127,163500,94.525,94.835,94.525,94.81,1638,0
RHP.US,5,20260127,164000,94.75,94.75,94.7,94.7,401,0
RHP.US,5,20260127,164500,94.7,94.71,94.57,94.67,5941,0
RHP.US,5,20260127,165000,94.62,94.78,94.49,94.57,3935,0
RHP.US,5,20260127,165500,94.71,94.71,94.71,94.71,100,0
