<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RL.US,5,20260126,153000,365.3,369.48,365.3,369.23,3486,0
RL.US,5,20260126,153500,368.77,368.77,366.99,366.99,436,0
RL.US,5,20260126,154000,366.99,367.2,363.97,363.97,1280,0
RL.US,5,20260126,154500,364,365.36,363.64,364.33,1594,0
RL.US,5,20260126,155000,364.13,364.13,362.7,362.87,1222,0
RL.US,5,20260126,155500,362.29,362.43,360.7,360.7,4801,0
RL.US,5,20260126,160000,360.88,361.41,360.085,360.25,5967,0
RL.US,5,20260126,160500,360.01,361.47,358.78,361.38,7536,0
RL.US,5,20260126,161000,361.3,363.39,360.71,363.15,1943,0
RL.US,5,20260126,161500,363.095,363.435,360.75,361.17,2122,0
RL.US,5,20260126,162000,361.17,361.23,358.49,359.06,2145,0
RL.US,5,20260126,162500,359.02,359.68,356.12,357.875,14235,0
RL.US,5,20260126,163000,357.925,358.73,357.73,358.73,1560,0
RL.US,5,20260126,163500,358.94,360.43,358.25,360.28,5253,0
RL.US,5,20260126,164000,359.88,360.09,359.53,359.53,2353,0
RL.US,5,20260126,164500,359.52,359.52,357.08,357.08,3272,0
RL.US,5,20260126,165000,356.88,357.83,356.26,357.83,2157,0
RL.US,5,20260126,165500,357.48,357.78,356.8,357.565,4897,0
RL.US,5,20260126,170000,357.74,358.38,356.89,357.3475,7336,0
RL.US,5,20260126,170500,357.25,357.63,357.025,357.36,1978,0
RL.US,5,20260126,171000,357.7,357.7,356.93,357.02,523,0
RL.US,5,20260126,171500,357.045,357.1275,356.52,356.61,581,0
RL.US,5,20260126,172000,356.9,357.2,356.6,357.11,1398,0
RL.US,5,20260126,172500,357.21,357.74,357.175,357.74,2141,0
RL.US,5,20260126,173000,357.45,357.45,357.25,357.25,355,0
RL.US,5,20260126,173500,357.64,357.835,357.4,357.4,1823,0
RL.US,5,20260126,174000,357.39,357.58,357.32,357.51,1567,0
RL.US,5,20260126,174500,357.4433,358.648,357.41,358.215,2314,0
RL.US,5,20260126,175000,358.215,358.88,358.21,358.88,1796,0
RL.US,5,20260126,175500,358.775,358.95,358.76,358.95,792,0
RL.US,5,20260126,180000,358.94,359.56,358.78,359.56,2246,0
RL.US,5,20260126,180500,359.38,359.47,358.85,359.04,1183,0
RL.US,5,20260126,181000,359.04,359.045,358.81,359.04,571,0
RL.US,5,20260126,181500,359.06,360.58,358.89,360.1325,3663,0
RL.US,5,20260126,182000,360.155,360.155,359.9,359.96,291,0
RL.US,5,20260126,182500,360.14,360.5,360.14,360.5,1575,0
RL.US,5,20260126,183000,360.33,360.58,359.73,359.9,1696,0
RL.US,5,20260126,183500,359.665,360.34,359.665,360.34,670,0
RL.US,5,20260126,184000,360.15,360.49,360.15,360.49,585,0
RL.US,5,20260126,184500,360.275,360.875,360.275,360.8,894,0
RL.US,5,20260126,185000,360.67,360.89,360.3357,360.72,516,0
