<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RLX.US,5,20260126,153000,2.33,2.39,2.33,2.38,239111,0
RLX.US,5,20260126,153500,2.374,2.4,2.374,2.4,290079,0
RLX.US,5,20260126,154000,2.395,2.4098,2.385,2.4,423160,0
RLX.US,5,20260126,154500,2.4,2.41,2.4,2.405,64152,0
RLX.US,5,20260126,155000,2.405,2.41,2.4,2.405,47247,0
RLX.US,5,20260126,155500,2.405,2.41,2.4,2.4,36656,0
RLX.US,5,20260126,160000,2.405,2.41,2.4,2.405,46910,0
RLX.US,5,20260126,160500,2.4047,2.41,2.4,2.405,26355,0
RLX.US,5,20260126,161000,2.405,2.41,2.4,2.405,292366,0
RLX.US,5,20260126,161500,2.405,2.41,2.4,2.404,87069,0
RLX.US,5,20260126,162000,2.405,2.4191,2.4,2.41,207832,0
RLX.US,5,20260126,162500,2.401,2.43,2.401,2.425,96692,0
RLX.US,5,20260126,163000,2.425,2.425,2.42,2.425,17547,0
RLX.US,5,20260126,163500,2.425,2.43,2.42,2.425,44686,0
RLX.US,5,20260126,164000,2.425,2.425,2.415,2.415,112931,0
RLX.US,5,20260126,164500,2.415,2.425,2.4142,2.415,133356,0
RLX.US,5,20260126,165000,2.41,2.415,2.41,2.41,46393,0
RLX.US,5,20260126,165500,2.41,2.4101,2.4,2.4,106848,0
RLX.US,5,20260126,170000,2.405,2.41,2.405,2.405,12650,0
RLX.US,5,20260126,170500,2.405,2.41,2.4,2.41,92700,0
RLX.US,5,20260126,171000,2.405,2.415,2.405,2.41,110147,0
RLX.US,5,20260126,171500,2.41,2.415,2.41,2.415,24515,0
RLX.US,5,20260126,172000,2.41,2.415,2.4042,2.405,25709,0
RLX.US,5,20260126,172500,2.405,2.41,2.4001,2.41,12422,0
RLX.US,5,20260126,173000,2.405,2.41,2.405,2.41,11584,0
RLX.US,5,20260126,173500,2.41,2.41,2.4018,2.41,14687,0
RLX.US,5,20260126,174000,2.405,2.41,2.4,2.405,84600,0
RLX.US,5,20260126,174500,2.405,2.41,2.4,2.405,26011,0
RLX.US,5,20260126,175000,2.405,2.41,2.405,2.405,9748,0
RLX.US,5,20260126,175500,2.405,2.41,2.405,2.405,12829,0
RLX.US,5,20260126,180000,2.405,2.41,2.4,2.4,11285,0
RLX.US,5,20260126,180500,2.405,2.41,2.4,2.405,12507,0
RLX.US,5,20260126,181000,2.4,2.41,2.4,2.405,6875,0
RLX.US,5,20260126,181500,2.4,2.41,2.4,2.405,8113,0
RLX.US,5,20260126,182000,2.405,2.41,2.4,2.405,7915,0
RLX.US,5,20260126,182500,2.4,2.41,2.4,2.4,9700,0
RLX.US,5,20260126,183000,2.4,2.41,2.4,2.405,28485,0
RLX.US,5,20260126,183500,2.4,2.405,2.4,2.405,48359,0
