<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SAY.US,5,20260126,153500,25.4624,25.56,25.4624,25.56,2504,0
SAY.US,5,20260126,160000,25.47,25.47,25.47,25.47,200,0
SAY.US,5,20260126,170000,25.49,25.49,25.49,25.49,100,0
SAY.US,5,20260126,170500,25.4814,25.4814,25.4814,25.4814,500,0
SAY.US,5,20260126,173000,25.49,25.49,25.49,25.49,100,0
SAY.US,5,20260126,175000,25.49,25.49,25.49,25.49,300,0
SAY.US,5,20260126,175500,25.47,25.47,25.47,25.47,100,0
SAY.US,5,20260126,180000,25.47,25.47,25.47,25.47,400,0
SAY.US,5,20260126,192000,25.46,25.46,25.46,25.46,100,0
SAY.US,5,20260126,194000,25.48,25.49,25.4774,25.48,3000,0
SAY.US,5,20260126,202500,25.4765,25.4765,25.4601,25.4639,1500,0
SAY.US,5,20260126,211500,25.46,25.46,25.46,25.46,100,0
SAY.US,5,20260126,214500,25.49,25.49,25.49,25.49,200,0
SAY.US,5,20260126,215500,25.5121,25.5121,25.5121,25.5121,118,0
SAY.US,5,20260127,160500,25.51,25.51,25.51,25.51,200,0
SAY.US,5,20260127,171500,25.51,25.51,25.51,25.51,100,0
SAY.US,5,20260127,173000,25.5005,25.5036,25.5,25.5,335,0
SAY.US,5,20260127,182000,25.4766,25.4766,25.4766,25.4766,525,0
SAY.US,5,20260127,205500,25.47,25.476,25.4601,25.476,842,0
SAY.US,5,20260127,211000,25.4752,25.4752,25.4752,25.4752,260,0
SAY.US,5,20260127,213000,25.49,25.51,25.49,25.503,2000,0
SAY.US,5,20260127,213500,25.4901,25.51,25.4901,25.51,845,0
SAY.US,5,20260127,215500,25.51,25.51,25.51,25.51,100,0
SAY.US,5,20260128,160000,25.52,25.52,25.52,25.52,410,0
SAY.US,5,20260128,165500,25.4815,25.4815,25.4815,25.4815,300,0
SAY.US,5,20260128,172000,25.58,25.6,25.58,25.6,1922,0
SAY.US,5,20260128,180000,25.62,25.62,25.62,25.62,300,0
SAY.US,5,20260128,180500,25.5948,25.5948,25.5948,25.5948,350,0
SAY.US,5,20260128,194500,25.61,25.61,25.61,25.61,116,0
SAY.US,5,20260128,210500,25.62,25.62,25.62,25.62,200,0
SAY.US,5,20260128,212000,25.62,25.62,25.62,25.62,500,0
SAY.US,5,20260128,212500,25.6,25.6001,25.6,25.6001,2000,0
SAY.US,5,20260128,213000,25.6,25.6001,25.6,25.6001,1500,0
SAY.US,5,20260128,214000,25.61,25.62,25.601,25.62,900,0
SAY.US,5,20260128,214500,25.6001,25.6001,25.6001,25.6001,500,0
SAY.US,5,20260128,215000,25.733,25.733,25.733,25.733,300,0
SAY.US,5,20260128,215500,25.63,25.7576,25.63,25.7576,2500,0
SAY.US,5,20260129,161000,25.615,25.615,25.615,25.615,500,0
SAY.US,5,20260129,170500,25.615,25.615,25.615,25.615,160,0
SAY.US,5,20260129,172500,25.5904,25.5904,25.5904,25.5904,200,0
SAY.US,5,20260129,174500,25.5388,25.5388,25.5388,25.5388,200,0
SAY.US,5,20260129,175000,25.52,25.52,25.51,25.52,478,0
SAY.US,5,20260129,192000,25.5301,25.5301,25.5301,25.5301,500,0
SAY.US,5,20260129,214000,25.56,25.5601,25.56,25.5601,2000,0
SAY.US,5,20260129,215000,25.57,25.57,25.56,25.57,761,0
SAY.US,5,20260129,215500,25.561,25.561,25.561,25.561,500,0
SAY.US,5,20260130,195000,25.72,25.72,25.72,25.72,201,0
SAY.US,5,20260130,215500,25.63,25.63,25.63,25.63,197,0
SAY.US,5,20260202,154500,25.605,25.605,25.605,25.605,584,0
SAY.US,5,20260202,165000,25.54,25.54,25.54,25.54,100,0
SAY.US,5,20260202,190000,25.56,25.56,25.54,25.54,700,0
SAY.US,5,20260202,215500,25.58,25.58,25.58,25.58,284,0
SAY.US,5,20260203,154500,25.5415,25.5415,25.5415,25.5415,1190,0
SAY.US,5,20260203,171500,25.58,25.58,25.58,25.58,603,0
SAY.US,5,20260203,183000,25.58,25.58,25.56,25.56,1200,0
SAY.US,5,20260203,183500,25.55,25.55,25.55,25.55,299,0
SAY.US,5,20260203,185000,25.55,25.55,25.55,25.55,100,0
SAY.US,5,20260203,193000,25.55,25.55,25.55,25.55,500,0
SAY.US,5,20260203,194000,25.55,25.55,25.55,25.55,100,0
SAY.US,5,20260203,200500,25.55,25.55,25.55,25.55,200,0
SAY.US,5,20260203,202000,25.57,25.575,25.57,25.575,200,0
SAY.US,5,20260204,153000,25.55,25.55,25.55,25.55,100,0
SAY.US,5,20260204,153500,25.5707,25.5707,25.5707,25.5707,200,0
SAY.US,5,20260204,155500,25.6,25.6,25.6,25.6,100,0
SAY.US,5,20260204,160000,25.575,25.575,25.575,25.575,500,0
SAY.US,5,20260204,160500,25.575,25.575,25.55,25.567,800,0
SAY.US,5,20260204,165000,25.55,25.55,25.55,25.55,100,0
SAY.US,5,20260204,170000,25.55,25.6,25.55,25.6,417,0
