<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SECR.US,5,20260126,174500,25.86,25.86,25.86,25.86,772,0
SECR.US,5,20260126,180000,25.85,25.85,25.85,25.85,850,0
SECR.US,5,20260126,181000,25.8799,25.8799,25.8799,25.8799,731,0
SECR.US,5,20260126,183000,25.8797,25.8797,25.8797,25.8797,2000,0
SECR.US,5,20260126,190000,25.882,25.882,25.882,25.882,194,0
SECR.US,5,20260126,190500,25.889,25.889,25.889,25.889,333,0
SECR.US,5,20260126,215500,25.88,25.88,25.88,25.88,100,0
SECR.US,5,20260127,153500,25.91,25.91,25.9,25.9,600,0
SECR.US,5,20260127,162500,25.8722,25.8722,25.8722,25.8722,249,0
SECR.US,5,20260127,174500,25.875,25.875,25.875,25.875,400,0
SECR.US,5,20260127,212000,25.867,25.867,25.867,25.867,205,0
SECR.US,5,20260127,214500,25.9,25.9,25.842,25.865,776,0
SECR.US,5,20260127,215000,25.865,25.8996,25.865,25.8996,825,0
SECR.US,5,20260128,155500,25.83,25.831,25.83,25.831,532,0
SECR.US,5,20260128,160000,25.8599,25.8599,25.8599,25.8599,500,0
SECR.US,5,20260128,160500,25.7901,25.7901,25.7901,25.7901,109,0
SECR.US,5,20260128,161000,25.8215,25.83,25.8215,25.83,684,0
SECR.US,5,20260129,171000,25.875,25.875,25.875,25.875,766,0
SECR.US,5,20260129,184500,25.9011,25.9011,25.9011,25.9011,152,0
SECR.US,5,20260129,190000,25.9021,25.9021,25.9021,25.9021,141,0
SECR.US,5,20260129,210500,25.87,25.87,25.87,25.87,414,0
SECR.US,5,20260130,161500,25.78,25.78,25.78,25.78,487,0
SECR.US,5,20260130,192000,25.8199,25.8199,25.8199,25.8199,580,0
SECR.US,5,20260130,215000,25.79,25.79,25.79,25.79,300,0
SECR.US,5,20260202,161000,25.79,25.79,25.79,25.79,200,0
SECR.US,5,20260202,182500,25.81,25.81,25.81,25.81,837,0
SECR.US,5,20260202,190000,25.8,25.8,25.8,25.8,100,0
SECR.US,5,20260202,190500,25.8,25.8,25.8,25.8,447,0
SECR.US,5,20260202,191000,25.8,25.8,25.8,25.8,100,0
SECR.US,5,20260202,195500,25.8,25.8,25.8,25.8,100,0
SECR.US,5,20260202,203500,25.8,25.82,25.8,25.82,83107,0
SECR.US,5,20260202,215500,25.8,25.8,25.8,25.8,500,0
SECR.US,5,20260203,164000,25.7704,25.7704,25.7704,25.7704,790,0
SECR.US,5,20260203,182500,25.7655,25.7655,25.7655,25.7655,1192,0
SECR.US,5,20260203,185000,25.77,25.77,25.77,25.77,100,0
SECR.US,5,20260203,192000,25.77,25.77,25.77,25.77,135,0
SECR.US,5,20260203,210000,25.79,25.79,25.79,25.79,174,0
SECR.US,5,20260203,212500,25.7899,25.79,25.7899,25.79,1100,0
SECR.US,5,20260203,213000,25.79,25.8,25.79,25.8,1200,0
SECR.US,5,20260203,215000,25.8,25.8,25.8,25.8,100,0
SECR.US,5,20260204,161000,25.78,25.78,25.78,25.78,659,0
SECR.US,5,20260204,164500,25.791,25.791,25.791,25.791,147,0
SECR.US,5,20260204,181500,25.8099,25.8099,25.8099,25.8099,364,0
SECR.US,5,20260204,183500,25.8,25.8,25.8,25.8,400,0
SECR.US,5,20260204,185500,25.8,25.8,25.8,25.8,300,0
SECR.US,5,20260204,190500,25.81,25.81,25.81,25.81,100,0
SECR.US,5,20260204,215500,25.7875,25.7875,25.7875,25.7875,300,0
