<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHG.US,5,20260126,153000,57.86,57.905,57.62,57.62,2350,0
SHG.US,5,20260126,153500,57.63,57.72,57.43,57.685,4806,0
SHG.US,5,20260126,154000,57.685,57.78,57.685,57.685,800,0
SHG.US,5,20260126,154500,57.67,57.91,57.67,57.91,1728,0
SHG.US,5,20260126,155000,57.92,58.07,57.885,57.97,3842,0
SHG.US,5,20260126,155500,57.97,58.19,57.97,58.17,5027,0
SHG.US,5,20260126,160000,58.2,58.3,58.15,58.25,2100,0
SHG.US,5,20260126,160500,58.27,58.4,58.27,58.4,955,0
SHG.US,5,20260126,161000,58.14,58.28,58.14,58.275,600,0
SHG.US,5,20260126,161500,58.285,58.285,58.15,58.275,1344,0
SHG.US,5,20260126,162000,58.27,58.27,58.13,58.19,2536,0
SHG.US,5,20260126,162500,58.14,58.14,57.99,57.99,1065,0
SHG.US,5,20260126,163000,57.99,58.14,57.99,58.14,800,0
SHG.US,5,20260126,163500,58.15,58.15,58.085,58.125,600,0
SHG.US,5,20260126,164000,58.14,58.16,58.135,58.135,2000,0
SHG.US,5,20260126,164500,58.14,58.14,57.995,57.995,700,0
SHG.US,5,20260126,165000,58,58.075,57.99,58.075,1100,0
SHG.US,5,20260126,165500,57.99,58.055,57.98,57.98,1537,0
SHG.US,5,20260126,170000,57.98,57.99,57.98,57.99,556,0
SHG.US,5,20260126,170500,57.99,57.99,57.95,57.99,1508,0
SHG.US,5,20260126,171000,57.98,57.98,57.94,57.94,469,0
SHG.US,5,20260126,171500,57.9,57.94,57.9,57.94,873,0
SHG.US,5,20260126,172000,57.9,57.97,57.88,57.93,889,0
SHG.US,5,20260126,172500,57.92,57.965,57.86,57.869,1530,0
SHG.US,5,20260126,173000,57.925,57.925,57.87,57.87,901,0
SHG.US,5,20260126,173500,57.86,57.925,57.86,57.925,700,0
SHG.US,5,20260126,174000,57.88,57.925,57.88,57.92,681,0
SHG.US,5,20260126,174500,57.92,57.92,57.92,57.92,904,0
SHG.US,5,20260126,175000,57.92,57.99,57.92,57.97,1200,0
SHG.US,5,20260126,175500,57.92,58.005,57.92,57.99,1218,0
SHG.US,5,20260126,180000,57.98,58.005,57.98,58.005,300,0
SHG.US,5,20260126,181000,58.005,58.005,57.92,57.935,1471,0
SHG.US,5,20260126,181500,58.0299,58.08,57.905,58.03,4307,0
SHG.US,5,20260126,182500,57.99,57.99,57.91,57.91,1003,0
SHG.US,5,20260126,183000,57.905,57.905,57.905,57.905,100,0
SHG.US,5,20260126,183500,57.905,57.9797,57.83,57.83,1255,0
SHG.US,5,20260126,184000,57.92,57.94,57.915,57.94,300,0
SHG.US,5,20260126,184500,57.87,57.9358,57.76,57.76,1293,0
SHG.US,5,20260126,185000,57.76,57.93,57.76,57.825,650,0
SHG.US,5,20260126,185500,57.86,57.88,57.86,57.88,200,0
SHG.US,5,20260126,190500,57.85,57.85,57.81,57.81,200,0
SHG.US,5,20260126,191000,58,58,57.82,57.82,428,0
SHG.US,5,20260126,191500,57.81,57.81,57.81,57.81,100,0
SHG.US,5,20260126,192000,57.905,57.905,57.905,57.905,100,0
SHG.US,5,20260126,192500,57.87,57.87,57.82,57.85,309,0
SHG.US,5,20260126,193000,57.9,57.9,57.9,57.9,126,0
SHG.US,5,20260126,193500,57.9,57.985,57.9,57.98,600,0
SHG.US,5,20260126,194000,57.8975,57.8975,57.8975,57.8975,100,0
SHG.US,5,20260126,194500,57.895,57.975,57.895,57.975,200,0
SHG.US,5,20260126,195000,57.895,57.895,57.895,57.895,100,0
SHG.US,5,20260126,195500,57.87,57.93,57.87,57.93,219,0
SHG.US,5,20260126,200000,57.89,57.89,57.81,57.88,1760,0
SHG.US,5,20260126,201500,57.88,57.88,57.81,57.82,1226,0
SHG.US,5,20260126,202000,57.8,57.8,57.715,57.767,1539,0
SHG.US,5,20260126,202500,57.73,57.787184,57.73,57.73,387,0
SHG.US,5,20260126,203000,57.69,57.69,57.69,57.69,100,0
SHG.US,5,20260126,203500,57.74,57.82,57.73,57.82,700,0
SHG.US,5,20260126,204500,57.775,57.775,57.775,57.775,100,0
SHG.US,5,20260126,205000,57.775,57.775,57.775,57.775,100,0
SHG.US,5,20260126,205500,57.745,57.745,57.72,57.72,800,0
SHG.US,5,20260126,210000,57.715,57.715,57.715,57.715,300,0
SHG.US,5,20260126,210500,57.79,57.79,57.67,57.67,200,0
SHG.US,5,20260126,211000,57.7941,57.82,57.755,57.755,1616,0
SHG.US,5,20260126,211500,57.8,57.8,57.8,57.8,100,0
SHG.US,5,20260126,212000,57.85,57.85,57.76,57.76,224,0
SHG.US,5,20260126,212500,57.8,57.85,57.76,57.76,820,0
SHG.US,5,20260126,213000,57.78,57.81,57.78,57.81,852,0
SHG.US,5,20260126,213500,57.805,57.805,57.67,57.67,1621,0
SHG.US,5,20260126,214000,57.65,57.68,57.62,57.65,1756,0
SHG.US,5,20260126,214500,57.675,57.775,57.65,57.7,3481,0
SHG.US,5,20260126,215000,57.77,57.82,57.72,57.765,1200,0
SHG.US,5,20260126,215500,57.82,57.92,57.72,57.92,35307,0
SHG.US,5,20260127,153000,59.63,60.24,59.63,60.24,1050,0
SHG.US,5,20260127,153500,60.24,60.38,60.19,60.35,3600,0
SHG.US,5,20260127,154500,60.3,60.3,60.13,60.13,698,0
SHG.US,5,20260127,155000,60.25,60.28,60.13,60.27,1600,0
SHG.US,5,20260127,155500,60.26,60.27,60.13,60.27,597,0
SHG.US,5,20260127,160000,60.33,60.49,60.33,60.49,2800,0
SHG.US,5,20260127,160500,60.5,60.55,60.4,60.55,1701,0
SHG.US,5,20260127,161000,60.55,60.55,60.55,60.55,200,0
SHG.US,5,20260127,161500,60.56,60.68,60.56,60.6,1300,0
SHG.US,5,20260127,162000,60.58,60.58,60.55,60.56,700,0
SHG.US,5,20260127,162500,60.535,60.535,60.47,60.47,400,0
SHG.US,5,20260127,164000,60.47,60.47,60.47,60.47,200,0
SHG.US,5,20260127,164500,60.55,60.56,60.55,60.555,456,0
SHG.US,5,20260127,165000,60.572,60.572,60.572,60.572,100,0
SHG.US,5,20260127,165500,60.59,60.59,60.46,60.47,926,0
SHG.US,5,20260127,170000,60.47,60.47,60.3301,60.405,1241,0
SHG.US,5,20260127,170500,60.34,60.47,60.34,60.47,400,0
SHG.US,5,20260127,171000,60.4,60.4,60.4,60.4,200,0
SHG.US,5,20260127,171500,60.385,60.56,60.385,60.53,1645,0
SHG.US,5,20260127,172500,60.590631,60.590631,60.41,60.41,251,0
SHG.US,5,20260127,173000,60.46,60.535,60.38,60.38,1900,0
SHG.US,5,20260127,173500,60.295,60.295,60.295,60.295,497,0
SHG.US,5,20260127,174000,60.48,60.48,60.39,60.41,895,0
SHG.US,5,20260127,174500,60.34,60.36,60.34,60.35,400,0
SHG.US,5,20260127,175000,60.34,60.34,60.28,60.28,200,0
SHG.US,5,20260127,175500,60.37,60.44,60.37,60.44,1100,0
SHG.US,5,20260127,180000,60.35,60.35,60.31,60.325,900,0
SHG.US,5,20260127,180500,60.4,60.4,60.335,60.335,2949,0
SHG.US,5,20260127,181000,60.39,60.39,60.39,60.39,100,0
SHG.US,5,20260127,181500,60.34,60.34,60.22,60.275,1373,0
SHG.US,5,20260127,182000,60.3399,60.3399,60.275,60.3011,858,0
SHG.US,5,20260127,182500,60.24,60.29,60.24,60.245,500,0
SHG.US,5,20260127,183000,60.25,60.255,60.21,60.255,641,0
SHG.US,5,20260127,183500,60.22,60.23,60.22,60.22,500,0
SHG.US,5,20260127,184000,60.28,60.33,60.28,60.33,1349,0
SHG.US,5,20260127,184500,60.32,60.335,60.32,60.3298,1312,0
SHG.US,5,20260127,185500,60.38,60.38,60.38,60.38,100,0
