<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SLB.US,5,20260126,153000,49.69,49.75,49.28,49.325,367913,0
SLB.US,5,20260126,153500,49.325,49.97,49.2525,49.915,854761,0
SLB.US,5,20260126,154000,49.915,49.98,49.74,49.958,199105,0
SLB.US,5,20260126,154500,49.95,50.065,49.795,49.795,489679,0
SLB.US,5,20260126,155000,49.795,49.83,49.535,49.55,359430,0
SLB.US,5,20260126,155500,49.5503,49.68,49.435,49.63,329651,0
SLB.US,5,20260126,160000,49.63,49.67,49.415,49.495,152278,0
SLB.US,5,20260126,160500,49.4986,49.59,49.45,49.56,155351,0
SLB.US,5,20260126,161000,49.5601,49.67,49.495,49.55,220992,0
SLB.US,5,20260126,161500,49.545,49.585,49.3701,49.38,123749,0
SLB.US,5,20260126,162000,49.37,49.59,49.23,49.48,752013,0
SLB.US,5,20260126,162500,49.48,49.515,49.4,49.475,195574,0
SLB.US,5,20260126,163000,49.475,49.4951,49.32,49.355,209232,0
SLB.US,5,20260126,163500,49.355,49.44,49.25,49.415,207580,0
SLB.US,5,20260126,164000,49.415,49.495,49.345,49.465,214033,0
SLB.US,5,20260126,164500,49.465,49.645,49.465,49.64,151679,0
SLB.US,5,20260126,165000,49.64,49.68,49.505,49.57,180929,0
SLB.US,5,20260126,165500,49.565,49.585,49.405,49.425,277286,0
SLB.US,5,20260126,170000,49.42,49.46,49.3,49.435,152648,0
SLB.US,5,20260126,170500,49.44,49.6,49.415,49.505,193258,0
SLB.US,5,20260126,171000,49.505,49.5155,49.38,49.475,175396,0
SLB.US,5,20260126,171500,49.4793,49.68,49.44,49.6783,135987,0
SLB.US,5,20260126,172000,49.68,49.84,49.68,49.77,233482,0
SLB.US,5,20260126,172500,49.775,49.825,49.635,49.69,150871,0
SLB.US,5,20260126,173000,49.7,49.885,49.61,49.865,705834,0
SLB.US,5,20260126,173500,49.87,49.94,49.81,49.86,234630,0
SLB.US,5,20260126,174000,49.855,49.905,49.79,49.835,292205,0
SLB.US,5,20260126,174500,49.835,49.915,49.57,49.73,307708,0
