<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SMWB.US,5,20260126,153000,5.79,5.93,5.78,5.925,9508,0
SMWB.US,5,20260126,153500,5.85,5.851,5.8,5.851,3290,0
SMWB.US,5,20260126,154000,5.7898,5.85,5.7898,5.815,1121,0
SMWB.US,5,20260126,154500,5.8,5.81,5.78,5.8,1884,0
SMWB.US,5,20260126,155000,5.8,5.86,5.8,5.8485,1397,0
SMWB.US,5,20260126,155500,5.85,5.85,5.79,5.79,1100,0
SMWB.US,5,20260126,160500,5.805,5.8227,5.8,5.8,2581,0
SMWB.US,5,20260126,161000,5.805,5.805,5.78,5.7801,1384,0
SMWB.US,5,20260126,161500,5.83,5.87,5.83,5.87,2200,0
SMWB.US,5,20260126,162000,5.87,5.87,5.87,5.87,100,0
SMWB.US,5,20260126,162500,5.873,5.91,5.873,5.91,7938,0
SMWB.US,5,20260126,163000,5.884,6,5.884,6,4910,0
SMWB.US,5,20260126,163500,6,6,5.93,5.9376,1553,0
SMWB.US,5,20260126,164000,5.872,5.8772,5.87,5.87,700,0
SMWB.US,5,20260126,164500,5.88,5.88,5.84,5.87,6229,0
SMWB.US,5,20260126,165000,5.87,5.87,5.865,5.865,1000,0
SMWB.US,5,20260126,165500,5.8819,5.8819,5.865,5.865,381,0
SMWB.US,5,20260126,170000,5.863,5.863,5.8401,5.8401,284,0
SMWB.US,5,20260126,170500,5.84,5.84,5.805,5.805,200,0
SMWB.US,5,20260126,171500,5.81,5.84,5.81,5.84,1000,0
SMWB.US,5,20260126,172000,5.84,5.85,5.84,5.85,1110,0
SMWB.US,5,20260126,173000,5.8531,5.8622,5.8531,5.8622,388,0
SMWB.US,5,20260126,174000,5.8732,5.8732,5.85,5.86,1313,0
SMWB.US,5,20260126,174500,5.81,5.825,5.7335,5.75,3842,0
SMWB.US,5,20260126,175000,5.74,5.77,5.73,5.765,5649,0
SMWB.US,5,20260126,175500,5.74,5.7792,5.74,5.75,859,0
SMWB.US,5,20260126,180000,5.765,5.77,5.76,5.77,1500,0
SMWB.US,5,20260126,180500,5.7747,5.78,5.7747,5.7778,1001,0
SMWB.US,5,20260126,181000,5.76,5.78,5.76,5.78,255,0
SMWB.US,5,20260126,181500,5.7618,5.7618,5.755,5.755,900,0
SMWB.US,5,20260126,182000,5.755,5.79,5.755,5.78,3225,0
SMWB.US,5,20260126,183000,5.79,5.79,5.79,5.79,1000,0
SMWB.US,5,20260126,183500,5.7919,5.8,5.77,5.795,3902,0
SMWB.US,5,20260126,184000,5.795,5.795,5.795,5.795,300,0
SMWB.US,5,20260126,184500,5.78,5.795,5.78,5.795,410,0
SMWB.US,5,20260126,185000,5.795,5.8,5.795,5.8,420,0
SMWB.US,5,20260126,185500,5.79,5.79,5.765,5.77,1283,0
SMWB.US,5,20260126,190000,5.775,5.775,5.7505,5.775,752,0
SMWB.US,5,20260126,191000,5.7999,5.7999,5.76,5.76,310,0
SMWB.US,5,20260126,192000,5.76,5.775,5.75,5.765,790,0
SMWB.US,5,20260126,193000,5.78,5.78,5.78,5.78,100,0
SMWB.US,5,20260126,193500,5.76,5.76,5.74,5.74,1740,0
SMWB.US,5,20260126,194000,5.75,5.75,5.75,5.75,380,0
SMWB.US,5,20260126,194500,5.74,5.74,5.69,5.69,4145,0
SMWB.US,5,20260126,195000,5.715,5.7383,5.715,5.7383,3499,0
SMWB.US,5,20260126,195500,5.7286,5.7576,5.7286,5.7576,5684,0
SMWB.US,5,20260126,201000,5.75,5.77,5.75,5.76,2109,0
SMWB.US,5,20260126,201500,5.7899,5.7899,5.75,5.765,7744,0
SMWB.US,5,20260126,202500,5.765,5.765,5.765,5.765,500,0
SMWB.US,5,20260126,203000,5.77,5.77,5.77,5.77,400,0
SMWB.US,5,20260126,203500,5.77,5.77,5.765,5.765,435,0
SMWB.US,5,20260126,204000,5.78,5.8,5.775,5.79,1200,0
SMWB.US,5,20260126,204500,5.79,5.79,5.79,5.79,300,0
SMWB.US,5,20260126,205500,5.8,5.8,5.785,5.785,200,0
SMWB.US,5,20260126,210000,5.77,5.78,5.745,5.78,2244,0
SMWB.US,5,20260126,210500,5.77,5.785,5.755,5.76,1230,0
SMWB.US,5,20260126,211000,5.76,5.76,5.76,5.76,100,0
SMWB.US,5,20260126,211500,5.76,5.7787,5.76,5.7787,653,0
SMWB.US,5,20260126,212000,5.75,5.77,5.75,5.755,1977,0
SMWB.US,5,20260126,212500,5.74,5.76,5.74,5.745,900,0
SMWB.US,5,20260126,213000,5.745,5.76,5.74,5.74,730,0
SMWB.US,5,20260126,213500,5.73,5.76,5.73,5.75,3743,0
SMWB.US,5,20260126,214000,5.7598,5.7598,5.72,5.74,7115,0
SMWB.US,5,20260126,214500,5.735,5.74,5.72,5.73,4386,0
SMWB.US,5,20260126,215000,5.72,5.73,5.69,5.721,8195,0
SMWB.US,5,20260126,215500,5.72,5.75,5.72,5.74,68605,0
SMWB.US,5,20260127,153000,5.91,5.91,5.91,5.91,168,0
SMWB.US,5,20260127,153500,5.715,5.715,5.64,5.666,7970,0
SMWB.US,5,20260127,154000,5.605,5.62,5.55,5.62,2129,0
SMWB.US,5,20260127,154500,5.57,5.62,5.55,5.62,1740,0
SMWB.US,5,20260127,155500,5.64,5.64,5.6,5.6,400,0
SMWB.US,5,20260127,160000,5.55,5.57,5.52,5.545,3895,0
SMWB.US,5,20260127,160500,5.5,5.52,5.5,5.52,2233,0
