<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPNT.US,5,20260126,153000,19.39,19.8,19.385,19.6666,4782,0
SPNT.US,5,20260126,153500,19.6001,19.8,19.6,19.61,2400,0
SPNT.US,5,20260126,154000,19.64,19.64,19.57,19.57,1180,0
SPNT.US,5,20260126,154500,19.6,19.725,19.6,19.725,12329,0
SPNT.US,5,20260126,155000,19.68,19.72,19.68,19.72,800,0
SPNT.US,5,20260126,155500,19.69,19.69,19.62,19.68,3304,0
SPNT.US,5,20260126,160000,19.66,19.67,19.625,19.665,6514,0
SPNT.US,5,20260126,160500,19.665,19.685,19.665,19.665,2732,0
SPNT.US,5,20260126,161000,19.69,19.725,19.63,19.635,10397,0
SPNT.US,5,20260126,161500,19.67,19.67,19.64,19.64,1630,0
SPNT.US,5,20260126,162000,19.64,19.665,19.64,19.665,505,0
SPNT.US,5,20260126,162500,19.63,19.65,19.58,19.58,3190,0
SPNT.US,5,20260126,163000,19.5899,19.59,19.575,19.59,1704,0
SPNT.US,5,20260126,163500,19.58,19.58,19.49,19.53,8895,0
SPNT.US,5,20260126,164000,19.52,19.52,19.48,19.5,1005,0
SPNT.US,5,20260126,164500,19.5,19.5,19.485,19.485,675,0
SPNT.US,5,20260126,165000,19.48,19.51,19.48,19.5,1452,0
SPNT.US,5,20260126,170000,19.49,19.525,19.485,19.525,1036,0
SPNT.US,5,20260126,170500,19.48,19.495,19.46,19.47,1557,0
SPNT.US,5,20260126,171000,19.46,19.47,19.42,19.42,4177,0
SPNT.US,5,20260126,171500,19.42,19.42,19.38,19.38,2018,0
SPNT.US,5,20260126,172000,19.397,19.4,19.397,19.4,977,0
SPNT.US,5,20260126,172500,19.42,19.43,19.42,19.43,305,0
SPNT.US,5,20260126,173000,19.42,19.42,19.42,19.42,1075,0
SPNT.US,5,20260126,173500,19.41,19.41,19.4,19.41,500,0
SPNT.US,5,20260126,174000,19.42,19.42,19.4,19.4,1050,0
SPNT.US,5,20260126,174500,19.4,19.41,19.3958,19.41,424,0
SPNT.US,5,20260126,175000,19.425,19.425,19.39,19.39,602,0
SPNT.US,5,20260126,180000,19.39,19.44,19.38,19.43,1994,0
SPNT.US,5,20260126,181500,19.46,19.48,19.45,19.45,1534,0
SPNT.US,5,20260126,182000,19.47,19.47,19.44,19.44,600,0
SPNT.US,5,20260126,182500,19.445,19.445,19.445,19.445,100,0
SPNT.US,5,20260126,183000,19.4899,19.4899,19.4899,19.4899,191,0
SPNT.US,5,20260126,183500,19.475,19.475,19.46,19.46,2733,0
SPNT.US,5,20260126,184000,19.48,19.49,19.48,19.49,1509,0
SPNT.US,5,20260126,184500,19.47,19.47,19.47,19.47,108,0
SPNT.US,5,20260126,185500,19.485,19.485,19.485,19.485,100,0
SPNT.US,5,20260126,190000,19.47,19.47,19.46,19.46,400,0
SPNT.US,5,20260126,190500,19.45,19.45,19.45,19.45,300,0
SPNT.US,5,20260126,191500,19.47,19.49,19.4675,19.47,1463,0
SPNT.US,5,20260126,192000,19.48,19.48,19.48,19.48,300,0
SPNT.US,5,20260126,192500,19.505,19.51,19.48,19.48,1300,0
SPNT.US,5,20260126,193000,19.5,19.5083,19.5,19.5083,1083,0
SPNT.US,5,20260126,193500,19.5,19.525,19.5,19.51,1700,0
SPNT.US,5,20260126,194000,19.515,19.525,19.515,19.525,450,0
SPNT.US,5,20260126,194500,19.525,19.53,19.51,19.51,300,0
SPNT.US,5,20260126,195000,19.51,19.515,19.5,19.5,2900,0
SPNT.US,5,20260126,195500,19.515,19.53,19.51,19.52,1457,0
SPNT.US,5,20260126,200000,19.53,19.53,19.51,19.51,2135,0
SPNT.US,5,20260126,200500,19.49,19.51,19.49,19.51,300,0
SPNT.US,5,20260126,201500,19.545,19.55,19.545,19.55,483,0
SPNT.US,5,20260126,202000,19.53,19.55,19.52,19.55,1690,0
SPNT.US,5,20260126,202500,19.55,19.55,19.55,19.55,300,0
SPNT.US,5,20260126,203500,19.57,19.57,19.56,19.56,800,0
SPNT.US,5,20260126,204000,19.57,19.58,19.57,19.58,900,0
SPNT.US,5,20260126,204500,19.58,19.63,19.58,19.63,2552,0
SPNT.US,5,20260126,205000,19.645,19.65,19.635,19.635,1004,0
SPNT.US,5,20260126,205500,19.63,19.63,19.605,19.63,2928,0
SPNT.US,5,20260126,210000,19.63,19.66,19.63,19.66,2533,0
SPNT.US,5,20260126,210500,19.67,19.695,19.665,19.68,2007,0
SPNT.US,5,20260126,211000,19.67,19.675,19.66,19.66,2599,0
SPNT.US,5,20260126,211500,19.66,19.66,19.6302,19.6302,1830,0
SPNT.US,5,20260126,212000,19.64,19.6458,19.64,19.6458,577,0
SPNT.US,5,20260126,212500,19.645,19.645,19.62,19.63,3828,0
SPNT.US,5,20260126,213000,19.6399,19.665,19.6399,19.65,1800,0
SPNT.US,5,20260126,213500,19.65,19.67,19.63,19.635,4550,0
SPNT.US,5,20260126,214000,19.62,19.62,19.6,19.61,3872,0
SPNT.US,5,20260126,214500,19.62,19.62,19.6,19.6,1214,0
SPNT.US,5,20260126,215000,19.6,19.6434,19.575,19.575,6806,0
SPNT.US,5,20260126,215500,19.58,19.59,19.49,19.5,97812,0
SPNT.US,5,20260127,153000,19.6,19.6,19.6,19.6,100,0
SPNT.US,5,20260127,153500,19.6,19.62,19.6,19.6,300,0
SPNT.US,5,20260127,154000,19.6,19.6,19.52,19.565,12535,0
SPNT.US,5,20260127,154500,19.595,19.72,19.595,19.72,22386,0
SPNT.US,5,20260127,155000,19.645,19.675,19.645,19.675,1500,0
SPNT.US,5,20260127,155500,19.63,19.8,19.62,19.79,27171,0
SPNT.US,5,20260127,160000,19.8,19.8,19.8,19.8,300,0
SPNT.US,5,20260127,160500,19.8,19.8,19.8,19.8,333,0
SPNT.US,5,20260127,161000,19.72,19.72,19.71,19.71,469,0
SPNT.US,5,20260127,161500,19.76,19.85,19.735,19.85,1987,0
SPNT.US,5,20260127,162000,19.87,19.87,19.87,19.87,500,0
SPNT.US,5,20260127,162500,19.805,19.87,19.805,19.86,1073,0
SPNT.US,5,20260127,163000,19.815,19.88,19.8,19.87,2315,0
SPNT.US,5,20260127,163500,19.92,20,19.905,20,698,0
SPNT.US,5,20260127,164000,19.925,19.925,19.925,19.925,315,0
SPNT.US,5,20260127,164500,19.925,19.925,19.925,19.925,200,0
SPNT.US,5,20260127,165000,19.935,19.935,19.93,19.93,215,0
SPNT.US,5,20260127,165500,19.93,19.95,19.93,19.93,935,0
SPNT.US,5,20260127,170000,19.91,19.92,19.84,19.92,3299,0
SPNT.US,5,20260127,170500,19.92,19.92,19.92,19.92,100,0
SPNT.US,5,20260127,171000,19.92,19.965,19.9,19.965,5835,0
SPNT.US,5,20260127,171500,19.965,20.03,19.965,20.0251,8093,0
SPNT.US,5,20260127,172000,20.01,20.01,20.01,20.01,200,0
SPNT.US,5,20260127,172500,19.98,19.99,19.89,19.89,15531,0
SPNT.US,5,20260127,173000,19.88,19.88,19.86,19.87,2501,0
SPNT.US,5,20260127,173500,19.88,19.88,19.88,19.88,1263,0
SPNT.US,5,20260127,174000,19.89,19.89,19.82,19.82,1397,0
SPNT.US,5,20260127,174500,19.77,19.77,19.77,19.77,200,0
SPNT.US,5,20260127,175000,19.76,19.76,19.73,19.73,2123,0
SPNT.US,5,20260127,175500,19.76,19.76,19.74,19.76,600,0
SPNT.US,5,20260127,180000,19.75,19.75,19.73,19.73,600,0
SPNT.US,5,20260127,180500,19.7,19.755,19.7,19.73,2200,0
SPNT.US,5,20260127,181000,19.745,19.745,19.71,19.71,1200,0
SPNT.US,5,20260127,181500,19.69,19.69,19.68,19.68,2500,0
SPNT.US,5,20260127,182500,19.68,19.74,19.68,19.74,2500,0
SPNT.US,5,20260127,183000,19.74,19.76,19.74,19.74,3451,0
SPNT.US,5,20260127,183500,19.75,19.755,19.72,19.73,17402,0
SPNT.US,5,20260127,184000,19.73,19.73,19.73,19.73,100,0
SPNT.US,5,20260127,184500,19.7284,19.765,19.7284,19.765,3909,0
SPNT.US,5,20260127,185500,19.755,19.77,19.75,19.75,600,0
SPNT.US,5,20260127,190000,19.75,19.75,19.75,19.75,1163,0
SPNT.US,5,20260127,190500,19.75,19.75,19.73,19.74,1944,0
SPNT.US,5,20260127,191000,19.74,19.76,19.735,19.76,900,0
SPNT.US,5,20260127,191500,19.76,19.78,19.76,19.765,3259,0
SPNT.US,5,20260127,192000,19.78,19.79,19.78,19.79,500,0
SPNT.US,5,20260127,192500,19.81,19.83,19.81,19.83,1713,0
SPNT.US,5,20260127,193000,19.84,19.85,19.82,19.82,2290,0
SPNT.US,5,20260127,193500,19.82,19.82,19.81,19.82,1019,0
SPNT.US,5,20260127,194500,19.839,19.839,19.839,19.839,145,0
SPNT.US,5,20260127,195000,19.84,19.84,19.839,19.839,200,0
SPNT.US,5,20260127,195500,19.82,19.82,19.8,19.8,1772,0
SPNT.US,5,20260127,200000,19.795,19.8,19.795,19.797,1029,0
SPNT.US,5,20260127,200500,19.795,19.795,19.78,19.78,363,0
SPNT.US,5,20260127,201000,19.78,19.795,19.78,19.795,568,0
SPNT.US,5,20260127,201500,19.79,19.79,19.78,19.78,1400,0
SPNT.US,5,20260127,202000,19.79,19.81,19.79,19.81,500,0
SPNT.US,5,20260127,202500,19.8,19.88,19.8,19.83,6765,0
SPNT.US,5,20260127,203000,19.84,19.84,19.84,19.84,500,0
SPNT.US,5,20260127,204000,19.85,19.89,19.85,19.875,3070,0
SPNT.US,5,20260127,204500,19.86,19.86,19.83,19.83,1919,0
SPNT.US,5,20260127,205000,19.81,19.85,19.81,19.85,2300,0
SPNT.US,5,20260127,205500,19.83,19.83,19.83,19.83,2342,0
SPNT.US,5,20260127,210000,19.83,19.83,19.775,19.785,4231,0
SPNT.US,5,20260127,210500,19.8,19.83,19.8,19.83,1294,0
SPNT.US,5,20260127,211000,19.825,19.825,19.81,19.82,3166,0
SPNT.US,5,20260127,211500,19.82,19.82,19.8,19.815,2329,0
SPNT.US,5,20260127,212000,19.83,19.84,19.83,19.84,2130,0
SPNT.US,5,20260127,212500,19.85,19.87,19.85,19.86,1043,0
SPNT.US,5,20260127,213000,19.87,19.935,19.87,19.89,3476,0
SPNT.US,5,20260127,213500,19.895,19.895,19.88,19.88,1795,0
SPNT.US,5,20260127,214000,19.87,19.87,19.86,19.87,1369,0
SPNT.US,5,20260127,214500,19.875,19.885,19.87,19.875,2819,0
SPNT.US,5,20260127,215000,19.86,19.86,19.835,19.835,2852,0
SPNT.US,5,20260127,215500,19.82,19.84,19.76,19.77,88507,0
SPNT.US,5,20260128,153000,19.755,19.76,19.755,19.76,984,0
SPNT.US,5,20260128,153500,19.84,19.84,19.84,19.84,267,0
SPNT.US,5,20260128,154000,19.72,19.805,19.69,19.805,5838,0
SPNT.US,5,20260128,154500,19.805,19.92,19.805,19.92,6294,0
SPNT.US,5,20260128,155000,19.91,19.98,19.89,19.91,3107,0
SPNT.US,5,20260128,160000,19.92,19.95,19.92,19.95,300,0
SPNT.US,5,20260128,160500,19.9,19.925,19.825,19.825,5931,0
SPNT.US,5,20260128,161000,19.82,19.835,19.79,19.835,4834,0
SPNT.US,5,20260128,161500,19.86,19.86,19.82,19.84,1730,0
SPNT.US,5,20260128,162000,19.845,19.86,19.845,19.86,210,0
SPNT.US,5,20260128,162500,19.8968,19.8968,19.89,19.89,505,0
SPNT.US,5,20260128,163000,19.92,19.97,19.92,19.97,800,0
SPNT.US,5,20260128,163500,20,20,19.94,19.95,679,0
SPNT.US,5,20260128,164000,19.91,19.96,19.9,19.96,1153,0
SPNT.US,5,20260128,164500,19.95,19.96,19.95,19.96,200,0
SPNT.US,5,20260128,165000,19.96,20.01,19.96,19.98,4052,0
SPNT.US,5,20260128,165500,20.02,20.02,20.015,20.015,200,0
SPNT.US,5,20260128,170000,20.03,20.05,20.028,20.04,3239,0
SPNT.US,5,20260128,170500,20.03,20.03,20.02,20.02,220,0
SPNT.US,5,20260128,171000,19.9841,19.9841,19.96,19.96,812,0
SPNT.US,5,20260128,171500,19.955,19.955,19.95,19.95,2727,0
SPNT.US,5,20260128,172000,19.94,19.98,19.93,19.97,2331,0
SPNT.US,5,20260128,172500,19.98,20,19.95,19.99,2400,0
SPNT.US,5,20260128,173000,19.99,20.1691,19.99,20.1,30934,0
SPNT.US,5,20260128,173500,20.125,20.13,20.125,20.13,604,0
SPNT.US,5,20260128,174000,20.13,20.15,20.13,20.15,854,0
SPNT.US,5,20260128,174500,20.155,20.2032,20.155,20.2032,1323,0
SPNT.US,5,20260128,175000,20.18,20.19,20.18,20.18,774,0
SPNT.US,5,20260128,175500,20.19,20.19,20.19,20.19,100,0
SPNT.US,5,20260128,180000,20.2,20.2,20.18,20.18,994,0
SPNT.US,5,20260128,180500,20.185,20.185,20.14,20.155,2306,0
SPNT.US,5,20260128,181000,20.155,20.16,20.155,20.16,446,0
SPNT.US,5,20260128,181500,20.155,20.22,20.155,20.22,2983,0
SPNT.US,5,20260128,182000,20.21,20.22,20.2,20.21,1901,0
SPNT.US,5,20260128,182500,20.2,20.205,20.1843,20.1843,844,0
SPNT.US,5,20260128,183000,20.18,20.18,20.15,20.15,993,0
SPNT.US,5,20260128,184000,20.14,20.145,20.14,20.145,500,0
SPNT.US,5,20260128,185000,20.15,20.17,20.15,20.17,1126,0
SPNT.US,5,20260128,185500,20.17,20.17,20.16,20.165,800,0
SPNT.US,5,20260128,190000,20.1748,20.19,20.1748,20.19,980,0
SPNT.US,5,20260128,190500,20.17,20.19,20.17,20.185,3394,0
SPNT.US,5,20260128,191000,20.198,20.198,20.198,20.198,190,0
SPNT.US,5,20260128,191500,20.19,20.19,20.18,20.18,400,0
SPNT.US,5,20260128,192000,20.2,20.22,20.2,20.21,1779,0
SPNT.US,5,20260128,192500,20.21,20.23,20.21,20.22,800,0
SPNT.US,5,20260128,193000,20.23,20.23,20.22,20.22,489,0
SPNT.US,5,20260128,193500,20.23,20.285,20.23,20.24,5077,0
SPNT.US,5,20260128,194000,20.24,20.258,20.23,20.24,1368,0
