<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPYM.US,5,20260126,153000,81.245,81.34,81.175,81.33,210913,0
SPYM.US,5,20260126,153500,81.35,81.415,81.35,81.385,92109,0
SPYM.US,5,20260126,154000,81.395,81.451,81.3625,81.45,172463,0
SPYM.US,5,20260126,154500,81.4424,81.4876,81.44,81.45,64372,0
SPYM.US,5,20260126,155000,81.4446,81.5,81.44,81.4699,58161,0
SPYM.US,5,20260126,155500,81.465,81.5,81.45,81.455,68640,0
SPYM.US,5,20260126,160000,81.45,81.4667,81.4201,81.4446,194282,0
SPYM.US,5,20260126,160500,81.445,81.465,81.41,81.415,139844,0
SPYM.US,5,20260126,161000,81.42,81.5,81.399,81.4883,54860,0
SPYM.US,5,20260126,161500,81.49,81.55,81.4843,81.55,102638,0
SPYM.US,5,20260126,162000,81.5501,81.5898,81.5501,81.5755,41713,0
SPYM.US,5,20260126,162500,81.5858,81.5858,81.48,81.485,255058,0
SPYM.US,5,20260126,163000,81.49,81.541,81.47,81.5217,108399,0
SPYM.US,5,20260126,163500,81.52,81.5355,81.5099,81.5135,49872,0
SPYM.US,5,20260126,164000,81.51,81.515,81.45,81.46,44475,0
SPYM.US,5,20260126,164500,81.465,81.545,81.465,81.53,38048,0
SPYM.US,5,20260126,165000,81.54,81.58,81.5324,81.559,25052,0
SPYM.US,5,20260126,165500,81.56,81.575,81.53,81.54,29365,0
SPYM.US,5,20260126,170000,81.5397,81.5481,81.505,81.525,107289,0
SPYM.US,5,20260126,170500,81.5299,81.535,81.5,81.525,45376,0
SPYM.US,5,20260126,171000,81.525,81.53,81.505,81.5101,46555,0
SPYM.US,5,20260126,171500,81.52,81.5258,81.4725,81.485,32805,0
SPYM.US,5,20260126,172000,81.48,81.545,81.45,81.535,40941,0
SPYM.US,5,20260126,172500,81.53,81.565,81.5201,81.555,96357,0
SPYM.US,5,20260126,173000,81.555,81.58,81.54,81.54,72284,0
SPYM.US,5,20260126,173500,81.54,81.569,81.53,81.545,46552,0
SPYM.US,5,20260126,174000,81.545,81.555,81.53,81.5355,21898,0
SPYM.US,5,20260126,174500,81.53,81.56,81.5158,81.535,41504,0
SPYM.US,5,20260126,175000,81.535,81.565,81.535,81.559,63086,0
SPYM.US,5,20260126,175500,81.55,81.57,81.54,81.55,50259,0
SPYM.US,5,20260126,180000,81.55,81.615,81.54,81.605,127848,0
SPYM.US,5,20260126,180500,81.605,81.6255,81.595,81.6,55876,0
SPYM.US,5,20260126,181000,81.595,81.6147,81.575,81.595,91555,0
SPYM.US,5,20260126,181500,81.6,81.62,81.59,81.6,127295,0
SPYM.US,5,20260126,182000,81.6,81.62,81.5901,81.6045,84224,0
SPYM.US,5,20260126,182500,81.605,81.6199,81.6,81.6046,147652,0
SPYM.US,5,20260126,183000,81.604,81.6054,81.575,81.59,84605,0
SPYM.US,5,20260126,183500,81.5883,81.61,81.575,81.595,66888,0
SPYM.US,5,20260126,184000,81.595,81.61,81.5811,81.61,48764,0
SPYM.US,5,20260126,184500,81.6055,81.6055,81.5501,81.56,34180,0
SPYM.US,5,20260126,185000,81.565,81.5801,81.545,81.58,75526,0
SPYM.US,5,20260126,185500,81.575,81.586,81.5501,81.565,41214,0
SPYM.US,5,20260126,190000,81.55,81.5799,81.55,81.565,18247,0
SPYM.US,5,20260126,190500,81.56,81.57,81.535,81.535,43868,0
SPYM.US,5,20260126,191000,81.54,81.56,81.54,81.55,45389,0
SPYM.US,5,20260126,191500,81.54,81.595,81.5311,81.585,24983,0
SPYM.US,5,20260126,192000,81.59,81.625,81.5813,81.62,22305,0
SPYM.US,5,20260126,192500,81.625,81.64,81.6001,81.635,32759,0
SPYM.US,5,20260126,193000,81.635,81.67,81.6306,81.665,34167,0
