<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPYU.US,5,20260126,153000,28.19,28.3106,28.1198,28.3106,21418,0
SPYU.US,5,20260126,153500,28.325,28.4325,28.325,28.395,17710,0
SPYU.US,5,20260126,154000,28.405,28.47,28.355,28.47,97916,0
SPYU.US,5,20260126,154500,28.485,28.515,28.4675,28.4992,56984,0
SPYU.US,5,20260126,155000,28.465,28.525,28.465,28.519,11632,0
SPYU.US,5,20260126,155500,28.515,28.5325,28.48,28.48,1226,0
SPYU.US,5,20260126,160000,28.47,28.485,28.4414,28.485,6600,0
SPYU.US,5,20260126,160500,28.4875,28.4875,28.4325,28.44,3316,0
SPYU.US,5,20260126,161000,28.4325,28.53,28.3921,28.53,19984,0
SPYU.US,5,20260126,161500,28.535,28.6121,28.52,28.6121,9272,0
SPYU.US,5,20260126,162000,28.625,28.66,28.625,28.655,39520,0
SPYU.US,5,20260126,162500,28.6496,28.6496,28.525,28.525,25662,0
SPYU.US,5,20260126,163000,28.54,28.595,28.54,28.595,16100,0
SPYU.US,5,20260126,163500,28.5747,28.595,28.56,28.56,31800,0
SPYU.US,5,20260126,164000,28.55,28.555,28.465,28.465,8142,0
SPYU.US,5,20260126,164500,28.525,28.59,28.525,28.59,17624,0
SPYU.US,5,20260126,165000,28.625,28.647,28.625,28.647,41466,0
SPYU.US,5,20260126,165500,28.63,28.63,28.61,28.61,1356,0
SPYU.US,5,20260126,170000,28.59,28.595,28.56,28.5846,44796,0
SPYU.US,5,20260126,170500,28.5655,28.5875,28.54,28.575,29052,0
SPYU.US,5,20260126,171000,28.57,28.58,28.57,28.57,2000,0
SPYU.US,5,20260126,171500,28.5634,28.565,28.5025,28.505,6220,0
SPYU.US,5,20260126,172000,28.51,28.5999,28.4825,28.59,10494,0
SPYU.US,5,20260126,172500,28.585,28.62,28.585,28.62,11092,0
SPYU.US,5,20260126,173000,28.63,28.635,28.63,28.63,1766,0
SPYU.US,5,20260126,173500,28.58,28.6175,28.58,28.6175,600,0
SPYU.US,5,20260126,174500,28.59,28.607,28.59,28.607,2460,0
SPYU.US,5,20260126,175000,28.6196,28.625,28.615,28.615,1200,0
SPYU.US,5,20260126,175500,28.605,28.605,28.605,28.605,222,0
SPYU.US,5,20260126,180000,28.595,28.715,28.595,28.6922,14788,0
SPYU.US,5,20260126,180500,28.6908,28.7025,28.6771,28.6771,4090,0
SPYU.US,5,20260126,181000,28.675,28.685,28.6555,28.68,2762,0
SPYU.US,5,20260126,181500,28.6775,28.7025,28.675,28.6864,2472,0
SPYU.US,5,20260126,182500,28.6925,28.6925,28.6837,28.6837,1334,0
SPYU.US,5,20260126,183000,28.6625,28.6625,28.6625,28.6625,200,0
SPYU.US,5,20260126,183500,28.66,28.6705,28.6489,28.67,5250,0
SPYU.US,5,20260126,184000,28.6664,28.6664,28.662,28.662,664,0
SPYU.US,5,20260126,184500,28.6675,28.67,28.6175,28.6175,2928,0
SPYU.US,5,20260126,185000,28.6075,28.6075,28.6075,28.6075,364,0
SPYU.US,5,20260126,185500,28.625,28.6425,28.615,28.635,8566,0
SPYU.US,5,20260126,190000,28.6375,28.64,28.6375,28.64,800,0
SPYU.US,5,20260126,190500,28.605,28.6093,28.6,28.605,9000,0
SPYU.US,5,20260126,191000,28.605,28.605,28.605,28.605,450,0
SPYU.US,5,20260126,191500,28.635,28.65,28.635,28.65,2560,0
SPYU.US,5,20260126,192000,28.68,28.695,28.68,28.695,1168,0
SPYU.US,5,20260126,192500,28.715,28.735,28.675,28.735,2800,0
SPYU.US,5,20260126,193000,28.735,28.7725,28.735,28.756,8024,0
SPYU.US,5,20260126,193500,28.775,28.775,28.74,28.74,2244,0
SPYU.US,5,20260126,194500,28.68,28.6818,28.68,28.6818,700,0
SPYU.US,5,20260126,195000,28.6886,28.6886,28.6886,28.6886,498,0
SPYU.US,5,20260126,195500,28.6782,28.6975,28.6782,28.6975,1000,0
SPYU.US,5,20260126,200000,28.6956,28.6956,28.6956,28.6956,212,0
SPYU.US,5,20260126,200500,28.7,28.72,28.6959,28.72,1610,0
SPYU.US,5,20260126,201000,28.7425,28.7425,28.7425,28.7425,658,0
SPYU.US,5,20260126,201500,28.7325,28.7325,28.7325,28.7325,200,0
SPYU.US,5,20260126,202000,28.7084,28.715,28.685,28.685,6406,0
