<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STNG.US,5,20260126,153000,59.5,60.45,59.32,59.43,72724,0
STNG.US,5,20260126,153500,59.36,59.51,59.36,59.51,1360,0
STNG.US,5,20260126,154000,59.39,59.88,59.27,59.35,47570,0
STNG.US,5,20260126,154500,59.38,59.44,58.87,59.04,4870,0
STNG.US,5,20260126,155000,59.13,59.24,59.06,59.08,6103,0
STNG.US,5,20260126,155500,59.08,59.22,58.845,58.87,13750,0
STNG.US,5,20260126,160000,58.87,59.5,58.87,59.43,9290,0
STNG.US,5,20260126,160500,59.43,59.46,59.22,59.255,6113,0
STNG.US,5,20260126,161000,59.255,59.405,59.18,59.19,7546,0
STNG.US,5,20260126,161500,59.17,59.21,59.02,59.13,4921,0
STNG.US,5,20260126,162000,59.15,59.185,58.68,58.68,14087,0
STNG.US,5,20260126,162500,58.73,58.735,58.26,58.27,10185,0
STNG.US,5,20260126,163000,58.265,58.38,58.19,58.34,6093,0
STNG.US,5,20260126,163500,58.44,58.44,58.24,58.26,3313,0
STNG.US,5,20260126,164000,58.32,58.34,58.2114,58.33,4758,0
STNG.US,5,20260126,164500,58.3292,58.3292,58.1,58.19,5958,0
STNG.US,5,20260126,165000,58.08,58.3,58.08,58.3,400,0
STNG.US,5,20260126,165500,58.215,58.275,58.215,58.275,200,0
STNG.US,5,20260126,170000,58.2139,58.34,58.2,58.3195,3967,0
STNG.US,5,20260126,170500,58.34,58.34,58.18,58.195,2739,0
STNG.US,5,20260126,171000,58.2,58.2,58.12,58.155,600,0
STNG.US,5,20260126,171500,58.14,58.27,58.14,58.26,1776,0
STNG.US,5,20260126,172000,58.27,58.27,58.16,58.16,1631,0
STNG.US,5,20260126,172500,58.17,58.22,58.1301,58.185,927,0
STNG.US,5,20260126,173000,58.25,58.25,58.15,58.24,2968,0
STNG.US,5,20260126,173500,58.28,58.365,58.28,58.365,1000,0
STNG.US,5,20260126,174000,58.29,58.29,58.2,58.2,834,0
STNG.US,5,20260126,174500,58.215,58.4099,58.215,58.37,2369,0
STNG.US,5,20260126,175000,58.37,58.415,58.37,58.395,600,0
STNG.US,5,20260126,175500,58.395,58.4,58.37,58.37,430,0
STNG.US,5,20260126,180000,58.38,58.38,58.37,58.37,565,0
STNG.US,5,20260126,180500,58.36,58.54,58.36,58.54,2055,0
STNG.US,5,20260126,181000,58.55,58.55,58.55,58.55,252,0
STNG.US,5,20260126,181500,58.45,58.4698,58.4,58.435,3207,0
STNG.US,5,20260126,182000,58.435,58.54,58.43,58.54,2770,0
STNG.US,5,20260126,182500,58.52,58.54,58.43,58.43,4460,0
STNG.US,5,20260126,183000,58.455,58.455,58.375,58.405,1750,0
STNG.US,5,20260126,183500,58.4,58.4,58.36,58.36,204,0
STNG.US,5,20260126,184000,58.36,58.365,58.29,58.29,300,0
STNG.US,5,20260126,184500,58.4,58.48,58.4,58.48,1372,0
STNG.US,5,20260126,185000,58.48,58.51,58.42,58.44,2200,0
STNG.US,5,20260126,185500,58.45,58.5,58.43,58.43,1700,0
STNG.US,5,20260126,190000,58.425,58.425,58.37,58.37,1400,0
STNG.US,5,20260126,190500,58.41,58.48,58.25,58.3,3788,0
STNG.US,5,20260126,191000,58.34,58.34,58.2825,58.34,700,0
STNG.US,5,20260126,191500,58.34,58.34,58.33,58.34,700,0
STNG.US,5,20260126,192000,58.34,58.34,58.24,58.24,3533,0
STNG.US,5,20260126,192500,58.255,58.283,58.2,58.2,2752,0
STNG.US,5,20260126,193000,58.15,58.15,58.075,58.115,1955,0
STNG.US,5,20260126,193500,58.08,58.08,58.03,58.05,1976,0
STNG.US,5,20260126,194000,58.01,58.0615,57.9,57.9,1912,0
STNG.US,5,20260126,194500,57.95,58.01,57.95,58.01,2030,0
STNG.US,5,20260126,195000,58.01,58.01,57.91,57.91,1552,0
STNG.US,5,20260126,195500,57.98,58,57.9,57.9,3209,0
STNG.US,5,20260126,200000,57.865,57.93,57.865,57.93,2376,0
STNG.US,5,20260126,200500,57.905,58.11,57.905,58.055,8557,0
STNG.US,5,20260126,201000,58.055,58.055,57.99,58.03,2096,0
STNG.US,5,20260126,201500,58.03,58.06,57.96,58,1815,0
STNG.US,5,20260126,202000,58.015,58.015,58.015,58.015,1046,0
STNG.US,5,20260126,202500,58.04,58.04,57.97,58.01,1634,0
STNG.US,5,20260126,203000,58.025,58.025,58.015,58.02,502,0
STNG.US,5,20260126,203500,57.98,57.98,57.8813,57.94,2563,0
STNG.US,5,20260126,204000,57.95,57.95,57.95,57.95,209,0
STNG.US,5,20260126,204500,57.95,58,57.95,57.97,2472,0
STNG.US,5,20260126,205000,57.955,57.955,57.955,57.955,132,0
STNG.US,5,20260126,205500,57.96,57.96,57.89,57.93,2422,0
STNG.US,5,20260126,210000,57.9,57.95,57.9,57.95,1628,0
STNG.US,5,20260126,210500,57.97,58.025,57.97,57.99,13705,0
STNG.US,5,20260126,211000,57.9958,58.12,57.95,57.95,29062,0
STNG.US,5,20260126,211500,57.965,58.015,57.965,58.015,2081,0
STNG.US,5,20260126,212000,58,58.02,57.825,57.86,7288,0
STNG.US,5,20260126,212500,57.85,57.87,57.78,57.78,4975,0
STNG.US,5,20260126,213000,57.81,57.9325,57.81,57.9325,4929,0
STNG.US,5,20260126,213500,57.91,57.965,57.91,57.935,1576,0
STNG.US,5,20260126,214000,57.935,57.935,57.79,57.79,5831,0
STNG.US,5,20260126,214500,57.77,57.81,57.72,57.775,6987,0
STNG.US,5,20260126,215000,57.76,57.77,57.37,57.43,12591,0
STNG.US,5,20260126,215500,57.44,57.59,57.38,57.4,160801,0
STNG.US,5,20260127,153000,57.25,58.37,57.24,57.98,49349,0
STNG.US,5,20260127,153500,57.98,58.96,57.98,58.64,5078,0
STNG.US,5,20260127,154000,58.75,59.38,58.75,59.28,7280,0
STNG.US,5,20260127,154500,59.22,59.22,58.43,58.855,6929,0
STNG.US,5,20260127,155000,58.81,58.81,58.35,58.49,3400,0
STNG.US,5,20260127,155500,58.495,59.14,58.49,59.14,3341,0
STNG.US,5,20260127,160000,59.135,59.135,58.66,58.835,7967,0
STNG.US,5,20260127,160500,58.82,58.92,58.65,58.92,3994,0
STNG.US,5,20260127,161000,58.8229,59.495,58.8229,59.13,11276,0
STNG.US,5,20260127,161500,59.17,59.3,59.17,59.27,3354,0
STNG.US,5,20260127,162000,59.23,59.28,59.07,59.175,2297,0
STNG.US,5,20260127,162500,59.29,59.29,58.86,58.88,3630,0
STNG.US,5,20260127,163000,58.775,59.02,58.735,59.02,2800,0
STNG.US,5,20260127,163500,59.02,59.125,58.82,59,4300,0
STNG.US,5,20260127,164000,58.885,58.9,58.82,58.82,735,0
STNG.US,5,20260127,164500,58.815,58.82,58.81,58.81,402,0
STNG.US,5,20260127,165000,58.78,58.83,58.77,58.82,3350,0
STNG.US,5,20260127,165500,58.82,58.98,58.77,58.97,3929,0
STNG.US,5,20260127,170000,59.04,59.08,59.04,59.08,900,0
STNG.US,5,20260127,170500,59.13,59.23,59.13,59.18,1438,0
STNG.US,5,20260127,171000,59.09,59.13,59.03,59.07,2320,0
STNG.US,5,20260127,171500,59.03,59.12,59.03,59.085,450,0
STNG.US,5,20260127,172000,59.11,59.2,59.07,59.195,50884,0
STNG.US,5,20260127,172500,59.195,59.27,59.11,59.11,3561,0
STNG.US,5,20260127,173000,59.175,59.215,59.06,59.11,19154,0
STNG.US,5,20260127,173500,59.12,59.25,59.12,59.25,2750,0
STNG.US,5,20260127,174000,59.23,59.27,59.215,59.215,4239,0
STNG.US,5,20260127,174500,59.2,59.31,59.12,59.31,20810,0
STNG.US,5,20260127,175000,59.27,59.27,59.215,59.22,1134,0
STNG.US,5,20260127,175500,59.19,59.39,59.19,59.315,3514,0
STNG.US,5,20260127,180000,59.29,59.38,59.29,59.38,750,0
STNG.US,5,20260127,181000,59.37,59.45,59.34,59.45,1370,0
STNG.US,5,20260127,181500,59.45,59.52,59.45,59.49,3337,0
STNG.US,5,20260127,182000,59.485,59.55,59.44,59.535,1150,0
STNG.US,5,20260127,182500,59.53,59.72,59.48,59.72,3801,0
STNG.US,5,20260127,183000,59.715,59.715,59.62,59.62,200,0
STNG.US,5,20260127,183500,59.63,59.66,59.63,59.655,400,0
STNG.US,5,20260127,184000,59.63,59.63,59.63,59.63,312,0
STNG.US,5,20260127,184500,59.56,59.64,59.5,59.585,9286,0
STNG.US,5,20260127,185000,59.585,59.605,59.585,59.605,688,0
STNG.US,5,20260127,185500,59.64,59.67,59.582604,59.67,500,0
STNG.US,5,20260127,190000,59.625,59.67,59.62,59.65,3167,0
STNG.US,5,20260127,190500,59.63,59.775,59.63,59.715,5578,0
STNG.US,5,20260127,191000,59.67,59.71,59.67,59.71,1250,0
STNG.US,5,20260127,191500,59.71,59.91,59.71,59.81,4215,0
STNG.US,5,20260127,192000,59.81,59.95,59.73,59.95,11140,0
STNG.US,5,20260127,192500,59.94,59.94,59.9,59.94,3510,0
STNG.US,5,20260127,193000,59.93,59.93,59.925,59.925,400,0
STNG.US,5,20260127,193500,59.95,59.99,59.88,59.96,7451,0
STNG.US,5,20260127,194000,59.9876,60.095,59.95,60.095,5277,0
STNG.US,5,20260127,194500,60.065,60.065,59.985,60.035,3769,0
STNG.US,5,20260127,195000,60,60.07,60,60.035,4260,0
STNG.US,5,20260127,195500,60.035,60.07,59.94,59.94,17682,0
STNG.US,5,20260127,200000,59.88,59.885,59.865,59.865,4066,0
STNG.US,5,20260127,200500,59.865,59.95,59.865,59.87,2082,0
STNG.US,5,20260127,201000,59.86,59.887,59.755,59.755,4588,0
STNG.US,5,20260127,201500,59.755,59.84,59.59,59.67,13664,0
STNG.US,5,20260127,202000,59.665,59.8,59.665,59.755,3901,0
STNG.US,5,20260127,202500,59.76,59.8,59.72,59.74,3233,0
STNG.US,5,20260127,203000,59.74,59.8,59.735,59.735,1550,0
STNG.US,5,20260127,203500,59.735,59.8,59.72,59.72,800,0
STNG.US,5,20260127,204000,59.695,59.76,59.695,59.715,2231,0
STNG.US,5,20260127,204500,59.715,59.769,59.715,59.74,2487,0
STNG.US,5,20260127,205000,59.735,59.77,59.71,59.73,8454,0
STNG.US,5,20260127,205500,59.69,59.73,59.57,59.65,4445,0
STNG.US,5,20260127,210000,59.66,59.71,59.66,59.665,2000,0
STNG.US,5,20260127,210500,59.655,59.66,59.61,59.66,4749,0
STNG.US,5,20260127,211000,59.66,59.72,59.66,59.66,3308,0
STNG.US,5,20260127,211500,59.685,59.685,59.675,59.675,617,0
STNG.US,5,20260127,212000,59.68,59.725,59.68,59.71,1500,0
STNG.US,5,20260127,212500,59.705,59.73,59.705,59.705,721,0
STNG.US,5,20260127,213000,59.705,59.735,59.67,59.73,7495,0
STNG.US,5,20260127,213500,59.73,59.76,59.71,59.745,3403,0
STNG.US,5,20260127,214000,59.745,59.745,59.7,59.74,1240,0
STNG.US,5,20260127,214500,59.75,59.78,59.73,59.77,4822,0
STNG.US,5,20260127,215000,59.74,59.81,59.7,59.765,17041,0
STNG.US,5,20260127,215500,59.76,60.02,59.74,60,170449,0
STNG.US,5,20260128,153000,60.7,61.28,60.375,61.09,47604,0
STNG.US,5,20260128,153500,60.77,61.08,60.765,61,3476,0
STNG.US,5,20260128,154000,60.955,61.28,60.71,60.99,22780,0
STNG.US,5,20260128,154500,61.015,61.27,61.015,61.05,1274,0
STNG.US,5,20260128,155000,61.01,61.01,60.995,60.995,2500,0
STNG.US,5,20260128,155500,60.95,61.18,60.9,61.025,37763,0
STNG.US,5,20260128,160000,61.025,61.25,60.9888,61.19,2442,0
STNG.US,5,20260128,160500,61.19,61.2054,60.87,60.87,16485,0
STNG.US,5,20260128,161000,60.87,60.87,60.865,60.865,800,0
STNG.US,5,20260128,161500,60.89,60.89,60.645,60.8,5619,0
STNG.US,5,20260128,162000,60.89,61.08,60.81,61.07,2315,0
STNG.US,5,20260128,162500,61.07,61.09,60.885,61,12233,0
STNG.US,5,20260128,163000,61.11,61.21,61,61.035,4046,0
STNG.US,5,20260128,163500,61.19,61.245,61.01,61.14,3787,0
STNG.US,5,20260128,164000,61.15,61.28,61.15,61.2,1837,0
STNG.US,5,20260128,164500,61.235,61.39,61.235,61.25,9819,0
STNG.US,5,20260128,165000,61.15,61.22,61.15,61.15,2010,0
STNG.US,5,20260128,165500,61.27,61.29,61.125,61.16,6860,0
STNG.US,5,20260128,170000,61.105,61.25,61.08,61.08,13275,0
STNG.US,5,20260128,170500,61.08,61.15,60.87,60.91,6733,0
STNG.US,5,20260128,171000,60.915,61.17,60.815,61.14,17652,0
STNG.US,5,20260128,171500,61.105,61.18,61.07,61.1,18137,0
STNG.US,5,20260128,172000,61.01,61.095,61.005,61.015,2604,0
STNG.US,5,20260128,172500,61.015,61.14,61.01,61.14,4554,0
STNG.US,5,20260128,173000,61.18,61.18,61.12,61.12,1042,0
STNG.US,5,20260128,173500,61.125,61.2,61.125,61.2,500,0
STNG.US,5,20260128,174000,61.21,61.29,61.195,61.255,4100,0
STNG.US,5,20260128,174500,61.37,61.79,61.32,61.71,15093,0
STNG.US,5,20260128,175000,61.7,61.815,61.695,61.695,10299,0
STNG.US,5,20260128,175500,61.675,61.82,61.6625,61.79,4122,0
STNG.US,5,20260128,180000,61.84,62.1,61.8,62.02,13419,0
STNG.US,5,20260128,180500,62.015,62.1,61.79,61.79,7866,0
STNG.US,5,20260128,181000,61.795,61.94,61.78,61.94,2648,0
STNG.US,5,20260128,181500,61.8896,61.8896,61.7375,61.765,1824,0
STNG.US,5,20260128,182000,61.88,61.92,61.77,61.825,2544,0
STNG.US,5,20260128,182500,61.92,61.96,61.85,61.872,6196,0
STNG.US,5,20260128,183000,61.885,62.01,61.885,61.985,4678,0
STNG.US,5,20260128,183500,61.92,62.02,61.843,61.944,3605,0
STNG.US,5,20260128,184000,61.98,62,61.95,61.975,1319,0
STNG.US,5,20260128,184500,62,62.01,61.92,61.95,10995,0
STNG.US,5,20260128,185000,61.93,62.08,61.93,62.08,2402,0
STNG.US,5,20260128,185500,62.02,62.09,61.93,61.95,13230,0
STNG.US,5,20260128,190000,61.985,62.08,61.985,62.04,4162,0
STNG.US,5,20260128,190500,61.995,61.995,61.755,61.8,6147,0
STNG.US,5,20260128,191000,61.8,61.92,61.7965,61.915,3889,0
STNG.US,5,20260128,191500,61.93,61.93,61.88,61.88,1298,0
STNG.US,5,20260128,192000,61.91,62.08,61.91,62.08,5672,0
STNG.US,5,20260128,192500,62.0999,62.185,62.01,62.01,7400,0
STNG.US,5,20260128,193000,62.01,62.01,61.885,62,1120,0
STNG.US,5,20260128,193500,61.91,62.04,61.885,61.905,10194,0
STNG.US,5,20260128,194000,62.04,62.13,61.91,62.13,2334,0
STNG.US,5,20260128,194500,62.11,62.14,61.9833,61.9833,891,0
STNG.US,5,20260128,195000,62.16,62.17,61.96,62.06,10968,0
STNG.US,5,20260128,195500,61.99,62.02,61.95,61.98,1221,0
STNG.US,5,20260128,200000,61.99,62.02,61.97,62.02,1300,0
STNG.US,5,20260128,200500,62.02,62.06,61.89,61.89,12785,0
STNG.US,5,20260128,201000,61.975,62.16,61.95,62.16,4376,0
STNG.US,5,20260128,201500,62.09,62.2,62.0754,62.12,8243,0
STNG.US,5,20260128,202000,62.115,62.2,62.115,62.2,4960,0
STNG.US,5,20260128,202500,62.185,62.185,62.04,62.04,3116,0
STNG.US,5,20260128,203000,62.04,62.04,61.735,61.92,13332,0
STNG.US,5,20260128,203500,62,62.05,61.9,62.05,2923,0
STNG.US,5,20260128,204000,62.04,62.2799,62,62.15,7933,0
STNG.US,5,20260128,204500,62.17,62.32,62.09,62.295,3297,0
STNG.US,5,20260128,205000,62.355,62.43,62.305,62.41,2453,0
STNG.US,5,20260128,205500,62.362,62.5,62.362,62.49,4898,0
STNG.US,5,20260128,210000,62.43,62.43,62.35,62.4,1902,0
STNG.US,5,20260128,210500,62.36,62.5,62.35,62.4616,4110,0
STNG.US,5,20260128,211000,62.41,62.47,62.375,62.47,3849,0
STNG.US,5,20260128,211500,62.48,62.49,62.4037,62.4037,1364,0
STNG.US,5,20260128,212000,62.39,62.4109,62.19,62.21,8995,0
STNG.US,5,20260128,212500,62.2,62.24,62.17,62.23,13653,0
STNG.US,5,20260128,213000,62.23,62.32,62.2101,62.32,6144,0
STNG.US,5,20260128,213500,62.29,62.36,62.2,62.36,7233,0
STNG.US,5,20260128,214000,62.36,62.36,62.23,62.23,4351,0
STNG.US,5,20260128,214500,62.23,62.45,62.23,62.44,7635,0
STNG.US,5,20260128,215000,62.45,62.5,62.3,62.34,12412,0
STNG.US,5,20260128,215500,62.35,62.52,62.32,62.5,169094,0
