<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SW.US,5,20260126,153000,44.13,44.2,43.91,43.94,33732,0
SW.US,5,20260126,153500,43.96,44.06,43.745,43.765,39781,0
SW.US,5,20260126,154000,43.73,43.76,43.47,43.57,26587,0
SW.US,5,20260126,154500,43.57,43.895,43.57,43.885,80859,0
SW.US,5,20260126,155000,43.89,43.915,43.785,43.89,235924,0
SW.US,5,20260126,155500,43.885,43.885,43.62,43.62,122084,0
SW.US,5,20260126,160000,43.62,43.74,43.59,43.71,72634,0
SW.US,5,20260126,160500,43.7197,43.73,43.66,43.7,54041,0
SW.US,5,20260126,161000,43.7,43.92,43.7,43.865,69823,0
SW.US,5,20260126,161500,43.86,44.03,43.86,43.99,45754,0
SW.US,5,20260126,162000,43.99,43.99,43.9,43.97,17230,0
SW.US,5,20260126,162500,43.97,43.97,43.88,43.91,25344,0
SW.US,5,20260126,163000,43.9,43.97,43.86,43.96,19521,0
SW.US,5,20260126,163500,43.97,43.98,43.86,43.91,17771,0
SW.US,5,20260126,164000,43.9,43.91,43.76,43.84,14964,0
SW.US,5,20260126,164500,43.83,43.87,43.74,43.74,23403,0
SW.US,5,20260126,165000,43.72,43.91,43.69,43.86,35997,0
SW.US,5,20260126,165500,43.87,43.945,43.805,43.81,158313,0
SW.US,5,20260126,170000,43.81,43.935,43.78,43.91,33978,0
SW.US,5,20260126,170500,43.94,43.96,43.81,43.87,50094,0
SW.US,5,20260126,171000,43.86,43.86,43.72,43.74,24236,0
SW.US,5,20260126,171500,43.715,43.745,43.69,43.745,10988,0
SW.US,5,20260126,172000,43.745,43.91,43.745,43.905,14174,0
SW.US,5,20260126,172500,43.905,44.055,43.905,44.04,26717,0
SW.US,5,20260126,173000,44.04,44.14,44.01,44.01,47511,0
SW.US,5,20260126,173500,44,44.13,44,44.125,24509,0
SW.US,5,20260126,174000,44.11,44.15,44.07,44.1,46467,0
SW.US,5,20260126,174500,44.08,44.18,44.06,44.18,36770,0
SW.US,5,20260126,175000,44.18,44.34,44.18,44.32,37443,0
SW.US,5,20260126,175500,44.31,44.32,44.21,44.21,20808,0
SW.US,5,20260126,180000,44.21,44.28,44.19,44.225,25065,0
SW.US,5,20260126,180500,44.23,44.285,44.22,44.275,14442,0
SW.US,5,20260126,181000,44.27,44.27,44.23,44.245,11817,0
SW.US,5,20260126,181500,44.23,44.25,44.15,44.165,13730,0
SW.US,5,20260126,182000,44.17,44.2,44.125,44.15,22120,0
SW.US,5,20260126,182500,44.16,44.2,44.14,44.17,15643,0
SW.US,5,20260126,183000,44.1708,44.38,44.1708,44.3,57412,0
SW.US,5,20260126,183500,44.3,44.38,44.29,44.32,28601,0
SW.US,5,20260126,184000,44.315,44.61,44.31,44.59,71967,0
SW.US,5,20260126,184500,44.56,44.61,44.42,44.44,31942,0
SW.US,5,20260126,185000,44.44,44.45,44.39,44.4,23621,0
SW.US,5,20260126,185500,44.4,44.4049,44.3,44.32,33799,0
SW.US,5,20260126,190000,44.31,44.43,44.29,44.37,23699,0
SW.US,5,20260126,190500,44.36,44.39,44.32,44.325,36707,0
SW.US,5,20260126,191000,44.33,44.335,44.23,44.255,40263,0
SW.US,5,20260126,191500,44.25,44.285,44.245,44.26,29919,0
SW.US,5,20260126,192000,44.26,44.265,44.215,44.22,34727,0
SW.US,5,20260126,192500,44.23,44.24,44.1,44.1,42386,0
SW.US,5,20260126,193000,44.1,44.15,43.75,43.85,107315,0
SW.US,5,20260126,193500,43.84,43.99,43.83,43.939,93575,0
SW.US,5,20260126,194000,43.95,44.06,43.915,44.02,53614,0
SW.US,5,20260126,194500,44.02,44.02,43.95,43.95,19950,0
SW.US,5,20260126,195000,43.95,43.96,43.88,43.88,17653,0
SW.US,5,20260126,195500,43.88,43.89,43.77,43.83,61911,0
SW.US,5,20260126,200000,43.83,43.89,43.7975,43.855,24122,0
SW.US,5,20260126,200500,43.86,43.94,43.8052,43.81,27682,0
SW.US,5,20260126,201000,43.83,43.9,43.8009,43.86,15869,0
SW.US,5,20260126,201500,43.85,43.93,43.85,43.925,18522,0
SW.US,5,20260126,202000,43.92,43.95,43.88,43.91,15824,0
SW.US,5,20260126,202500,43.91,43.93,43.755,43.82,23952,0
SW.US,5,20260126,203000,43.81,43.835,43.63,43.64,14668,0
SW.US,5,20260126,203500,43.63,43.675,43.51,43.55,45807,0
SW.US,5,20260126,204000,43.55,43.59,43.53,43.58,12247,0
SW.US,5,20260126,204500,43.58,43.625,43.56,43.625,20619,0
SW.US,5,20260126,205000,43.62,43.64,43.53,43.635,22744,0
SW.US,5,20260126,205500,43.64,43.64,43.545,43.545,17647,0
SW.US,5,20260126,210000,43.52,43.61,43.51,43.595,20040,0
SW.US,5,20260126,210500,43.6,43.655,43.585,43.63,18042,0
SW.US,5,20260126,211000,43.63,43.65,43.63,43.63,10871,0
SW.US,5,20260126,211500,43.63,43.6665,43.59,43.63,15777,0
SW.US,5,20260126,212000,43.64,43.665,43.615,43.645,25846,0
SW.US,5,20260126,212500,43.64,43.68,43.58,43.59,30759,0
SW.US,5,20260126,213000,43.58,43.645,43.57,43.615,21924,0
SW.US,5,20260126,213500,43.61,43.64,43.605,43.61,18570,0
SW.US,5,20260126,214000,43.6,43.605,43.565,43.57,34873,0
SW.US,5,20260126,214500,43.57,43.63,43.555,43.62,52839,0
SW.US,5,20260126,215000,43.61,43.615,43.465,43.475,97475,0
SW.US,5,20260126,215500,43.48,43.49,43.37,43.38,1006304,0
SW.US,5,20260127,153000,43.23,43.29,42.89,43.28,29551,0
SW.US,5,20260127,153500,43.25,43.36,43.1325,43.1325,15414,0
SW.US,5,20260127,154000,43.14,43.41,43.14,43.39,24594,0
SW.US,5,20260127,154500,43.37,43.49,43.36,43.475,27572,0
SW.US,5,20260127,155000,43.475,43.475,43.25,43.25,9795,0
SW.US,5,20260127,155500,43.25,43.25,43.095,43.145,6922,0
SW.US,5,20260127,160000,43.145,43.26,43.145,43.205,27975,0
SW.US,5,20260127,160500,43.18,43.295,43.14,43.265,16508,0
SW.US,5,20260127,161000,43.26,43.285,43.215,43.27,9367,0
SW.US,5,20260127,161500,43.26,43.31,43.18,43.24,14947,0
SW.US,5,20260127,162000,43.25,43.4,43.225,43.29,89567,0
SW.US,5,20260127,162500,43.29,43.355,43.16,43.23,28253,0
SW.US,5,20260127,163000,43.245,43.295,43.175,43.2,45826,0
SW.US,5,20260127,163500,43.21,43.33,43.19,43.3,33115,0
SW.US,5,20260127,164000,43.315,43.37,43.25,43.315,131408,0
SW.US,5,20260127,164500,43.315,43.36,43.23,43.23,20315,0
SW.US,5,20260127,165000,43.22,43.24,43.21,43.23,9600,0
SW.US,5,20260127,165500,43.23,43.27,43.19,43.25,10571,0
SW.US,5,20260127,170000,43.24,43.335,43.24,43.28,49697,0
SW.US,5,20260127,170500,43.28,43.3,43.16,43.22,23143,0
SW.US,5,20260127,171000,43.215,43.27,43.215,43.26,9154,0
SW.US,5,20260127,171500,43.24,43.3,43.225,43.28,43200,0
SW.US,5,20260127,172000,43.28,43.375,43.24,43.285,56454,0
SW.US,5,20260127,172500,43.28,43.3,43.19,43.22,128090,0
SW.US,5,20260127,173000,43.23,43.32,43.21,43.28,34576,0
SW.US,5,20260127,173500,43.3,43.31,43.17,43.17,32960,0
SW.US,5,20260127,174000,43.16,43.17,43.075,43.08,13318,0
SW.US,5,20260127,174500,43.08,43.08,43.01,43.01,19280,0
SW.US,5,20260127,175000,43,43.01,42.9392,42.95,14317,0
SW.US,5,20260127,175500,42.95,43.01,42.935,42.985,22108,0
SW.US,5,20260127,180000,42.98,43.09,42.98,43.09,6953,0
SW.US,5,20260127,180500,43.075,43.295,43.02,43.29,36865,0
SW.US,5,20260127,181000,43.27,43.275,43.19,43.195,15560,0
SW.US,5,20260127,181500,43.2,43.215,43.12,43.125,21673,0
SW.US,5,20260127,182000,43.13,43.2,43.13,43.195,14832,0
SW.US,5,20260127,182500,43.2,43.22,43.12,43.12,21415,0
