<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TABD.US,5,20260126,172500,25.2895,25.2895,25.2895,25.2895,115,0
TABD.US,5,20260126,173500,25.28,25.34,25.2799,25.2799,1696,0
TABD.US,5,20260127,190500,25.1899,25.26,25.1899,25.1899,1000,0
TABD.US,5,20260127,192500,25.19,25.25,25.1899,25.1899,1600,0
TABD.US,5,20260128,164000,25.16,25.16,25.1599,25.1599,200,0
TABD.US,5,20260128,164500,25.17,25.17,25.1699,25.1699,200,0
TABD.US,5,20260128,165500,25.18,25.18,25.18,25.18,136,0
TABD.US,5,20260128,173000,25.1796,25.1796,25.1796,25.1796,61257,0
TABD.US,5,20260128,175500,25.17,25.17,25.17,25.17,100,0
TABD.US,5,20260128,190000,25.1746,25.1746,25.1746,25.1746,100,0
TABD.US,5,20260128,191000,25.18,25.18,25.18,25.18,100,0
TABD.US,5,20260129,180500,25.16,25.16,25.15,25.15,315,0
TABD.US,5,20260129,203500,25.21,25.21,25.21,25.21,100,0
TABD.US,5,20260129,204000,25.21,25.21,25.21,25.21,100,0
TABD.US,5,20260129,210500,25.21,25.21,25.21,25.21,100,0
TABD.US,5,20260130,175500,25.22,25.22,25.22,25.22,900,0
TABD.US,5,20260130,182500,25.17,25.17,25.17,25.17,100,0
TABD.US,5,20260130,213000,25.19,25.27,25.1899,25.1899,2408,0
TABD.US,5,20260202,154000,25.15,25.1501,25.15,25.1501,400,0
TABD.US,5,20260202,163000,25.16,25.16,25.16,25.16,100,0
TABD.US,5,20260202,174000,25.16,25.16,25.16,25.16,100,0
TABD.US,5,20260203,153000,25.15,25.15,25.15,25.15,100,0
TABD.US,5,20260203,173500,25.1245,25.1245,25.1245,25.1245,100,0
TABD.US,5,20260205,203500,25.2299,25.2299,25.2299,25.2299,300,0
TABD.US,5,20260206,212000,25.24,25.26,25.24,25.26,525,0
TABD.US,5,20260206,212500,25.2599,25.26,25.2464,25.2464,836,0
TABD.US,5,20260206,213000,25.24,25.24,25.24,25.24,882,0
TABD.US,5,20260206,214500,25.2587,25.2587,25.2587,25.2587,406,0
TABD.US,5,20260210,173500,25.35,25.35,25.3499,25.3499,200,0
TABD.US,5,20260210,174500,25.357,25.36,25.34,25.35,2998,0
TABD.US,5,20260210,175000,25.34,25.34,25.34,25.34,100,0
TABD.US,5,20260211,203000,25.29,25.29,25.29,25.29,100,0
TABD.US,5,20260211,203500,25.29,25.29,25.29,25.29,100,0
TABD.US,5,20260211,204000,25.3,25.3,25.3,25.3,100,0
TABD.US,5,20260211,204500,25.3,25.3,25.3,25.3,100,0
TABD.US,5,20260211,205000,25.31,25.31,25.31,25.31,100,0
TABD.US,5,20260211,205500,25.32,25.32,25.32,25.32,100,0
TABD.US,5,20260211,211000,25.3,25.31,25.3,25.31,200,0
TABD.US,5,20260211,212500,25.32,25.33,25.32,25.33,1200,0
TABD.US,5,20260211,215000,25.325,25.325,25.32,25.32,200,0
TABD.US,5,20260211,215500,25.32,25.32,25.32,25.32,200,0
TABD.US,5,20260212,153000,25.31,25.31,25.31,25.31,260,0
TABD.US,5,20260212,154500,25.3162,25.33,25.3162,25.3162,9693,0
TABD.US,5,20260212,160000,25.33,25.33,25.33,25.33,100,0
TABD.US,5,20260212,160500,25.34,25.34,25.34,25.34,100,0
TABD.US,5,20260212,161000,25.34,25.34,25.3399,25.3399,200,0
TABD.US,5,20260212,162500,25.3499,25.3499,25.345,25.345,1000,0
TABD.US,5,20260212,163000,25.35,25.36,25.3382,25.3499,2350,0
TABD.US,5,20260212,163500,25.3362,25.348,25.3362,25.348,320,0
TABD.US,5,20260212,183500,25.36,25.36,25.36,25.36,100,0
TABD.US,5,20260217,170000,25.49,25.49,25.49,25.49,100,0
TABD.US,5,20260217,195500,25.46,25.46,25.46,25.46,413,0
TABD.US,5,20260218,165500,25.44,25.44,25.44,25.44,1209,0
TABD.US,5,20260218,212000,25.4499,25.4499,25.4499,25.4499,318,0
TABD.US,5,20260218,212500,25.44,25.45,25.44,25.45,200,0
