<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TGLS.US,5,20260126,153000,50.665,51.2899,50.6,51.2899,1071,0
TGLS.US,5,20260126,153500,51.45,51.45,51.45,51.45,100,0
TGLS.US,5,20260126,154000,50.19,50.21,50.017,50.107,1100,0
TGLS.US,5,20260126,154500,50.2863,50.91,50.2863,50.91,268,0
TGLS.US,5,20260126,160000,50.11,50.12,49.75,49.76,2506,0
TGLS.US,5,20260126,160500,49.76,50.11,49.76,50.11,400,0
TGLS.US,5,20260126,161000,49.86,49.86,49.86,49.86,350,0
TGLS.US,5,20260126,161500,50.2,50.2,50.2,50.2,100,0
TGLS.US,5,20260126,162000,50.42,50.55,50.3447,50.3447,1117,0
TGLS.US,5,20260126,162500,50.59,50.63,50.475,50.63,400,0
TGLS.US,5,20260126,163000,50.56,50.805,50.535,50.805,3043,0
TGLS.US,5,20260126,163500,50.845,50.845,50.845,50.845,200,0
TGLS.US,5,20260126,164000,50.87,50.92,50.8,50.91,820,0
TGLS.US,5,20260126,164500,50.99,51,50.94,51,700,0
TGLS.US,5,20260126,165000,51.07,51.145,51.05,51.145,956,0
TGLS.US,5,20260126,165500,51.105,51.105,50.99,51.04,1500,0
TGLS.US,5,20260126,170000,51.07,51.07,51.07,51.07,100,0
TGLS.US,5,20260126,170500,51.12,51.17,51.11,51.17,500,0
TGLS.US,5,20260126,171000,51.1337,51.1337,51,51,1500,0
TGLS.US,5,20260126,171500,50.99,50.99,50.86,50.915,2000,0
TGLS.US,5,20260126,172000,50.915,50.99,50.915,50.99,600,0
TGLS.US,5,20260126,173000,51.05,51.05,51.05,51.05,340,0
TGLS.US,5,20260126,173500,51.125,51.125,50.95,50.95,1600,0
TGLS.US,5,20260126,174000,50.95,50.95,50.9,50.9,700,0
TGLS.US,5,20260126,175000,50.9725,50.9725,50.91,50.965,627,0
TGLS.US,5,20260126,175500,50.91,50.92,50.83,50.83,900,0
TGLS.US,5,20260126,180500,50.82,50.82,50.81,50.81,200,0
TGLS.US,5,20260126,181000,50.895,50.895,50.895,50.895,2780,0
TGLS.US,5,20260126,181500,50.87,51.01,50.87,51.01,1500,0
TGLS.US,5,20260126,182500,50.94,50.94,50.92,50.92,500,0
TGLS.US,5,20260126,183500,50.9655,50.9655,50.9655,50.9655,200,0
TGLS.US,5,20260126,184000,50.9951,50.9951,50.905,50.905,1903,0
TGLS.US,5,20260126,185000,50.915,50.94,50.915,50.94,400,0
TGLS.US,5,20260126,185500,50.89,50.92,50.89,50.92,493,0
TGLS.US,5,20260126,190000,50.92,51.325,50.915,51.22,9925,0
TGLS.US,5,20260126,190500,51.235,51.235,51.18,51.18,200,0
TGLS.US,5,20260126,191000,51.225,51.225,51.2,51.2,420,0
TGLS.US,5,20260126,191500,51.235,51.28,51.235,51.2775,500,0
TGLS.US,5,20260126,192000,51.32,51.32,51.32,51.32,100,0
TGLS.US,5,20260126,192500,51.34,51.4,51.34,51.4,1100,0
TGLS.US,5,20260126,193000,51.45,51.495,51.35,51.405,2228,0
TGLS.US,5,20260126,193500,51.32,51.39,51.32,51.39,2085,0
TGLS.US,5,20260126,194000,51.395,51.395,51.37,51.39,300,0
TGLS.US,5,20260126,194500,51.39,51.43,51.39,51.43,200,0
TGLS.US,5,20260126,195000,51.41,51.445,51.4,51.445,1300,0
TGLS.US,5,20260126,195500,51.445,51.445,51.4,51.43,2250,0
TGLS.US,5,20260126,200000,51.425,51.55,51.425,51.55,1500,0
TGLS.US,5,20260126,200500,51.55,51.55,51.54,51.54,200,0
TGLS.US,5,20260126,201500,51.46,51.46,51.27,51.325,3300,0
TGLS.US,5,20260126,202000,51.33,51.39,51.265,51.265,532,0
TGLS.US,5,20260126,202500,51.39,51.45,51.33,51.45,800,0
TGLS.US,5,20260126,203000,51.51,51.5975,51.5,51.565,2651,0
TGLS.US,5,20260126,203500,51.62,51.68,51.62,51.68,800,0
TGLS.US,5,20260126,204000,51.62,51.62,51.59,51.59,849,0
TGLS.US,5,20260126,204500,51.61,51.68,51.61,51.68,722,0
TGLS.US,5,20260126,205000,51.71,51.71,51.71,51.71,100,0
TGLS.US,5,20260126,205500,51.73,51.735,51.56,51.6,2100,0
TGLS.US,5,20260126,210000,51.55,51.55,51.55,51.55,100,0
TGLS.US,5,20260126,210500,51.63,51.69,51.63,51.675,981,0
TGLS.US,5,20260126,211000,51.745,51.7705,51.745,51.7705,600,0
TGLS.US,5,20260126,211500,51.82,51.82,51.73,51.7732,1931,0
TGLS.US,5,20260126,212000,51.8,51.8,51.73,51.79,547,0
TGLS.US,5,20260126,212500,51.73,51.82,51.73,51.78,1924,0
TGLS.US,5,20260126,213000,51.8,51.95,51.78,51.92,3585,0
TGLS.US,5,20260126,213500,51.95,51.975,51.79,51.79,4374,0
TGLS.US,5,20260126,214000,51.8225,51.8225,51.74,51.76,2492,0
TGLS.US,5,20260126,214500,51.77,51.79,51.69,51.69,2000,0
TGLS.US,5,20260126,215000,51.69,51.71,51.47,51.475,5470,0
TGLS.US,5,20260126,215500,51.475,51.485,51.32,51.34,69713,0
TGLS.US,5,20260127,153000,50.855,50.855,50.02,50.02,500,0
TGLS.US,5,20260127,153500,50.2685,50.2685,50.2685,50.2685,193,0
TGLS.US,5,20260127,154000,50,50.06,49.7,49.97,1975,0
TGLS.US,5,20260127,154500,49.975,50.24,49.83,50.015,6200,0
TGLS.US,5,20260127,155000,50.295,50.295,49.71,49.71,200,0
TGLS.US,5,20260127,155500,49.92,49.92,49.22,49.22,5907,0
TGLS.US,5,20260127,160000,49.11,49.54,49.11,49.355,3155,0
TGLS.US,5,20260127,160500,49.13,49.325,49.13,49.32,507,0
TGLS.US,5,20260127,161000,49.32,49.32,49.32,49.32,1840,0
TGLS.US,5,20260127,161500,49.53,49.9336,49.53,49.905,3610,0
TGLS.US,5,20260127,162000,49.905,49.905,49.245,49.29,10389,0
TGLS.US,5,20260127,162500,49.32,49.32,49.13,49.13,382,0
TGLS.US,5,20260127,163000,49.162,49.3,48.905,48.905,1080,0
TGLS.US,5,20260127,163500,48.97,49.1191,48.97,49.1191,871,0
TGLS.US,5,20260127,164000,49,49.13,49,49.13,1200,0
TGLS.US,5,20260127,164500,49.16,49.21,49.16,49.21,500,0
TGLS.US,5,20260127,165500,49.19,49.23,49.14,49.19,620,0
TGLS.US,5,20260127,170000,49.14,49.2,49.14,49.2,1063,0
TGLS.US,5,20260127,171000,49.09,49.34,49.09,49.34,1398,0
TGLS.US,5,20260127,171500,49.11,49.11,49.11,49.11,100,0
TGLS.US,5,20260127,172500,48.79,49.25,48.79,49.25,3800,0
TGLS.US,5,20260127,173000,49.15,49.48,49.15,49.48,6900,0
TGLS.US,5,20260127,173500,49.39,49.39,49.365,49.365,2980,0
TGLS.US,5,20260127,174000,49.4,49.4,49.4,49.4,100,0
TGLS.US,5,20260127,174500,49.49,49.5,49.385,49.385,970,0
TGLS.US,5,20260127,175000,49.385,49.39,49.25,49.34,1320,0
TGLS.US,5,20260127,175500,49.35,49.35,49.25,49.25,940,0
TGLS.US,5,20260127,180000,49.335,49.485,49.3349,49.48,5581,0
TGLS.US,5,20260127,180500,49.61,49.61,49.52,49.52,1000,0
TGLS.US,5,20260127,181000,49.62,49.62,49.62,49.62,100,0
TGLS.US,5,20260127,181500,49.475,49.475,49.475,49.475,300,0
TGLS.US,5,20260127,182000,49.47,49.54,49.47,49.47,700,0
TGLS.US,5,20260127,182500,49.41,49.45,49.41,49.45,300,0
TGLS.US,5,20260127,183000,49.45,49.455,49.37,49.455,840,0
TGLS.US,5,20260127,183500,49.455,49.455,49.45,49.45,300,0
TGLS.US,5,20260127,184000,49.48,49.48,49.45,49.45,650,0
TGLS.US,5,20260127,184500,49.45,49.45,49.3,49.3,800,0
TGLS.US,5,20260127,185000,49.25,49.29,49.25,49.29,400,0
TGLS.US,5,20260127,185500,49.27,49.27,49.15,49.15,700,0
TGLS.US,5,20260127,190000,49.265,49.42,49.265,49.35,3016,0
TGLS.US,5,20260127,190500,49.44,49.54,49.38,49.38,3120,0
TGLS.US,5,20260127,191000,49.3,49.34,49.3,49.34,500,0
TGLS.US,5,20260127,191500,49.35,49.36,49.35,49.35,300,0
TGLS.US,5,20260127,192000,49.47,49.64,49.46,49.64,2070,0
TGLS.US,5,20260127,193500,49.695,49.695,49.695,49.695,350,0
TGLS.US,5,20260127,194000,49.53,49.7115,49.51,49.53,859,0
TGLS.US,5,20260127,194500,49.56,49.56,49.56,49.56,200,0
TGLS.US,5,20260127,195000,49.61,49.63,49.5215,49.5215,2250,0
TGLS.US,5,20260127,195500,49.62,49.62,49.57,49.57,200,0
TGLS.US,5,20260127,200500,49.6275,49.7,49.52,49.52,1400,0
